,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
91,92,92,David Morland IV,73,21.95,189,861
92,93,93,Bernhard Langer,59,21.93,127,579
93,94,94,José María Olazábal,56,21.92,119,543
94,T95,T95,Matt Kuchar,83,21.9,226,1032
95,T95,T95,David Peoples,82,21.9,224,1023
96,97,97,Aaron Baddeley,87,21.89,204,932
97,98,98,Billy Andrade,104,21.86,261,1194
98,99,99,John Rollins,90,21.8,218,1000
99,100,100,Bart Bryant,73,21.77,209,960
100,101,101,Michael Allen,87,21.76,213,979
101,102,102,Briny Baird,100,21.74,245,1127
102,T103,T103,Hank Kuehne,91,21.67,208,960
103,T103,T103,Corey Pavin,83,21.67,208,960
104,105,105,Kent Jones,99,21.6,267,1236
105,T106,T106,D.J. Brigman,79,21.53,194,901
106,T106,T106,Alex Cejka,76,21.53,169,785
107,T106,T106,Luke Donald,72,21.53,186,864
108,109,109,Todd Fischer,104,21.49,262,1219
109,110,110,Arjun Atwal,85,21.46,211,983
110,111,111,Notah Begay III,71,21.44,190,886
111,112,112,Carlos Franco,99,21.42,250,1167
112,T113,T113,Skip Kendall,99,21.33,240,1125
113,T113,T113,Jeff Maggert,60,21.33,151,708
114,T115,T115,Neal Lancaster,106,21.3,253,1188
115,T115,T115,Deane Pappas,72,21.3,170,798
116,T117,T117,Chris Couch,55,21.28,120,564
117,T117,T117,Bob Estes,73,21.28,153,719
118,119,119,Dan Olsen,75,21.25,160,753
119,120,120,J.J. Henry,103,21.21,267,1259
120,121,121,Joe Durant,85,21.17,236,1115
121,T122,T122,José Coceres,68,21.16,183,865
122,T122,T122,Craig Perks,75,21.16,168,794
123,T124,T124,Craig Parry,52,21.15,103,487
124,T124,T124,John Riegger,53,21.15,136,643
125,126,126,Brad Faxon,94,21.1,196,929
126,127,127,Steve Allan,102,21.01,238,1133
127,128,128,Kevin Na,100,20.97,252,1202
128,129,129,Mark Wilson,62,20.93,176,841
129,130,130,Tripp Isenhour,55,20.92,132,631
130,131,131,Chris Riley,78,20.9,149,713
131,T132,T132,Danny Ellis,81,20.86,189,906
132,T132,T132,Todd Hamilton,92,20.86,193,925
133,134,134,Joey Sindelar,100,20.82,258,1239
134,T135,T135,Brent Geiberger,94,20.81,237,1139
135,T135,T135,Rocco Mediate,53,20.81,103,495
136,137,137,Tim Herron,84,20.66,176,852
137,138,138,Jeff Brehaut,106,20.62,272,1319
138,139,139,Fred Funk,97,20.6,263,1277
139,140,140,Tom Pernice Jr.,103,20.57,247,1201
140,141,141,Jonathan Kaye,79,20.53,172,838
141,142,142,Roger Tambellini,81,20.5,187,912
142,143,143,Pat Bates,99,20.48,262,1279
143,144,144,Heath Slocum,92,20.45,247,1208
144,145,145,Kevin Sutherland,86,20.43,190,930
145,146,146,Charles Howell III,104,20.42,213,1043
146,147,147,Robert Damron,92,20.37,242,1188
147,148,148,Nick Price,51,20.35,106,521
148,149,149,Steve Pate,71,20.32,164,807
149,150,150,Ken Duke,89,20.31,207,1019
150,T151,T151,Russ Cochran,61,20.24,149,736
151,T151,T151,Bob Tway,90,20.24,183,904
152,153,153,Tom Byrum,83,20.15,221,1097
153,154,154,Tommy Armour III,87,20.14,203,1008
154,155,155,J.P. Hayes,79,20.11,181,900
155,156,156,Jay Delsing,76,20.1,169,841
156,157,157,Scott Simpson,55,20.08,146,727
157,158,158,Hidemichi Tanaka,89,20.07,232,1156
158,159,159,Cliff Kresge,89,19.96,203,1017
159,160,160,Chad Campbell,100,19.93,216,1084
160,T161,T161,Rich Barcelo,67,19.92,149,748
161,T161,T161,Jay Williamson,100,19.92,257,1290
162,163,163,Guy Boros,64,19.87,156,785
163,164,164,Craig Bowden,83,19.86,220,1108
164,165,165,Bob Burns,88,19.84,217,1094
165,166,166,Tim Petrovic,111,19.78,230,1163
166,167,167,Arron Oberholser,77,19.77,172,870
167,168,168,Justin Leonard,90,19.72,180,913
168,169,169,Andre Stolz,53,19.7,120,609
169,170,170,David Branshaw,84,19.65,200,1018
170,171,171,Mark O'Meara,58,19.49,115,590
171,T172,T172,David Frost,78,19.46,201,1033
172,T172,T172,Grant Waite,79,19.46,172,884
173,174,174,Steve Elkington,64,19.38,156,805
174,175,175,Tom Carter,113,19.33,232,1200
175,176,176,Gene Sauers,83,19.23,195,1014
176,177,177,Ben Curtis,56,19.18,107,558
177,178,178,Omar Uresti,85,19.14,209,1092
178,T179,T179,Kris Cox,73,19.04,155,814
179,T179,T179,Spike McRoy,93,19.04,207,1087
180,181,181,Len Mattiace,75,19.02,183,962
181,182,182,Dan Forsman,79,18.93,174,919
182,183,183,John Cook,57,18.92,137,724
183,184,184,Hirofumi Miyase,65,18.9,154,815
184,185,185,Stephen Leaney,84,18.79,152,809
185,186,186,Niclas Fasth,61,18.58,128,689
186,187,187,Mathias Grönberg,91,18.55,171,922
187,188,188,Blaine McCallister,68,18.53,154,831
188,189,189,Billy Mayfair,109,18.43,247,1340
189,190,190,Kevin Muncrief,50,18.34,106,578
190,191,191,Esteban Toledo,92,18.08,198,1095
191,192,192,Brian Kortan,65,17.96,139,774
192,193,193,Mark Brooks,72,17.56,138,786
193,194,194,Peter Lonard,68,17.45,130,745
194,195,195,Dicky Pride,66,17.03,139,816
195,196,196,David Gossett,57,16.19,101,624
