,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
32,33,33,Jerry Kelly,113,"34' 1""",52916.75,1554,28
33,T34,T34,Chad Campbell,100,"34' 2""",46622.083,1365,31
34,T34,T34,Dudley Hart,60,"34' 2""",27711.75,812,91
35,T36,T36,Briny Baird,100,"34' 3""",48969.0,1431,5
36,T36,T36,Danny Briggs,85,"34' 3""",45544.0,1330,26
37,T36,T36,Geoff Ogilvy,91,"34' 3""",45504.917,1328,49
38,T39,T39,Robert Allenby,93,"34' 5""",43985.333,1278,8
39,T39,T39,Craig Bowden,83,"34' 5""",45648.75,1326,152
40,T39,T39,Bernhard Langer,59,"34' 5""",25971.25,754,93
41,42,42,Kenny Perry,79,"34' 6""",37903.833,1099,18
42,T43,T43,David Branshaw,84,"34' 7""",44228.083,1280,65
43,T43,T43,Mark Calcavecchia,79,"34' 7""",36567.583,1057,103
44,T43,T43,Retief Goosen,56,"34' 7""",24243.25,701,17
45,T43,T43,Ted Purdy,114,"34' 7""",62783.917,1817,40
46,T47,T47,John Huston,62,"34' 8""",27280.0,786,16
47,T47,T47,Mark Wilson,62,"34' 8""",35356.667,1020,14
48,T49,T49,Russ Cochran,61,"34' 9""",33529.5,964,53
49,T49,T49,J.L. Lewis,106,"34' 9""",54207.0,1561,58
50,T49,T49,Nick Price,51,"34' 9""",22435.417,645,192
51,52,52,Frank Lickliter II,89,"34' 10""",47703.0,1368,105
52,53,53,Sergio Garcia,65,"34' 11""",31332.0,898,4
53,T54,T54,Cameron Beckman,99,"35' 1""",54092.333,1543,45
54,T54,T54,Bob Burns,88,"35' 1""",48357.417,1378,167
55,T54,T54,Zach Johnson,109,"35' 1""",55540.583,1583,29
56,T54,T54,Shigeki Maruyama,93,"35' 1""",47919.25,1365,108
57,T54,T54,Arron Oberholser,77,"35' 1""",38337.0,1092,44
58,59,59,Tiger Woods,78,"35' 2""",33279.833,946,48
59,T60,T60,Billy Andrade,104,"35' 3""",57309.417,1624,114
60,T60,T60,Tommy Armour III,87,"35' 3""",47276.5,1342,98
61,T60,T60,Craig Barlow,80,"35' 3""",43329.083,1230,34
62,T60,T60,Stewart Cink,103,"35' 3""",49974.25,1418,61
63,T60,T60,Steve Elkington,64,"35' 3""",35034.333,993,70
64,T65,T65,Woody Austin,94,"35' 4""",52361.667,1482,25
65,T65,T65,Adam Scott,55,"35' 4""",24761.75,701,84
66,T67,T67,Ernie Els,62,"35' 5""",25305.833,715,83
67,T67,T67,Kevin Na,100,"35' 5""",54318.833,1532,107
68,T67,T67,John Rollins,90,"35' 5""",45114.083,1273,162
69,T67,T67,Mike Weir,75,"35' 5""",34393.583,971,95
70,T71,T71,Robert Damron,92,"35' 6""",52716.417,1486,126
71,T71,T71,Chris DiMarco,105,"35' 6""",48743.917,1372,43
72,T71,T71,Phil Mickelson,83,"35' 6""",34025.417,958,10
73,T74,T74,Todd Fischer,104,"35' 7""",57944.25,1630,124
74,T74,T74,Neal Lancaster,106,"35' 7""",58880.333,1654,76
75,T74,T74,Rod Pampling,98,"35' 7""",48985.583,1378,69
76,T74,T74,Corey Pavin,83,"35' 7""",42272.083,1188,168
77,T74,T74,Dean Wilson,99,"35' 7""",57322.917,1611,173
78,T79,T79,Matt Gogel,86,"35' 8""",44228.5,1239,142
79,T79,T79,Mark Hensby,97,"35' 8""",52326.75,1468,141
80,T79,T79,Kent Jones,99,"35' 8""",55065.083,1545,39
81,T79,T79,Mark O'Meara,58,"35' 8""",26186.0,734,166
82,T79,T79,José María Olazábal,56,"35' 8""",26796.583,752,164
83,T79,T79,David Peoples,82,"35' 8""",47885.917,1344,121
84,T79,T79,John Riegger,53,"35' 8""",31000.583,869,42
85,T86,T86,Michael Allen,87,"35' 9""",48649.667,1362,115
86,T86,T86,Stuart Appleby,84,"35' 9""",37205.417,1041,97
87,T86,T86,J.P. Hayes,79,"35' 9""",40644.167,1137,133
88,T86,T86,Carl Pettersson,100,"35' 9""",49588.333,1387,108
89,T86,T86,Roland Thatcher,66,"35' 9""",38316.583,1071,27
90,91,91,Luke Donald,72,"35' 10""",39385.833,1100,11
91,T92,T92,Arjun Atwal,85,"35' 11""",47403.667,1320,163
92,T92,T92,Tim Herron,84,"35' 11""",42389.75,1179,96
93,T92,T92,Joe Ogilvie,104,"35' 11""",53673.333,1495,145
94,T92,T92,Craig Perks,75,"35' 11""",40485.583,1128,147
95,T96,T96,Jason Bohn,98,"36' 0""",56070.25,1557,50
96,T96,T96,Stephen Leaney,84,"36' 0""",36832.083,1024,104
97,T96,T96,Billy Mayfair,109,"36' 0""",59466.583,1652,75
98,T96,T96,Blaine McCallister,68,"36' 0""",38790.25,1078,134
99,T96,T96,Bob Tway,90,"36' 0""",41858.333,1162,106
100,T101,T101,Brian Bateman,84,"36' 1""",46823.917,1298,54
101,T101,T101,Pat Bates,99,"36' 1""",57393.833,1592,63
102,T101,T101,Alex Cejka,76,"36' 1""",36937.417,1024,127
103,T101,T101,Carlos Franco,99,"36' 1""",57731.0,1600,22
104,T101,T101,David Frost,78,"36' 1""",47532.417,1316,128
105,T101,T101,Lucas Glover,95,"36' 1""",53539.583,1484,38
106,T101,T101,Pat Perez,102,"36' 1""",54924.75,1522,66
107,T108,T108,José Coceres,68,"36' 2""",38842.333,1074,140
108,T108,T108,Harrison Frazar,86,"36' 2""",45677.167,1264,94
109,T108,T108,Steve Stricker,81,"36' 2""",43721.5,1209,191
110,T111,T111,Fred Couples,54,"36' 3""",27892.417,769,62
111,T111,T111,Glen Day,101,"36' 3""",56708.333,1563,176
112,T111,T111,Brent Geiberger,94,"36' 3""",53898.917,1487,85
113,T111,T111,Skip Kendall,99,"36' 3""",51127.667,1409,158
114,T111,T111,Shaun Micheel,93,"36' 3""",44816.667,1237,46
115,T116,T116,Ryan Palmer,103,"36' 4""",57819.333,1591,88
116,T116,T116,Deane Pappas,72,"36' 4""",40565.583,1116,137
117,T116,T116,Chris Riley,78,"36' 4""",34178.25,940,165
118,T116,T116,Patrick Sheehan,113,"36' 4""",64766.25,1783,101
119,T116,T116,Scott Simpson,55,"36' 4""",33079.583,911,169
120,T116,T116,Bo Van Pelt,107,"36' 4""",52811.667,1454,32
121,T122,T122,Rich Barcelo,67,"36' 5""",37943.833,1042,112
122,T122,T122,Peter Lonard,68,"36' 5""",35254.5,968,153
123,T122,T122,Andre Stolz,53,"36' 5""",30779.667,846,149
124,T125,T125,Brad Faxon,94,"36' 6""",45412.167,1243,181
125,T125,T125,Steve Flesch,109,"36' 6""",52786.583,1447,81
126,T125,T125,Tripp Isenhour,55,"36' 6""",30799.833,843,139
127,T128,T128,Steve Lowery,91,"36' 7""",48114.0,1316,123
128,T128,T128,Tom Pernice Jr.,103,"36' 7""",55845.417,1527,50
129,T128,T128,Rory Sabbatini,89,"36' 7""",47936.0,1310,100
130,T131,T131,Steve Allan,102,"36' 8""",57264.167,1562,52
131,T131,T131,Daniel Chopra,108,"36' 8""",60021.5,1637,122
132,T131,T131,John Daly,79,"36' 8""",43608.833,1190,60
133,T131,T131,Danny Ellis,81,"36' 8""",44280.0,1208,125
134,T131,T131,Kevin Muncrief,50,"36' 8""",29357.75,801,192
135,136,136,Jason Dufner,79,"36' 9""",46774.417,1272,66
136,T137,T137,Jonathan Byrd,85,"36' 10""",47434.167,1289,180
137,T137,T137,Todd Hamilton,92,"36' 10""",46306.25,1258,157
138,T137,T137,Freddie Jacobson,83,"36' 10""",40879.333,1111,113
139,T137,T137,Cliff Kresge,89,"36' 10""",48724.5,1323,186
140,T137,T137,Spike McRoy,93,"36' 10""",50305.083,1366,102
141,T137,T137,Kevin Sutherland,86,"36' 10""",43627.75,1184,135
142,T143,T143,Rich Beem,81,"36' 11""",40399.667,1095,129
143,T143,T143,Guy Boros,64,"36' 11""",37908.833,1026,182
144,T143,T143,Ken Duke,89,"36' 11""",51856.917,1404,174
145,T143,T143,Gene Sauers,83,"36' 11""",47924.417,1299,171
146,T147,T147,J.J. Henry,103,"37' 0""",59806.5,1618,56
147,T147,T147,Jonathan Kaye,79,"37' 0""",40545.25,1096,57
148,T147,T147,Dicky Pride,66,"37' 0""",38603.25,1043,160
149,T147,T147,John Senden,99,"37' 0""",56579.0,1528,6
150,T151,T151,Mark Brooks,72,"37' 1""",37448.667,1010,190
151,T151,T151,Mike Heinen,53,"37' 1""",33358.833,899,156
152,T151,T151,Rocco Mediate,53,"37' 1""",23370.75,630,86
153,T151,T151,Brenden Pappas,111,"37' 1""",65009.917,1755,151
154,155,155,Hunter Mahan,94,"37' 2""",54535.5,1467,130
155,T156,T156,Hirofumi Miyase,65,"37' 3""",37325.167,1001,187
156,T156,T156,Tim Petrovic,111,"37' 3""",57267.417,1539,136
157,T158,T158,Paul Azinger,75,"37' 4""",43163.5,1157,147
158,T158,T158,Jeff Brehaut,106,"37' 4""",61604.75,1650,64
159,T158,T158,Ben Curtis,56,"37' 4""",26505.5,710,138
160,T158,T158,Davis Love III,85,"37' 4""",39729.917,1065,116
161,T158,T158,Craig Parry,52,"37' 4""",24201.583,648,184
162,T158,T158,Dennis Paulson,71,"37' 4""",43663.167,1170,150
163,T158,T158,Tommy Tolles,67,"37' 4""",40085.5,1073,175
164,165,165,Charles Howell III,104,"37' 5""",50462.083,1350,74
165,T166,T166,Niclas Fasth,61,"37' 6""",34063.667,909,179
166,T166,T166,Scott McCarron,88,"37' 6""",50188.25,1338,90
167,T166,T166,David Morland IV,73,"37' 6""",41279.917,1100,188
168,T169,T169,D.J. Brigman,79,"37' 7""",45295.167,1206,80
169,T169,T169,Kris Cox,73,"37' 7""",40652.5,1082,172
170,T169,T169,Tag Ridings,53,"37' 7""",29703.167,790,116
171,T169,T169,Chris Smith,105,"37' 7""",61580.833,1637,7
172,173,173,Richard Johnson,102,"37' 8""",61876.917,1642,111
173,T174,T174,Greg Chalmers,70,"37' 9""",43641.25,1155,185
174,T174,T174,Brian Kortan,65,"37' 9""",38099.417,1010,170
175,T176,T176,Matt Kuchar,83,"37' 10""",51057.25,1351,91
176,T176,T176,Hank Kuehne,91,"37' 10""",56043.833,1481,155
177,T178,T178,Jay Delsing,76,"37' 11""",42752.333,1127,110
178,T178,T178,Brett Quigley,102,"37' 11""",59162.583,1559,78
179,T180,T180,Dan Forsman,79,"38' 1""",44385.083,1165,146
180,T180,T180,Jesper Parnevik,86,"38' 1""",50010.667,1313,72
181,182,182,Grant Waite,79,"38' 2""",45976.0,1205,132
182,183,183,Ben Crane,92,"38' 3""",54251.75,1418,118
183,184,184,Tom Carter,113,"38' 4""",65270.0,1702,153
184,T185,T185,Darren Clarke,54,"38' 5""",23475.75,611,120
185,T185,T185,Scott Hend,81,"38' 5""",47289.25,1232,159
186,187,187,Mathias Grönberg,91,"38' 6""",50236.583,1304,144
187,188,188,Esteban Toledo,92,"38' 8""",54503.917,1411,188
188,189,189,Notah Begay III,71,"38' 10""",43820.25,1129,66
189,190,190,Dan Olsen,75,"39' 0""",44295.167,1136,178
190,191,191,Aaron Baddeley,87,"39' 4""",53491.417,1359,195
191,192,192,Len Mattiace,75,"39' 6""",48930.25,1240,192
192,193,193,Roger Tambellini,81,"39' 7""",49162.417,1241,143
193,194,194,Steve Pate,71,"39' 8""",42392.083,1068,99
194,195,195,Chris Couch,55,"39' 10""",32263.75,810,183
195,196,196,David Gossett,57,"41' 8""",37279.167,895,196
