,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
33,34,34,Fred Funk,97,0.456,37.817,83
34,35,35,Joe Durant,85,0.45299999999999996,34.457,76
35,36,36,Vaughn Taylor,84,0.426,32.836,77
36,37,37,Carlos Franco,99,0.413,37.196,90
37,38,38,Justin Leonard,90,0.379,24.616,65
38,39,39,Robert Gamez,103,0.37799999999999995,34.022,90
39,40,40,Briny Baird,100,0.374,30.261999999999997,81
40,41,41,Fred Couples,54,0.37,16.282,44
41,42,42,Cameron Beckman,99,0.364,31.634,87
42,43,43,Robert Damron,92,0.35600000000000004,29.906,84
43,44,44,Mike Weir,75,0.35100000000000003,19.309,55
44,45,45,Woody Austin,94,0.35,29.066,83
45,46,46,Steve Lowery,91,0.33899999999999997,25.072,74
46,47,47,K.J. Choi,83,0.33799999999999997,21.308000000000003,63
47,T48,T48,Ted Purdy,114,0.322,33.129,103
48,T48,T48,Rory Sabbatini,89,0.322,23.838,74
49,50,50,Jeff Maggert,60,0.303,15.16,50
50,51,51,Danny Briggs,85,0.298,22.36,75
51,52,52,Peter Lonard,68,0.294,15.899000000000001,54
52,53,53,Kirk Triplett,88,0.292,19.267,66
53,54,54,Billy Andrade,104,0.29100000000000004,26.808000000000003,92
54,55,55,J.L. Lewis,106,0.285,25.355999999999998,89
55,56,56,Loren Roberts,81,0.27699999999999997,18.819000000000003,68
56,57,57,Ben Curtis,56,0.27399999999999997,11.251,41
57,58,58,Bob Tway,90,0.26899999999999996,17.732,66
58,59,59,Heath Slocum,92,0.257,21.33,83
59,60,60,Alex Cejka,76,0.255,14.552999999999999,57
60,61,61,Brad Faxon,94,0.251,17.575,70
61,62,62,Kent Jones,99,0.247,21.524,87
62,63,63,Rocco Mediate,53,0.242,8.721,36
63,64,64,Steve Flesch,109,0.24,19.705,82
64,T65,T65,Davis Love III,85,0.23199999999999998,14.169,61
65,T65,T65,Arron Oberholser,77,0.23199999999999998,14.392999999999999,62
66,67,67,John Riegger,53,0.231,11.32,49
67,68,68,Brian Gay,96,0.23,20.217,88
68,69,69,David Peoples,82,0.225,16.89,75
69,70,70,Tom Pernice Jr.,103,0.222,19.117,86
70,71,71,Tim Herron,84,0.212,13.963,66
71,72,72,Freddie Jacobson,83,0.209,13.187000000000001,63
72,73,73,Bo Van Pelt,107,0.19399999999999998,15.927,82
73,74,74,Chris Riley,78,0.192,10.174,53
74,75,75,Frank Lickliter II,89,0.191,14.91,78
75,76,76,Nick Price,51,0.182,6.569,36
76,77,77,John Senden,99,0.177,15.225,86
77,78,78,John Cook,57,0.175,8.377,48
78,79,79,Tom Byrum,83,0.174,12.495999999999999,72
79,80,80,Michael Allen,87,0.16,12.312000000000001,77
80,81,81,Omar Uresti,85,0.147,11.207,76
81,82,82,David Branshaw,84,0.14,10.061,72
82,83,83,Neal Lancaster,106,0.133,12.36,93
83,84,84,Zach Johnson,109,0.128,11.41,89
84,85,85,Ryan Palmer,103,0.12,10.817,90
85,86,86,Jason Bohn,98,0.11900000000000001,10.434000000000001,88
86,T87,T87,Todd Fischer,104,0.115,10.615,92
87,T87,T87,Kevin Na,100,0.115,9.902999999999999,86
88,89,89,Olin Browne,92,0.11199999999999999,8.88,79
89,90,90,Russ Cochran,61,0.10400000000000001,5.7379999999999995,55
90,91,91,Patrick Sheehan,113,0.096,9.558,100
91,92,92,Todd Hamilton,92,0.09300000000000001,6.53,70
92,93,93,Chris Smith,105,0.08199999999999999,7.629,93
93,94,94,Scott McCarron,88,0.081,6.051,75
94,95,95,Jonathan Kaye,79,0.08,4.986000000000001,62
95,96,96,Mark Calcavecchia,79,0.069,4.149,60
96,97,97,Stuart Appleby,84,0.066,3.8789999999999996,59
97,98,98,Corey Pavin,83,0.063,4.189,67
98,T99,T99,Notah Begay III,71,0.06,3.7880000000000003,63
99,T99,T99,Pat Perez,102,0.06,5.118,86
100,101,101,Brett Quigley,102,0.057999999999999996,5.065,88
101,102,102,John Daly,79,0.042,2.7939999999999996,67
102,103,103,D.J. Brigman,79,0.040999999999999995,2.8560000000000003,69
103,104,104,Lucas Glover,95,0.036000000000000004,3.0610000000000004,84
104,105,105,Stephen Leaney,84,0.032,1.818,57
105,106,106,Craig Barlow,80,0.027999999999999997,1.916,69
106,107,107,José Coceres,68,0.022000000000000002,1.367,61
107,108,108,Charles Howell III,104,0.018000000000000002,1.379,76
108,109,109,Rod Pampling,98,0.013999999999999999,1.062,78
109,110,110,Geoff Ogilvy,91,0.008,0.63,76
110,111,111,Hidemichi Tanaka,89,0.003,0.212,78
111,112,112,Steve Stricker,81,0.002,0.16,69
112,113,113,Shaun Micheel,93,-0.008,-0.589,70
113,114,114,Richard Johnson,102,-0.027999999999999997,-2.5810000000000004,93
114,115,115,Steve Elkington,64,-0.031,-1.749,56
115,116,116,Darren Clarke,54,-0.033,-1.1640000000000001,35
116,117,117,Craig Parry,52,-0.037000000000000005,-1.3519999999999999,37
117,118,118,Carl Pettersson,100,-0.04,-3.1910000000000003,79
118,119,119,J.J. Henry,103,-0.045,-4.11,91
119,120,120,Daniel Chopra,108,-0.046,-4.215,92
120,121,121,Matt Gogel,86,-0.05,-3.486,70
121,T122,T122,Dennis Paulson,71,-0.053,-3.49,66
122,T122,T122,John Rollins,90,-0.053,-3.803,72
123,T122,T122,Jay Williamson,100,-0.053,-4.746,90
124,125,125,Roland Thatcher,66,-0.057,-3.449,61
125,126,126,Steve Allan,102,-0.057999999999999996,-5.077,88
126,127,127,Billy Mayfair,109,-0.06,-5.601,93
127,128,128,Harrison Frazar,86,-0.064,-4.539,71
128,129,129,Joe Ogilvie,104,-0.068,-5.742999999999999,85
129,T130,T130,Glen Day,101,-0.07200000000000001,-6.3020000000000005,88
130,T130,T130,Mark Hensby,97,-0.07200000000000001,-5.9110000000000005,82
131,132,132,Mark Wilson,62,-0.078,-4.537,58
132,133,133,Steve Pate,71,-0.081,-4.928999999999999,61
133,134,134,Jason Dufner,79,-0.087,-6.285,72
134,135,135,Craig Perks,75,-0.091,-5.7620000000000005,63
135,T136,T136,Arjun Atwal,85,-0.09699999999999999,-7.282,75
136,T136,T136,Gene Sauers,83,-0.09699999999999999,-7.099,73
137,138,138,Mathias Grönberg,91,-0.102,-7.539,74
138,139,139,Rich Beem,81,-0.11,-6.707999999999999,61
139,T140,T140,Rich Barcelo,67,-0.111,-6.537999999999999,59
140,T140,T140,Skip Kendall,99,-0.111,-8.851,80
141,142,142,Tommy Tolles,67,-0.12,-7.346,61
142,143,143,Kevin Sutherland,86,-0.13699999999999998,-9.191,67
143,144,144,J.P. Hayes,79,-0.14,-8.95,64
144,145,145,Tim Petrovic,111,-0.146,-12.710999999999999,87
145,146,146,Craig Bowden,83,-0.149,-11.155,75
146,147,147,Brenden Pappas,111,-0.154,-15.229000000000001,99
147,148,148,Tripp Isenhour,55,-0.158,-7.417999999999999,47
148,149,149,Jeff Brehaut,106,-0.161,-15.167,94
149,T150,T150,Jay Delsing,76,-0.16899999999999998,-10.825999999999999,64
150,T150,T150,Niclas Fasth,61,-0.16899999999999998,-8.77,52
151,T150,T150,Cliff Kresge,89,-0.16899999999999998,-12.642999999999999,75
152,153,153,Pat Bates,99,-0.192,-17.242,90
153,154,154,Hunter Mahan,94,-0.198,-16.444000000000003,83
154,T155,T155,Jesper Parnevik,86,-0.209,-15.477,74
155,T155,T155,Tag Ridings,53,-0.209,-9.391,45
156,157,157,Brent Geiberger,94,-0.214,-17.974,84
157,158,158,Roger Tambellini,81,-0.21899999999999997,-15.347999999999999,70
158,159,159,Bob Burns,88,-0.244,-18.998,78
159,160,160,Ben Crane,92,-0.256,-20.724,81
160,161,161,Spike McRoy,93,-0.264,-20.312,77
161,162,162,Dicky Pride,66,-0.265,-15.644,59
162,163,163,Matt Kuchar,83,-0.282,-21.701,77
163,164,164,Mike Heinen,53,-0.284,-14.468,51
164,165,165,Danny Ellis,81,-0.299,-20.607,69
165,T166,T166,Tommy Armour III,87,-0.302,-22.947,76
166,T166,T166,Brian Bateman,84,-0.302,-22.038,73
167,168,168,Hank Kuehne,91,-0.304,-25.545,84
168,169,169,Grant Waite,79,-0.314,-21.331,68
169,170,170,Kris Cox,73,-0.319,-19.432000000000002,61
170,171,171,Deane Pappas,72,-0.32,-20.474,64
171,172,172,Dean Wilson,99,-0.341,-30.996,91
172,173,173,Jonathan Byrd,85,-0.34700000000000003,-25.349,73
173,T174,T174,Greg Chalmers,70,-0.35,-22.738000000000003,65
174,T174,T174,Scott Hend,81,-0.35,-24.504,70
175,176,176,Blaine McCallister,68,-0.35200000000000004,-21.811,62
176,177,177,Paul Azinger,75,-0.353,-22.92,65
177,178,178,Mark O'Meara,58,-0.369,-15.142999999999999,41
178,179,179,David Frost,78,-0.39,-29.247,75
179,180,180,Guy Boros,64,-0.40299999999999997,-23.748,59
180,181,181,Scott Simpson,55,-0.423,-21.576999999999998,51
181,182,182,Dan Olsen,75,-0.424,-27.541999999999998,65
182,183,183,Kevin Muncrief,50,-0.44799999999999995,-20.143,45
183,184,184,Mark Brooks,72,-0.47100000000000003,-26.831,57
184,185,185,Ken Duke,89,-0.488,-39.073,80
185,186,186,David Morland IV,73,-0.512,-31.749000000000002,62
186,187,187,Andre Stolz,53,-0.532,-25.531999999999996,48
187,188,188,Len Mattiace,75,-0.611,-42.736000000000004,70
188,189,189,Esteban Toledo,92,-0.639,-51.098,80
189,190,190,Dan Forsman,79,-0.653,-43.078,66
190,191,191,Aaron Baddeley,87,-0.679,-51.603,76
191,192,192,Hirofumi Miyase,65,-0.716,-40.813,57
192,193,193,Tom Carter,113,-0.76,-72.984,96
193,194,194,Brian Kortan,65,-0.815,-46.433,57
194,195,195,Chris Couch,55,-1.088,-50.037,46
195,196,196,David Gossett,57,-1.484,-75.66199999999999,51
