,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
90,91,91,Harrison Frazar,32,"$93,720"
91,92,92,Stewart Cink,25,"$92,000"
92,93,93,Kevin Stadler,31,"$88,350"
93,94,94,Ben Crane,9,"$88,329"
94,95,95,Richard Johnson,32,"$86,350"
95,96,96,Jason Dufner,32,"$86,020"
96,97,97,John Rollins,29,"$82,828"
97,98,98,Jay Delsing,12,"$76,308"
98,99,99,Bubba Watson,26,"$75,912"
99,100,100,Brett Wetterich,28,"$73,600"
100,101,101,Kyle Reifers,27,"$73,391"
101,102,102,Ryan Palmer,30,"$73,304"
102,103,103,Stuart Appleby,24,"$73,028"
103,104,104,Jay Williamson,14,"$71,460"
104,105,105,Frank Lickliter II,30,"$68,040"
105,T106,T106,Mark Calcavecchia,28,"$68,000"
106,T106,T106,Phil Tataurangi,8,"$68,000"
107,108,108,Michael Boyd,21,"$63,689"
108,109,109,Jeff Maggert,26,"$61,560"
109,110,110,Kirk Triplett,25,"$61,222"
110,111,111,Duffy Waldorf,23,"$61,093"
111,112,112,Arron Oberholser,21,"$60,857"
112,113,113,Arjun Atwal,12,"$60,018"
113,114,114,John Huston,16,"$59,753"
114,115,115,Steve Marino,31,"$59,553"
115,116,116,Scott Gutschewski,22,"$57,555"
116,117,117,Craig Barlow,16,"$55,204"
117,118,118,Matt Hendrix,24,"$53,521"
118,119,119,Lucas Glover,29,"$52,768"
119,120,120,Paul Gow,26,"$52,335"
120,121,121,Billy Andrade,27,"$52,150"
121,122,122,Rich Barcelo,26,"$49,803"
122,123,123,Bob Heintz,27,"$49,375"
123,124,124,Ted Purdy,33,"$49,292"
124,125,125,Craig Kanada,34,"$48,025"
125,126,126,Joey Sindelar,25,"$47,185"
126,127,127,Fred Funk,22,"$43,730"
127,128,128,Jason Schultz,22,"$43,572"
128,129,129,Carlos Franco,12,"$42,600"
129,130,130,Robert Allenby,28,"$42,030"
130,131,131,Matt Kuchar,26,"$41,395"
131,132,132,Mark Brooks,18,"$40,395"
132,133,133,Steve Wheatcroft,25,"$37,954"
133,134,134,Bob Tway,32,"$37,201"
134,135,135,Glen Day,27,"$37,067"
135,136,136,Stephen Leaney,26,"$36,533"
136,137,137,Neal Lancaster,13,"$34,982"
137,138,138,Eric Axley,36,"$34,276"
138,139,139,Craig Bowden,25,"$32,580"
139,140,140,Russ Cochran,1,"$31,275"
140,141,141,Nick O'Hern,22,"$30,225"
141,142,142,Bubba Dickerson,19,"$29,010"
142,143,143,Doug LaBelle II,33,"$28,570"
143,144,144,Gavin Coles,28,"$28,053"
144,145,145,Colt Knost,4,"$27,483"
145,146,146,Lee Janzen,24,"$26,280"
146,147,147,Grant Waite,12,"$25,935"
147,148,148,Jeff Brehaut,21,"$25,282"
148,149,149,Michael Putnam,29,"$24,570"
149,150,150,Corey Pavin,25,"$24,003"
150,151,151,Rocco Mediate,22,"$23,642"
151,152,152,Tripp Isenhour,32,"$23,156"
152,153,153,Todd Hamilton,28,"$23,010"
153,154,154,Kevin Sutherland,25,"$22,220"
154,155,155,Will MacKenzie,30,"$21,620"
155,156,156,Jim Rutledge,23,"$21,231"
156,157,157,John Daly,24,"$20,073"
157,158,158,Greg Kraft,10,"$19,840"
158,159,159,Robert Damron,10,"$18,060"
159,160,160,"Jim Gallagher, Jr.",9,"$16,755"
160,161,161,Steve Elkington,25,"$14,350"
161,162,162,Anthony Kim,26,"$13,986"
162,163,163,Ben Curtis,25,"$12,870"
163,164,164,Nathan Green,29,"$12,360"
164,T165,T165,Bill Lunde,1,"$12,093"
165,T165,T165,Darron Stiles,24,"$12,093"
166,167,167,David Duval,7,"$10,878"
167,T168,T168,Tom Byrum,20,"$9,810"
168,T168,T168,Tom Johnson,27,"$9,810"
169,170,170,Woody Austin,27,"$8,694"
170,171,171,Jim McGovern,5,"$8,638"
171,172,172,Spike McRoy,6,"$8,280"
172,173,173,Paul Trittler,1,"$7,640"
173,174,174,Oliver Thomson,2,"$7,630"
174,175,175,Richard Green,5,"$7,400"
175,176,176,Bob Burns,5,"$7,245"
176,T177,T177,Brent Geiberger,17,"$7,120"
177,T177,T177,Andres Gonzales,1,"$7,120"
178,179,179,Jaco Van Zyl,21,"$6,960"
