,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
77,78,,Kevin Tway,96,57.87,103,178,-110,-7.00
78,79,,Brian Harman,104,57.82,85,147,-93,-21.00
79,80,,Jonathan Randolph,68,57.78,52,90,-55,+1.00
80,81,,Patrick Cantlay,52,57.39,66,115,-71,-10.00
81,82,,Martin Flores,88,57.38,70,122,-78,+2.00
82,83,,Russell Henley,99,56.96,90,158,-95,-13.00
83,84,,Grayson Murray,94,56.81,121,213,-127,+11.00
84,85,,Whee Kim,74,56.79,46,81,-51,-16.00
85,86,,Matt Kuchar,95,56.56,69,122,-74,-33.00
86,87,,Ben Martin,86,56.49,74,131,-74,-6.00
87,88,,Mark Anderson,54,56.45,35,62,-39,-6.00
88,89,,Zac Blair,105,56.44,57,101,-60,-16.00
89,90,,Kevin Chappell,95,56.21,95,169,-103,-4.00
90,T91,,J.T. Poston,95,56.16,82,146,-85,-10.00
91,T91,,Cameron Smith,86,56.16,82,146,-92,-18.00
92,93,,Kelly Kraft,75,56.03,65,116,-68,+14.00
93,94,,Richy Werenski,81,55.88,57,102,-61,-5.00
94,95,,Chris Kirk,89,55.86,62,111,-63,E
95,96,,Danny Lee,93,55.56,85,153,-88,+5.00
96,97,,Harold Varner III,101,55.49,96,173,-100,-5.00
97,T98,,Ryan Brehm,83,55.32,78,141,-84,+5.00
98,T98,,Jim Furyk,54,55.32,26,47,-29,-12.00
99,100,,Scott Brown,95,55.24,79,143,-83,+1.00
100,101,,Bud Cauley,92,55.23,95,172,-100,-6.00
101,102,,Retief Goosen,52,55.13,43,78,-45,+8.00
102,103,,Jason Dufner,89,55.12,70,127,-78,-18.00
103,T104,,Tom Hoge,54,55.07,38,69,-39,+2.00
104,T104,,Seamus Power,86,55.07,76,138,-83,-17.00
105,T106,,Blayne Barber,77,55.0,55,100,-59,-10.00
106,T106,,Fabián Gómez,61,55.0,55,100,-58,-9.00
107,108,,Tag Ridings,67,54.84,51,93,-55,+10.00
108,109,,Bill Haas,92,54.7,64,117,-66,-21.00
109,110,,Francesco Molinari,75,54.4,68,125,-72,-8.00
110,111,,Peter Malnati,91,54.17,52,96,-56,-19.00
111,112,,Jason Kokrak,95,54.08,106,196,-110,+15.00
112,113,,Graham DeLaet,82,54.05,80,148,-89,-2.00
113,114,,Rafa Cabrera Bello,63,53.95,41,76,-41,+3.00
114,T115,,Wesley Bryan,95,53.85,56,104,-65,-21.00
115,T115,,David Lingmerth,79,53.85,63,117,-69,-20.00
116,T115,,Michael Thompson,60,53.85,28,52,-32,-2.00
117,T118,,Jonas Blixt,74,53.77,57,106,-64,-10.00
118,T118,,Sam Saunders,76,53.77,57,106,-59,-19.00
119,120,,Martin Laird,83,53.68,73,136,-83,-10.00
120,121,,Robert Streb,98,53.55,83,155,-86,+1.00
121,122,,Troy Merritt,82,53.54,68,127,-71,-15.00
122,T123,,Stewart Cink,93,53.52,76,142,-84,-18.00
123,T123,,Carl Pettersson,63,53.52,38,71,-43,-9.00
124,125,,Jhonattan Vegas,95,53.44,101,189,-105,+3.00
125,T126,,Daniel Berger,91,53.33,80,150,-87,-13.00
126,T126,,Xander Schauffele,96,53.33,80,150,-86,-10.00
127,128,,Gonzalo Fernandez-Castaño,63,53.16,42,79,-46,-10.00
128,T129,,Keegan Bradley,104,53.06,104,196,-110,+5.00
129,T129,,Smylie Kaufman,76,53.06,78,147,-83,-10.00
130,131,,Nick Taylor,97,53.05,87,164,-93,-30.00
131,132,,J.B. Holmes,83,53.03,70,132,-76,-7.00
132,133,,Brett Stegmaier,78,53.0,53,100,-61,-2.00
133,T134,,Brian Campbell,55,52.94,36,68,-39,+2.00
134,T134,,Camilo Villegas,76,52.94,45,85,-48,-11.00
135,136,,Ryan Blaum,100,52.85,65,123,-66,-13.00
136,137,,D.A. Points,68,52.69,49,93,-53,-15.00
137,138,,Bubba Watson,71,52.67,69,131,-76,E
138,139,,John Huh,92,52.59,71,135,-76,+1.00
139,140,,Russell Knox,75,52.53,52,99,-53,-10.00
140,141,,Sergio Garcia,65,52.43,54,103,-56,-3.00
141,142,,Paul Casey,94,52.41,76,145,-83,-11.00
142,143,,Patrick Reed,107,52.38,99,189,-100,-17.00
143,144,,Graeme McDowell,56,52.31,34,65,-37,-13.00
144,145,,Si Woo Kim,80,52.21,59,113,-62,-2.00
145,146,,William McGirt,89,52.17,72,138,-79,+1.00
146,147,,Spencer Levin,89,52.13,49,94,-53,-21.00
147,148,,Boo Weekley,75,52.1,62,119,-64,-7.00
148,149,,Zach Johnson,81,52.08,50,96,-53,-13.00
149,150,,Patrick Rodgers,76,52.03,64,123,-65,+4.00
150,151,,Brandt Snedeker,53,51.9,41,79,-43,-4.00
151,T152,,Dominic Bozzelli,69,51.75,59,114,-60,-13.00
152,T152,,Bryson DeChambeau,91,51.75,74,143,-78,-4.00
153,T152,,Scott Stallings,81,51.75,59,114,-66,-6.00
154,155,,Kyle Reifers,96,51.67,62,120,-69,-4.00
155,156,,Cameron Percy,71,51.4,55,107,-59,+1.00
156,157,,Ryan Palmer,61,51.38,56,109,-57,+2.00
157,158,,Adam Hadwin,98,51.33,77,150,-83,-18.00
158,159,,Rick Lamb,54,51.32,39,76,-44,-7.00
159,160,,Ryo Ishikawa,56,51.16,44,86,-46,+12.00
160,161,,Emiliano Grillo,90,50.78,65,128,-69,-3.00
161,162,,Jason Bohn,75,50.67,38,75,-41,-1.00
162,T163,,Sebastián Muñoz,51,50.62,41,81,-43,+4.00
163,T163,,Brian Stuard,93,50.62,41,81,-42,-15.00
164,165,,Shawn Stefani,72,50.43,58,115,-65,-11.00
165,166,,Jim Herman,77,50.34,73,145,-78,-10.00
166,T167,,Kevin Streelman,90,50.0,77,154,-82,-5.00
167,T167,,Vaughn Taylor,90,50.0,63,126,-66,-29.00
168,169,,Branden Grace,70,49.43,43,87,-46,-12.00
169,170,,Steve Wheatcroft,51,49.3,35,71,-38,-4.00
170,171,,Chez Reavie,98,49.19,61,124,-67,-17.00
171,172,,Greg Chalmers,75,48.96,47,96,-48,-24.00
172,173,,Billy Horschel,88,48.94,69,141,-71,-9.00
173,T174,,Rod Pampling,71,48.57,68,140,-70,-10.00
174,T174,,C.T. Pan,88,48.57,68,140,-72,-4.00
175,176,,Roberto Castro,70,48.48,32,66,-34,-18.00
176,177,,Byeong Hun An,77,48.03,61,127,-67,-2.00
177,178,,Bryce Molder,74,47.62,30,63,-31,-29.00
178,179,,Patton Kizzire,84,47.46,56,118,-59,-1.00
179,180,,Aaron Baddeley,61,47.37,45,95,-47,-4.00
180,181,,Julián Etulain,68,47.31,44,93,-46,E
181,182,,Scott Piercy,70,46.74,43,92,-47,-6.00
182,183,,Robert Garrigus,78,46.62,62,133,-68,-6.00
183,184,,Adam Scott,58,46.59,41,88,-43,-12.00
184,185,,Alex Cejka,85,46.53,47,101,-51,-6.00
185,186,,Johnson Wagner,71,46.32,44,95,-46,-13.00
186,187,,Steven Bowditch,59,46.03,29,63,-30,+12.00
187,188,,Ben Crane,86,45.28,48,106,-51,-8.00
188,189,,Ken Duke,77,44.58,37,83,-41,-29.00
189,190,,Brett Drewitt,57,42.19,27,64,-27,+2.00
