,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
110,T109,,Shawn Stefani,72,50.0,89,89
111,112,,Webb Simpson,102,49.57,114,116
112,113,,J.J. Spaun,92,49.54,107,109
113,114,,David Lingmerth,79,49.49,98,100
114,115,,Jonas Blixt,74,49.43,87,89
115,116,,Ryan Moore,82,49.25,98,101
116,117,,Chris Stroud,67,49.24,65,67
117,118,,Steve Wheatcroft,51,49.21,62,64
118,119,,Kevin Streelman,90,49.19,121,125
119,120,,Morgan Hoffmann,92,49.18,120,124
120,121,,Si Woo Kim,80,49.13,85,88
121,122,,Sam Saunders,76,48.92,91,95
122,123,,Brian Harman,104,48.77,119,125
123,124,,Stewart Cink,93,48.75,117,123
124,125,,Martin Laird,83,48.64,107,113
125,126,,Troy Merritt,82,48.62,106,112
126,127,,Gonzalo Fernandez-Castaño,63,48.51,65,69
127,128,,Branden Grace,70,48.48,64,68
128,129,,Richy Werenski,81,48.4,91,97
129,T130,,Harris English,84,47.94,93,101
130,T130,,Bill Haas,92,47.94,93,101
131,132,,Nick Watney,75,47.83,88,96
132,133,,Rafa Cabrera Bello,63,47.58,59,65
133,134,,Tom Hoge,54,47.5,57,63
134,135,,Johnson Wagner,71,47.09,81,91
135,136,,Brett Stegmaier,78,46.67,77,88
136,137,,Brian Campbell,55,46.4,58,67
137,138,,Alex Cejka,85,45.74,86,102
138,139,,Vaughn Taylor,90,44.59,103,128
139,T140,,Ben Crane,86,44.39,91,114
140,T140,,Patton Kizzire,84,44.39,95,119
141,142,,J.J. Henry,92,44.2,99,125
142,143,,Ricky Barnes,100,44.02,103,131
143,144,,Ernie Els,52,43.88,43,55
144,145,,D.A. Points,68,43.82,78,100
145,146,,Cameron Tringale,89,43.75,84,108
146,147,,Chad Campbell,97,43.55,108,140
147,148,,Brett Drewitt,57,43.18,57,75
148,149,,Kyle Reifers,96,42.79,98,131
149,150,,Kevin Na,86,42.7,76,102
150,151,,Miguel Angel Carballo,63,42.54,57,77
151,152,,Chez Reavie,98,42.44,101,137
152,153,,Brad Fritsch,56,42.42,56,76
153,154,,Matt Kuchar,95,42.34,94,128
154,155,,Derek Fathauer,81,42.19,81,111
155,156,,Ryan Blaum,100,42.04,103,142
156,157,,Blayne Barber,77,41.98,89,123
157,158,,Tyrone Van Aswegen,105,41.95,99,137
158,159,,Ken Duke,77,41.3,76,108
159,160,,Chris Kirk,89,41.07,92,132
160,T161,,Mark Anderson,54,40.91,54,78
161,T161,,Geoff Ogilvy,80,40.91,81,117
162,163,,K.J. Choi,72,40.74,66,96
163,164,,Steven Bowditch,59,40.58,56,82
164,165,,Whee Kim,74,40.36,67,99
165,166,,Camilo Villegas,76,40.32,75,111
166,167,,Carl Pettersson,63,39.13,63,98
167,168,,Zach Johnson,81,38.42,73,117
168,169,,Spencer Levin,89,38.27,75,121
169,T170,,Wesley Bryan,95,37.96,82,134
170,T170,,Greg Chalmers,75,37.96,82,134
171,T170,,Nicholas Lindheim,58,37.96,52,85
172,173,,Peter Malnati,91,37.5,81,135
173,174,,Tim Wilkinson,64,37.12,49,83
174,T175,,David Hearn,93,36.54,76,132
175,T175,,Billy Hurley III,80,36.54,76,132
176,177,,Zac Blair,105,35.95,87,155
177,178,,Chad Collins,66,35.71,60,108
178,179,,Graeme McDowell,56,35.53,54,98
179,180,,Brian Gay,82,35.11,66,122
180,181,,Jason Bohn,75,34.62,63,119
181,182,,Søren Kjeldsen,58,33.33,36,72
182,183,,Roberto Castro,70,33.13,55,111
183,184,,Michael Thompson,60,33.08,43,87
184,185,,Brian Stuard,93,32.04,66,140
185,186,,Luke Donald,50,31.75,40,86
186,187,,Jim Furyk,54,30.16,38,88
187,188,,Ryan Armour,63,29.73,44,104
188,189,,Steven Alker,69,28.85,45,111
189,190,,Bryce Molder,74,25.5,51,149
