,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
59,T60,T60,Robert Damron,28,52.5
60,T60,T60,Scott McCarron,30,52.5
61,62,62,Doug Barron,27,51.25
62,63,63,Shaun Micheel,31,50.5
63,T64,T64,Brad Elder,34,50.0
64,T64,T64,Brian Henninger,29,50.0
65,66,66,Bob Estes,21,49.375
66,67,67,John Cook,28,48.5
67,68,68,Steve Jones,21,47.5
68,69,69,Tim Herron,28,46.25
69,70,70,Craig Stadler,21,45.5
70,T71,T71,Neal Lancaster,31,45.0
71,T71,T71,Gary Nicklaus,30,45.0
72,T71,T71,Mark Wiebe,28,45.0
73,T74,T74,Sean Murphy,35,42.5
74,T74,T74,Kevin Wentworth,31,42.5
75,76,76,Brent Geiberger,24,41.25
76,T77,T77,Robin Freeman,32,40.0
77,T77,T77,Charles Howell III,13,40.0
78,T77,T77,Joey Sindelar,30,40.0
79,80,80,Bill Glasson,27,39.167
80,81,81,J.L. Lewis,30,38.0
81,T82,T82,Rick Fehr,24,37.5
82,T82,T82,"Jim Gallagher, Jr.",16,37.5
83,T84,T84,Brian Gay,33,32.5
84,T84,T84,Steve Pate,28,32.5
85,T84,T84,"Dave Stockton, Jr.",31,32.5
86,T84,T84,Steve Stricker,21,32.5
87,88,88,Kevin Sutherland,27,31.125
88,T89,T89,Dan Forsman,27,30.5
89,T89,T89,Brandt Jobe,32,30.5
90,T91,T91,Tom Byrum,27,30.0
91,T91,T91,Glen Day,28,30.0
92,T91,T91,Jimmy Green,27,30.0
93,T94,T94,Brad Fabel,30,27.5
94,T94,T94,Larry Mize,21,27.5
95,96,96,Jay Don Blake,29,26.25
96,T97,T97,Tom Pernice Jr.,32,25.0
97,T97,T97,David Sutherland,32,25.0
98,99,99,Lee Janzen,27,23.75
99,100,100,Bob Burns,29,23.0
100,T101,T101,Brett Quigley,21,22.5
101,T101,T101,Mike Reid,23,22.5
102,103,103,Tommy Armour III,30,21.666999999999998
103,104,104,Brandel Chamblee,21,21.25
104,105,105,Jeff Sluman,32,20.0
105,106,106,Jay Williamson,32,17.5
106,107,107,David Peoples,28,15.0
107,T108,T108,Stephen Sear,2,12.5
108,T108,T108,Mike Sposa,26,12.5
109,110,110,Jerry Smith,32,10.0
110,111,111,Tom Watson,4,7.5
111,112,112,Omar Uresti,34,6.0
112,T113,T113,Michael Bradley,26,5.0
113,T113,T113,Bruce Lietzke,9,5.0
114,115,115,Mark O'Meara,19,3.75
115,116,116,Paul Goydos,30,3.5
116,T117,T117,Ben Bates,35,3.0
117,T117,T117,Olin Browne,31,3.0
118,T117,T117,Jim McGovern,18,3.0
119,T117,T117,Corey Pavin,25,3.0
120,T117,T117,John Rollins,27,3.0
121,T117,T117,Brian Watts,29,3.0
122,123,123,Paul Stankowski,22,2.7910000000000004
123,124,124,Billy Mayfair,29,1.875
124,125,125,Donnie Hammond,6,1.6669999999999998
125,T126,T126,Craig Barlow,31,1.25
126,T126,T126,Bob Tway,30,1.25
127,T128,T128,Andy Bean,16,1.0
128,T128,T128,Bob Heintz,34,1.0
129,T128,T128,Dicky Pride,35,1.0
