,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
70,72,72,Kenneth Ferrie,29.24
71,73,73,Jean Baptiste Gonnet,28.83
72,74,74,Andrea Pavan,28.7
73,75,75,Christian Nilsson,28.08
74,76,76,Grégory Bourdy,28.06
75,77,77,Scott Jamieson,27.22
76,78,78,Richard Finch,27.13
77,79,79,Pelle Edberg,26.72
78,80,80,Andreas Hartø,26.39
79,81,81,Jorge Campillo,26.35
80,82,82,Ricardo Santos,26.09
81,83,83,Rhys Davies,25.58
82,84,84,Thomas Levet,25.11
83,85,85,Gary Orr,24.97
84,86,86,Espen Kofstad,24.9
85,87,87,David Howell,24.66
86,88,88,Alessandro Tadini,24.52
87,89,89,Johan Edfors,24.41
88,91,91,Gary Lockerbie,24.15
89,92,92,Peter Whiteford,24.07
90,93,93,Phillip Price,23.98
91,95,95,Oliver Wilson,23.93
92,97,97,Sam Walker,23.81
93,98,98,Robert-Jan Derksen,23.66
94,99,99,Damian McGrane,23.62
95,101,101,Rikard Karlberg,23.07
96,102,102,Chris Doak,22.99
97,103,103,Ignacio Garrido,22.96
98,104,104,David Horsey,22.62
99,105,105,Craig Lee,21.73
100,106,106,Andrew Marshall,20.81
101,107,107,Graeme Storm,20.66
102,108,108,Philip Archer,19.65
103,109,109,Joel Sjöholm,19.4
104,110,110,Seve Benson,19.02
105,111,111,Simon Thornton,18.86
106,112,112,Richard McEvoy,18.71
107,114,114,Raymond Russell,18.48
108,115,115,Darren Clarke,18.38
109,116,116,Gareth Maybin,18.21
110,117,117,Mikael Lundberg,18.2
111,119,119,Alex Cejka,18.09
112,120,120,José María Olazábal,17.23
113,121,121,Mikko Ilonen,17.19
114,122,122,Robert Coles,17.02
115,124,124,Rich Bland,16.48
116,125,125,Niclas Fasth,16.44
117,126,126,Soren Hansen,16.25
118,128,128,Alexandre Kaleka,16.2
119,129,129,Andrew Johnston,15.93
120,130,130,Carlos Del Moral,15.71
121,132,132,Mikko Korhonen,15.48
122,133,133,Alastair Forsyth,15.21
123,135,135,Michael Lorenzo-Vera,15.1
124,136,136,Gary Boyd,15.01
125,137,137,Jamie Elson,14.4
126,138,138,Thomas Norret,14.31
127,139,139,Maarten Lafeber,14.07
128,140,140,Wil Besseling,13.16
129,141,141,Julien Guerrier,13.06
130,142,142,Simon Khan,12.94
131,143,143,Markus Brier,12.34
132,144,144,Alvaro Velasco,12.23
133,145,145,Maximilian Kieffer,12.0
134,147,147,Victor Riu,11.89
135,148,148,Nick Dougherty,11.86
136,149,149,Callum MaCaulay,11.8
137,150,150,Oscar Floren,11.63
138,151,151,Jose-Filipe Lima,11.43
139,152,152,Tim Sluiter,11.23
140,155,155,Pierre Relecom,10.96
141,156,156,Federico Colombo,10.53
142,158,158,Matt Haines,10.13
143,159,159,Steven O'Hara,9.93
144,160,160,Knut Borsheim,9.82
145,161,161,Bradley Dredge,9.29
146,162,162,Richard Johnson,8.52
147,164,164,Klas Eriksson,8.46
148,166,166,Jeppe Huldahl,8.42
149,167,167,Lasse Jensen,8.4
150,168,168,Stephen Dodd,8.33
151,169,169,Paul Waring,8.15
152,170,170,Martin Wiegele,8.06
153,172,172,David Higgins,7.68
154,173,173,Matthew Southgate,7.47
155,174,174,Oliver Fisher,7.39
156,176,176,Lloyd Saltman,7.17
157,178,178,Martin Rominger,6.95
158,180,180,John Parry,6.85
159,182,182,Roope Kakko,6.76
160,184,184,Steven Tiley,6.66
161,186,186,Chris Gane,6.31
162,187,187,Robert Dinwiddie,6.26
163,188,188,Michael Jonzon,6.26
164,190,190,Pedro Oriol,6.25
165,193,193,Peter Baker,6.03
166,194,194,Reinier Saxton,6.02
167,195,195,Alan McLean,6.0
168,196,196,Florian Pragant,5.78
169,198,198,Mathias Grönberg,5.74
170,199,199,Floris De Vries,5.71
171,200,200,David Dixon,5.67
