,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
43,T42,T42,Ian Poulter,16,6.5,488,7500,,1.0
44,45,45,Bryce Molder,24,6.33,475,7500,,
45,46,46,Nicholas Thompson,29,6.1,458,7500,,
46,47,47,Chris Stroud,26,5.93,445,7500,,
47,48,48,Lee Westwood,19,5.8,435,7500,,
48,T49,T49,Marc Leishman,23,5.63,422,7500,,
49,T49,T49,John Merrick,23,5.63,423,7500,,
50,51,51,Scott Piercy,24,5.61,421,7500,,
51,52,52,Rory McIlroy,16,5.5,413,7500,,
52,53,53,Charles Howell III,26,5.37,403,7500,,
53,54,54,Jimmy Walker,24,5.23,393,7500,,
54,55,55,Boo Weekley,27,5.1,510,10000,,
55,56,56,David Hearn,26,5.03,377,7500,,
56,T57,T57,Aaron Baddeley,24,5.0,125,2500,,
57,T57,T57,George McNeill,21,5.0,125,2500,,
58,59,59,Camilo Villegas,23,4.9,245,5000,,
59,60,60,Brian Gay,24,4.73,355,7500,,
60,61,61,Ernie Els,19,4.63,348,7500,,
61,62,62,Stewart Cink,22,4.3,215,5000,,
62,T63,T63,Harris English,26,4.1,308,7500,,
63,T63,T63,Martin Kaymer,17,4.1,205,5000,,
64,65,65,Brendan Steele,26,4.03,303,7500,,
65,66,66,Stuart Appleby,25,3.5,175,5000,,
66,67,67,Bob Estes,18,3.3,165,5000,,
67,T68,T68,Greg Chalmers,25,3.25,163,5000,,
68,T68,T68,Freddie Jacobson,19,3.25,163,5000,,
69,70,70,Carl Pettersson,24,3.1,78,2500,,
70,71,71,K.J. Choi,24,3.0,150,5000,,
71,T72,T72,Jonas Blixt,24,2.97,223,7500,,
72,T72,T72,Charley Hoffman,23,2.97,223,7500,,
73,74,74,Russell Henley,24,2.53,190,7500,,
74,75,75,Erik Compton,24,2.5,125,5000,,
75,T76,T76,Graeme McDowell,16,2.33,175,7500,,
76,T76,T76,Scott Stallings,27,2.33,175,7500,,
77,78,78,Justin Leonard,24,2.15,108,5000,,
78,79,79,Kyle Stanley,24,1.95,98,5000,,
79,80,80,Ángel Cabrera,21,1.73,129,7500,,
80,T81,T81,Scott Langley,27,1.6,40,2500,,
81,T81,T81,John Senden,25,1.6,40,2500,,
82,83,83,Martin Flores,25,1.55,78,5000,,
83,84,84,Michael Thompson,22,1.47,110,7500,,
84,85,85,Cameron Tringale,24,1.45,73,5000,,
85,T86,T86,Jerry Kelly,22,1.4,70,5000,,
86,T86,T86,Bo Van Pelt,22,1.4,70,5000,,
87,88,88,Geoff Ogilvy,19,1.2,30,2500,,
88,89,89,Sangmoon Bae,26,1.07,80,7500,,
89,90,90,Jeff Overton,24,0.9,23,2500,,
90,91,91,Josh Teater,24,0.89,45,5000,,
91,92,92,Patrick Reed,26,0.83,62,7500,,
92,93,93,Scott Brown,21,0.8,40,5000,,
93,94,94,Ryan Palmer,22,0.45,23,5000,,
94,95,95,Ken Duke,28,0.37,28,7500,,
95,96,96,Brian Stuard,25,0.3,15,5000,,
96,97,97,Pat Perez,22,0.1,5,5000,,
97,T98,T98,Martin Laird,21,0.09,5,5000,,
98,T98,T98,Richard Lee,24,0.09,5,5000,,
