,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
86,87,87,Martin Flores,25,630,,2.0,3722.0,
87,88,88,Scott Brown,21,628,1.0,1.0,3724.0,
88,89,89,Bo Van Pelt,22,612,,1.0,3740.0,
89,90,90,Luke Guthrie,27,607,,2.0,3745.0,
90,91,91,Robert Garrigus,22,601,,2.0,3751.0,
91,92,92,Brian Stuard,25,598,,4.0,3754.0,
92,93,93,Derek Ernst,21,598,1.0,1.0,3754.0,
93,94,94,Brian Harman,29,578,,2.0,3774.0,
94,95,95,Stuart Appleby,25,570,,1.0,3782.0,
95,96,96,Richard Lee,24,569,,2.0,3783.0,
96,97,97,Greg Chalmers,25,558,,2.0,3794.0,
97,98,98,Pat Perez,22,549,,4.0,3803.0,
98,99,99,Erik Compton,24,547,,1.0,3805.0,
99,100,100,William McGirt,24,533,,2.0,3819.0,
100,101,101,Aaron Baddeley,24,526,,2.0,3826.0,
101,102,102,George McNeill,21,524,,,3828.0,
102,103,103,James Driscoll,23,524,,2.0,3828.0,
103,104,104,Geoff Ogilvy,19,522,,1.0,3830.0,
104,105,105,"Ted Potter, Jr.",22,518,,2.0,3834.0,
105,106,106,J.J. Henry,26,516,,2.0,3836.0,
106,107,107,Carl Pettersson,24,516,,1.0,3836.0,
107,108,108,Jeff Overton,24,506,,2.0,3846.0,
108,109,109,John Senden,25,498,,,3854.0,
109,110,110,James Hahn,26,480,,2.0,3872.0,
110,111,111,Mark Wilson,19,476,,3.0,3876.0,
111,112,112,Charlie Beljan,24,459,,1.0,3893.0,
112,113,113,Jason Bohn,23,454,,2.0,3898.0,
113,114,114,Lucas Glover,23,454,,2.0,3898.0,
114,115,115,Jeff Maggert,21,453,,2.0,3899.0,
115,116,116,Justin Hicks,25,451,,1.0,3901.0,
116,117,117,Morgan Hoffmann,20,444,,3.0,3908.0,
117,118,118,Chez Reavie,22,439,,,3913.0,
118,119,119,D.H. Lee,22,432,,3.0,3920.0,
119,120,120,Andres Romero,21,430,,2.0,3922.0,
120,121,121,Johnson Wagner,24,430,,2.0,3922.0,
121,122,122,Scott Langley,27,426,,1.0,3926.0,
122,123,123,Charlie Wi,23,401,,1.0,3951.0,
123,124,124,Steven Bowditch,22,400,,1.0,3952.0,
124,125,125,Ben Crane,21,369,,2.0,3983.0,
125,126,126,Robert Streb,25,359,,,3993.0,
126,127,127,Peter Hanson,15,356,,1.0,3996.0,
127,128,128,Nicolas Colsaerts,17,353,,3.0,3999.0,
128,129,129,Brad Fritsch,24,350,,1.0,4002.0,
129,130,130,Padraig Harrington,17,345,,3.0,4007.0,
130,131,131,Bud Cauley,24,343,,,4009.0,
131,132,132,Ricky Barnes,26,342,,,4010.0,
132,133,133,Fabián Gómez,23,339,,1.0,4013.0,
133,134,134,Greg Owen,24,336,,,4016.0,
134,135,135,Shawn Stefani,21,333,,2.0,4019.0,
135,136,136,Chad Campbell,25,330,,1.0,4022.0,
136,137,137,Woody Austin,8,326,1.0,1.0,4026.0,
137,138,138,David Toms,16,326,,1.0,4026.0,
138,139,139,Jim Herman,19,325,,2.0,4027.0,
139,140,140,Tommy Gainey,28,324,,1.0,4028.0,
140,141,141,Ryo Ishikawa,23,298,,1.0,4054.0,
141,142,142,Tag Ridings,24,295,,1.0,4057.0,
142,143,143,Trevor Immelman,24,295,,1.0,4057.0,
143,144,144,Dicky Pride,23,293,,2.0,4059.0,
144,145,145,Brendon Todd,10,293,,,4059.0,
145,146,146,Vijay Singh,19,291,,,4061.0,
146,147,147,Doug LaBelle II,23,290,,,4062.0,
147,148,148,Ben Kohles,25,286,,1.0,4066.0,
148,149,149,Brandt Jobe,19,283,,,4069.0,
149,150,150,Justin Bolli,23,278,,2.0,4074.0,
