,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
123,T124,T124,Scott McCarron,100,244,86,158
124,T124,T124,Brian Watts,89,244,158,86
125,126,126,Steve Jones,75,246,69,177
126,127,127,Craig Stadler,70,250,145,105
127,128,128,Jimmy Green,85,251,115,136
128,129,129,Chris Riley,98,253,121,132
129,130,130,Rory Sabbatini,85,255,92,163
130,131,131,Sean Murphy,102,256,124,132
131,132,132,Robin Freeman,98,259,132,127
132,133,133,P.H. Horgan III,65,261,109,152
133,T134,T134,Joe Ozaki,55,262,152,110
134,T134,T134,Jean Van de Velde,70,262,132,130
135,T136,T136,Mike Brisky,89,264,119,145
136,T136,T136,J.P. Hayes,91,264,149,115
137,138,138,Steve Gotsche,91,267,153,114
138,139,139,Ronnie Black,82,269,170,99
139,140,140,John Daly,71,272,97,175
140,T141,T141,Neal Lancaster,99,273,160,113
141,T141,T141,John Maginnes,99,273,119,154
142,T141,T141,Dennis Paulson,82,273,102,171
143,144,144,Brett Quigley,63,276,146,130
144,145,145,Jay Don Blake,95,277,137,140
145,T146,T146,Paul Goydos,99,278,127,151
146,T146,T146,John Rollins,72,278,135,143
147,148,148,David Morland IV,88,282,154,128
148,149,149,Jim McGovern,55,285,166,119
149,T150,T150,Carlos Franco,85,286,160,126
150,T150,T150,Gabriel Hjertstedt,86,286,138,148
151,152,152,Omar Uresti,94,287,141,146
152,153,153,Mark Brooks,91,288,138,150
153,154,154,Charles Raulerson,98,289,115,174
154,T155,T155,Aaron Bengoechea,75,295,123,172
155,T155,T155,Brad Faxon,98,295,157,138
156,T155,T155,Bob Friend,96,295,131,164
157,T158,T158,Mike Sposa,73,299,174,125
158,T158,T158,Ted Tryba,112,299,109,190
159,160,160,Bob Estes,68,301,132,169
160,161,161,Michael Bradley,73,307,160,147
161,162,162,Gary Nicklaus,84,308,184,124
162,163,163,Craig Perks,82,309,165,144
163,164,164,Jay Delsing,97,311,150,161
164,165,165,Tom Pernice Jr.,98,312,159,153
165,166,166,Jay Haas,80,317,155,162
166,T167,T167,Craig Bowden,54,318,135,183
167,T167,T167,Matt Gogel,86,318,181,137
168,169,169,"Dave Stockton, Jr.",89,320,178,142
169,170,170,Bobby Cochran,78,326,147,179
170,171,171,Dicky Pride,98,329,170,159
171,172,172,Steve Stricker,63,332,155,177
172,173,173,Bob Heintz,87,333,148,185
173,174,174,Corey Pavin,74,335,141,194
174,175,175,Keith Nolan,57,336,150,186
175,176,176,Trevor Dodds,86,338,189,149
176,177,177,Nolan Henke,79,342,186,156
177,T178,T178,Billy Andrade,89,345,177,168
178,T178,T178,Rick Fehr,73,345,186,159
179,T180,T180,Jason Caron,77,347,174,173
180,T180,T180,Jim Carter,96,347,180,167
181,182,182,Tommy Tolles,60,351,170,181
182,T183,T183,Eric Booker,87,352,182,170
183,T183,T183,Paul Curry,64,352,160,192
184,185,185,Craig Spence,89,353,173,180
185,T186,T186,Emlyn Aubrey,68,355,190,165
186,T186,T186,Steve Hart,72,355,160,195
187,188,188,Mike Springer,83,359,193,166
188,189,189,Brad Fabel,88,360,178,182
189,190,190,Ryan Howison,83,369,185,184
190,191,191,David Frost,65,377,188,189
191,192,192,Kevin Wentworth,83,378,191,187
192,193,193,Mike Hulbert,82,382,195,187
193,T194,T194,Chip Beck,51,385,194,191
194,T194,T194,Mark O'Meara,61,385,192,193
