,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
118,T118,T118,Justin Rose,79,61.51,249356.3,405424
119,T120,T120,Stewart Cink,72,61.5,203981.3,331681
120,T120,T120,Steve Stricker,70,61.5,210083.2,341588
121,122,122,Retief Goosen,50,61.49,156728.9,254892
122,123,123,Kevin Kisner,70,61.48,221922.2,360959
123,124,124,Trevor Immelman,84,61.46,259338.7,421986
124,T125,T125,Cameron Beckman,71,61.45,250042.0,406925
125,T125,T125,Fabián Gómez,84,61.45,269486.1,438541
126,127,127,Brendon de Jonge,105,61.43,357133.8,581365
127,T128,T128,D.J. Brigman,67,61.4,214350.4,349126
128,T128,T128,Vaughn Taylor,89,61.4,322144.8,524699
129,130,130,D.A. Points,89,61.38,289601.7,471822
130,131,131,Stuart Appleby,65,61.33,234290.3,382010
131,132,132,Jason Bohn,74,61.31,261987.6,427351
132,133,133,Paul Stankowski,78,61.27,253037.8,412983
133,134,134,Jarrod Lyle,83,61.19,279858.9,457370
134,T135,T135,Arjun Atwal,91,61.09,322618.2,528117
135,T135,T135,Heath Slocum,89,61.09,286184.7,468498
136,T137,T137,Brian Davis,105,61.07,356878.8,584349
137,T137,T137,Justin Hicks,60,61.07,170307.7,278889
138,139,139,Mark Wilson,89,61.04,270696.4,443510
139,140,140,J.P. Hayes,56,61.0,186186.0,305228
140,T141,T141,Shane Bertsch,62,60.99,200691.5,329083
141,T141,T141,Kris Blanks,92,60.99,319325.1,523578
142,T141,T141,Matt McQuillan,59,60.99,185269.2,303749
143,144,144,Charlie Wi,83,60.95,297109.4,487484
144,T145,T145,Ryuji Imada,83,60.91,293123.6,481253
145,T145,T145,Billy Mayfair,94,60.91,329073.6,540292
146,T147,T147,Steve Flesch,88,60.9,299498.0,491750
147,T147,T147,Kent Jones,76,60.9,258023.3,423704
148,T149,T149,Woody Austin,59,60.86,193026.4,317173
149,T149,T149,Steve Elkington,50,60.86,162361.4,266794
150,T149,T149,Ian Poulter,52,60.86,150534.2,247362
151,152,152,Rich Beem,53,60.81,178511.3,293558
152,153,153,Aron Price,58,60.78,188523.1,310177
153,T154,T154,Joe Durant,71,60.71,246071.1,405324
154,T154,T154,Tim Petrovic,88,60.71,295721.9,487145
155,156,156,Shaun Micheel,77,60.7,250455.6,412583
156,157,157,Stephen Ames,69,60.64,229064.9,377771
157,158,158,Nathan Green,81,60.63,268605.4,443053
158,T159,T159,K.J. Choi,77,60.45,224305.1,371069
159,T159,T159,Jim Furyk,87,60.45,268398.7,443977
160,161,161,Chris Riley,76,60.39,260045.7,430623
161,162,162,Johnson Wagner,81,60.36,267801.2,443702
162,163,163,Luke Donald,73,60.34,200114.7,331624
163,T164,T164,Colt Knost,80,60.32,255863.1,424204
164,T164,T164,Garrett Willis,71,60.32,244651.0,405619
165,166,166,Michael Connell,76,60.3,275191.3,456363
166,167,167,David Toms,78,60.27,225002.6,373320
167,168,168,David Mathis,83,60.24,267725.9,444465
168,169,169,Justin Leonard,82,60.22,281837.7,468018
169,T170,T170,Chris DiMarco,93,60.2,311911.8,518114
170,T170,T170,Kevin Na,84,60.2,258511.6,429456
171,172,172,Bryce Molder,82,60.19,269681.6,448082
172,173,173,Greg Chalmers,88,60.1,300456.5,499947
173,174,174,Zach Johnson,79,60.09,245096.4,407880
174,175,175,Daniel Summerhays,75,60.0,250716.9,417867
175,176,176,Nick O'Hern,89,59.86,288541.5,481992
176,177,177,Rocco Mediate,53,59.85,184265.2,307864
177,178,178,Nate Smith,66,59.84,201132.3,336120
178,179,179,Ben Curtis,66,59.76,235086.9,393409
179,180,180,Jerry Kelly,85,59.75,254904.1,426591
180,181,181,Marc Turnesa,54,59.72,173921.3,291245
181,182,182,Alex Cejka,59,59.66,177505.6,297527
182,183,183,Paul Goydos,81,59.56,279072.2,468562
183,184,184,Dean Wilson,62,59.34,213868.6,360428
184,185,185,Richard Johnson,64,59.03,202846.0,343608
185,186,186,Brian Gay,90,59.0,274778.0,465731
