,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
176,177,177,Ángel Cabrera,50,18.01,87,483,+0.08
177,178,178,Robert Karlsson,61,18.14,111,612,+0.14
178,179,179,Jhonattan Vegas,84,18.43,176,955,+0.05
179,180,180,Arjun Atwal,91,18.89,215,1138,+0.12
180,181,181,David Duval,67,18.94,150,792,+0.19
181,182,182,Steven Bowditch,86,19.26,204,1059,+0.11
182,183,183,Harrison Frazar,58,19.36,109,563,+0.17
183,184,184,Padraig Harrington,60,19.38,118,609,+0.03
184,185,185,Anthony Kim,72,19.92,155,778,+0.04
185,186,186,Derek Lamely,65,20.28,158,779,+0.13
