,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
158,T159,T159,Derek Lamely,26,54.7,192,351,2.03
159,T159,T159,Andres Romero,22,54.7,196,358,2.09
160,161,161,Brandt Snedeker,26,54.8,176,321,1.76
161,162,162,Richard Johnson,23,54.9,145,264,1.72
162,163,163,Ángel Cabrera,17,55.0,116,211,2.07
163,T164,T164,Michael Connell,26,55.2,179,324,1.68
164,T164,T164,Paul Stankowski,24,55.2,191,346,1.15
165,166,166,Michael Bradley,24,55.4,185,334,2.0
166,167,167,Anthony Kim,26,55.5,207,373,1.16
167,T168,T168,Luke Donald,19,55.6,130,234,0.46
168,T168,T168,Webb Simpson,26,55.6,228,410,1.27
169,170,170,Bill Haas,26,55.7,190,341,0.74
170,171,171,Steven Bowditch,28,55.9,241,431,1.87
171,172,172,Scott McCarron,22,56.0,144,257,1.46
172,173,173,Lee Janzen,19,56.2,131,233,2.6
173,T174,T174,David Duval,24,56.9,203,357,2.76
174,T174,T174,Y.E. Yang,18,56.9,116,204,0.6
175,176,176,Davis Love III,22,57.1,145,254,0.9
176,177,177,Dean Wilson,22,57.2,147,257,3.13
177,178,178,Lucas Glover,23,57.3,177,309,1.69
178,179,179,Vaughn Taylor,27,57.4,228,397,2.94
179,180,180,Arjun Atwal,29,58.1,262,451,2.21
180,181,181,Padraig Harrington,18,58.3,151,259,1.06
181,182,182,Ben Curtis,23,59.7,138,231,2.17
182,183,183,Garrett Willis,24,60.0,159,265,2.52
183,184,184,Billy Horschel,25,60.2,160,266,2.31
184,185,185,Jason Bohn,22,61.5,177,288,2.09
185,186,186,Kevin Stadler,27,63.6,217,341,3.04
