,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
146,T147,T147,Woody Austin,59,+.163
147,T147,T147,Daniel Summerhays,75,+.163
148,T149,T149,Harrison Frazar,58,+.165
149,T149,T149,Boo Weekley,66,+.165
150,151,151,Andres Gonzales,60,+.171
151,152,152,Ben Martin,74,+.173
152,153,153,Retief Goosen,50,+.175
153,T154,T154,Kevin Chappell,78,+.176
154,T154,T154,Garrett Willis,71,+.176
155,156,156,Jeff Overton,92,+.178
156,157,157,Kent Jones,76,+.179
157,158,158,John Merrick,71,+.183
158,T159,T159,David Duval,67,+.187
159,T159,T159,Alexandre Rocha,65,+.187
160,161,161,Will Strickler,51,+.189
161,162,162,Rich Beem,53,+.190
162,163,163,Kevin Kisner,70,+.192
163,T164,T164,Colt Knost,80,+.193
164,T164,T164,Dean Wilson,62,+.193
165,166,166,Jimmy Walker,79,+.196
166,167,167,Kevin Stadler,88,+.200
167,168,168,Jim Furyk,87,+.202
168,169,169,Matt McQuillan,59,+.208
169,170,170,D.A. Points,89,+.209
170,171,171,Jarrod Lyle,83,+.211
171,172,172,Jim Renner,65,+.212
172,173,173,Chris Riley,76,+.214
173,T174,T174,Stuart Appleby,65,+.215
174,T174,T174,Justin Hicks,60,+.215
175,176,176,Steve Flesch,88,+.219
176,177,177,Rocco Mediate,53,+.233
177,178,178,Nate Smith,66,+.238
178,179,179,Lee Janzen,62,+.241
179,180,180,Aron Price,58,+.243
180,181,181,Bobby Gates,82,+.246
181,T182,T182,Keegan Bradley,91,+.267
182,T182,T182,Scott Gutschewski,67,+.267
183,184,184,Joe Durant,71,+.282
184,185,185,Martin Piller,63,+.284
185,186,186,Alex Prugh,82,+.292
