,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
61,T61,T61,Keegan Bradley,28,"25' 4""",16307.417,644
62,T61,T61,Stewart Cink,22,"25' 4""",10400.25,410
63,T61,T61,Jason Dufner,23,"25' 4""",14813.417,584
64,T61,T61,Davis Love III,22,"25' 4""",10987.917,434
65,T61,T61,Webb Simpson,26,"25' 4""",17945.667,709
66,T67,T67,K.J. Choi,22,"25' 5""",12946.25,509
67,T67,T67,Colt Knost,27,"25' 5""",15599.917,613
68,T67,T67,John Merrick,21,"25' 5""",14174.167,557
69,T67,T67,Kevin Streelman,26,"25' 5""",16164.75,635
70,T71,T71,Shane Bertsch,20,"25' 6""",12328.167,484
71,T71,T71,Michael Bradley,24,"25' 6""",11495.75,451
72,T71,T71,Joseph Bramlett,25,"25' 6""",12510.833,491
73,T71,T71,James Driscoll,24,"25' 6""",11500.583,451
74,T71,T71,Brian Gay,26,"25' 6""",18850.667,739
75,T71,T71,Martin Laird,23,"25' 6""",12743.0,499
76,T71,T71,George McNeill,21,"25' 6""",12192.25,478
77,T71,T71,Rod Pampling,21,"25' 6""",14171.0,555
78,T79,T79,Blake Adams,34,"25' 7""",24192.583,947
79,T79,T79,Robert Karlsson,18,"25' 7""",9039.333,353
80,T79,T79,Charl Schwartzel,15,"25' 7""",8771.917,343
81,T82,T82,Robert Allenby,25,"25' 8""",16042.25,625
82,T82,T82,Retief Goosen,16,"25' 8""",8508.583,332
83,T82,T82,Kyle Stanley,28,"25' 8""",16641.25,649
84,T85,T85,Jim Furyk,26,"25' 9""",17568.583,683
85,T85,T85,Aron Price,18,"25' 9""",12160.833,472
86,T85,T85,John Rollins,27,"25' 9""",16769.583,652
87,T85,T85,Roland Thatcher,22,"25' 9""",12879.417,500
88,T89,T89,Rich Beem,21,"25' 10""",10296.667,398
89,T89,T89,Jason Day,21,"25' 10""",11639.5,450
90,T89,T89,Ernie Els,21,"25' 10""",12897.417,500
91,T89,T89,David Hearn,26,"25' 10""",17264.0,669
92,T89,T89,Jarrod Lyle,29,"25' 10""",15074.5,583
93,T89,T89,Scott Piercy,23,"25' 10""",12488.333,483
94,T89,T89,Justin Rose,23,"25' 10""",14342.667,555
95,T89,T89,Heath Slocum,29,"25' 10""",19663.667,762
96,T97,T97,Fabián Gómez,26,"25' 11""",15352.5,593
97,T97,T97,Josh Teater,31,"25' 11""",20035.083,774
98,T97,T97,Gary Woodland,25,"25' 11""",14317.917,552
99,T100,T100,D.J. Brigman,23,"26' 0""",10955.667,421
100,T100,T100,Greg Chalmers,28,"26' 0""",17572.667,675
101,T100,T100,Brandt Jobe,28,"26' 0""",18995.667,731
102,T100,T100,Sean O'Hair,24,"26' 0""",11998.417,462
103,T100,T100,D.A. Points,26,"26' 0""",17250.25,663
104,T105,T105,Ricky Barnes,23,"26' 1""",13196.5,506
105,T105,T105,Graeme McDowell,16,"26' 1""",9112.0,349
106,T105,T105,Ryan Moore,22,"26' 1""",13564.417,520
107,T105,T105,Martin Piller,23,"26' 1""",10027.083,384
108,T105,T105,John Senden,26,"26' 1""",19427.917,744
109,T105,T105,D.J. Trahan,30,"26' 1""",17520.833,672
110,T105,T105,Jhonattan Vegas,25,"26' 1""",13392.083,513
111,T112,T112,Aaron Baddeley,22,"26' 2""",12427.167,475
112,T112,T112,Chad Campbell,29,"26' 2""",20214.667,773
113,T112,T112,Scott Stallings,28,"26' 2""",13993.333,534
114,T115,T115,Ryuji Imada,29,"26' 3""",16526.667,629
115,T115,T115,Marc Leishman,27,"26' 3""",15706.333,598
116,T115,T115,Rocco Mediate,23,"26' 3""",12258.667,467
117,T115,T115,Vaughn Taylor,27,"26' 3""",19080.083,727
118,T119,T119,Woody Austin,18,"26' 4""",12013.5,456
119,T119,T119,Cameron Beckman,25,"26' 4""",14126.75,536
120,T119,T119,Chris DiMarco,31,"26' 4""",19826.917,754
121,T119,T119,Bobby Gates,29,"26' 4""",14377.25,546
122,T119,T119,Bio Kim,25,"26' 4""",10886.583,414
123,T119,T119,Tim Petrovic,29,"26' 4""",17770.333,675
124,T119,T119,Alexandre Rocha,22,"26' 4""",10958.833,416
125,T119,T119,Paul Stankowski,24,"26' 4""",13820.0,525
126,T127,T127,Steven Bowditch,28,"26' 5""",15163.25,574
127,T127,T127,Ben Crane,23,"26' 5""",15256.083,578
128,T127,T127,Johnson Wagner,25,"26' 5""",17098.083,647
129,T130,T130,Stuart Appleby,24,"26' 6""",12692.417,479
130,T130,T130,Brendon de Jonge,30,"26' 6""",21602.917,814
131,T130,T130,Scott Gutschewski,23,"26' 6""",11669.75,440
132,T130,T130,Spencer Levin,31,"26' 6""",21875.417,825
133,T134,T134,Briny Baird,19,"26' 7""",12252.833,461
134,T134,T134,Nathan Green,26,"26' 7""",15126.25,569
135,T134,T134,Charley Hoffman,27,"26' 7""",16052.583,604
136,T134,T134,Troy Matteson,28,"26' 7""",17020.0,640
137,T134,T134,Matt McQuillan,21,"26' 7""",11428.75,430
138,T134,T134,Steve Stricker,19,"26' 7""",12459.667,468
139,T140,T140,Bryce Molder,27,"26' 8""",17394.667,652
140,T140,T140,Carl Pettersson,27,"26' 8""",20703.583,777
141,T142,T142,Nate Smith,24,"26' 9""",11808.583,441
142,T142,T142,Jimmy Walker,24,"26' 9""",14908.75,558
143,T144,T144,Chris Couch,21,"26' 10""",16310.083,607
144,T144,T144,David Duval,24,"26' 10""",10988.583,409
145,T144,T144,Scott McCarron,22,"26' 10""",12730.667,474
146,T144,T144,Charlie Wi,25,"26' 10""",17596.5,656
147,T148,T148,Robert Garrigus,26,"26' 11""",13742.583,510
148,T148,T148,Paul Goydos,25,"26' 11""",19047.333,707
149,T148,T148,Anthony Kim,26,"26' 11""",10242.333,380
150,T148,T148,Hunter Mahan,25,"26' 11""",18057.833,670
151,T148,T148,Chris Riley,25,"26' 11""",17778.0,661
152,T153,T153,Troy Merritt,23,"27' 0""",13053.417,483
153,T153,T153,Michael Thompson,25,"27' 0""",15448.25,573
154,T153,T153,Dean Wilson,22,"27' 0""",13651.667,505
155,T156,T156,Stephen Ames,22,"27' 1""",15151.917,560
156,T156,T156,Zach Johnson,23,"27' 1""",17275.333,638
157,T156,T156,Geoff Ogilvy,21,"27' 1""",12392.833,457
158,T159,T159,J.J. Henry,28,"27' 3""",19440.917,714
159,T159,T159,Matt Jones,25,"27' 3""",13182.0,484
160,T161,T161,Jason Bohn,22,"27' 4""",17233.667,630
161,T161,T161,Ángel Cabrera,17,"27' 4""",7052.6669999999995,258
162,163,163,Richard Johnson,23,"27' 5""",13056.083,476
163,T164,T164,Padraig Harrington,18,"27' 6""",9101.833,331
164,T164,T164,Bill Lunde,28,"27' 6""",17575.667,639
165,T164,T164,Shaun Micheel,27,"27' 6""",13778.917,501
166,167,167,Justin Leonard,26,"27' 7""",18404.917,668
167,168,168,Michael Putnam,21,"27' 8""",10587.25,383
168,169,169,Jonathan Byrd,26,"27' 9""",16691.667,601
169,T170,T170,Hunter Haas,30,"27' 10""",20605.5,740
170,T170,T170,Trevor Immelman,25,"27' 10""",15567.25,559
171,172,172,Andres Gonzales,21,"28' 1""",11080.25,395
172,173,173,Tag Ridings,28,"28' 2""",15982.833,568
173,T174,T174,Michael Connell,26,"28' 3""",18478.25,654
174,T174,T174,J.B. Holmes,16,"28' 3""",9348.333,331
175,T176,T176,Arjun Atwal,29,"28' 4""",18482.333,652
176,T176,T176,Daniel Summerhays,29,"28' 4""",15889.0,561
177,178,178,J.P. Hayes,19,"28' 7""",12077.083,423
178,179,179,Ian Poulter,16,"28' 11""",10228.667,354
179,180,180,Ryan Palmer,24,"29' 0""",12643.167,436
180,181,181,Derek Lamely,26,"29' 3""",11517.417,394
181,182,182,Bubba Watson,22,"29' 4""",13592.667,463
182,183,183,Lee Janzen,19,"29' 6""",12806.167,434
183,184,184,Matt Bettencourt,30,"30' 0""",17794.667,593
184,T185,T185,Steve Elkington,17,"30' 3""",12157.75,402
185,T185,T185,Zack Miller,30,"30' 3""",17914.167,592
