,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
87,88,88,Retief Goosen,50,174,87,87
88,89,89,Adam Scott,60,176,89,87
89,90,90,Kyle Stanley,98,178,66,112
90,91,91,Michael Thompson,79,185,49,136
91,92,92,Colt Knost,80,187,107,80
92,93,93,Woody Austin,59,191,74,117
93,94,94,Webb Simpson,98,193,64,129
94,95,95,Billy Mayfair,94,195,75,120
95,96,96,Will Strickler,51,197,46,151
96,T97,T97,Jason Dufner,78,200,148,52
97,T97,T97,George McNeill,69,200,91,109
98,99,99,Matt Kuchar,94,203,119,84
99,100,100,Ian Poulter,52,205,93,112
100,T101,T101,K.J. Choi,77,206,105,101
101,T101,T101,Ryan Moore,79,206,130,76
102,T103,T103,Shane Bertsch,62,210,174,36
103,T103,T103,Scott Gutschewski,67,210,147,63
104,105,105,Jimmy Walker,79,213,114,99
105,106,106,Justin Hicks,60,214,110,104
106,107,107,Chris DiMarco,93,215,136,79
107,108,108,Brandt Jobe,100,217,105,112
108,T109,T109,Blake Adams,116,219,123,96
109,T109,T109,Lee Janzen,62,219,112,107
110,T109,T109,Andres Romero,77,219,93,126
111,112,112,Briny Baird,60,220,108,112
112,113,113,Jim Herman,69,221,138,83
113,T114,T114,D.J. Trahan,91,222,82,140
114,T114,T114,Jhonattan Vegas,84,222,84,138
115,116,116,Troy Merritt,63,223,101,122
116,117,117,Kris Blanks,92,225,141,84
117,T118,T118,Fabián Gómez,84,230,108,122
118,T118,T118,Bubba Watson,85,230,87,143
119,T120,T120,Marc Turnesa,54,231,103,128
120,T120,T120,Johnson Wagner,81,231,122,109
121,122,122,Steve Flesch,88,232,152,80
122,T123,T123,Steven Bowditch,86,233,84,149
123,T123,T123,Derek Lamely,65,233,78,155
124,125,125,Jarrod Lyle,83,234,117,117
125,126,126,Ben Curtis,66,237,144,93
126,127,127,J.J. Henry,96,238,130,108
127,128,128,Matt Bettencourt,84,239,138,101
128,T129,T129,Jerry Kelly,85,240,134,106
129,T129,T129,David Mathis,83,240,146,94
130,131,131,Rod Pampling,72,241,165,76
131,132,132,Dean Wilson,62,244,114,130
132,133,133,Justin Leonard,82,245,155,90
133,134,134,Alexandre Rocha,65,254,103,151
134,135,135,Andres Gonzales,60,257,125,132
135,136,136,Cameron Tringale,110,262,138,124
136,137,137,Y.E. Yang,63,264,119,145
137,138,138,Gary Woodland,93,268,136,132
138,139,139,Tim Petrovic,88,269,168,101
139,T140,T140,Jonathan Byrd,83,270,100,170
140,T140,T140,Chad Campbell,99,270,125,145
141,T140,T140,Justin Rose,79,270,130,140
142,T140,T140,Charlie Wi,83,270,134,136
143,144,144,Stephen Ames,69,274,142,132
144,145,145,Hunter Haas,96,276,152,124
145,146,146,Paul Stankowski,78,277,98,179
146,147,147,Kevin Kisner,70,278,125,153
147,T148,T148,Scott Stallings,84,280,117,163
148,T148,T148,Boo Weekley,66,280,171,109
149,150,150,Ryuji Imada,83,281,161,120
150,151,151,Lucas Glover,74,282,142,140
151,152,152,Michael Connell,76,285,155,130
152,153,153,Nick Watney,80,288,130,158
153,154,154,Luke Donald,73,292,111,181
154,155,155,Michael Bradley,74,296,169,127
155,156,156,Bobby Gates,82,297,128,169
156,157,157,Pat Perez,76,298,149,149
157,T158,T158,Matt Jones,71,304,157,147
158,T158,T158,William McGirt,103,304,161,143
159,160,160,Bryce Molder,82,305,158,147
160,161,161,Chris Couch,73,306,129,177
161,162,162,John Senden,94,308,149,159
162,163,163,Zack Miller,86,311,144,167
163,164,164,Stuart Appleby,65,317,161,156
164,165,165,Graeme McDowell,50,318,152,166
165,166,166,Sean O'Hair,71,322,151,171
166,167,167,Kevin Streelman,90,323,158,165
167,168,168,Kevin Na,84,324,160,164
168,T169,T169,Richard Johnson,64,326,167,159
169,T169,T169,Nate Smith,66,326,170,156
170,171,171,Shaun Micheel,77,332,179,153
171,172,172,Aaron Baddeley,77,335,161,174
172,T173,T173,Joe Durant,71,338,171,167
173,T173,T173,Daniel Summerhays,75,338,177,161
174,175,175,Scott McCarron,65,341,166,175
175,176,176,Freddie Jacobson,92,342,181,161
176,177,177,Charles Howell III,108,348,176,172
177,T178,T178,Greg Chalmers,88,352,174,178
178,T178,T178,Brendon de Jonge,105,352,177,175
179,180,180,Sergio Garcia,61,354,181,173
180,181,181,Bio Kim,71,355,173,182
181,182,182,Tom Gillis,55,364,184,180
182,T183,T183,James Driscoll,71,366,180,186
183,T183,T183,Trevor Immelman,84,366,183,183
184,T185,T185,Ricky Barnes,78,370,185,185
185,T185,T185,Nathan Green,81,370,186,184
