,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
48,T49,T49,Marc Leishman,87,285.9,319053,1116
49,T49,T49,Zack Miller,86,285.9,298471,1044
50,51,51,Steve Marino,76,285.8,247481,866
51,T52,T52,Michael Putnam,67,285.7,211428,740
52,T52,T52,Vijay Singh,79,285.7,286848,1004
53,54,54,Scott Gutschewski,67,285.5,219816,770
54,55,55,Brandt Jobe,100,285.4,322510,1130
55,56,56,Kevin Stadler,88,285.3,289886,1016
56,57,57,Chris Kirk,87,285.2,306301,1074
57,58,58,Martin Piller,63,285.1,207250,727
58,T59,T59,Hunter Mahan,92,284.9,304287,1068
59,T59,T59,Rory Sabbatini,85,284.9,241892,849
60,61,61,Joseph Bramlett,73,284.8,242688,852
61,T62,T62,Bobby Gates,82,284.7,265608,933
62,T62,T62,Cameron Tringale,110,284.7,385542,1354
63,T62,T62,Jimmy Walker,79,284.7,302348,1062
64,T65,T65,Matt Jones,71,284.5,253236,890
65,T65,T65,Bill Lunde,92,284.5,306090,1076
66,67,67,David Duval,67,284.4,229760,808
67,68,68,Sung Kang,63,284.3,203008,714
68,69,69,Joe Ogilvie,75,284.1,242306,853
69,T70,T70,Padraig Harrington,60,284.0,178359,628
70,T70,T70,George McNeill,69,284.0,229446,808
71,T70,T70,John Senden,94,284.0,320680,1129
72,T73,T73,Jonathan Byrd,83,283.9,286125,1008
73,T73,T73,Charl Schwartzel,58,283.9,158985,560
74,75,75,Billy Horschel,75,283.8,245460,865
75,T76,T76,Carl Pettersson,95,283.7,357420,1260
76,T76,T76,Brendan Steele,89,283.7,304942,1075
77,78,78,Chris Stroud,88,283.6,308525,1088
78,T79,T79,Pat Perez,76,283.5,276736,976
79,T79,T79,Roland Thatcher,67,283.5,240667,849
80,81,81,Robert Allenby,84,283.4,277752,980
81,82,82,John Merrick,71,283.2,237920,840
82,83,83,Tom Gillis,55,283.1,198204,700
83,84,84,Chez Reavie,92,283.0,323458,1143
84,85,85,Blake Adams,116,282.8,413970,1464
85,86,86,Justin Rose,79,282.7,249356,882
86,87,87,Ben Martin,74,282.6,256918,909
87,88,88,Andres Gonzales,60,282.4,181877,644
88,T89,T89,Stewart Cink,72,282.2,204030,723
89,T89,T89,Lucas Glover,74,282.2,239864,850
90,T89,T89,Sean O'Hair,71,282.2,236468,838
91,T92,T92,Ernie Els,71,282.0,234069,830
92,T92,T92,Tim Herron,85,282.0,303453,1076
93,T94,T94,Ricky Barnes,78,281.9,251496,892
94,T94,T94,Retief Goosen,50,281.9,156729,556
95,T94,T94,Geoff Ogilvy,69,281.9,211995,752
96,97,97,Matt Bettencourt,84,281.8,303804,1078
97,98,98,Rod Pampling,72,281.7,236371,839
98,T99,T99,Kevin Streelman,90,281.6,279368,992
99,T99,T99,Steve Stricker,70,281.6,210083,746
100,T99,T99,Michael Thompson,79,281.6,271993,966
101,T99,T99,Y.E. Yang,63,281.6,165580,588
102,T103,T103,J.J. Henry,96,281.3,309460,1100
103,T103,T103,Brandt Snedeker,85,281.3,262474,933
104,105,105,Ryan Moore,79,281.1,235020,836
105,106,106,Camilo Villegas,69,281.0,224271,798
106,107,107,David Hearn,88,280.8,298745,1064
107,108,108,Scott McCarron,65,280.6,211592,754
108,109,109,William McGirt,103,280.4,360335,1285
109,110,110,Jason Dufner,78,280.3,253410,904
110,111,111,Fabián Gómez,84,280.2,269507,962
111,112,112,D.A. Points,89,280.1,289604,1034
112,T113,T113,Freddie Jacobson,92,279.9,273774,978
113,T113,T113,Graeme McDowell,50,279.9,146114,522
114,T115,T115,Michael Bradley,74,279.8,229979,822
115,T115,T115,Troy Merritt,63,279.8,222685,796
116,T117,T117,Hunter Haas,96,279.7,331679,1186
117,T117,T117,Alexandre Rocha,65,279.7,191885,686
118,119,119,Chad Campbell,99,279.6,338903,1212
119,T120,T120,Briny Baird,60,279.4,191643,686
120,T120,T120,Cameron Beckman,71,279.4,250092,895
121,T120,T120,Matt Kuchar,94,279.4,278269,996
122,123,123,Spencer Levin,113,279.2,365776,1310
123,124,124,Stuart Appleby,65,278.9,234290,840
124,125,125,Jarrod Lyle,83,278.8,279892,1004
125,126,126,Brendon de Jonge,105,278.6,357151,1282
126,T127,T127,Rich Beem,53,278.5,178529,641
127,T127,T127,Kevin Kisner,70,278.5,221952,797
128,T129,T129,D.J. Brigman,67,278.4,214361,770
129,T129,T129,Brian Davis,105,278.4,356901,1282
130,T129,T129,Paul Stankowski,78,278.4,253053,909
131,132,132,J.P. Hayes,56,278.3,186203,669
132,T133,T133,Jason Bohn,74,278.2,262032,942
133,T133,T133,Vaughn Taylor,89,278.2,322186,1158
134,T135,T135,Lee Janzen,62,277.9,194236,699
135,T135,T135,Mark Wilson,89,277.9,270714,974
136,137,137,Ben Crane,76,277.8,242252,872
137,138,138,Trevor Immelman,84,277.7,259369,934
138,139,139,Woody Austin,59,277.4,193037,696
139,T140,T140,Arjun Atwal,91,277.2,322633,1164
140,T140,T140,Billy Mayfair,94,277.2,329082,1187
141,T142,T142,Steve Elkington,50,277.1,162380,586
142,T142,T142,Shaun Micheel,77,277.1,250533,904
143,144,144,K.J. Choi,77,276.9,224318,810
144,145,145,Ryuji Imada,83,276.6,293161,1060
145,146,146,Justin Hicks,60,276.5,170308,616
146,147,147,Kent Jones,76,276.3,258023,934
147,T148,T148,Joe Durant,71,276.2,246071,891
148,T148,T148,Charlie Wi,83,276.2,297188,1076
149,150,150,Matt McQuillan,59,276.1,185294,671
150,151,151,Heath Slocum,89,276.0,286185,1037
151,152,152,Kris Blanks,92,275.8,319343,1158
152,153,153,Shane Bertsch,62,275.7,200715,728
153,154,154,Tim Petrovic,88,275.3,295725,1074
154,T155,T155,Steve Flesch,88,275.0,299529,1089
155,T155,T155,Nathan Green,81,275.0,268640,977
156,157,157,Luke Donald,73,274.9,200115,728
157,158,158,Aron Price,58,274.8,188528,686
158,159,159,Garrett Willis,71,274.6,244668,891
159,T160,T160,Chris Riley,76,274.4,260092,948
160,T160,T160,David Toms,78,274.4,225003,820
161,162,162,Stephen Ames,69,274.0,229065,836
162,163,163,Jim Furyk,87,273.9,268403,980
163,164,164,Johnson Wagner,81,273.8,267801,978
164,T165,T165,Justin Leonard,82,273.7,281908,1030
165,T165,T165,Ian Poulter,52,273.7,150534,550
166,167,167,Michael Connell,76,273.6,275228,1006
167,T168,T168,Zach Johnson,79,273.5,245097,896
168,T168,T168,David Mathis,83,273.5,267727,979
169,T170,T170,Colt Knost,80,273.4,255863,936
170,T170,T170,Rocco Mediate,53,273.4,184265,674
171,172,172,Kevin Na,84,273.3,258545,946
172,173,173,Greg Chalmers,88,272.6,300458,1102
173,T174,T174,Bryce Molder,82,272.5,269750,990
174,T174,T174,Daniel Summerhays,75,272.5,250717,920
175,176,176,Chris DiMarco,93,272.4,311912,1145
176,177,177,Alex Cejka,59,272.3,177520,652
177,178,178,Marc Turnesa,54,272.2,173921,639
178,179,179,Nick O'Hern,89,272.0,288545,1061
179,180,180,Ben Curtis,66,271.5,235092,866
180,181,181,Nate Smith,66,271.4,201140,741
181,182,182,Paul Goydos,81,270.4,279076,1032
182,183,183,Dean Wilson,62,270.0,213869,792
183,184,184,Jerry Kelly,85,268.9,254907,948
184,185,185,Richard Johnson,64,268.7,202846,755
185,186,186,Brian Gay,90,266.8,274790,1030
