,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
34,T33,T33,Billy Mayfair,29,"23' 0""",7672.5830000000005,334
35,T36,T36,Brian Davis,30,"23' 1""",7904.75,343
36,T36,T36,Steve Stricker,19,"23' 1""",6061.25,263
37,38,38,Jim Furyk,26,"23' 2""",6432.25,278
38,T39,T39,Richard Johnson,23,"23' 5""",6057.3330000000005,259
39,T39,T39,Bo Van Pelt,27,"23' 5""",7810.0830000000005,334
40,41,41,Carl Pettersson,27,"23' 6""",10328.417,440
41,42,42,Nathan Green,26,"23' 8""",8727.583,369
42,T43,T43,Steve Elkington,17,"23' 9""",3968.833,167
43,T43,T43,Marc Turnesa,20,"23' 9""",5510.75,232
44,T45,T45,Jason Bohn,22,"23' 10""",6882.75,289
45,T45,T45,Lucas Glover,23,"23' 10""",7245.25,304
46,T45,T45,J.J. Henry,28,"23' 10""",8145.9169999999995,342
47,T45,T45,Alexandre Rocha,22,"23' 10""",5854.4169999999995,246
48,T49,T49,Stephen Ames,22,"23' 11""",6255.25,262
49,T49,T49,K.J. Choi,22,"23' 11""",6906.8330000000005,289
50,T49,T49,Chris DiMarco,31,"23' 11""",8799.333,368
51,T49,T49,Kevin Streelman,26,"23' 11""",7761.0,324
52,T53,T53,David Mathis,25,"24' 0""",7394.0,308
53,T53,T53,Ryan Moore,22,"24' 0""",6800.0,283
54,T55,T55,John Rollins,27,"24' 1""",7332.25,304
55,T55,T55,Justin Rose,23,"24' 1""",7084.6669999999995,294
56,T57,T57,Scott McCarron,22,"24' 3""",6260.1669999999995,258
57,T57,T57,Vaughn Taylor,27,"24' 3""",9367.833,386
58,T59,T59,Briny Baird,19,"24' 4""",4969.75,204
59,T59,T59,Matt McQuillan,21,"24' 4""",5448.3330000000005,224
60,T59,T59,Sean O'Hair,24,"24' 4""",8211.083,337
61,T59,T59,Webb Simpson,26,"24' 4""",9989.583,411
62,T63,T63,Brendon de Jonge,30,"24' 6""",10587.75,432
63,T63,T63,Jim Herman,22,"24' 6""",8171.9169999999995,333
64,T65,T65,Rich Beem,21,"24' 7""",5261.5,214
65,T65,T65,Chad Campbell,29,"24' 7""",9671.083,394
66,T65,T65,Bill Haas,26,"24' 7""",8501.833,346
67,T68,T68,Robert Allenby,25,"24' 8""",7825.75,317
68,T68,T68,William McGirt,32,"24' 8""",11855.25,481
69,T68,T68,Cameron Tringale,32,"24' 8""",12228.417,496
70,T71,T71,Ernie Els,21,"24' 9""",7382.5830000000005,298
71,T71,T71,Ryuji Imada,29,"24' 9""",9759.333,394
72,73,73,Y.E. Yang,18,"24' 10""",5167.667,208
73,T74,T74,Chris Stroud,28,"24' 11""",10308.833,414
74,T74,T74,Roland Thatcher,22,"24' 11""",7925.0,318
75,T74,T74,Charlie Wi,25,"24' 11""",9552.25,383
76,T77,T77,Greg Chalmers,28,"25' 2""",10174.083,404
77,T77,T77,Nick Watney,22,"25' 2""",8342.167,331
78,T79,T79,Hunter Haas,30,"25' 4""",10279.417,406
79,T79,T79,Tim Petrovic,29,"25' 4""",9165.917,362
80,T79,T79,D.A. Points,26,"25' 4""",8601.0,339
81,T79,T79,John Senden,26,"25' 4""",8862.75,350
82,T83,T83,Brandt Jobe,28,"25' 5""",9219.583,363
83,T83,T83,Kevin Kisner,24,"25' 5""",7471.25,294
84,T83,T83,Bill Lunde,28,"25' 5""",9803.0,386
85,T86,T86,Ben Crane,23,"25' 6""",6679.4169999999995,262
86,T86,T86,Billy Horschel,25,"25' 6""",6792.75,266
87,T88,T88,Troy Merritt,23,"25' 7""",7204.5,282
88,T88,T88,Dean Wilson,22,"25' 7""",6682.75,261
89,T90,T90,Michael Connell,26,"25' 9""",8380.75,325
90,T90,T90,Kevin Stadler,27,"25' 9""",8777.0,341
91,92,92,Tommy Gainey,34,"25' 10""",12347.083,478
92,T93,T93,Jim Renner,22,"25' 11""",7494.5830000000005,289
93,T93,T93,Rory Sabbatini,24,"25' 11""",8799.417,340
94,95,95,Luke Donald,19,"26' 1""",6207.5830000000005,238
