,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
127,T128,T128,Brian Davis,105,65.06,274829.3,422439
128,T128,T128,Paul Stankowski,78,65.06,197871.1,304120
129,130,130,Camilo Villegas,69,65.03,174237.1,267934
130,131,131,Trevor Immelman,84,65.01,201468.9,309922
131,132,132,Jason Bohn,74,64.92,201475.5,310366
132,133,133,Y.E. Yang,63,64.89,130134.3,200560
133,T134,T134,Rich Beem,53,64.79,137105.0,211604
134,T134,T134,Lee Janzen,62,64.79,150370.9,232096
135,136,136,Woody Austin,59,64.78,148526.3,229267
136,137,137,Jarrod Lyle,83,64.77,216094.0,333656
137,138,138,Billy Mayfair,94,64.76,254552.1,393064
138,139,139,Heath Slocum,89,64.74,226279.6,349505
139,140,140,Arjun Atwal,91,64.7,251983.7,389476
140,141,141,Stuart Appleby,65,64.68,184012.9,284506
141,142,142,Ryuji Imada,83,64.65,227933.2,352590
142,T143,T143,Kris Blanks,92,64.64,247494.2,382908
143,T143,T143,Ian Poulter,52,64.64,117584.1,181909
144,T145,T145,Tim Petrovic,88,64.58,229058.2,354692
145,T145,T145,Mark Wilson,89,64.58,209637.2,324619
146,T147,T147,Shane Bertsch,62,64.57,158413.4,245326
147,T147,T147,D.J. Brigman,67,64.57,169332.2,262244
148,149,149,Joe Durant,71,64.54,191624.6,296923
149,150,150,Justin Hicks,60,64.52,134062.4,207782
150,151,151,Charlie Wi,83,64.46,228968.9,355199
151,152,152,Steve Flesch,88,64.39,237951.9,369530
152,153,153,Chris Riley,76,64.28,200774.8,312356
153,154,154,Shaun Micheel,77,64.27,193254.9,300679
154,155,155,Matt McQuillan,59,64.23,145285.0,226180
155,156,156,Aron Price,58,64.22,149906.0,233414
156,157,157,Kent Jones,76,64.21,204290.1,318147
157,158,158,Stephen Ames,69,64.14,178503.6,278295
158,159,159,Rocco Mediate,53,64.1,139857.7,218193
159,160,160,Kevin Na,84,64.03,197958.7,309175
160,T161,T161,K.J. Choi,77,64.02,172609.2,269605
161,T161,T161,Nathan Green,81,64.02,209425.2,327113
162,T161,T161,Garrett Willis,71,64.02,190531.2,297622
163,164,164,Justin Leonard,82,64.0,218228.6,340963
164,165,165,Bryce Molder,82,63.99,207120.1,323674
165,T166,T166,Jim Furyk,87,63.92,209486.9,327752
166,T166,T166,David Toms,78,63.92,175203.4,274083
167,168,168,Johnson Wagner,81,63.91,209543.9,327882
168,169,169,Luke Donald,73,63.9,155599.3,243514
169,170,170,Chris DiMarco,93,63.88,244618.7,382933
170,T171,T171,Michael Connell,76,63.84,215665.0,337817
171,T171,T171,Colt Knost,80,63.84,200397.6,313908
172,173,173,Nick O'Hern,89,63.82,223095.4,349580
173,174,174,David Mathis,83,63.74,210516.6,330290
174,175,175,Daniel Summerhays,75,63.72,194030.4,304526
175,176,176,Zach Johnson,79,63.71,190251.2,298600
176,177,177,Greg Chalmers,88,63.64,234773.9,368932
177,178,178,Alex Cejka,59,63.58,133886.8,210577
178,179,179,Nate Smith,66,63.56,157137.6,247227
179,180,180,Ben Curtis,66,63.43,184530.6,290943
180,181,181,Paul Goydos,81,63.41,214753.2,338664
181,182,182,Dean Wilson,62,63.37,164087.3,258941
182,183,183,Marc Turnesa,54,63.18,134852.7,213429
183,184,184,Jerry Kelly,85,62.95,203719.9,323617
184,185,185,Brian Gay,90,62.73,214924.8,342619
185,186,186,Richard Johnson,64,62.69,157433.9,251123
