,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
78,T78,T78,Shane Bertsch,62,11.05,475.34,43,8.16,15.34
79,T78,T78,Garrett Willis,71,11.05,508.31,46,5.08,15.55
80,81,81,Anthony Kim,72,11.04,662.34,60,8.21,13.89
81,82,82,Luke Donald,73,11.03,529.51,48,8.3,14.78
82,83,83,Chris DiMarco,93,11.02,782.67,71,8.01,16.15
83,84,84,Fabián Gómez,84,11.01,506.47,46,7.85,14.91
84,85,85,Kyle Stanley,98,10.99,747.45,68,6.35,16.07
85,86,86,Jim Furyk,87,10.97,702.17,64,7.84,16.57
86,87,87,Chris Stroud,88,10.95,799.52,73,6.74,16.17
87,88,88,Jeff Overton,92,10.94,765.46,70,1.95,18.31
88,T89,T89,Jason Bohn,74,10.92,699.17,64,7.69,13.12
89,T89,T89,Matt Kuchar,94,10.92,775.23,71,6.93,15.37
90,T89,T89,Andres Romero,77,10.92,699.11,64,6.32,16.62
91,92,92,Alexandre Rocha,65,10.91,425.39,39,7.6,14.06
92,93,93,Brendan Steele,89,10.89,773.15,71,6.67,14.4
93,T94,T94,Ben Curtis,66,10.87,619.46,57,8.28,17.55
94,T94,T94,Brandt Jobe,100,10.87,749.86,69,6.99,15.76
95,96,96,Geoff Ogilvy,69,10.81,562.12,52,8.62,14.05
96,97,97,Charlie Wi,83,10.8,713.04,66,7.2,15.68
97,98,98,Sean O'Hair,71,10.77,484.74,45,4.63,13.99
98,99,99,Steve Flesch,88,10.75,655.98,61,6.43,13.42
99,T100,T100,K.J. Choi,77,10.73,643.71,60,7.85,16.52
100,T100,T100,J.J. Henry,96,10.73,772.54,72,4.92,15.07
101,102,102,D.J. Trahan,91,10.72,782.81,73,4.69,16.2
102,103,103,Steve Stricker,70,10.71,588.99,55,7.93,13.5
103,T104,T104,Andres Gonzales,60,10.7,427.89,40,6.94,16.25
104,T104,T104,Camilo Villegas,69,10.7,545.52,51,5.72,16.12
105,106,106,Richard Johnson,64,10.69,512.94,48,6.33,15.24
106,T107,T107,Colt Knost,80,10.68,630.12,59,8.0,14.63
107,T107,T107,Tag Ridings,87,10.68,630.4,59,6.3,18.52
108,109,109,Steven Bowditch,86,10.65,692.49,65,7.97,13.9
109,110,110,Woody Austin,59,10.63,414.47,39,8.26,15.07
110,T111,T111,Martin Laird,77,10.6,635.73,60,7.32,13.54
111,T111,T111,D.A. Points,89,10.6,710.49,67,7.71,14.72
112,113,113,Spencer Levin,113,10.56,907.83,86,6.64,19.44
113,114,114,Jonathan Byrd,83,10.52,715.44,68,6.58,13.9
114,115,115,Jarrod Lyle,83,10.51,620.0,59,6.64,15.0
115,116,116,Lee Janzen,62,10.5,440.8,42,5.58,13.67
116,117,117,Nate Smith,66,10.44,459.49,44,6.92,14.98
117,118,118,Troy Merritt,63,10.39,478.12,46,6.83,13.86
118,119,119,Jim Herman,69,10.36,455.63,44,6.73,12.79
119,120,120,Cameron Tringale,110,10.35,900.19,87,6.32,14.18
120,121,121,David Duval,67,10.34,496.43,48,8.46,12.89
121,122,122,Webb Simpson,98,10.33,868.12,84,0.76,14.58
122,T123,T123,Stewart Cink,72,10.3,473.8,46,7.63,13.42
123,T123,T123,Zack Miller,86,10.3,525.54,51,6.34,16.95
124,T125,T125,Kris Blanks,92,10.25,779.31,76,6.82,15.41
125,T125,T125,Dustin Johnson,72,10.25,481.67,47,7.69,14.4
126,T125,T125,Jimmy Walker,79,10.25,573.77,56,6.48,16.23
127,128,128,Bill Lunde,92,10.23,736.37,72,7.41,14.26
128,129,129,George McNeill,69,10.19,519.7,51,6.15,13.52
129,T130,T130,Michael Connell,76,10.18,692.55,68,5.28,14.28
130,T130,T130,Scott Gutschewski,67,10.18,437.67,43,6.6,13.1
131,132,132,Robert Karlsson,61,10.14,405.55,40,2.16,13.67
132,133,133,Matt Bettencourt,84,10.12,698.55,69,5.27,14.14
133,T134,T134,Joseph Bramlett,73,10.11,505.31,50,4.35,12.87
134,T134,T134,David Mathis,83,10.11,545.84,54,5.37,12.21
135,136,136,Charl Schwartzel,58,10.1,343.54,34,7.16,11.91
136,137,137,Chris Riley,76,10.07,574.07,57,6.97,12.91
137,138,138,William McGirt,103,10.03,852.17,85,6.49,13.39
138,139,139,Scott McCarron,65,10.02,471.03,47,2.35,14.9
139,140,140,Ángel Cabrera,50,10.01,290.32,29,3.75,13.75
140,141,141,Justin Leonard,82,9.99,629.17,63,3.11,12.36
141,142,142,Tim Petrovic,88,9.98,658.45,66,6.27,13.23
142,143,143,Stephen Ames,69,9.94,476.95,48,7.31,14.46
143,144,144,Jhonattan Vegas,84,9.93,635.54,64,6.01,16.23
144,145,145,Joe Durant,71,9.92,495.78,50,6.65,14.48
145,146,146,Johnson Wagner,81,9.85,679.76,69,3.29,14.65
146,147,147,Kevin Na,84,9.84,462.47,47,6.75,16.77
147,148,148,Graeme McDowell,50,9.83,363.75,37,6.89,14.14
148,149,149,Ian Poulter,52,9.79,381.76,39,6.07,14.36
149,T150,T150,Bio Kim,71,9.74,467.61,48,3.52,13.7
150,T150,T150,Shaun Micheel,77,9.74,506.51,52,4.98,15.07
151,152,152,Blake Adams,116,9.72,748.68,77,4.55,15.42
152,T153,T153,Ryan Moore,79,9.7,552.72,57,5.97,16.43
153,T153,T153,John Senden,94,9.7,746.59,77,5.41,14.95
154,155,155,Matt Jones,71,9.67,493.18,51,5.81,12.85
155,156,156,Gary Woodland,93,9.66,492.86,51,1.49,12.82
156,157,157,Hunter Haas,96,9.6,729.87,76,0.56,16.59
157,158,158,Adam Scott,60,9.56,401.32,42,5.92,13.09
158,159,159,Stuart Appleby,65,9.48,521.23,55,3.75,15.02
159,160,160,Chris Couch,73,9.44,462.66,49,6.32,15.93
160,161,161,Ryuji Imada,83,9.41,705.74,75,3.65,18.96
161,162,162,Kevin Streelman,90,9.35,560.72,60,4.92,13.41
162,163,163,Scott Stallings,84,9.3,604.25,65,3.96,12.76
163,164,164,Bobby Gates,82,9.29,510.78,55,1.45,14.6
164,T165,T165,Bill Haas,93,9.27,602.46,65,6.63,13.27
165,T165,T165,Y.E. Yang,63,9.27,389.31,42,3.25,16.25
166,167,167,Bryce Molder,82,9.2,533.5,58,6.38,13.47
167,168,168,Rod Pampling,72,9.16,421.56,46,1.18,12.49
168,169,169,Lucas Glover,74,9.15,512.5,56,5.43,12.84
169,170,170,Freddie Jacobson,92,9.13,584.13,64,2.84,13.29
170,171,171,Greg Chalmers,88,9.12,601.85,66,3.48,13.66
171,172,172,Michael Bradley,74,9.07,489.68,54,1.38,13.28
172,173,173,Boo Weekley,66,9.01,441.58,49,5.21,12.27
173,174,174,Chad Campbell,99,8.99,674.36,75,0.71,13.9
174,175,175,Sergio Garcia,61,8.9,373.6,42,0.4,13.26
175,176,176,James Driscoll,71,8.8,475.26,54,2.54,11.27
176,177,177,Bubba Watson,85,8.78,456.51,52,3.24,16.25
177,178,178,Nick Watney,80,8.67,555.03,64,1.33,11.85
178,T179,T179,Aaron Baddeley,77,8.59,480.89,56,3.32,16.15
179,T179,T179,Daniel Summerhays,75,8.59,472.71,55,2.99,12.5
180,181,181,Ricky Barnes,78,8.28,463.45,56,1.08,11.31
181,182,182,Nathan Green,81,8.23,444.32,54,1.46,11.35
182,183,183,Charles Howell III,108,8.22,690.07,84,1.53,11.38
183,184,184,Brendon de Jonge,105,8.19,704.35,86,3.32,12.34
184,185,185,Tom Gillis,55,7.95,381.38,48,1.26,11.46
185,186,186,Trevor Immelman,84,7.28,385.76,53,1.29,11.1
