,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
97,T96,T96,Sean O'Hair,70.69,3464,49
98,99,99,Martin Laird,70.71,3889,55
99,100,100,Woody Austin,70.72,4314,61
100,101,101,John Daly,70.73,2829,40
101,T102,T102,Blake Adams,70.75,3891,55
102,T102,T102,Scott McCarron,70.75,4316,61
103,T102,T102,Brett Wetterich,70.75,2264,32
104,T105,T105,Kenny Perry,70.76,2689,38
105,T105,T105,Johnson Wagner,70.76,4104,58
106,107,107,Adam Scott,70.77,2760,39
107,T108,T108,Michael Bradley,70.78,3539,50
108,T108,T108,Josh Teater,70.78,4601,65
109,110,110,Chris Stroud,70.81,4036,57
110,111,111,George McNeill,70.82,3966,56
111,112,112,Scott Piercy,70.84,4109,58
112,113,113,Steve Marino,70.85,3401,48
113,114,114,Alex Cejka,70.86,4039,57
114,T115,T115,James Driscoll,70.87,3756,53
115,T115,T115,Will MacKenzie,70.87,3260,46
116,T117,T117,Joe Ogilvie,70.88,4749,67
117,T117,T117,Tim Petrovic,70.88,4749,67
118,T117,T117,Michael Sim,70.88,2835,40
119,120,120,Ian Poulter,70.89,1985,28
120,121,121,D.A. Points,70.9,4254,60
121,122,122,Vijay Singh,70.91,3191,45
122,T123,T123,Stewart Cink,70.93,3121,44
123,T123,T123,Charles Warren,70.93,2979,42
124,T125,T125,Ben Curtis,70.94,3405,48
125,T125,T125,Nathan Green,70.94,3831,54
126,T125,T125,Skip Kendall,70.94,2554,36
127,T125,T125,James Nitties,70.94,4398,62
128,129,129,Davis Love III,70.98,3478,49
129,130,130,Jeff Maggert,71.04,3907,55
130,T131,T131,John Mallinger,71.05,4192,59
131,T131,T131,Jimmy Walker,71.05,4050,57
132,133,133,Greg Owen,71.06,3695,52
133,134,134,Troy Matteson,71.07,3980,56
134,T135,T135,Geoff Ogilvy,71.08,2559,36
135,T135,T135,Mike Weir,71.08,2772,39
136,137,137,Sergio Garcia,71.1,2062,29
137,T138,T138,Bob Estes,71.11,3911,55
138,T138,T138,Rod Pampling,71.11,3911,55
139,T138,T138,Mark Wilson,71.11,4053,57
140,141,141,Cameron Percy,71.12,3698,52
141,142,142,Billy Mayfair,71.13,3770,53
142,T143,T143,Matt Bettencourt,71.18,4627,65
143,T143,T143,Brian Davis,71.18,4698,66
144,T143,T143,Roger Tambellini,71.18,3915,55
145,T146,T146,Kris Blanks,71.19,4414,62
146,T146,T146,Omar Uresti,71.19,4058,57
147,T148,T148,Trevor Immelman,71.21,2706,38
148,T148,T148,Marc Leishman,71.21,3774,53
149,T150,T150,Troy Merritt,71.25,4346,61
150,T150,T150,Steve Wheatcroft,71.25,3919,55
151,152,152,Ryan Palmer,71.26,4062,57
152,T153,T153,Stuart Appleby,71.3,4492,63
153,T153,T153,Brent Delahoussaye,71.3,3066,43
154,155,155,Roland Thatcher,71.31,3708,52
155,156,156,Rocco Mediate,71.33,3638,51
156,T157,T157,Martin Flores,71.35,3924,55
157,T157,T157,Scott Verplank,71.35,3068,43
158,159,159,Jason Dufner,71.38,3712,52
159,160,160,Ángel Cabrera,71.39,2570,36
160,161,161,Cameron Tringale,71.42,3214,45
161,162,162,Rory Sabbatini,71.43,3643,51
162,T163,T163,Henrik Bjornstad,71.44,3929,55
163,T163,T163,Brian Stuard,71.44,4072,57
164,T163,T163,Nicholas Thompson,71.44,4358,61
165,166,166,Bill Lunde,71.45,4144,58
166,167,167,Brenden Pappas,71.49,3646,51
167,168,168,Cameron Beckman,71.5,3718,52
168,169,169,Derek Lamely,71.51,4076,57
169,170,170,Garth Mulroy,71.54,2933,41
170,171,171,Y.E. Yang,71.55,2862,40
171,172,172,Mathias Grönberg,71.6,3222,45
172,173,173,David Duval,71.61,3652,51
173,174,174,Mathew Goggin,71.66,4228,59
174,175,175,Ted Purdy,71.67,4515,63
175,176,176,Andrew McLardy,71.76,3014,42
176,177,177,Mark Calcavecchia,71.79,2441,34
177,T178,T178,Steve Lowery,71.83,3807,53
178,T178,T178,Rory McIlroy,71.83,2155,30
179,180,180,Jeff Gove,71.85,3377,47
180,181,181,Vance Veazey,71.87,3306,46
181,182,182,Steve Flesch,71.88,3738,52
182,183,183,Daniel Chopra,71.93,4172,58
183,T184,T184,Rich Barcelo,72.0,3672,51
184,T184,T184,David Lutterus,72.0,3816,53
185,186,186,Craig Bowden,72.05,2882,40
186,187,187,Chris Wilson,72.11,3894,54
187,188,188,Jerod Turner,72.43,2897,40
188,189,189,Justin Bolli,72.45,3550,49
189,190,190,Kevin Johnson,72.56,3918,54
190,191,191,Brad Faxon,72.67,3488,48
191,192,192,Greg Kraft,72.78,3275,45
