,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
78,T79,T79,Davis Love III,79,20.32,289,1422,13
79,T79,T79,Cameron Percy,73,20.32,267,1314,11
80,81,81,Hunter Mahan,85,20.3,307,1512,49
81,82,82,Martin Laird,91,20.27,332,1638,77
82,T83,T83,Marc Leishman,87,20.24,317,1566,104
83,T83,T83,Andres Romero,73,20.24,266,1314,157
84,85,85,Michael Connell,89,20.16,323,1602,95
85,86,86,Carl Pettersson,99,20.15,359,1782,169
86,87,87,Chris Tidland,77,20.13,279,1386,117
87,88,88,Charles Howell III,103,20.12,373,1854,54
88,89,89,Justin Leonard,89,20.08,318,1584,156
89,90,90,Johnson Wagner,85,20.07,307,1530,61
90,91,91,John Merrick,109,20.03,393,1962,14
91,92,92,John Senden,103,20.01,371,1854,1
92,93,93,Greg Chalmers,93,19.95,334,1674,129
93,94,94,Michael Sim,64,19.93,226,1134,149
94,95,95,Joe Ogilvie,99,19.92,355,1782,125
95,T96,T96,Blake Adams,84,19.91,301,1512,102
96,T96,T96,Camilo Villegas,78,19.91,258,1296,127
97,T98,T98,Stephen Ames,75,19.89,265,1332,79
98,T98,T98,Woody Austin,93,19.89,333,1674,72
99,T100,T100,Tim Clark,88,19.87,304,1530,102
100,T100,T100,David Duval,71,19.87,254,1278,124
101,T100,T100,Sergio Garcia,58,19.87,186,936,123
102,103,103,Dean Wilson,54,19.86,193,972,42
103,104,104,Ángel Cabrera,64,19.84,225,1134,141
104,105,105,Steve Wheatcroft,74,19.82,264,1332,170
105,T106,T106,Chad Collins,87,19.8,310,1566,172
106,T106,T106,James Driscoll,78,19.8,278,1404,97
107,108,108,Matt Bettencourt,91,19.78,324,1638,189
108,T109,T109,Chad Campbell,94,19.77,331,1674,39
109,T109,T109,Luke Donald,71,19.77,242,1224,152
110,T109,T109,Kevin Sutherland,86,19.77,306,1548,2
111,112,112,Rory McIlroy,54,19.76,185,936,120
112,113,113,Brett Quigley,96,19.73,341,1728,16
113,114,114,Ryuji Imada,90,19.69,319,1620,165
114,115,115,Will MacKenzie,72,19.68,255,1296,56
115,116,116,Josh Teater,101,19.64,357,1818,45
116,T117,T117,D.A. Points,90,19.63,318,1620,74
117,T117,T117,Nicholas Thompson,88,19.63,311,1584,75
118,119,119,Heath Slocum,97,19.59,342,1746,32
119,120,120,Tim Petrovic,105,19.58,370,1890,118
120,121,121,Jarrod Lyle,54,19.55,190,972,149
121,122,122,Jay Williamson,76,19.52,267,1368,43
122,123,123,Mathias Grönberg,61,19.49,214,1098,99
123,124,124,Jerry Kelly,99,19.47,347,1782,88
124,T125,T125,Steve Elkington,74,19.44,259,1332,47
125,T125,T125,Scott McCarron,90,19.44,315,1620,140
126,T125,T125,Shaun Micheel,70,19.44,245,1260,163
127,128,128,Lee Janzen,77,19.41,269,1386,84
128,129,129,Tom Pernice Jr.,74,19.37,258,1332,25
129,130,130,Scott Verplank,74,19.33,254,1314,168
130,T131,T131,Jeff Maggert,76,19.3,264,1368,100
131,T131,T131,John Mallinger,78,19.3,271,1404,94
132,133,133,Jason Dufner,87,19.22,301,1566,104
133,134,134,Garth Mulroy,53,19.18,183,954,17
134,135,135,Brian Gay,101,19.16,338,1764,171
135,136,136,Padraig Harrington,57,19.15,193,1008,184
136,137,137,Tim Herron,79,19.13,272,1422,113
137,138,138,Michael Bradley,77,19.12,265,1386,49
138,T139,T139,Brian Stuard,81,19.07,278,1458,158
139,T139,T139,Boo Weekley,88,19.07,302,1584,17
140,141,141,Chris Riley,73,19.03,250,1314,92
141,T142,T142,Derek Lamely,81,19.0,277,1458,183
142,T142,T142,Greg Owen,69,19.0,236,1242,41
143,144,144,Skip Kendall,58,18.97,198,1044,179
144,T145,T145,Sean O'Hair,84,18.9,279,1476,63
145,T145,T145,Mark Wilson,87,18.9,296,1566,12
146,T147,T147,Kris Blanks,91,18.86,309,1638,8
147,T147,T147,Brenden Pappas,66,18.86,224,1188,115
148,149,149,J.J. Henry,92,18.78,311,1656,46
149,150,150,Daniel Chopra,74,18.77,250,1332,187
150,151,151,Steve Flesch,78,18.73,263,1404,176
151,T152,T152,Alex Cejka,81,18.72,273,1458,109
152,T152,T152,Troy Matteson,84,18.72,283,1512,5
153,154,154,Stuart Appleby,101,18.7,340,1818,185
154,T155,T155,Chris DiMarco,88,18.69,296,1584,91
155,T155,T155,Cameron Tringale,55,18.69,185,990,15
156,157,157,Bob Estes,79,18.64,265,1422,79
157,158,158,Richard Johnson,90,18.52,300,1620,58
158,159,159,Ted Purdy,86,18.48,286,1548,167
159,160,160,Cameron Beckman,68,18.46,226,1224,122
160,161,161,Brian Davis,101,18.43,335,1818,175
161,162,162,Billy Mayfair,78,18.38,258,1404,29
162,163,163,Nathan Green,86,18.35,284,1548,174
163,164,164,Briny Baird,87,18.33,287,1566,33
164,165,165,Kenny Perry,69,18.3,224,1224,40
165,166,166,Rich Barcelo,70,18.25,230,1260,186
166,167,167,Mathew Goggin,85,18.17,278,1530,26
167,168,168,Jeev Milkha Singh,59,18.15,183,1008,152
168,169,169,Mike Weir,59,18.03,185,1026,192
169,170,170,Bill Lunde,79,18.0,256,1422,139
170,171,171,Steve Lowery,67,17.99,217,1206,143
171,172,172,Brad Faxon,58,17.91,187,1044,190
172,173,173,Jerod Turner,54,17.9,174,972,191
173,174,174,Chris Wilson,65,17.86,209,1170,173
174,175,175,Roland Thatcher,72,17.82,231,1296,136
175,176,176,Roger Tambellini,77,17.75,246,1386,27
176,177,177,Ian Poulter,55,17.69,156,882,181
177,178,178,Cliff Kresge,50,17.56,158,900,104
178,T179,T179,Rocco Mediate,71,17.53,224,1278,35
179,T179,T179,Vance Veazey,58,17.53,183,1044,177
180,181,181,Andrew McLardy,52,17.52,164,936,132
181,182,182,Rod Pampling,77,17.39,241,1386,159
182,183,183,Kevin Johnson,62,17.38,194,1116,180
183,184,184,Ben Curtis,78,17.24,242,1404,69
184,185,185,David Lutterus,69,17.15,213,1242,166
185,186,186,Trevor Immelman,55,16.77,166,990,126
186,187,187,Omar Uresti,74,16.67,222,1332,63
187,188,188,Brent Delahoussaye,57,16.47,169,1026,98
188,189,189,Jeff Gove,57,16.28,167,1026,28
189,190,190,Justin Bolli,55,15.86,157,990,160
190,191,191,Greg Kraft,52,15.6,146,936,188
191,192,192,Craig Bowden,56,15.58,157,1008,178
