,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
46,T47,T47,Ernie Els,72,70.37,4926,70
47,T47,T47,D.J. Trahan,92,70.37,6474,92
48,49,49,John Senden,103,70.38,7249,103
49,50,50,K.J. Choi,82,70.39,5772,82
50,51,51,Nick Watney,91,70.41,6196,88
51,T52,T52,Jason Day,82,70.43,5775,82
52,T52,T52,Ryuji Imada,90,70.43,6339,90
53,T52,T52,Tom Pernice Jr.,74,70.43,5212,74
54,T52,T52,John Rollins,81,70.43,5705,81
55,T56,T56,Jeff Quinney,91,70.44,6410,91
56,T56,T56,Brett Wetterich,54,70.44,3804,54
57,T58,T58,Chad Campbell,94,70.46,6553,93
58,T58,T58,Dustin Johnson,83,70.46,5778,82
59,60,60,Ricky Barnes,103,70.47,7258,103
60,T61,T61,J.J. Henry,92,70.48,6484,92
61,T61,T61,Michael Sim,64,70.48,4440,63
62,T61,T61,Kevin Streelman,90,70.48,6343,90
63,T61,T61,Boo Weekley,88,70.48,6202,88
64,65,65,Brian Gay,101,70.49,6908,98
65,66,66,Michael Letzig,84,70.5,5922,84
66,T67,T67,Stephen Ames,75,70.51,5218,74
67,T67,T67,Michael Connell,89,70.51,6275,89
68,T67,T67,Alex Prugh,88,70.51,6205,88
69,70,70,J.P. Hayes,79,70.52,5571,79
70,T71,T71,Robert Allenby,76,70.53,5219,74
71,T71,T71,Scott McCarron,90,70.53,6348,90
72,T71,T71,Charles Warren,64,70.53,4514,64
73,74,74,Heath Slocum,97,70.54,6842,97
74,75,75,Stewart Cink,84,70.55,5644,80
75,T76,T76,Ryan Palmer,84,70.56,5927,84
76,T76,T76,Vaughn Taylor,87,70.56,6139,87
77,78,78,Shaun Micheel,70,70.57,4940,70
78,79,79,Zach Johnson,93,70.59,6424,91
79,T80,T80,Aaron Baddeley,94,70.61,6637,94
80,T80,T80,Justin Leonard,89,70.61,6214,88
81,82,82,Jay Williamson,76,70.62,5367,76
82,83,83,Mark Wilson,87,70.63,6145,87
83,T84,T84,Jason Bohn,84,70.64,5934,84
84,T84,T84,James Driscoll,78,70.64,5510,78
85,T84,T84,Hunter Mahan,85,70.64,5934,84
86,87,87,Scott Piercy,88,70.65,6217,88
87,T88,T88,Woody Austin,93,70.67,6572,93
88,T88,T88,Chris Stroud,90,70.67,6360,90
89,T90,T90,Matt Every,60,70.68,4241,60
90,T90,T90,Richard Johnson,90,70.68,6361,90
91,T90,T90,Ryan Moore,80,70.68,5584,79
92,T93,T93,Blake Adams,84,70.69,5938,84
93,T93,T93,Michael Bradley,77,70.69,5443,77
94,T93,T93,Brett Quigley,96,70.69,6786,96
95,T93,T93,Vijay Singh,75,70.69,5231,74
96,T97,T97,Jarrod Lyle,54,70.7,3818,54
97,T97,T97,Garrett Willis,82,70.7,5797,82
98,T99,T99,Will MacKenzie,72,70.72,5092,72
99,T99,T99,John Merrick,109,70.72,7708,109
100,T99,T99,Tim Petrovic,105,70.72,7426,105
101,T102,T102,Bob Estes,79,70.75,5589,79
102,T102,T102,Andres Romero,73,70.75,5165,73
103,104,104,Kevin Stadler,86,70.76,6085,86
104,105,105,Jimmy Walker,82,70.77,5803,82
105,T106,T106,Padraig Harrington,57,70.79,3964,56
106,T106,T106,Sean O'Hair,84,70.79,5805,82
107,T106,T106,D.A. Points,90,70.79,6371,90
108,T109,T109,Jerry Kelly,99,70.8,7009,99
109,T109,T109,Geoff Ogilvy,62,70.8,4248,60
110,T111,T111,Lee Janzen,77,70.81,5452,77
111,T111,T111,Davis Love III,79,70.81,5594,79
112,T113,T113,Robert Garrigus,71,70.82,5028,71
113,T113,T113,Martin Laird,91,70.82,6445,91
114,T115,T115,Marc Leishman,87,70.83,6162,87
115,T115,T115,Troy Matteson,84,70.83,5950,84
116,T115,T115,James Nitties,92,70.83,6516,92
117,118,118,Adam Scott,70,70.84,4817,68
118,119,119,Josh Teater,101,70.86,7157,101
119,120,120,Kenny Perry,69,70.88,4820,68
120,121,121,Camilo Villegas,78,70.9,5105,72
121,T122,T122,Tim Herron,79,70.91,5602,79
122,T122,T122,Chris Tidland,77,70.91,5460,77
123,124,124,Johnson Wagner,85,70.92,6028,85
124,125,125,Rory McIlroy,54,70.94,3689,52
125,126,126,Joe Ogilvie,99,70.96,7025,99
126,T127,T127,Ben Curtis,78,70.97,5536,78
127,T127,T127,Billy Mayfair,78,70.97,5536,78
128,129,129,Steve Marino,81,70.99,5750,81
129,T130,T130,George McNeill,79,71.0,5609,79
130,T130,T130,Cameron Percy,73,71.0,5183,73
131,132,132,John Mallinger,78,71.01,5539,78
132,133,133,Troy Merritt,86,71.02,6108,86
133,T134,T134,Kris Blanks,91,71.03,6464,91
134,T134,T134,Lucas Glover,75,71.03,5256,74
135,T136,T136,Cliff Kresge,50,71.04,3552,50
136,T136,T136,Scott Verplank,74,71.04,5186,73
137,138,138,Cameron Beckman,68,71.06,4832,68
138,139,139,Rocco Mediate,71,71.08,5047,71
139,140,140,Jeff Maggert,76,71.09,5403,76
140,T141,T141,Skip Kendall,58,71.14,4126,58
141,T141,T141,Omar Uresti,74,71.14,5264,74
142,T143,T143,Brian Davis,101,71.15,7186,101
143,T143,T143,Cameron Tringale,55,71.15,3913,55
144,T145,T145,Stuart Appleby,101,71.17,7188,101
145,T145,T145,Ángel Cabrera,64,71.17,4484,63
146,T145,T145,Rory Sabbatini,79,71.17,5551,78
147,T145,T145,Y.E. Yang,72,71.17,4982,70
148,149,149,Rod Pampling,77,71.18,5481,77
149,150,150,John Daly,63,71.21,4486,63
150,151,151,Jason Dufner,87,71.22,6196,87
151,152,152,Brenden Pappas,66,71.23,4701,66
152,153,153,Brian Stuard,81,71.25,5771,81
153,T154,T154,Henrik Bjornstad,72,71.28,5132,72
154,T154,T154,Nathan Green,86,71.28,6130,86
155,T156,T156,Alex Cejka,81,71.31,5776,81
156,T156,T156,Mathew Goggin,85,71.31,6061,85
157,158,158,Paul Goydos,78,71.35,5565,78
158,T159,T159,Mathias Grönberg,61,71.36,4353,61
159,T159,T159,Trevor Immelman,55,71.36,3925,55
160,161,161,Bill Lunde,79,71.37,5638,79
161,T162,T162,Matt Bettencourt,91,71.38,6496,91
162,T162,T162,Derek Lamely,81,71.38,5782,81
163,164,164,Martin Flores,75,71.39,5354,75
164,165,165,Nicholas Thompson,88,71.41,6284,88
165,166,166,Greg Owen,69,71.45,4930,69
166,T167,T167,Garth Mulroy,53,71.49,3789,53
167,T167,T167,Roger Tambellini,77,71.49,5505,77
168,169,169,Roland Thatcher,72,71.51,5149,72
169,170,170,Ian Poulter,55,71.53,3505,49
170,T171,T171,Brent Delahoussaye,57,71.54,4078,57
171,T171,T171,Sergio Garcia,58,71.54,3720,52
172,173,173,Steve Wheatcroft,74,71.57,5296,74
173,174,174,David Duval,71,71.59,5083,71
174,175,175,Steve Flesch,78,71.62,5586,78
175,176,176,Ted Purdy,86,71.64,6161,86
176,177,177,Rich Barcelo,70,71.69,5018,70
177,178,178,Mike Weir,59,71.77,4091,57
178,T179,T179,Daniel Chopra,74,71.85,5317,74
179,T179,T179,Andrew McLardy,52,71.85,3736,52
180,181,181,Steve Lowery,67,71.87,4815,67
181,182,182,Jeff Gove,57,71.89,4098,57
182,183,183,David Lutterus,69,71.97,4966,69
183,184,184,Craig Bowden,56,72.07,4036,56
184,185,185,Mark Calcavecchia,50,72.1,3605,50
185,186,186,Jerod Turner,54,72.13,3895,54
186,187,187,Chris Wilson,65,72.2,4693,65
187,188,188,Vance Veazey,58,72.22,4189,58
188,189,189,Justin Bolli,55,72.4,3982,55
189,190,190,Kevin Johnson,62,72.48,4494,62
190,191,191,Brad Faxon,58,72.71,4217,58
191,192,192,Greg Kraft,52,72.73,3782,52
