,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
113,T114,T114,Robert Allenby,76,16.67,222,1332
114,T114,T114,Martin Laird,91,16.67,273,1638
115,T114,T114,Jarrod Lyle,54,16.67,162,972
116,117,117,Aaron Baddeley,94,16.73,283,1692
117,118,118,Chris Couch,66,16.75,199,1188
118,119,119,Geoff Ogilvy,62,16.76,181,1080
119,120,120,Billy Mayfair,78,16.81,236,1404
120,121,121,Charles Warren,64,16.84,194,1152
121,T122,T122,Trevor Immelman,55,16.87,167,990
122,T122,T122,Steve Marino,81,16.87,246,1458
123,124,124,Lee Janzen,77,16.88,234,1386
124,T125,T125,Brian Davis,101,16.89,307,1818
125,T125,T125,Cameron Percy,73,16.89,222,1314
126,127,127,Scott Verplank,74,16.97,223,1314
127,128,128,Y.E. Yang,72,16.98,214,1260
128,129,129,Dustin Johnson,83,17.01,251,1476
129,T130,T130,Jeff Maggert,76,17.03,233,1368
130,T130,T130,Chris Tidland,77,17.03,236,1386
131,132,132,Rocco Mediate,71,17.06,218,1278
132,T133,T133,Davis Love III,79,17.09,243,1422
133,T133,T133,Bill Lunde,79,17.09,243,1422
134,135,135,Skip Kendall,58,17.15,179,1044
135,T136,T136,Joe Ogilvie,99,17.17,306,1782
136,T136,T136,Scott Piercy,88,17.17,272,1584
137,138,138,Nathan Green,86,17.18,266,1548
138,139,139,Ian Poulter,55,17.23,152,882
139,140,140,Marc Leishman,87,17.24,270,1566
140,T141,T141,Ryan Palmer,84,17.26,261,1512
141,T141,T141,Brenden Pappas,66,17.26,205,1188
142,143,143,Jason Dufner,87,17.37,272,1566
143,144,144,Michael Letzig,84,17.39,263,1512
144,145,145,Camilo Villegas,78,17.44,226,1296
145,146,146,Brent Delahoussaye,57,17.45,179,1026
146,147,147,Vijay Singh,75,17.49,233,1332
147,148,148,Roger Tambellini,77,17.53,243,1386
148,149,149,Justin Leonard,89,17.55,278,1584
149,150,150,Greg Owen,69,17.71,220,1242
150,151,151,Adam Scott,70,17.73,217,1224
151,152,152,Roland Thatcher,72,17.75,230,1296
152,153,153,Alex Cejka,81,17.76,259,1458
153,154,154,Matt Every,60,17.78,192,1080
154,155,155,Stuart Appleby,101,17.82,324,1818
155,156,156,Brian Stuard,81,17.83,260,1458
156,157,157,Rory Sabbatini,79,17.88,251,1404
157,158,158,David Duval,71,17.92,229,1278
158,159,159,Lucas Glover,75,18.02,240,1332
159,160,160,Jeff Gove,57,18.03,185,1026
160,161,161,George McNeill,79,18.07,257,1422
161,162,162,Henrik Bjornstad,72,18.13,235,1296
162,163,163,Mathias Grönberg,61,18.21,200,1098
163,164,164,Paul Goydos,78,18.23,256,1404
164,165,165,Garth Mulroy,53,18.24,174,954
165,166,166,Andrew McLardy,52,18.27,171,936
166,167,167,Troy Merritt,86,18.28,283,1548
167,168,168,Sergio Garcia,58,18.38,172,936
168,169,169,Robert Garrigus,71,18.39,235,1278
169,170,170,Ángel Cabrera,64,18.43,209,1134
170,171,171,Rich Barcelo,70,18.49,233,1260
171,172,172,Derek Lamely,81,18.52,270,1458
172,173,173,Craig Bowden,56,18.55,187,1008
173,174,174,Martin Flores,75,18.67,252,1350
174,175,175,Daniel Chopra,74,18.69,249,1332
175,176,176,David Lutterus,69,18.76,233,1242
176,177,177,Matt Bettencourt,91,18.8,308,1638
177,178,178,Nicholas Thompson,88,18.94,300,1584
178,179,179,Steve Flesch,78,19.09,268,1404
179,180,180,Justin Bolli,55,19.19,190,990
180,181,181,Steve Wheatcroft,74,19.29,257,1332
181,182,182,Mike Weir,59,19.3,198,1026
182,183,183,John Daly,63,19.31,219,1134
183,184,184,Ted Purdy,86,19.51,302,1548
184,185,185,Steve Lowery,67,19.57,236,1206
185,186,186,Chris Wilson,65,19.91,233,1170
186,187,187,Kevin Johnson,62,20.43,228,1116
187,188,188,Mark Calcavecchia,50,20.67,186,900
188,189,189,Greg Kraft,52,20.83,195,936
189,190,190,Vance Veazey,58,21.17,221,1044
190,191,191,Jerod Turner,54,21.6,210,972
191,192,192,Brad Faxon,58,22.99,240,1044
