,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
45,T44,T44,Scott McCarron,90,180.0,1620,9
46,47,47,Josh Teater,101,181.8,1818,10
47,48,48,John Rollins,81,182.3,1458,8
48,49,49,Ben Crane,85,184.5,1476,8
49,50,50,Ricky Barnes,103,185.4,1854,10
50,51,51,Woody Austin,93,186.0,1674,9
51,52,52,Brendon de Jonge,114,186.5,2052,11
52,53,53,Matt Kuchar,97,190.0,1710,9
53,54,54,Lucas Glover,75,190.3,1332,7
54,55,55,Tom Gillis,97,194.0,1746,9
55,T56,T56,Joe Ogilvie,99,198.0,1782,9
56,T56,T56,Carl Pettersson,99,198.0,1782,9
57,T56,T56,Cameron Tringale,55,198.0,990,5
58,T56,T56,Boo Weekley,88,198.0,1584,8
59,60,60,Michael Connell,89,200.3,1602,8
60,61,61,James Driscoll,78,200.6,1404,7
61,62,62,Joe Durant,67,201.0,1206,6
62,63,63,Padraig Harrington,57,201.6,1008,5
63,64,64,Charles Howell III,103,206.0,1854,9
64,65,65,James Nitties,92,207.0,1656,8
65,66,66,Alex Cejka,81,208.3,1458,7
66,67,67,Camilo Villegas,78,216.0,1296,6
67,68,68,Mathew Goggin,85,218.6,1530,7
68,69,69,Webb Simpson,98,220.5,1764,8
69,70,70,Troy Merritt,86,221.1,1548,7
70,71,71,Chad Collins,87,223.7,1566,7
71,T72,T72,Mark Calcavecchia,50,225.0,900,4
72,T72,T72,Cliff Kresge,50,225.0,900,4
73,74,74,Brandt Snedeker,89,228.9,1602,7
74,75,75,Lee Janzen,77,231.0,1386,6
75,76,76,J.J. Henry,92,236.6,1656,7
76,T77,T77,J.P. Hayes,79,237.0,1422,6
77,T77,T77,Ryan Moore,80,237.0,1422,6
78,79,79,Steve Marino,81,243.0,1458,6
79,80,80,K.J. Choi,82,246.0,1476,6
80,81,81,Trevor Immelman,55,247.5,990,4
81,T82,T82,Blake Adams,84,252.0,1512,6
82,T82,T82,Jason Bohn,84,252.0,1512,6
83,T82,T82,Troy Matteson,84,252.0,1512,6
84,T82,T82,Ryan Palmer,84,252.0,1512,6
85,T82,T82,Aron Price,70,252.0,1260,5
86,T82,T82,Jeev Milkha Singh,59,252.0,1008,4
87,88,88,Jerry Kelly,99,254.6,1782,7
88,T89,T89,Jonathan Byrd,85,255.0,1530,6
89,T89,T89,Johnson Wagner,85,255.0,1530,6
90,91,91,Robert Garrigus,71,255.6,1278,5
91,T92,T92,Will MacKenzie,72,259.2,1296,5
92,T92,T92,Steve Stricker,73,259.2,1296,5
93,94,94,Stuart Appleby,101,259.7,1818,7
94,T95,T95,Vaughn Taylor,87,261.0,1566,6
95,T95,T95,Vance Veazey,58,261.0,1044,4
96,97,97,Chris Riley,73,262.8,1314,5
97,98,98,Nicholas Thompson,88,264.0,1584,6
98,T99,T99,Daniel Chopra,74,266.4,1332,5
99,T99,T99,Steve Elkington,74,266.4,1332,5
100,T99,T99,Tom Pernice Jr.,74,266.4,1332,5
101,T102,T102,Martin Flores,75,270.0,1350,5
102,T102,T102,D.A. Points,90,270.0,1620,6
103,T102,T102,Kevin Streelman,90,270.0,1620,6
104,T105,T105,Jeff Maggert,76,273.6,1368,5
105,T105,T105,Jay Williamson,76,273.6,1368,5
106,T107,T107,Greg Chalmers,93,279.0,1674,6
107,T107,T107,Kevin Johnson,62,279.0,1116,4
108,T109,T109,John Mallinger,78,280.8,1404,5
109,T109,T109,Rory Sabbatini,79,280.8,1404,5
110,111,111,Ángel Cabrera,64,283.5,1134,4
111,112,112,Brett Quigley,96,288.0,1728,6
112,T113,T113,Jason Day,82,295.2,1476,5
113,T113,T113,Jimmy Walker,82,295.2,1476,5
114,T113,T113,Garrett Willis,82,295.2,1476,5
115,116,116,Steve Lowery,67,301.5,1206,4
116,117,117,Brian Davis,101,303.0,1818,6
117,118,118,Tim Clark,88,306.0,1530,5
118,119,119,Nathan Green,86,309.6,1548,5
119,120,120,David Lutterus,69,310.5,1242,4
120,121,121,Bo Van Pelt,104,312.0,1872,6
121,122,122,Briny Baird,87,313.2,1566,5
122,123,123,Y.E. Yang,72,315.0,1260,4
123,T124,T124,Graham DeLaet,88,316.8,1584,5
124,T124,T124,Chris DiMarco,88,316.8,1584,5
125,T124,T124,Justin Leonard,89,316.8,1584,5
126,127,127,Retief Goosen,75,319.5,1278,4
127,T128,T128,Henrik Bjornstad,72,324.0,1296,4
128,T128,T128,Jarrod Lyle,54,324.0,972,3
129,T128,T128,Roland Thatcher,72,324.0,1296,4
130,T128,T128,Brett Wetterich,54,324.0,972,3
131,132,132,John Merrick,109,327.0,1962,6
132,133,133,Scott Verplank,74,328.5,1314,4
133,T134,T134,Stephen Ames,75,333.0,1332,4
134,T134,T134,Steve Wheatcroft,74,333.0,1332,4
135,T136,T136,Chad Campbell,94,334.8,1674,5
136,T136,T136,Kevin Na,94,334.8,1674,5
137,T138,T138,Jeff Gove,57,342.0,1026,3
138,T138,T138,Charlie Wi,95,342.0,1710,5
139,T140,T140,Roger Tambellini,77,346.5,1386,4
140,T140,T140,Chris Tidland,77,346.5,1386,4
141,142,142,Skip Kendall,58,348.0,1044,3
142,143,143,Paul Goydos,78,351.0,1404,4
143,144,144,Tim Herron,79,355.5,1422,4
144,145,145,Matt Every,60,360.0,1080,3
145,146,146,Brian Stuard,81,364.5,1458,4
146,147,147,John Senden,103,370.8,1854,5
147,148,148,Bryce Molder,84,378.0,1512,4
148,149,149,David Toms,86,382.5,1530,4
149,150,150,Chris Wilson,65,390.0,1170,3
150,T151,T151,Marc Leishman,87,391.5,1566,4
151,T151,T151,Mark Wilson,87,391.5,1566,4
152,153,153,Brenden Pappas,66,396.0,1188,3
153,T154,T154,Ryuji Imada,90,405.0,1620,4
154,T154,T154,Pat Perez,90,405.0,1620,4
155,156,156,Jeff Quinney,91,409.5,1638,4
156,157,157,Greg Owen,69,414.0,1242,3
157,158,158,Ernie Els,72,420.0,1260,3
158,159,159,David Duval,71,426.0,1278,3
159,160,160,Heath Slocum,97,436.5,1746,4
160,161,161,Cameron Percy,73,438.0,1314,3
161,T162,T162,Brian Gay,101,441.0,1764,4
162,T162,T162,Ian Poulter,55,441.0,882,2
163,164,164,Jim Furyk,76,444.0,1332,3
164,T165,T165,Sergio Garcia,58,468.0,936,2
165,T165,T165,Andrew McLardy,52,468.0,936,2
166,167,167,Bob Estes,79,474.0,1422,3
167,168,168,Jerod Turner,54,486.0,972,2
168,169,169,Justin Bolli,55,495.0,990,2
169,170,170,Freddie Jacobson,83,498.0,1494,3
170,171,171,Ted Purdy,86,516.0,1548,3
171,172,172,Brad Faxon,58,522.0,1044,2
172,173,173,Mathias Grönberg,61,549.0,1098,2
173,174,174,Paul Stankowski,62,558.0,1116,2
174,175,175,Michael Sim,64,567.0,1134,2
175,176,176,Cameron Beckman,68,612.0,1224,2
176,T177,T177,Shaun Micheel,70,630.0,1260,2
177,T177,T177,Tim Petrovic,105,630.0,1890,3
178,179,179,Michael Bradley,77,693.0,1386,2
179,T180,T180,Ben Curtis,78,702.0,1404,2
180,T180,T180,Justin Rose,78,702.0,1404,2
181,182,182,Chris Stroud,90,810.0,1620,2
182,T183,T183,Kris Blanks,91,819.0,1638,2
183,T183,T183,Zach Johnson,93,819.0,1638,2
184,185,185,Greg Kraft,52,936.0,936,1
185,186,186,Dean Wilson,54,972.0,972,1
186,187,187,Spencer Levin,110,990.0,1980,2
187,188,188,Brent Delahoussaye,57,1026.0,1026,1
188,189,189,Geoff Ogilvy,62,1080.0,1080,1
189,190,190,Luke Donald,71,1224.0,1224,1
190,191,191,Omar Uresti,74,1332.0,1332,1
