,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
74,T71,T71,Kevin Streelman,90,70.63,2825,40
75,T76,T76,Jason Day,82,70.64,3108,44
76,T76,T76,Zach Johnson,93,70.64,3179,45
77,T78,T78,Stuart Appleby,101,70.67,3180,45
78,T78,T78,Robert Garrigus,71,70.67,2332,33
79,T78,T78,Martin Laird,91,70.67,3180,45
80,T81,T81,Graham DeLaet,88,70.68,3110,44
81,T81,T81,Billy Mayfair,78,70.68,2898,41
82,83,83,Hunter Mahan,85,70.69,3181,45
83,84,84,Tim Petrovic,105,70.7,3535,50
84,85,85,John Merrick,109,70.72,3324,47
85,T86,T86,Scott McCarron,90,70.73,3112,44
86,T86,T86,Ryan Palmer,84,70.73,2829,40
87,T88,T88,Troy Matteson,84,70.74,2688,38
88,T88,T88,George McNeill,79,70.74,2759,39
89,T88,T88,Jeev Milkha Singh,59,70.74,1627,23
90,91,91,Brett Wetterich,54,70.76,2052,29
91,92,92,Greg Chalmers,93,70.77,3114,44
92,93,93,Nathan Green,86,70.79,3044,43
93,94,94,Phil Mickelson,76,70.8,3186,45
94,T95,T95,Davis Love III,79,70.81,2974,42
95,T95,T95,Jeff Quinney,91,70.81,2974,42
96,T97,T97,Ben Curtis,78,70.82,2337,33
97,T97,T97,Alex Prugh,88,70.82,3187,45
98,T99,T99,Troy Merritt,86,70.83,2833,40
99,T99,T99,James Nitties,92,70.83,3329,47
100,T99,T99,Tom Pernice Jr.,74,70.83,2550,36
101,T99,T99,Garrett Willis,82,70.83,2550,36
102,103,103,Josh Teater,101,70.86,3543,50
103,104,104,Stewart Cink,84,70.88,2835,40
104,105,105,Justin Leonard,89,70.89,3119,44
105,T106,T106,Bob Estes,79,70.9,2836,40
106,T106,T106,Rocco Mediate,71,70.9,2198,31
107,T108,T108,Matt Every,60,70.91,2340,33
108,T108,T108,Boo Weekley,88,70.91,3049,43
109,T110,T110,James Driscoll,78,70.92,2695,38
110,T110,T110,Dustin Johnson,83,70.92,3404,48
111,T110,T110,Camilo Villegas,78,70.92,2695,38
112,T113,T113,Kevin Sutherland,86,70.93,3121,44
113,T113,T113,Cameron Tringale,55,70.93,2128,30
114,T115,T115,Marc Leishman,87,70.95,2696,38
115,T115,T115,Adam Scott,70,70.95,2838,40
116,117,117,David Duval,71,70.97,2342,33
117,T118,T118,Sean O'Hair,84,70.98,3407,48
118,T118,T118,Kevin Stadler,86,70.98,3052,43
119,T120,T120,Cameron Beckman,68,71.0,2627,37
120,T120,T120,Brian Gay,101,71.0,3195,45
121,T120,T120,Jarrod Lyle,54,71.0,1704,24
122,T120,T120,Will MacKenzie,72,71.0,2485,35
123,124,124,Woody Austin,93,71.02,3125,44
124,T125,T125,Lee Janzen,77,71.03,2628,37
125,T125,T125,Omar Uresti,74,71.03,2415,34
126,T125,T125,Jimmy Walker,82,71.03,2699,38
127,T125,T125,Jay Williamson,76,71.03,2344,33
128,129,129,Chris Stroud,90,71.04,3197,45
129,130,130,Andrew McLardy,52,71.08,1848,26
130,131,131,John Mallinger,78,71.09,3270,46
131,T132,T132,Martin Flores,75,71.13,2774,39
132,T132,T132,Charles Warren,64,71.13,2276,32
133,T134,T134,Michael Bradley,77,71.14,2063,29
134,T134,T134,Sergio Garcia,58,71.14,1494,21
135,136,136,Matt Bettencourt,91,71.16,3131,44
136,137,137,Stephen Ames,75,71.17,2491,35
137,T138,T138,Ángel Cabrera,64,71.18,2705,38
138,T138,T138,Jerry Kelly,99,71.18,3630,51
139,T138,T138,Brenden Pappas,66,71.18,2349,33
140,141,141,John Daly,63,71.22,1923,27
141,T142,T142,Padraig Harrington,57,71.25,2280,32
142,T142,T142,Jeff Maggert,76,71.25,2565,36
143,T142,T142,Rod Pampling,77,71.25,2280,32
144,145,145,Michael Letzig,84,71.29,2709,38
145,146,146,Greg Owen,69,71.3,2638,37
146,147,147,Rory McIlroy,54,71.31,1854,26
147,148,148,Chris Tidland,77,71.32,2425,34
148,149,149,Lucas Glover,75,71.33,2782,39
149,150,150,Mathias Grönberg,61,71.44,1929,27
150,151,151,Roger Tambellini,77,71.46,2787,39
151,152,152,Vijay Singh,75,71.47,2573,36
152,153,153,Bill Lunde,79,71.5,2574,36
153,154,154,Joe Ogilvie,99,71.54,3434,48
154,155,155,Brian Davis,101,71.55,3506,49
155,156,156,Alex Cejka,81,71.56,2791,39
156,157,157,Skip Kendall,58,71.64,2006,28
157,158,158,Nicholas Thompson,88,71.67,3010,42
158,T159,T159,Jeff Gove,57,71.68,1792,25
159,T159,T159,Cliff Kresge,50,71.68,1792,25
160,T159,T159,Steve Marino,81,71.68,3154,44
161,T162,T162,Garth Mulroy,53,71.7,1936,27
162,T162,T162,Brian Stuard,81,71.7,3083,43
163,T162,T162,Y.E. Yang,72,71.7,2151,30
164,165,165,Trevor Immelman,55,71.76,2081,29
165,166,166,Steve Flesch,78,71.81,2226,31
166,167,167,David Lutterus,69,71.86,2084,29
167,168,168,Mathew Goggin,85,71.87,2803,39
168,169,169,Cameron Percy,73,71.89,2732,38
169,170,170,Rory Sabbatini,79,71.91,2445,34
170,171,171,Derek Lamely,81,71.92,2589,36
171,172,172,Steve Lowery,67,71.93,2014,28
172,T173,T173,Jason Dufner,87,71.95,2662,37
173,T173,T173,Ian Poulter,55,71.95,1583,22
174,175,175,Henrik Bjornstad,72,71.97,2303,32
175,176,176,Steve Wheatcroft,74,72.0,2448,34
176,177,177,Justin Bolli,55,72.03,2089,29
177,178,178,Rich Barcelo,70,72.06,2378,33
178,179,179,Daniel Chopra,74,72.17,2526,35
179,180,180,Roland Thatcher,72,72.19,2599,36
180,T181,T181,Greg Kraft,52,72.29,2024,28
181,T181,T181,Ted Purdy,86,72.29,2747,38
182,183,183,Craig Bowden,56,72.31,2097,29
183,184,184,Mike Weir,59,72.32,2025,28
184,T185,T185,Brent Delahoussaye,57,72.35,1881,26
185,T185,T185,Chris Wilson,65,72.35,2460,34
186,187,187,Vance Veazey,58,72.36,1809,25
187,188,188,Paul Goydos,78,72.41,2824,39
188,189,189,Kevin Johnson,62,72.53,2176,30
189,190,190,Mark Calcavecchia,50,73.04,1826,25
190,191,191,Jerod Turner,54,73.1,1462,20
191,192,192,Brad Faxon,58,73.11,1974,27
