,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
143,144,144,David Duval,71,-0.278,-15.585999999999999,-22.254,6.667999999999999,56
144,145,145,Mathias Grönberg,61,-0.28600000000000003,-14.304,-4.9510000000000005,-9.353,50
145,146,146,Richard Johnson,90,-0.293,-21.362,-35.48,14.115,73
146,147,147,Rod Pampling,77,-0.314,-21.980999999999998,-4.716,-17.267,70
147,148,148,Trevor Immelman,55,-0.324,-13.914000000000001,-17.255,3.339,43
148,149,149,Paul Goydos,78,-0.331,-21.877,-11.567,-10.312000000000001,66
149,150,150,Ian Poulter,55,-0.335,-11.385,-18.429000000000002,7.044,34
150,151,151,Michael Bradley,77,-0.392,-26.636999999999997,-21.066999999999997,-5.5729999999999995,68
151,152,152,Garth Mulroy,53,-0.436,-18.32,6.193,-24.513,42
152,153,153,Troy Merritt,86,-0.43700000000000006,-33.667,-73.439,39.768,77
153,154,154,Cameron Tringale,55,-0.465,-20.930999999999997,10.915999999999999,-31.846,45
154,155,155,Bill Lunde,79,-0.466,-31.218000000000004,-30.884,-0.335,67
155,156,156,Billy Mayfair,78,-0.467,-30.340999999999998,35.323,-65.665,65
156,157,157,Matt Bettencourt,91,-0.48700000000000004,-34.114000000000004,-59.716,25.601,70
157,158,158,Cliff Kresge,50,-0.488,-21.980999999999998,3.7569999999999997,-25.736,45
158,159,159,Mathew Goggin,85,-0.501,-38.083,-9.282,-28.802,76
159,160,160,Omar Uresti,74,-0.512,-31.232,14.847999999999999,-46.08,61
160,161,161,Rich Barcelo,70,-0.52,-30.134,-38.771,8.637,58
161,162,162,Cameron Beckman,68,-0.545,-32.139,-14.905,-17.235,59
162,163,163,Derek Lamely,81,-0.5920000000000001,-37.915,-39.101,1.1840000000000002,64
163,T164,T164,Henrik Bjornstad,72,-0.626,-36.937,-24.552,-12.385,59
164,T164,T164,Steve Wheatcroft,74,-0.626,-36.283,-48.303999999999995,12.020999999999999,58
165,166,166,Steve Flesch,78,-0.6509999999999999,-42.323,-37.071,-5.247999999999999,65
166,167,167,Brenden Pappas,66,-0.731,-40.208,-35.036,-5.172999999999999,55
167,168,168,Jeff Maggert,76,-0.741,-46.69,-24.203000000000003,-22.489,63
168,169,169,Greg Owen,69,-0.745,-46.19,-6.699,-39.492,62
169,170,170,Brian Stuard,81,-0.746,-52.981,-73.366,20.383,71
170,171,171,Roland Thatcher,72,-0.7879999999999999,-53.607,-27.747,-25.859,68
171,172,172,Brent Delahoussaye,57,-0.8109999999999999,-38.109,-49.153,11.045,47
172,173,173,Skip Kendall,58,-0.8320000000000001,-40.758,-57.216,16.457,49
173,174,174,Nicholas Thompson,88,-0.875,-67.362,0.87,-68.234,77
174,175,175,Martin Flores,75,-0.883,-56.522,-49.692,-6.829,64
175,176,176,Ted Purdy,86,-0.892,-66.91199999999999,-58.81100000000001,-8.102,75
176,177,177,Roger Tambellini,77,-0.925,-57.376999999999995,-9.339,-48.037,62
177,178,178,John Daly,63,-0.9890000000000001,-46.498999999999995,-15.74,-30.756999999999998,47
178,179,179,Mark Calcavecchia,50,-0.996,-32.864000000000004,-4.162,-28.705,33
179,180,180,Andrew McLardy,52,-1.005,-44.24,-36.626999999999995,-7.612,44
180,181,181,David Lutterus,69,-1.044,-58.458,-39.618,-18.839000000000002,56
181,182,182,Daniel Chopra,74,-1.0959999999999999,-73.445,-97.884,24.436,67
182,183,183,Craig Bowden,56,-1.104,-52.983999999999995,-33.504,-19.479,48
183,184,184,Jeff Gove,57,-1.1640000000000001,-51.23,-9.308,-41.92100000000001,44
184,185,185,Steve Lowery,67,-1.177,-65.90100000000001,-44.49,-21.412,56
185,186,186,Vance Veazey,58,-1.444,-69.305,-63.79,-5.513,48
186,187,187,Chris Wilson,65,-1.631,-84.824,-50.005,-34.821,52
187,188,188,Jerod Turner,54,-1.885,-75.39399999999999,-75.322,-0.071,40
188,189,189,Justin Bolli,55,-1.9180000000000001,-80.55,-57.16,-23.39,42
189,190,190,Greg Kraft,52,-2.041,-79.611,-72.4,-7.211,39
190,191,191,Brad Faxon,58,-2.093,-100.48,-120.89399999999999,20.41,48
191,192,192,Kevin Johnson,62,-2.147,-105.189,-87.93799999999999,-17.253,49
