,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
69,70,70,Tim Clark,70.74,1344,19
70,T71,T71,Jim Furyk,70.76,1203,17
71,T71,T71,John Senden,70.76,1486,21
72,73,73,Billy Mayfair,70.77,920,13
73,T74,T74,Greg Chalmers,70.79,1345,19
74,T74,T74,Josh Teater,70.79,1345,19
75,T76,T76,Joe Ogilvie,70.81,1133,16
76,T76,T76,Nick Watney,70.81,1487,21
77,78,78,Troy Merritt,70.83,850,12
78,79,79,Chad Campbell,70.84,1346,19
79,80,80,Jerod Turner,70.86,496,7
80,T81,T81,Blake Adams,70.87,1063,15
81,T81,T81,Steve Elkington,70.87,1063,15
82,T81,T81,Ryan Moore,70.87,1063,15
83,T81,T81,James Nitties,70.87,1063,15
84,85,85,Kevin Sutherland,70.88,1205,17
85,T86,T86,Rich Barcelo,70.89,638,9
86,T86,T86,Michael Connell,70.89,1347,19
87,T88,T88,Luke Donald,70.93,1064,15
88,T88,T88,Scott McCarron,70.93,1064,15
89,T88,T88,Scott Verplank,70.93,1064,15
90,T88,T88,Y.E. Yang,70.93,1064,15
91,92,92,Michael Letzig,70.94,1135,16
92,93,93,J.B. Holmes,70.96,1703,24
93,T94,T94,Ángel Cabrera,71.0,923,13
94,T94,T94,Mathias Grönberg,71.0,568,8
95,T94,T94,Alex Prugh,71.0,1065,15
96,97,97,Brendon de Jonge,71.04,1705,24
97,T98,T98,Hunter Mahan,71.06,1279,18
98,T98,T98,Sean O'Hair,71.06,1137,16
99,100,100,D.A. Points,71.07,1066,15
100,T101,T101,Nicholas Thompson,71.08,924,13
101,T101,T101,Jay Williamson,71.08,924,13
102,103,103,Padraig Harrington,71.09,782,11
103,T104,T104,Henrik Bjornstad,71.11,640,9
104,T104,T104,K.J. Choi,71.11,1351,19
105,T104,T104,Omar Uresti,71.11,640,9
106,T107,T107,Davis Love III,71.13,1067,15
107,T107,T107,Adam Scott,71.13,1067,15
108,109,109,Michael Bradley,71.14,996,14
109,110,110,Carl Pettersson,71.15,1423,20
110,111,111,Brian Stuard,71.18,783,11
111,112,112,Woody Austin,71.19,1139,16
112,113,113,Shaun Micheel,71.21,997,14
113,T114,T114,Jason Bohn,71.25,1140,16
114,T114,T114,Geoff Ogilvy,71.25,855,12
115,T116,T116,Martin Laird,71.28,1283,18
116,T116,T116,Jeff Overton,71.28,1283,18
117,118,118,Zach Johnson,71.29,1497,21
118,T119,T119,Rocco Mediate,71.3,713,10
119,T119,T119,Charlie Wi,71.3,1426,20
120,T121,T121,Bill Haas,71.33,1284,18
121,T121,T121,Rod Pampling,71.33,856,12
122,123,123,J.P. Hayes,71.36,999,14
123,124,124,Will MacKenzie,71.38,928,13
124,125,125,Heath Slocum,71.39,1642,23
125,126,126,Spencer Levin,71.42,1714,24
126,127,127,Joe Durant,71.43,1000,14
127,128,128,Ryuji Imada,71.44,1143,16
128,129,129,Steve Flesch,71.46,929,13
129,T130,T130,John Mallinger,71.5,715,10
130,T130,T130,Brenden Pappas,71.5,572,8
131,T130,T130,Brandt Snedeker,71.5,1287,18
132,133,133,Jerry Kelly,71.52,1502,21
133,134,134,Matt Every,71.55,787,11
134,T135,T135,Brian Davis,71.56,1288,18
135,T135,T135,Phil Mickelson,71.56,1288,18
136,T135,T135,Boo Weekley,71.56,1145,16
137,138,138,Derek Lamely,71.58,859,12
138,139,139,Ian Poulter,71.6,716,10
139,140,140,John Merrick,71.61,1647,23
140,141,141,Stuart Appleby,71.63,1361,19
141,T142,T142,Steve Lowery,71.67,430,6
142,T142,T142,George McNeill,71.67,860,12
143,144,144,Brett Quigley,71.68,1362,19
144,145,145,Johnson Wagner,71.69,932,13
145,T146,T146,Robert Garrigus,71.71,1004,14
146,T146,T146,Matt Jones,71.71,1219,17
147,T146,T146,Justin Leonard,71.71,1219,17
148,149,149,Steve Wheatcroft,71.78,646,9
149,150,150,Tim Herron,71.8,1077,15
150,151,151,Matt Bettencourt,71.85,934,13
151,152,152,Trevor Immelman,71.88,575,8
152,153,153,David Duval,71.9,719,10
153,154,154,Jason Day,71.94,1295,18
154,T155,T155,Daniel Chopra,72.0,576,8
155,T155,T155,David Lutterus,72.0,576,8
156,T155,T155,Steve Marino,72.0,1224,17
157,T155,T155,Kenny Perry,72.0,1080,15
158,159,159,Chris Tidland,72.07,1009,14
159,160,160,Lee Janzen,72.09,793,11
160,161,161,Brent Delahoussaye,72.14,505,7
161,162,162,Dustin Johnson,72.16,1371,19
162,163,163,Ted Purdy,72.17,866,12
163,164,164,Lucas Glover,72.2,1083,15
164,165,165,Camilo Villegas,72.24,1228,17
165,166,166,Craig Bowden,72.25,578,8
166,167,167,Tom Pernice Jr.,72.29,1012,14
167,168,168,Greg Kraft,72.33,217,3
168,169,169,Cameron Percy,72.36,796,11
169,170,170,Chris DiMarco,72.42,1376,19
170,171,171,Mike Weir,72.5,725,10
171,172,172,Martin Flores,72.55,798,11
172,T173,T173,Skip Kendall,72.64,799,11
173,T173,T173,Jeff Maggert,72.64,799,11
174,175,175,Garth Mulroy,72.67,436,6
175,T176,T176,Nathan Green,72.75,1164,16
176,T176,T176,Kevin Johnson,72.75,291,4
177,178,178,Cliff Kresge,72.88,583,8
178,179,179,Roland Thatcher,72.9,729,10
179,T180,T180,Sergio Garcia,73.0,876,12
180,T180,T180,Greg Owen,73.0,657,9
181,182,182,Alex Cejka,73.08,877,12
182,183,183,Chris Wilson,73.17,439,6
183,184,184,Brad Faxon,73.2,366,5
184,185,185,Roger Tambellini,73.5,882,12
185,186,186,Andrew McLardy,73.6,368,5
186,187,187,Paul Goydos,73.64,1031,14
187,188,188,John Daly,73.7,737,10
188,189,189,Jeff Gove,73.8,369,5
189,190,190,Mark Calcavecchia,73.88,591,8
190,T191,T191,Justin Bolli,74.67,224,3
191,T191,T191,Vance Veazey,74.67,448,6
