,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
125,126,126,Sam Saunders,69,54.14,72,133
126,127,127,Padraig Harrington,54,54.03,67,124
127,128,128,Brendon de Jonge,83,53.97,102,189
128,129,129,Patrick Rodgers,89,53.95,82,152
129,130,130,Hiroshi Iwata,85,53.92,110,204
130,131,131,Cameron Tringale,81,53.89,97,180
131,132,132,Smylie Kaufman,91,53.85,91,169
132,133,133,Robert Streb,87,53.79,78,145
133,134,134,Jim Furyk,52,53.76,50,93
134,135,135,Whee Kim,82,53.75,86,160
135,136,136,Ernie Els,66,53.42,78,146
136,137,137,Rod Pampling,54,53.39,63,118
137,138,138,Kyle Reifers,115,53.09,129,243
138,139,139,Danny Lee,93,53.05,87,164
139,140,140,Hunter Mahan,61,53.03,70,132
140,141,141,Steve Marino,72,52.94,81,153
141,142,142,Erik Compton,65,52.81,94,178
142,143,143,Geoff Ogilvy,63,52.78,76,144
143,144,144,Patton Kizzire,93,52.71,107,203
144,T145,T145,Morgan Hoffmann,71,52.5,84,160
145,T145,T145,David Toms,62,52.5,63,120
146,147,147,Wes Roach,59,52.31,68,130
147,148,148,Matt Jones,83,52.11,74,142
148,149,149,Emiliano Grillo,93,51.92,81,156
149,150,150,Bronson Burgoon,83,51.85,98,189
150,151,151,Blayne Barber,84,51.67,93,180
151,152,152,Kyle Stanley,92,51.58,98,190
152,153,153,Billy Horschel,73,51.43,54,105
153,154,154,Bubba Watson,72,51.3,59,115
154,155,155,Scott Pinckney,87,51.1,93,182
155,156,156,Rory Sabbatini,57,50.94,54,106
156,157,157,Carlos Ortiz,79,50.87,88,173
157,T158,T158,Kelly Kraft,63,50.41,62,123
158,T158,T158,George McNeill,51,50.41,61,121
159,160,160,Vaughn Taylor,72,50.33,77,153
160,161,161,Justin Thomas,99,50.26,97,193
161,162,162,Stewart Cink,61,50.0,52,104
162,163,163,Sean O'Hair,89,49.71,86,173
163,164,164,Brendan Steele,88,49.7,82,165
164,165,165,John Senden,88,49.63,67,135
165,166,166,Keegan Bradley,82,49.6,62,125
166,167,167,Graham DeLaet,70,49.22,63,128
167,168,168,Hudson Swafford,104,48.72,95,195
168,169,169,Michael Thompson,71,48.7,75,154
169,170,170,Chesson Hadley,81,48.52,82,169
170,171,171,D.H. Lee,61,48.05,74,154
171,172,172,Brooks Koepka,75,48.03,61,127
172,173,173,Dawie van der Walt,72,47.93,81,169
173,174,174,Rhein Gibson,58,47.58,59,124
174,175,175,Andrew Loupe,75,47.18,92,195
175,176,176,Robert Garrigus,69,47.01,63,134
176,177,177,Ángel Cabrera,62,46.83,59,126
177,178,178,Ken Duke,58,46.72,64,137
178,179,179,Cameron Smith,73,46.43,52,112
179,180,180,Shane Lowry,57,45.26,43,95
180,181,181,Greg Owen,85,45.24,57,126
181,182,182,Steven Bowditch,71,44.97,85,189
182,183,183,J.J. Henry,68,43.69,45,103
183,184,184,Johnson Wagner,86,42.14,59,140
184,185,185,Robert Allenby,51,41.82,46,110
