,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
98,99,99,Cameron Tringale,81,58.21,78,134
99,100,100,Michael Thompson,71,58.14,75,129
100,101,101,Anirban Lahiri,72,58.06,54,93
101,102,102,Adam Hadwin,93,58.01,105,181
102,103,103,Kevin Chappell,93,57.94,73,126
103,104,104,Robert Streb,87,57.85,70,121
104,105,105,Graeme McDowell,63,57.83,48,83
105,106,106,Russell Knox,92,57.78,52,90
106,107,107,Kelly Kraft,63,57.69,60,104
107,108,108,John Huh,86,57.5,92,160
108,109,109,Adam Scott,79,57.47,50,87
109,110,110,Justin Thomas,99,57.36,74,129
110,111,111,Willy Wilcox,67,57.35,78,136
111,112,112,Henrik Norlander,71,57.26,71,124
112,113,113,Jimmy Walker,85,57.25,75,131
113,114,114,Jason Kokrak,89,57.24,87,152
114,115,115,Michael Kim,100,57.22,111,194
115,116,116,Tom Hoge,81,57.06,97,170
116,117,117,Dawie van der Walt,72,57.02,69,121
117,118,118,George McNeill,51,56.99,53,93
118,119,119,Cameron Smith,73,56.73,59,104
119,120,120,K.J. Choi,73,56.69,72,127
120,T121,T121,Steve Marino,72,56.56,69,122
121,T121,T121,Wes Roach,59,56.56,69,122
122,123,123,Jhonattan Vegas,97,56.46,83,147
123,124,124,Justin Rose,65,56.45,35,62
124,125,125,Erik Compton,65,56.39,75,133
125,126,126,Blayne Barber,84,56.38,84,149
126,127,127,Patrick Rodgers,89,56.12,78,139
127,128,128,Jim Furyk,52,56.06,37,66
128,129,129,Emiliano Grillo,93,56.03,65,116
129,130,130,Kyle Stanley,92,55.92,85,152
130,131,131,Tyrone Van Aswegen,105,55.71,122,219
131,T132,T132,Thomas Aiken,70,55.56,60,108
132,T132,T132,Robert Garrigus,69,55.56,60,108
133,T132,T132,Nick Taylor,83,55.56,80,144
134,135,135,Will MacKenzie,84,55.48,81,146
135,136,136,Troy Merritt,77,55.47,71,128
136,137,137,Andres Gonzales,80,55.41,87,157
137,138,138,Danny Lee,93,55.38,72,130
138,139,139,Jason Dufner,105,55.24,79,143
139,T140,T140,Brendon de Jonge,83,55.17,80,145
140,T140,T140,Hudson Swafford,104,55.17,96,174
141,142,142,Martin Laird,82,54.79,80,146
142,143,143,Chris Stroud,82,54.73,81,148
143,144,144,Roberto Castro,97,54.66,88,161
144,T145,T145,Abraham Ancer,51,54.55,60,110
145,T145,T145,Peter Malnati,85,54.55,102,187
146,T145,T145,Sam Saunders,69,54.55,72,132
147,148,148,Charley Hoffman,91,54.48,73,134
148,149,149,Bubba Watson,72,54.41,37,68
149,150,150,Scott Brown,88,54.32,88,162
150,151,151,Jason Bohn,67,54.31,63,116
151,152,152,Ángel Cabrera,62,54.24,64,118
152,153,153,Martin Piller,59,53.85,63,117
153,154,154,D.H. Lee,61,53.64,59,110
154,155,155,Ryan Palmer,86,53.38,71,133
155,156,156,Greg Owen,85,53.29,81,152
156,157,157,Scott Piercy,87,53.26,49,92
157,158,158,Hunter Mahan,61,53.17,67,126
158,159,159,Andrew Loupe,75,53.13,85,160
159,160,160,Rhein Gibson,58,53.06,52,98
160,161,161,Scott Pinckney,87,53.03,70,132
161,162,162,Jason Gore,78,52.8,66,125
162,163,163,Jonas Blixt,79,52.76,86,163
163,164,164,Billy Horschel,73,52.5,63,120
164,165,165,Smylie Kaufman,91,52.48,74,141
165,166,166,Seung-Yul Noh,85,52.44,86,164
166,167,167,Ken Duke,58,52.43,54,103
167,168,168,Vaughn Taylor,72,52.08,75,144
168,169,169,Stewart Cink,61,51.96,53,102
169,170,170,Daniel Summerhays,99,51.68,77,149
170,171,171,J.J. Henry,68,51.47,70,136
171,172,172,D.A. Points,55,50.91,56,110
172,173,173,Robert Allenby,51,50.88,58,114
173,174,174,Graham DeLaet,70,50.46,55,109
174,175,175,Chesson Hadley,81,50.38,67,133
175,T176,T176,Louis Oosthuizen,63,50.0,31,62
176,T176,T176,Kyle Reifers,115,50.0,89,178
177,178,178,J.B. Holmes,77,49.14,57,116
178,179,179,Tyler Aldridge,83,48.63,71,146
179,180,180,James Hahn,85,48.48,64,132
180,181,181,Carlos Ortiz,79,48.3,71,147
181,182,182,Steven Bowditch,71,47.76,64,134
182,183,183,Kevin Streelman,82,47.57,49,103
183,184,184,Brendan Steele,88,45.67,58,127
184,185,185,Sergio Garcia,54,36.84,14,38
