,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
123,124,124,Jim Herman,93,88.16,67,76
124,125,125,Brooks Koepka,75,88.1,37,42
125,126,126,Russell Henley,76,87.76,43,49
126,127,127,Peter Malnati,85,87.5,56,64
127,128,128,Kevin Na,96,87.3,55,63
128,129,129,Webb Simpson,70,87.23,41,47
129,130,130,Hiroshi Iwata,85,87.14,61,70
130,131,131,Vijay Singh,72,87.1,54,62
131,T132,T132,Ken Duke,58,87.04,47,54
132,T132,T132,Sam Saunders,69,87.04,47,54
133,T134,T134,Martin Laird,82,86.89,53,61
134,T134,T134,Will MacKenzie,84,86.89,53,61
135,136,136,Derek Ernst,59,86.79,46,53
136,T137,T137,Padraig Harrington,54,86.67,26,30
137,T137,T137,Jason Kokrak,89,86.67,52,60
138,139,139,Brendon Todd,66,86.54,45,52
139,140,140,Steve Wheatcroft,85,86.3,63,73
140,141,141,Lucas Glover,75,86.27,44,51
141,142,142,J.B. Holmes,77,86.05,37,43
142,143,143,Brandt Snedeker,93,86.0,43,50
143,T144,T144,Thomas Aiken,70,85.71,36,42
144,T144,T144,Rhein Gibson,58,85.71,36,42
145,T144,T144,Marc Leishman,89,85.71,42,49
146,T144,T144,Gary Woodland,95,85.71,48,56
147,148,148,Kyle Stanley,92,85.53,65,76
148,149,149,Rory Sabbatini,57,85.42,41,48
149,150,150,Stewart Cink,61,85.37,35,41
150,151,151,Charl Schwartzel,73,85.29,29,34
151,152,152,Ernie Els,66,85.11,40,47
152,153,153,Jhonattan Vegas,97,85.07,57,67
153,154,154,Charles Howell III,91,84.72,61,72
154,155,155,Ricky Barnes,97,84.62,44,52
155,156,156,Kevin Chappell,93,84.48,49,58
156,157,157,Cameron Tringale,81,84.44,38,45
157,T158,T158,Luke List,79,84.38,54,64
158,T158,T158,Shane Lowry,57,84.38,27,32
159,160,160,Kyle Reifers,115,84.34,70,83
160,161,161,Bubba Watson,72,84.21,32,38
161,162,162,Sean O'Hair,89,84.13,53,63
162,163,163,Wes Roach,59,84.09,37,44
163,164,164,Patton Kizzire,93,83.87,52,62
164,165,165,Henrik Norlander,71,83.05,49,59
165,166,166,Chris Stroud,82,83.02,44,53
166,167,167,Seung-Yul Noh,85,82.76,48,58
167,168,168,Smylie Kaufman,91,82.69,43,52
168,169,169,Scott Langley,65,82.35,42,51
169,170,170,Steve Marino,72,82.14,46,56
170,171,171,D.A. Points,55,81.82,27,33
171,T172,T172,Kelly Kraft,63,81.4,35,43
172,T172,T172,Dicky Pride,55,81.4,35,43
173,174,174,Brett Stegmaier,87,81.25,52,64
174,T175,T175,Steven Bowditch,71,80.95,34,42
175,T175,T175,J.J. Henry,68,80.95,51,63
176,177,177,Adam Hadwin,93,80.33,49,61
177,T178,T178,Branden Grace,63,80.0,20,25
178,T178,T178,Carlos Ortiz,79,80.0,36,45
179,180,180,Graham DeLaet,70,79.59,39,49
180,181,181,George McNeill,51,78.95,30,38
181,182,182,Robert Allenby,51,78.57,33,42
182,183,183,Chad Campbell,90,76.67,46,60
183,184,184,Scott Stallings,74,76.0,38,50
184,185,185,Dawie van der Walt,72,75.81,47,62
