,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
35,T36,T36,Brad Elder,110,13.49,51,378
36,T36,T36,John Huston,81,13.49,39,289
37,38,38,Tommy Armour III,91,13.5,37,274
38,39,39,Kenny Perry,76,13.51,40,296
39,T40,T40,Steve Pate,97,13.57,38,280
40,T40,T40,Jean Van de Velde,70,13.57,30,221
41,42,42,David Frost,65,13.59,25,184
42,43,43,Chris Perry,109,13.61,52,382
43,44,44,Brent Geiberger,79,13.62,35,257
44,45,45,Greg Kraft,106,13.66,47,344
45,46,46,Robin Freeman,98,13.73,42,306
46,47,47,Glen Day,93,13.77,46,334
47,48,48,Bob Tway,91,13.85,41,296
48,49,49,Rich Beem,84,13.91,37,266
49,50,50,Peter Jacobsen,65,14.0,28,200
50,T51,T51,Nick Price,63,14.05,34,242
51,T51,T51,Kirk Triplett,101,14.05,52,370
52,T53,T53,Robert Allenby,98,14.12,48,340
53,T53,T53,Joel Edwards,99,14.12,48,340
54,55,55,Craig Barlow,98,14.15,46,325
55,56,56,Paul Goydos,99,14.2,47,331
56,57,57,Jim Furyk,98,14.42,47,326
57,58,58,Shaun Micheel,94,14.47,45,311
58,59,59,Phil Mickelson,85,14.59,48,329
59,60,60,Michael Bradley,73,14.6,33,226
60,61,61,Franklin Langham,95,14.63,49,335
61,62,62,Justin Leonard,98,14.64,47,321
62,63,63,"Dave Stockton, Jr.",89,14.71,40,272
63,64,64,Scott Verplank,106,14.73,57,387
64,65,65,Lee Janzen,92,14.79,46,311
65,T66,T66,Olin Browne,103,14.83,47,317
66,T66,T66,Rory Sabbatini,85,14.83,47,317
67,T68,T68,Larry Mize,71,14.86,33,222
68,T68,T68,Mike Sposa,73,14.86,33,222
69,70,70,Sean Murphy,102,14.94,46,308
70,71,71,Jay Don Blake,95,14.95,48,321
71,72,72,Chip Beck,51,14.97,22,147
72,T73,T73,Ronnie Black,82,14.98,37,247
73,T73,T73,Jim Carter,96,14.98,46,307
74,75,75,Jay Williamson,105,15.08,54,358
75,76,76,Joe Ozaki,55,15.09,24,159
76,77,77,Vijay Singh,97,15.1,53,351
77,78,78,Rick Fehr,73,15.11,34,225
78,79,79,Tim Herron,96,15.15,50,330
79,80,80,Nick Faldo,51,15.17,22,145
80,81,81,Doug Dunakey,83,15.18,39,257
81,82,82,Chris DiMarco,118,15.2,64,421
82,83,83,Duffy Waldorf,80,15.21,40,263
83,84,84,Frank Nobilo,98,15.41,47,305
84,85,85,Stuart Appleby,86,15.46,45,291
85,86,86,Tom Lehman,71,15.56,35,225
86,87,87,Casey Martin,90,15.57,45,289
87,88,88,John Cook,90,15.59,41,263
88,T89,T89,Jeff Maggert,86,15.6,44,282
89,T89,T89,Bob May,95,15.6,51,327
90,91,91,Davis Love III,98,15.61,59,378
91,92,92,Carl Paulson,105,15.68,58,370
92,93,93,Brandt Jobe,91,15.72,47,299
93,94,94,Mike Reid,76,15.84,35,221
94,95,95,Neal Lancaster,99,15.86,46,290
95,96,96,Billy Andrade,89,15.89,48,302
96,97,97,Paul Curry,64,15.91,28,176
97,98,98,Joe Durant,94,15.96,53,332
98,99,99,Edward Fryatt,101,16.14,51,316
99,100,100,Skip Kendall,114,16.15,68,421
100,101,101,Craig Stadler,70,16.16,37,229
101,T102,T102,Woody Austin,104,16.18,56,346
102,T102,T102,Russ Cochran,71,16.18,39,241
103,T104,T104,Jeff Sluman,113,16.2,63,389
104,T104,T104,Grant Waite,85,16.2,52,321
105,106,106,Scott McCarron,100,16.25,59,363
106,107,107,John Rollins,72,16.27,34,209
107,T108,T108,Brad Faxon,98,16.3,60,368
108,T108,T108,Brian Watts,89,16.3,44,270
109,110,110,Frank Lickliter II,107,16.31,61,374
110,111,111,Jeff Gove,86,16.33,41,251
111,112,112,Fred Couples,71,16.42,45,274
112,T113,T113,J.L. Lewis,104,16.44,60,365
113,T113,T113,Loren Roberts,87,16.44,49,298
114,115,115,Andrew Magee,78,16.45,38,231
115,116,116,Brian Henninger,93,16.46,52,316
116,T117,T117,Greg Chalmers,96,16.48,59,358
117,T117,T117,David Peoples,99,16.48,58,352
118,119,119,Scott Gump,108,16.54,45,272
119,T120,T120,Steve Hart,72,16.57,29,175
120,T120,T120,P.H. Horgan III,65,16.57,30,181
121,122,122,Bradley Hughes,93,16.61,47,283
122,T123,T123,Cameron Beckman,81,16.67,45,270
123,T123,T123,Blaine McCallister,104,16.67,63,378
124,125,125,David Sutherland,109,16.8,61,363
125,126,126,K.J. Choi,92,16.84,48,285
126,127,127,Dennis Paulson,82,16.86,43,255
127,128,128,Brian Gay,101,16.87,56,332
128,129,129,Michael Clark II,84,16.92,45,266
129,130,130,Carlos Franco,85,16.93,53,313
130,131,131,Bart Bryant,73,16.99,35,206
131,132,132,Craig Perks,82,17.0,42,247
132,133,133,Ben Bates,107,17.04,53,311
133,134,134,Bob Estes,68,17.09,34,199
134,135,135,Paul Stankowski,77,17.13,49,286
135,136,136,Jonathan Kaye,115,17.18,73,425
136,137,137,Jimmy Green,85,17.19,44,256
137,138,138,Steve Elkington,59,17.2,32,186
138,139,139,Shigeki Maruyama,88,17.22,47,273
139,140,140,Trevor Dodds,86,17.24,45,261
140,141,141,Mark Brooks,91,17.36,50,288
141,142,142,Mathew Goggin,91,17.38,53,305
142,T143,T143,Steve Gotsche,91,17.39,52,299
143,T143,T143,Brett Quigley,63,17.39,36,207
144,145,145,Joey Sindelar,88,17.41,47,270
145,146,146,Brandel Chamblee,72,17.46,44,252
146,147,147,Eric Booker,87,17.48,43,246
147,T148,T148,John Maginnes,99,17.54,50,285
148,T148,T148,Mark O'Meara,61,17.54,30,171
149,T150,T150,Notah Begay III,82,17.65,42,238
150,T150,T150,Ryan Howison,83,17.65,39,221
151,152,152,Steve Stricker,63,17.82,31,174
152,153,153,Sergio Garcia,59,17.86,35,196
153,T154,T154,Harrison Frazar,72,17.89,44,246
154,T154,T154,David Morland IV,88,17.89,51,285
155,156,156,Jason Buha,82,17.94,47,262
156,157,157,Bob Burns,91,17.95,56,312
157,158,158,Tom Pernice Jr.,98,17.99,59,328
158,159,159,Emlyn Aubrey,68,18.03,33,183
159,160,160,Barry Cheesman,96,18.04,57,316
160,161,161,Fulton Allem,77,18.14,39,215
161,162,162,Mark Wiebe,95,18.15,53,292
162,163,163,Ted Tryba,112,18.21,61,335
163,164,164,Kelly Gibson,84,18.25,46,252
164,165,165,Mike Brisky,89,18.29,47,257
165,166,166,Mike Springer,83,18.31,52,284
166,167,167,Billy Mayfair,93,18.35,51,278
167,168,168,David Toms,113,18.38,77,419
168,169,169,Bob Friend,96,18.41,51,277
169,170,170,Tommy Tolles,60,18.45,38,206
170,171,171,Jay Haas,80,18.7,43,230
171,172,172,Jay Delsing,97,18.84,52,276
172,173,173,Bobby Cochran,78,19.03,43,226
173,174,174,Mike Hulbert,82,19.16,41,214
174,175,175,Gary Nicklaus,84,19.22,49,255
175,176,176,Kevin Wentworth,83,19.61,50,255
176,177,177,Jim McGovern,55,19.66,35,178
177,178,178,Robert Gamez,76,19.7,52,264
178,179,179,Gabriel Hjertstedt,86,19.78,55,278
179,T180,T180,Bob Heintz,87,20.08,52,259
180,T180,T180,Craig Spence,89,20.08,51,254
181,182,182,John Daly,71,20.25,48,237
182,183,183,Brad Fabel,88,20.29,56,276
183,184,184,Nolan Henke,79,20.39,42,206
184,185,185,Tom Purtzer,58,20.57,36,175
185,T186,T186,Steve Jones,75,20.61,47,228
186,T186,T186,Perry Moss,53,20.61,34,165
187,T186,T186,Craig Parry,73,20.61,47,228
188,189,189,Dicky Pride,98,20.92,59,282
189,190,190,Jason Caron,77,21.36,44,206
190,191,191,Charles Raulerson,98,21.74,70,322
191,192,192,Aaron Bengoechea,75,22.49,47,209
192,193,193,Corey Pavin,74,22.62,50,221
193,194,194,Keith Nolan,57,23.38,36,154
194,195,195,Craig Bowden,54,24.26,33,136
