,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
78,79,79,Jim Renner,22,"$50,182"
79,80,80,Woody Austin,18,"$49,086"
80,81,81,Vaughn Taylor,27,"$48,651"
81,82,82,Ryan Palmer,24,"$47,411"
82,83,83,Kevin Stadler,27,"$47,178"
83,84,84,Brandt Jobe,28,"$45,384"
84,85,85,Bob Estes,12,"$44,716"
85,86,86,Jason Bohn,22,"$44,127"
86,87,87,Matt Kuchar,24,"$43,333"
87,88,88,Boo Weekley,23,"$41,400"
88,89,89,Colt Knost,27,"$40,350"
89,90,90,John Merrick,21,"$39,571"
90,91,91,Nate Smith,24,"$39,043"
91,92,92,David Duval,24,"$38,060"
92,93,93,Jonathan Byrd,26,"$34,886"
93,94,94,Tim Petrovic,29,"$33,302"
94,95,95,Fabián Gómez,26,"$30,969"
95,96,96,Richard Johnson,23,"$30,816"
96,97,97,Tiger Woods,9,"$30,375"
97,T98,T98,Ryuji Imada,29,"$29,296"
98,T98,T98,John Senden,26,"$29,296"
99,T98,T98,Scott Stallings,28,"$29,296"
100,T98,T98,Marc Turnesa,20,"$29,296"
101,102,102,Will Strickler,19,"$29,098"
102,103,103,Michael Letzig,13,"$29,000"
103,T104,T104,Bill Lunde,28,"$28,600"
104,T104,T104,Alex Prugh,29,"$28,600"
105,106,106,George McNeill,21,"$28,456"
106,107,107,Brian Gay,26,"$25,571"
107,108,108,Ricky Barnes,23,"$25,283"
108,109,109,Tag Ridings,28,"$24,499"
109,110,110,Marc Leishman,27,"$23,041"
110,111,111,Harrison Frazar,19,"$22,220"
111,112,112,Chris DiMarco,31,"$21,669"
112,113,113,Steve Flesch,27,"$21,617"
113,114,114,Steve Elkington,17,"$20,524"
114,115,115,Ben Curtis,23,"$20,314"
115,116,116,Michael Allen,5,"$20,210"
116,117,117,Rocco Mediate,23,"$19,924"
117,118,118,Chris Riley,25,"$19,750"
118,T119,T119,Robert Allenby,25,"$19,466"
119,T119,T119,Charles Howell III,30,"$19,466"
120,T119,T119,Brandt Snedeker,26,"$19,466"
121,122,122,Aron Price,18,"$18,866"
122,123,123,Matt Bettencourt,30,"$18,850"
123,124,124,J.P. Hayes,19,"$18,204"
124,125,125,Troy Merritt,23,"$17,922"
125,126,126,Jim Herman,22,"$17,704"
126,127,127,Fran Quinn,10,"$17,602"
127,T128,T128,Lee Janzen,19,"$16,087"
128,T128,T128,Erick Justesen,1,"$16,087"
129,T128,T128,Troy Matteson,28,"$16,087"
130,T131,T131,Joe Durant,25,"$15,980"
131,T131,T131,Retief Goosen,16,"$15,980"
132,T133,T133,Charley Hoffman,27,"$15,419"
133,T133,T133,Martin Laird,23,"$15,419"
134,135,135,Johnson Wagner,25,"$12,800"
135,T136,T136,Kent Jones,25,"$12,569"
136,T136,T136,Tom Lehman,5,"$12,569"
137,T136,T136,Jarrod Lyle,29,"$12,569"
138,139,139,Frank Lickliter II,12,"$12,175"
139,140,140,Matt Jones,25,"$11,350"
140,141,141,Joe Ogilvie,24,"$11,117"
141,142,142,Martin Piller,23,"$10,800"
142,143,143,Jeff Maggert,18,"$10,778"
143,144,144,Michael Connell,26,"$10,400"
144,T145,T145,Mark Calcavecchia,6,"$10,152"
145,T145,T145,Carl Paulson,11,"$10,152"
146,T147,T147,Shaun Micheel,27,"$10,053"
147,T147,T147,Jeff Quinney,14,"$10,053"
148,149,149,Joseph Bramlett,25,"$9,724"
149,150,150,Patrick Reed,3,"$9,450"
150,T151,T151,Chris Couch,21,"$9,080"
151,T151,T151,Zack Miller,30,"$9,080"
152,T151,T151,D.A. Points,26,"$9,080"
153,154,154,Rich Beem,21,"$8,930"
154,155,155,D.J. Brigman,23,"$8,888"
155,156,156,Brendon de Jonge,30,"$8,680"
156,157,157,Cameron Beckman,25,"$8,492"
157,158,158,Richard Scott,1,"$8,400"
158,159,159,Justin Hicks,23,"$8,228"
159,160,160,Duffy Waldorf,14,"$8,052"
