,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
63,T60,T60,Michael Thompson,25,"24' 7""",13206.25,538
64,T60,T60,Brendon Todd,29,"24' 7""",12323.667,502
65,T66,T66,Tim Clark,20,"24' 8""",12268.75,497
66,T66,T66,Davis Love III,20,"24' 8""",10533.583,427
67,T66,T66,Billy Mayfair,28,"24' 8""",17161.583,696
68,T66,T66,Rocco Mediate,23,"24' 8""",12230.583,495
69,T66,T66,Patrick Sheehan,21,"24' 8""",8853.167,359
70,71,71,Freddie Jacobson,17,"24' 9""",8749.667,354
71,T72,T72,Erik Compton,26,"24' 10""",12422.167,500
72,T72,T72,Bill Haas,23,"24' 10""",13261.833,534
73,T72,T72,Jerry Kelly,26,"24' 10""",18461.833,744
74,T72,T72,"Ted Potter, Jr.",25,"24' 10""",13248.75,533
75,T72,T72,Ian Poulter,15,"24' 10""",8947.25,360
76,T72,T72,Josh Teater,30,"24' 10""",17260.0,695
77,T78,T78,Jason Bohn,28,"24' 11""",15006.0,602
78,T78,T78,Marco Dawson,22,"24' 11""",8804.917,353
79,T78,T78,Ernie Els,22,"24' 11""",12680.25,509
80,T78,T78,Hunter Haas,24,"24' 11""",11005.5,441
81,T78,T78,Edward Loar,23,"24' 11""",8221.333,330
82,T78,T78,Louis Oosthuizen,19,"24' 11""",10323.833,414
83,T78,T78,Webb Simpson,22,"24' 11""",13666.833,549
84,T85,T85,Blake Adams,32,"25' 0""",20147.667,806
85,T85,T85,Rickie Fowler,23,"25' 0""",14755.5,591
86,T85,T85,Jim Furyk,24,"25' 0""",16133.75,646
87,T85,T85,David Hearn,28,"25' 0""",18803.333,752
88,T85,T85,Sung Kang,30,"25' 0""",12003.917,480
89,T85,T85,Troy Matteson,32,"25' 0""",14678.167,588
90,T85,T85,Camilo Villegas,25,"25' 0""",15316.0,612
91,92,92,Brendon de Jonge,31,"25' 1""",22244.667,887
92,T93,T93,Kris Blanks,23,"25' 2""",13697.333,545
93,T93,T93,Bud Cauley,28,"25' 2""",18936.833,752
94,T93,T93,Matt Every,25,"25' 2""",13323.0,529
95,T93,T93,Martin Flores,30,"25' 2""",15256.333,606
96,T93,T93,Richard Lee,24,"25' 2""",13289.083,528
97,T93,T93,Kyle Reifers,27,"25' 2""",15787.833,628
98,T93,T93,Tiger Woods,19,"25' 2""",10543.833,419
99,T100,T100,Ben Crane,23,"25' 3""",13877.333,549
100,T100,T100,Brian Gay,28,"25' 3""",16953.417,672
101,T100,T100,Garth Mulroy,20,"25' 3""",9519.5,377
102,T100,T100,Ryan Palmer,24,"25' 3""",13940.5,553
103,T100,T100,Steve Stricker,19,"25' 3""",12211.417,484
104,T105,T105,Chris Couch,21,"25' 4""",12442.25,491
105,T105,T105,Graham DeLaet,23,"25' 4""",14900.417,588
106,T105,T105,Troy Kelly,23,"25' 4""",9235.417,365
107,T105,T105,Seung-Yul Noh,28,"25' 4""",17273.583,681
108,T109,T109,Cameron Beckman,26,"25' 5""",14932.083,588
109,T109,T109,Greg Chalmers,25,"25' 5""",16157.667,635
110,T109,T109,Ken Duke,30,"25' 5""",20674.417,813
111,T109,T109,Bob Estes,23,"25' 5""",13909.25,548
112,T109,T109,Ryan Moore,24,"25' 5""",18648.417,734
113,T109,T109,John Rollins,26,"25' 5""",15779.083,621
114,T109,T109,Roland Thatcher,21,"25' 5""",9573.917,377
115,T116,T116,J.B. Holmes,25,"25' 6""",14640.583,575
116,T116,T116,Sean O'Hair,24,"25' 6""",15954.667,625
117,T116,T116,Kyle Thompson,22,"25' 6""",8218.75,322
118,T119,T119,Chris Kirk,27,"25' 7""",18008.25,703
119,T119,T119,Vaughn Taylor,26,"25' 7""",13661.75,534
120,T121,T121,Stuart Appleby,24,"25' 8""",14901.333,581
121,T121,T121,Brian Davis,29,"25' 8""",18663.167,728
122,T123,T123,Chad Campbell,27,"25' 9""",15451.75,600
123,T123,T123,Scott Dunlap,20,"25' 9""",10528.417,409
124,125,125,Jason Day,17,"25' 10""",8788.583,340
125,T126,T126,Gavin Coles,23,"25' 11""",13148.0,508
126,T126,T126,Chris DiMarco,29,"25' 11""",17709.0,683
127,T126,T126,Robert Garrigus,26,"25' 11""",14820.0,571
128,T126,T126,D.J. Trahan,27,"25' 11""",13425.083,518
129,T126,T126,Johnson Wagner,27,"25' 11""",16810.167,648
130,T131,T131,Keegan Bradley,25,"26' 0""",15523.75,598
131,T131,T131,Trevor Immelman,24,"26' 0""",12059.25,464
132,T133,T133,Mark Anderson,25,"26' 1""",11223.0,430
133,T133,T133,Bobby Gates,29,"26' 1""",15881.167,609
134,T133,T133,Brandt Jobe,18,"26' 1""",10104.333,388
135,T133,T133,Spencer Levin,26,"26' 1""",13132.583,503
136,T133,T133,John Mallinger,25,"26' 1""",15262.0,586
137,T138,T138,Colt Knost,29,"26' 2""",16319.0,623
138,T138,T138,Martin Laird,22,"26' 2""",11470.167,438
139,T138,T138,Justin Leonard,26,"26' 2""",15002.0,573
140,T141,T141,Scott Piercy,28,"26' 3""",17351.583,660
141,T141,T141,Kevin Stadler,25,"26' 3""",16407.583,626
142,T143,T143,Pat Perez,23,"26' 4""",15444.167,586
143,T143,T143,Justin Rose,19,"26' 4""",12344.5,469
144,T145,T145,Dustin Johnson,19,"26' 5""",10642.583,403
145,T145,T145,Danny Lee,26,"26' 5""",12242.417,464
146,T145,T145,Alexandre Rocha,21,"26' 5""",11812.333,447
147,T148,T148,Scott Brown,24,"26' 6""",11177.0,422
148,T148,T148,D.A. Points,29,"26' 6""",19051.167,720
149,T148,T148,Henrik Stenson,15,"26' 6""",9926.417,375
150,151,151,George McNeill,25,"26' 7""",15554.083,585
151,T152,T152,J.J. Killeen,33,"26' 8""",17021.083,638
152,T152,T152,Marc Leishman,23,"26' 8""",15090.0,566
153,154,154,Jimmy Walker,28,"26' 9""",17435.5,651
154,T155,T155,J.J. Henry,28,"26' 10""",16301.0,607
155,T155,T155,Jhonattan Vegas,25,"26' 10""",13363.583,498
156,T157,T157,Charlie Beljan,22,"26' 11""",9166.667,341
157,T157,T157,K.J. Choi,21,"26' 11""",13471.333,501
158,159,159,Daniel Chopra,21,"27' 0""",7470.25,277
159,T160,T160,James Driscoll,27,"27' 1""",13258.167,490
160,T160,T160,Greg Owen,27,"27' 1""",17219.25,635
161,T160,T160,Charlie Wi,25,"27' 1""",16830.083,622
162,T163,T163,Ricky Barnes,28,"27' 2""",17916.417,660
163,T163,T163,John Daly,15,"27' 2""",7825.25,288
164,T163,T163,Nathan Green,22,"27' 2""",12269.667,452
165,T163,T163,Scott Stallings,27,"27' 2""",14791.667,544
166,167,167,Ryuji Imada,28,"27' 3""",14345.833,527
167,T168,T168,Harrison Frazar,20,"27' 4""",9776.167,358
168,T168,T168,Matt Jones,19,"27' 4""",8859.75,324
169,T168,T168,Mark Wilson,25,"27' 4""",17669.75,646
170,T171,T171,Matt Bettencourt,31,"27' 5""",11971.417,436
171,T171,T171,Padraig Harrington,18,"27' 5""",10268.5,374
172,T171,T171,Brendan Steele,24,"27' 5""",15137.583,552
173,T171,T171,David Toms,19,"27' 5""",11610.167,424
174,T175,T175,Billy Hurley III,27,"27' 6""",13102.75,477
175,T175,T175,Rory Sabbatini,29,"27' 6""",16556.0,602
176,T177,T177,Jonathan Byrd,21,"27' 8""",11993.833,433
177,T177,T177,Ryo Ishikawa,18,"27' 8""",7356.3330000000005,266
178,T177,T177,Jason Kokrak,27,"27' 8""",13732.333,496
179,180,180,Bubba Watson,19,"27' 9""",11193.0,403
180,181,181,Nick O'Hern,26,"27' 11""",16485.833,590
181,182,182,Aaron Baddeley,22,"28' 0""",11326.5,404
182,183,183,Stewart Cink,22,"28' 1""",10781.417,384
183,184,184,Stephen Gangluff,23,"28' 2""",8331.0,296
184,185,185,Tom Pernice Jr.,23,"28' 5""",12060.333,425
185,186,186,Kevin Na,25,"28' 6""",17058.167,599
186,187,187,Ángel Cabrera,20,"28' 9""",8345.333,290
187,188,188,Derek Lamely,25,"28' 10""",11409.333,396
188,T189,T189,Bryce Molder,25,"29' 5""",17725.917,603
189,T189,T189,Gary Woodland,22,"29' 5""",11516.5,392
190,191,191,Michael Bradley,23,"33' 7""",13258.25,395
