,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
49,T47,T47,Troy Matteson,100,110,28,82
50,T47,T47,Bryce Molder,83,110,83,27
51,52,52,Kyle Thompson,51,116,71,45
52,53,53,Jason Day,57,118,57,61
53,54,54,Bill Haas,79,120,66,54
54,55,55,Ian Poulter,57,121,97,24
55,T56,T56,Tim Clark,60,125,116,9
56,T56,T56,John Merrick,83,125,101,24
57,58,58,Kyle Reifers,86,126,20,106
58,59,59,Alexandre Rocha,62,130,44,86
59,T60,T60,Roberto Castro,92,132,55,77
60,T60,T60,Kevin Stadler,85,132,44,88
61,T60,T60,Steve Wheatcroft,56,132,37,95
62,T63,T63,Tim Herron,88,133,60,73
63,T63,T63,John Mallinger,74,133,94,39
64,65,65,Richard Lee,71,134,83,51
65,66,66,Brandt Jobe,57,142,88,54
66,T67,T67,Rocco Mediate,70,143,61,82
67,T67,T67,Camilo Villegas,79,143,51,92
68,69,69,Erik Compton,81,144,30,114
69,T70,T70,Justin Rose,69,148,80,68
70,T70,T70,Charlie Wi,86,148,94,54
71,72,72,Robert Allenby,76,150,68,82
72,T73,T73,Billy Horschel,63,152,36,116
73,T73,T73,Webb Simpson,77,152,64,88
74,75,75,Patrick Sheehan,58,157,118,39
75,76,76,Garth Mulroy,59,160,31,129
76,77,77,Robert Karlsson,54,161,32,129
77,78,78,Andres Romero,68,162,57,105
78,79,79,Miguel Angel Carballo,73,164,115,49
79,T80,T80,Matt Bettencourt,80,169,44,125
80,T80,T80,Tom Pernice Jr.,62,169,106,63
81,82,82,Edward Loar,59,170,19,151
82,83,83,Nick Watney,97,171,83,88
83,84,84,John Rollins,81,172,99,73
84,85,85,Johnson Wagner,88,174,129,45
85,T86,T86,Jason Dufner,83,176,139,37
86,T86,T86,Jerry Kelly,84,176,99,77
87,T88,T88,Marc Leishman,84,178,86,92
88,T88,T88,Vijay Singh,99,178,72,106
89,T90,T90,K.J. Choi,71,179,160,19
90,T90,T90,Dicky Pride,62,179,88,91
91,92,92,Tiger Woods,69,182,57,125
92,T93,T93,Gary Christian,91,187,145,42
93,T93,T93,Will Claxton,99,187,110,77
94,T93,T93,Ryan Moore,89,187,125,62
95,96,96,Michael Thompson,80,189,51,138
96,97,97,Ben Curtis,62,190,68,122
97,T98,T98,Geoff Ogilvy,73,191,72,119
98,T98,T98,Kevin Streelman,89,191,93,98
99,100,100,Sangmoon Bae,81,194,121,73
100,101,101,Charley Hoffman,88,199,80,119
101,T102,T102,Jonas Blixt,72,200,105,95
102,T102,T102,"Ted Potter, Jr.",77,200,152,48
103,T104,T104,Russell Knox,72,202,142,60
104,T104,T104,Graeme McDowell,55,202,169,33
105,106,106,Seung-Yul Noh,105,205,78,127
106,T107,T107,Mark Anderson,75,206,74,132
107,T107,T107,Aaron Baddeley,73,206,106,100
108,109,109,Lee Westwood,60,207,126,81
109,T110,T110,Luke Donald,63,209,133,76
110,T110,T110,Jim Furyk,85,209,146,63
111,T110,T110,Mathew Goggin,65,209,75,134
112,113,113,J.J. Henry,93,213,102,111
113,114,114,Cameron Tringale,88,218,80,138
114,115,115,Jonathan Byrd,69,220,109,111
115,116,116,Arjun Atwal,79,225,78,147
116,T117,T117,Chad Campbell,84,226,132,94
117,T117,T117,Chris Stroud,86,226,103,123
118,119,119,Cameron Beckman,81,228,142,86
119,120,120,John Senden,81,230,117,113
120,T121,T121,Jason Bohn,81,231,136,95
121,T121,T121,Justin Leonard,79,231,159,72
122,T121,T121,Bill Lunde,83,231,88,143
123,124,124,D.A. Points,88,233,135,98
124,125,125,Padraig Harrington,67,234,111,123
125,126,126,Troy Kelly,68,235,129,106
126,127,127,Harris English,98,238,94,144
127,128,128,Kevin Na,80,242,136,106
128,129,129,Daniel Summerhays,81,243,61,182
129,130,130,Graham DeLaet,79,246,87,159
130,131,131,Phil Mickelson,79,247,128,119
131,132,132,Ángel Cabrera,54,248,91,157
132,133,133,D.J. Trahan,73,251,150,101
133,134,134,Y.E. Yang,64,255,152,103
134,135,135,Kevin Kisner,69,259,103,156
135,136,136,George McNeill,85,260,106,154
136,137,137,Pat Perez,81,263,118,145
137,138,138,Boo Weekley,74,264,150,114
138,139,139,Colt Knost,79,265,149,116
139,T140,T140,Spencer Levin,81,266,163,103
140,T140,T140,Adam Scott,59,266,126,140
141,142,142,Jimmy Walker,101,269,118,151
142,143,143,Brendon Todd,78,271,121,150
143,T144,T144,Gavin Coles,72,272,170,102
144,T144,T144,Matt Every,80,272,121,151
145,146,146,Marco Dawson,60,274,114,160
146,147,147,Chris DiMarco,83,275,146,129
147,148,148,Daniel Chopra,55,277,111,166
148,149,149,David Mathis,83,278,162,116
149,150,150,Greg Chalmers,88,282,176,106
150,T151,T151,Stewart Cink,71,283,97,186
151,T151,T151,Ryo Ishikawa,54,283,121,162
152,153,153,Scott Brown,65,284,144,140
153,154,154,Jason Kokrak,79,292,113,179
154,155,155,Stuart Appleby,75,297,148,149
155,T156,T156,Kevin Chappell,91,298,140,158
156,T156,T156,Rod Pampling,88,298,164,134
157,158,158,Charles Howell III,98,300,173,127
158,T159,T159,Danny Lee,74,301,129,172
159,T159,T159,Charl Schwartzel,56,301,167,134
160,161,161,Blake Adams,107,306,174,132
161,T162,T162,Bob Estes,78,313,168,145
162,T162,T162,Nick O'Hern,78,313,179,134
163,164,164,Ryuji Imada,78,318,140,178
164,165,165,Derek Lamely,64,319,136,183
165,166,166,Hunter Haas,69,321,179,142
166,167,167,Bobby Gates,87,322,161,161
167,168,168,Charlie Beljan,61,323,152,171
168,169,169,Stephen Gangluff,57,324,133,191
169,170,170,William McGirt,96,325,156,169
170,171,171,Martin Flores,95,327,155,172
171,172,172,J.J. Killeen,101,330,165,165
172,173,173,Tom Gillis,75,331,184,147
173,174,174,Kris Blanks,65,332,170,162
174,T175,T175,Ken Duke,104,336,181,155
175,T175,T175,Greg Owen,90,336,156,180
176,177,177,Matt Jones,53,337,170,167
177,178,178,James Driscoll,83,339,165,174
178,179,179,Jhonattan Vegas,77,340,156,184
179,180,180,Gary Woodland,70,347,177,170
180,181,181,Stephen Ames,54,351,184,167
181,182,182,Freddie Jacobson,61,352,188,164
182,183,183,Scott Dunlap,57,353,178,175
183,184,184,Sergio Garcia,57,361,184,177
184,185,185,Ricky Barnes,92,363,187,176
185,186,186,Henrik Stenson,51,365,175,190
186,187,187,Brendon de Jonge,115,367,182,185
187,188,188,Chris Couch,61,370,182,188
188,189,189,Trevor Immelman,76,372,191,181
189,190,190,Nathan Green,73,377,190,187
190,191,191,Billy Hurley III,70,378,189,189
