,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
113,T114,T114,Kevin Chappell,29,"26' 3""",10826.75,412
114,T114,T114,Chris Kirk,27,"26' 3""",11795.833,449
115,T116,T116,Keegan Bradley,25,"26' 5""",9209.167,349
116,T116,T116,Chad Campbell,27,"26' 5""",10281.25,389
117,T118,T118,Jonathan Byrd,21,"26' 6""",8467.833,320
118,T118,T118,Sung Kang,30,"26' 6""",9351.583,353
119,120,120,Seung-Yul Noh,28,"26' 7""",12193.917,458
120,T121,T121,Adam Scott,16,"26' 8""",6017.9169999999995,226
121,T121,T121,Kevin Streelman,26,"26' 8""",10118.417,379
122,T123,T123,Ricky Barnes,28,"26' 10""",12030.417,448
123,T123,T123,Harris English,27,"26' 10""",12247.75,456
124,125,125,Billy Hurley III,27,"27' 1""",7873.25,291
125,T126,T126,Marco Dawson,22,"27' 5""",7201.0,263
126,T126,T126,Ernie Els,22,"27' 5""",10283.667,375
127,T126,T126,Tim Herron,27,"27' 5""",11143.75,407
128,129,129,Padraig Harrington,18,"27' 6""",6466.8330000000005,235
129,T130,T130,Ryo Ishikawa,18,"27' 7""",6449.1669999999995,234
130,T130,T130,Greg Owen,27,"27' 7""",11436.667,415
131,T130,T130,Charl Schwartzel,16,"27' 7""",5597.0,203
132,T133,T133,Charlie Beljan,22,"27' 8""",6551.25,237
133,T133,T133,Matt Jones,19,"27' 8""",7008.25,253
134,T133,T133,Marc Leishman,23,"27' 8""",12765.417,461
135,T133,T133,Michael Thompson,25,"27' 8""",9438.0,341
136,T137,T137,Rickie Fowler,23,"27' 10""",8433.417,303
137,T137,T137,Mathew Goggin,23,"27' 10""",8264.0,297
138,T137,T137,Henrik Stenson,15,"27' 10""",5618.1669999999995,202
139,T137,T137,Roland Thatcher,21,"27' 10""",5782.8330000000005,208
140,141,141,Tommy Gainey,32,"28' 0""",14572.0,521
141,142,142,Robert Karlsson,17,"28' 3""",6718.6669999999995,238
142,T143,T143,Robert Garrigus,26,"28' 4""",11838.583,418
143,T143,T143,Vaughn Taylor,26,"28' 4""",9084.75,321
144,T143,T143,D.J. Trahan,27,"28' 4""",8760.833,309
145,146,146,Harrison Frazar,20,"28' 5""",8077.0830000000005,284
146,T147,T147,Geoff Ogilvy,20,"28' 6""",7957.6669999999995,279
147,T147,T147,Tiger Woods,19,"28' 6""",7071.3330000000005,248
148,T149,T149,Davis Love III,20,"28' 7""",8036.25,281
149,T149,T149,Brendon Todd,29,"28' 7""",10047.083,351
150,151,151,Camilo Villegas,25,"28' 8""",10473.417,365
151,152,152,Kyle Stanley,27,"28' 10""",10734.917,372
152,153,153,Robert Allenby,27,"28' 11""",10418.833,360
153,T154,T154,Bobby Gates,29,"29' 1""",12189.583,419
154,T154,T154,Ryan Palmer,24,"29' 1""",11290.917,388
155,156,156,Ryuji Imada,28,"29' 2""",11854.75,407
156,T157,T157,Erik Compton,26,"29' 3""",10488.583,359
157,T157,T157,Martin Flores,30,"29' 3""",14462.667,495
158,T157,T157,J.J. Killeen,33,"29' 3""",14463.417,495
159,T157,T157,Dicky Pride,19,"29' 3""",7376.0,252
160,161,161,Tom Pernice Jr.,23,"29' 5""",7975.0830000000005,271
161,T162,T162,Scott Stallings,27,"29' 11""",10796.75,361
162,T162,T162,Bubba Watson,19,"29' 11""",8170.5,273
163,T164,T164,Stewart Cink,22,"30' 1""",10075.833,335
164,T164,T164,Scott Piercy,28,"30' 1""",14665.083,487
165,166,166,Dustin Johnson,19,"30' 2""",9223.583,306
166,167,167,Jason Kokrak,27,"30' 3""",12534.167,414
167,168,168,Jason Day,17,"30' 4""",8883.833,293
168,T169,T169,Charles Howell III,29,"30' 5""",14590.5,480
169,T169,T169,Troy Kelly,23,"30' 5""",9750.417,321
170,171,171,Edward Loar,23,"30' 7""",7499.3330000000005,245
171,T172,T172,Phil Mickelson,22,"30' 8""",10795.167,352
172,T172,T172,Garth Mulroy,20,"30' 8""",7262.75,237
173,174,174,Jimmy Walker,28,"30' 9""",17342.5,564
174,175,175,Andres Romero,22,"31' 0""",9739.583,314
175,176,176,Matt Bettencourt,31,"31' 3""",11281.75,361
176,177,177,Tommy Biershenk,27,"31' 4""",9615.167,307
177,178,178,Gary Woodland,22,"31' 6""",9663.083,307
178,179,179,James Driscoll,27,"32' 0""",14203.5,444
179,180,180,Troy Matteson,32,"32' 3""",16685.583,517
180,181,181,John Daly,15,"32' 8""",7056.8330000000005,216
181,182,182,Danny Lee,26,"32' 11""",10733.25,326
182,183,183,Jhonattan Vegas,25,"33' 4""",13740.333,412
183,184,184,Mark Anderson,25,"33' 8""",13006.917,386
184,T185,T185,Aaron Baddeley,22,"33' 9""",11242.417,333
185,T185,T185,Michael Bradley,23,"33' 9""",11531.417,342
186,T185,T185,Ángel Cabrera,20,"33' 9""",6549.5,194
187,188,188,J.B. Holmes,25,"35' 6""",16007.667,451
188,189,189,Stephen Gangluff,23,"35' 10""",9592.667,268
189,190,190,Daniel Chopra,21,"36' 6""",10869.667,298
190,191,191,Derek Lamely,25,"36' 11""",12954.667,351
