,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
156,157,157,David Hearn,95,109.74,8778.87,80,113.07,106.58
157,158,158,Arjun Atwal,79,109.69,6800.77,62,112.84,104.15
158,159,159,Steve Wheatcroft,56,109.68,4167.83,38,111.61,105.32
159,160,160,K.J. Choi,71,109.62,6029.15,55,116.1,105.38
160,161,161,Jim Furyk,85,109.6,7343.28,67,112.95,106.5
161,162,162,Russell Knox,72,109.55,5806.18,53,112.65,105.67
162,163,163,Tommy Biershenk,74,109.46,5910.67,54,113.22,105.72
163,164,164,Alexandre Rocha,62,109.42,5252.04,48,113.91,106.67
164,165,165,Dicky Pride,62,109.38,5468.77,50,111.83,106.02
165,166,166,Gary Christian,91,109.3,6995.07,64,113.18,106.23
166,167,167,Bryce Molder,83,109.28,7759.0,71,120.57,105.54
167,168,168,Billy Hurley III,70,109.17,5676.63,52,113.6,105.01
168,169,169,Vaughn Taylor,81,108.43,6072.16,56,112.97,104.98
169,170,170,Ben Curtis,62,108.25,5629.24,52,111.12,105.51
170,171,171,Matt Kuchar,86,108.13,7352.64,68,110.93,104.54
171,172,172,John Mallinger,74,108.0,6479.79,60,110.31,104.23
172,173,173,Patrick Sheehan,58,107.94,4425.6,41,110.94,105.16
173,174,174,Kyle Thompson,51,107.68,3661.08,34,110.58,105.12
174,175,175,David Mathis,83,107.66,6998.03,65,111.05,104.38
175,176,176,Zach Johnson,95,107.57,7960.48,74,110.55,104.47
176,177,177,Mark Wilson,84,107.55,7313.27,68,111.34,104.99
177,178,178,Rocco Mediate,70,107.53,6021.64,56,110.85,104.42
178,179,179,Justin Leonard,79,107.31,6009.19,56,110.26,103.61
179,180,180,Chris DiMarco,83,107.15,7072.09,66,110.47,103.51
180,181,181,Tom Pernice Jr.,62,107.02,5457.85,51,111.36,104.13
181,182,182,Colt Knost,79,106.78,6833.8,64,110.26,102.41
182,183,183,Jeff Maggert,83,106.17,8068.78,76,112.46,102.94
183,184,184,Heath Slocum,93,106.13,7535.54,71,108.45,102.0
184,185,185,Brian Davis,91,105.79,8568.97,81,110.66,102.38
185,186,186,Jerry Kelly,84,105.4,7694.55,73,109.04,101.84
186,187,187,Gavin Coles,72,104.78,5343.59,51,107.6,101.44
187,188,188,Nick O'Hern,78,104.68,6804.1,65,111.02,101.28
188,189,189,Brian Gay,91,104.58,7633.99,73,107.95,102.33
189,190,190,Tim Clark,60,104.37,5740.11,55,106.83,100.21
190,191,191,David Toms,60,104.29,4275.85,41,106.78,99.63
