,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
33,T34,T34,Sung Kang,75,2.4730000000000003,271.3,109.70299999999999,45,2.7310000000000003
34,T34,T34,Roland Thatcher,55,2.4730000000000003,277.3,112.145,31,2.673
35,36,36,Billy Horschel,63,2.472,275.1,111.275,42,2.715
36,T37,T37,Chez Reavie,83,2.471,271.7,109.954,56,2.733
37,T37,T37,Bubba Watson,68,2.471,307.7,124.552,41,2.8
38,T37,T37,Steve Wheatcroft,56,2.471,270.9,109.65700000000001,33,2.727
39,40,40,Tommy Biershenk,74,2.47,270.0,109.324,45,2.639
40,41,41,Louis Oosthuizen,65,2.469,288.4,116.821,47,2.8739999999999997
41,T42,T42,Bud Cauley,99,2.468,277.3,112.381,79,2.747
42,T42,T42,Brian Gay,91,2.468,258.2,104.603,71,2.755
43,T44,T44,Matt Bettencourt,80,2.467,278.6,112.94,36,2.713
44,T44,T44,Alexandre Rocha,62,2.467,269.5,109.213,37,2.662
45,T44,T44,Kevin Stadler,85,2.467,280.2,113.58200000000001,51,2.668
46,47,47,Robert Garrigus,89,2.4659999999999997,299.4,121.405,55,2.7539999999999996
47,T48,T48,Jeff Overton,101,2.465,276.0,111.99700000000001,77,2.68
48,T48,T48,Steve Stricker,73,2.465,276.5,112.169,44,2.782
49,50,50,Rory McIlroy,60,2.463,296.0,120.193,36,2.767
50,T51,T51,Heath Slocum,93,2.461,261.0,106.064,63,2.6919999999999997
51,T51,T51,Michael Thompson,80,2.461,274.5,111.508,53,2.7430000000000003
52,T51,T51,Camilo Villegas,79,2.461,277.9,112.94200000000001,57,2.702
53,T51,T51,Mark Wilson,84,2.461,264.2,107.353,57,2.787
54,T55,T55,Michael Bradley,63,2.459,281.1,114.315,26,2.805
55,T55,T55,Roberto Castro,92,2.459,277.2,112.764,61,2.659
56,T57,T57,Jason Day,57,2.457,292.0,118.853,36,2.7939999999999996
57,T57,T57,Andres Romero,68,2.457,283.5,115.39399999999999,43,2.679
58,T57,T57,Tiger Woods,69,2.457,296.7,120.744,32,2.766
59,60,60,Tim Herron,88,2.456,276.8,112.726,65,2.7089999999999996
60,T61,T61,John Huh,99,2.455,272.8,111.137,70,2.7569999999999997
61,T61,T61,Rocco Mediate,70,2.455,263.7,107.428,49,2.641
62,T61,T61,Daniel Summerhays,81,2.455,277.7,113.113,49,2.6510000000000002
63,T64,T64,Rory Sabbatini,84,2.454,275.2,112.131,58,2.784
64,T64,T64,Webb Simpson,77,2.454,277.8,113.196,51,2.62
65,66,66,Bill Haas,79,2.4530000000000003,283.6,115.65299999999999,58,2.763
66,67,67,Brian Davis,91,2.452,259.1,105.666,72,2.699
67,T68,T68,Robert Allenby,76,2.451,273.2,111.46799999999999,49,2.687
68,T68,T68,Ben Curtis,62,2.451,265.2,108.208,49,2.668
69,70,70,Zach Johnson,95,2.45,263.6,107.588,68,2.647
70,71,71,Kyle Thompson,51,2.449,263.4,107.561,29,2.658
71,T72,T72,Geoff Ogilvy,73,2.448,281.5,114.984,41,2.596
72,T72,T72,Vijay Singh,99,2.448,278.5,113.785,56,2.6489999999999996
73,74,74,Mark Anderson,75,2.447,288.2,117.76,36,2.623
74,T75,T75,Mathew Goggin,65,2.4459999999999997,276.0,112.855,47,2.675
75,T75,T75,Brian Harman,101,2.4459999999999997,271.3,110.90899999999999,73,2.6660000000000004
76,T75,T75,Carl Pettersson,92,2.4459999999999997,278.5,113.88799999999999,64,2.6310000000000002
77,T78,T78,Arjun Atwal,79,2.445,268.1,109.67200000000001,54,2.657
78,T78,T78,Seung-Yul Noh,105,2.445,289.4,118.391,66,2.6460000000000004
79,T80,T80,Charley Hoffman,88,2.444,283.0,115.78399999999999,69,2.682
80,T80,T80,Justin Rose,69,2.444,280.1,114.633,45,2.676
81,T80,T80,Cameron Tringale,88,2.444,280.6,114.824,62,2.688
82,T83,T83,Richard Lee,71,2.443,268.0,109.70200000000001,44,2.73
83,T83,T83,Bryce Molder,83,2.443,266.9,109.23100000000001,62,2.822
84,T83,T83,Nick Watney,97,2.443,289.9,118.684,63,2.741
85,86,86,Marc Leishman,84,2.4419999999999997,282.0,115.449,60,2.7889999999999997
86,87,87,Graham DeLaet,79,2.441,293.1,120.07799999999999,51,2.7060000000000004
87,T88,T88,Brandt Jobe,57,2.44,283.0,115.945,32,2.6919999999999997
88,T88,T88,Bill Lunde,83,2.44,273.3,112.00200000000001,55,2.609
89,T88,T88,Dicky Pride,62,2.44,266.6,109.262,43,2.658
90,T91,T91,Ángel Cabrera,54,2.439,290.8,119.251,26,2.767
91,T91,T91,Matt Kuchar,86,2.439,263.8,108.17,65,2.694
92,93,93,Kevin Streelman,89,2.438,281.2,115.355,64,2.6639999999999997
93,T94,T94,Harris English,98,2.437,286.3,117.46700000000001,64,2.719
94,T94,T94,John Mallinger,74,2.437,263.3,108.061,53,2.673
95,T94,T94,Charlie Wi,86,2.437,271.4,111.35600000000001,53,2.693
96,T97,T97,Stewart Cink,71,2.436,282.0,115.78299999999999,34,2.613
97,T97,T97,Ian Poulter,57,2.436,270.2,110.90899999999999,36,2.6210000000000004
98,T99,T99,Jerry Kelly,84,2.435,256.8,105.46799999999999,67,2.6630000000000003
99,T99,T99,John Rollins,81,2.435,276.3,113.48100000000001,63,2.634
100,101,101,John Merrick,83,2.434,275.4,113.149,57,2.639
101,102,102,J.J. Henry,93,2.432,276.8,113.814,40,2.674
102,T103,T103,Kevin Kisner,69,2.431,269.5,110.86399999999999,46,2.637
103,T103,T103,Chris Stroud,86,2.431,270.3,111.163,56,2.7
104,105,105,Jonas Blixt,72,2.43,271.7,111.84700000000001,53,2.677
105,T106,T106,Aaron Baddeley,73,2.4290000000000003,288.8,118.89200000000001,39,2.8289999999999997
106,T106,T106,George McNeill,85,2.4290000000000003,281.2,115.76899999999999,52,2.608
107,T106,T106,Tom Pernice Jr.,62,2.4290000000000003,260.0,107.065,43,2.676
108,109,109,Jonathan Byrd,69,2.428,279.8,115.243,40,2.693
109,110,110,Will Claxton,99,2.427,271.3,111.803,70,2.642
110,T111,T111,Daniel Chopra,55,2.426,283.5,116.855,30,2.653
111,T111,T111,Padraig Harrington,67,2.426,278.8,114.914,32,2.701
112,113,113,Jason Kokrak,79,2.425,286.5,118.12899999999999,42,2.6039999999999996
113,114,114,Marco Dawson,60,2.424,269.2,111.073,33,2.6060000000000003
114,115,115,Miguel Angel Carballo,73,2.423,275.3,113.603,43,2.603
115,116,116,Tim Clark,60,2.4219999999999997,252.6,104.286,49,2.589
116,117,117,John Senden,81,2.421,280.2,115.729,56,2.6039999999999996
117,T118,T118,Pat Perez,81,2.42,279.3,115.40700000000001,51,2.68
118,T118,T118,Patrick Sheehan,58,2.42,261.5,108.06299999999999,33,2.636
119,T118,T118,Jimmy Walker,101,2.42,283.7,117.214,59,2.697
120,T121,T121,Sangmoon Bae,81,2.419,275.5,113.904,50,2.7510000000000003
121,T121,T121,Matt Every,80,2.419,274.0,113.28200000000001,45,2.636
122,T121,T121,Ryo Ishikawa,54,2.419,274.5,113.444,25,2.73
123,T121,T121,Brendon Todd,78,2.419,267.7,110.635,49,2.6430000000000002
124,125,125,Ryan Moore,89,2.418,269.7,111.556,75,2.615
125,T126,T126,Adam Scott,59,2.417,288.2,119.251,37,2.7030000000000003
126,T126,T126,Lee Westwood,60,2.417,283.5,117.30799999999999,37,2.642
127,128,128,Phil Mickelson,79,2.416,282.1,116.735,47,2.6210000000000004
128,T129,T129,Troy Kelly,68,2.415,279.4,115.678,39,2.678
129,T129,T129,Danny Lee,74,2.415,274.8,113.78299999999999,40,2.6180000000000003
130,T129,T129,Johnson Wagner,88,2.415,267.2,110.64299999999999,65,2.654
131,132,132,Chad Campbell,84,2.414,272.2,112.77799999999999,61,2.7880000000000003
132,T133,T133,Luke Donald,63,2.4130000000000003,267.3,110.756,45,2.612
133,T133,T133,Stephen Gangluff,57,2.4130000000000003,276.1,114.417,30,2.6630000000000003
134,135,135,D.A. Points,88,2.412,266.8,110.618,64,2.8569999999999998
135,T136,T136,Jason Bohn,81,2.411,264.8,109.81299999999999,54,2.6010000000000004
136,T136,T136,Derek Lamely,64,2.411,280.0,116.139,41,2.742
137,T136,T136,Kevin Na,80,2.411,272.9,113.191,52,2.799
138,139,139,Jason Dufner,83,2.4090000000000003,271.2,112.579,54,2.6710000000000003
139,T140,T140,Kevin Chappell,91,2.408,282.1,117.137,53,2.62
140,T140,T140,Ryuji Imada,78,2.408,264.0,109.601,47,2.635
141,T142,T142,Cameron Beckman,81,2.407,263.8,109.589,55,2.758
142,T142,T142,Russell Knox,72,2.407,263.4,109.428,48,2.6710000000000003
143,144,144,Scott Brown,65,2.406,270.7,112.51700000000001,38,2.627
144,145,145,Gary Christian,91,2.405,262.8,109.26299999999999,55,2.627
145,T146,T146,Chris DiMarco,83,2.403,257.3,107.059,56,2.6430000000000002
146,T146,T146,Jim Furyk,85,2.403,263.1,109.493,54,2.6310000000000002
147,148,148,Stuart Appleby,75,2.4019999999999997,269.8,112.32600000000001,53,2.681
148,149,149,Colt Knost,79,2.401,256.1,106.665,57,2.569
149,T150,T150,D.J. Trahan,73,2.4,275.7,114.88799999999999,39,2.6710000000000003
150,T150,T150,Boo Weekley,74,2.4,276.0,115.00200000000001,49,2.654
151,T152,T152,Charlie Beljan,61,2.398,293.7,122.471,27,2.6239999999999997
152,T152,T152,"Ted Potter, Jr.",77,2.398,262.8,109.609,49,2.6460000000000004
153,T152,T152,Y.E. Yang,64,2.398,269.7,112.491,33,2.62
154,155,155,Martin Flores,95,2.397,284.9,118.82799999999999,56,2.655
155,T156,T156,William McGirt,96,2.396,270.2,112.772,65,2.627
156,T156,T156,Greg Owen,90,2.396,284.9,118.906,52,2.636
157,T156,T156,Jhonattan Vegas,77,2.396,292.7,122.18700000000001,45,2.859
158,159,159,Justin Leonard,79,2.395,256.9,107.25,51,2.6189999999999998
159,160,160,K.J. Choi,71,2.392,262.5,109.734,44,2.6510000000000002
160,161,161,Bobby Gates,87,2.391,286.1,119.679,56,2.622
161,162,162,David Mathis,83,2.39,257.1,107.54899999999999,57,2.688
162,163,163,Spencer Levin,81,2.388,264.0,110.56200000000001,53,2.614
163,164,164,Rod Pampling,88,2.387,268.0,112.275,58,2.638
164,T165,T165,James Driscoll,83,2.385,280.4,117.54899999999999,47,2.5810000000000004
165,T165,T165,J.J. Killeen,101,2.385,277.6,116.427,56,2.653
166,167,167,Charl Schwartzel,56,2.383,278.2,116.76299999999999,31,2.635
167,168,168,Bob Estes,78,2.3819999999999997,266.6,111.927,50,2.588
168,169,169,Graeme McDowell,55,2.378,267.3,112.406,37,2.718
169,T170,T170,Kris Blanks,65,2.376,266.6,112.205,47,2.5810000000000004
170,T170,T170,Gavin Coles,72,2.376,248.7,104.664,44,2.6430000000000002
171,T170,T170,Matt Jones,53,2.376,276.7,116.45200000000001,29,2.65
172,173,173,Charles Howell III,98,2.373,280.2,118.07,57,2.5340000000000003
173,174,174,Blake Adams,107,2.371,269.4,113.594,53,2.648
174,175,175,Henrik Stenson,51,2.366,284.6,120.304,12,2.555
175,176,176,Greg Chalmers,88,2.365,259.6,109.77,67,2.6719999999999997
176,177,177,Gary Woodland,70,2.3609999999999998,292.0,123.645,28,2.71
177,178,178,Scott Dunlap,57,2.359,260.7,110.524,33,2.623
178,T179,T179,Hunter Haas,69,2.3569999999999998,263.5,111.79899999999999,35,2.655
179,T179,T179,Nick O'Hern,78,2.3569999999999998,246.3,104.49799999999999,50,2.659
180,181,181,Ken Duke,104,2.354,261.0,110.861,74,2.532
181,T182,T182,Chris Couch,61,2.351,281.2,119.588,33,2.6639999999999997
182,T182,T182,Brendon de Jonge,115,2.351,271.7,115.537,79,2.6210000000000004
183,T184,T184,Stephen Ames,54,2.3480000000000003,257.7,109.751,28,2.6
184,T184,T184,Sergio Garcia,57,2.3480000000000003,279.8,119.13,36,2.8539999999999996
185,T184,T184,Tom Gillis,75,2.3480000000000003,267.7,113.98,58,2.6860000000000004
186,187,187,Ricky Barnes,92,2.347,272.3,116.0,58,2.637
187,188,188,Freddie Jacobson,61,2.344,266.2,113.56299999999999,38,2.611
188,189,189,Billy Hurley III,70,2.323,253.5,109.12100000000001,44,2.614
189,190,190,Nathan Green,73,2.319,266.5,114.883,35,2.5380000000000003
190,191,191,Trevor Immelman,76,2.301,271.5,117.977,46,2.5610000000000004
