,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
34,35,35,Zach Johnson,95,11.87,122,1028,+0.20
35,T36,T36,Cameron Tringale,88,11.88,126,1061,+0.18
36,T36,T36,Nick Watney,97,11.88,125,1052,+0.10
37,38,38,Ryan Moore,89,11.9,134,1126,+0.13
38,39,39,Jim Furyk,85,11.93,108,905,+0.03
39,T40,T40,Richard Lee,71,11.95,95,795,+0.13
40,T40,T40,Kevin Na,80,11.95,108,904,+0.06
41,T40,T40,Charlie Wi,86,11.95,120,1004,+0.14
42,43,43,Brian Harman,101,11.98,146,1219,+0.14
43,44,44,Roland Thatcher,55,12.01,73,608,+0.01
44,T45,T45,Jeff Overton,101,12.09,154,1274,+0.02
45,T45,T45,Vijay Singh,99,12.09,136,1125,+0.08
46,47,47,Stuart Appleby,75,12.17,110,904,+0.09
47,48,48,Stephen Gangluff,57,12.29,72,586,+0.21
48,49,49,Marc Leishman,84,12.34,129,1045,+0.09
49,T50,T50,Brandt Jobe,57,12.36,77,623,+0.10
50,T50,T50,Brendan Steele,77,12.36,111,898,+0.12
51,52,52,Charl Schwartzel,56,12.5,69,552,-0.10
52,T53,T53,Chris Kirk,93,12.56,148,1178,+0.03
53,T53,T53,George McNeill,85,12.56,123,979,+0.15
54,55,55,Billy Horschel,63,12.59,84,667,-0.04
55,56,56,John Rollins,81,12.6,124,984,+0.09
56,57,57,Billy Mayfair,90,12.65,136,1075,+0.10
57,58,58,John Merrick,83,12.66,126,995,+0.09
58,59,59,Brandt Snedeker,81,12.67,114,900,+0.04
59,60,60,Rod Pampling,88,12.73,122,958,+0.17
60,61,61,Adam Scott,59,12.77,72,564,+0.07
61,62,62,Charley Hoffman,88,12.83,135,1052,+0.06
62,63,63,Greg Chalmers,88,12.89,133,1032,+0.08
63,T64,T64,Matt Every,80,12.91,114,883,+0.04
64,T64,T64,Brian Gay,91,12.91,139,1077,+0.12
65,66,66,Bob Estes,78,12.93,116,897,+0.22
66,T67,T67,Ben Crane,73,13.01,112,861,-0.05
67,T67,T67,Martin Laird,77,13.01,98,753,+0.09
68,T67,T67,Greg Owen,90,13.01,138,1061,+0.08
69,70,70,Charles Howell III,98,13.04,138,1058,+0.03
70,71,71,Kevin Kisner,69,13.06,96,735,+0.08
71,72,72,D.A. Points,88,13.08,146,1116,+0.04
72,73,73,Cameron Beckman,81,13.1,125,954,+0.20
73,T74,T74,Rickie Fowler,84,13.13,120,914,+0.18
74,T74,T74,David Mathis,83,13.13,126,960,+0.13
75,76,76,Chris Stroud,86,13.16,137,1041,+0.16
76,77,77,Roberto Castro,92,13.31,139,1044,+0.06
77,78,78,Kevin Chappell,91,13.33,133,998,+0.20
78,79,79,Henrik Stenson,51,13.38,78,583,+0.12
79,80,80,K.J. Choi,71,13.39,105,784,+0.25
80,81,81,Kevin Streelman,89,13.41,143,1066,+0.07
81,82,82,Danny Lee,74,13.43,108,804,-0.05
82,83,83,Sean O'Hair,84,13.45,142,1056,+0.15
83,84,84,Ángel Cabrera,54,13.5,69,511,+0.03
84,85,85,Tim Herron,88,13.52,143,1058,+0.15
85,86,86,Jason Bohn,81,13.57,124,914,+0.09
86,87,87,Bud Cauley,99,13.58,170,1252,+0.08
87,88,88,Ben Curtis,62,13.6,91,669,+0.11
88,89,89,Tom Pernice Jr.,62,13.71,98,715,+0.10
89,90,90,Padraig Harrington,67,13.73,85,619,+0.09
90,91,91,Will Claxton,99,13.76,164,1192,+0.04
91,92,92,Scott Brown,65,13.78,97,704,+0.11
92,93,93,Matt Kuchar,86,13.82,126,912,+0.09
93,94,94,Luke Donald,63,13.88,92,663,-0.03
94,95,95,Bill Lunde,83,13.92,129,927,E
95,T96,T96,Chad Campbell,84,14.0,141,1007,+0.14
96,T96,T96,Bobby Gates,87,14.0,146,1043,+0.12
97,T96,T96,Michael Thompson,80,14.0,125,893,+0.25
98,99,99,Louis Oosthuizen,65,14.03,94,670,-0.05
99,100,100,Rocco Mediate,70,14.04,113,805,+0.05
100,101,101,Brendon de Jonge,115,14.08,199,1413,+0.01
101,102,102,J.J. Killeen,101,14.09,163,1157,+0.07
102,T103,T103,Stephen Ames,54,14.15,76,537,+0.11
103,T103,T103,Ricky Barnes,92,14.15,161,1138,+0.07
104,T103,T103,Patrick Sheehan,58,14.15,87,615,+0.14
105,106,106,William McGirt,96,14.19,155,1092,+0.08
106,107,107,Kyle Thompson,51,14.26,73,512,+0.15
107,108,108,Tommy Biershenk,74,14.27,114,799,+0.06
108,109,109,Mark Anderson,75,14.29,119,833,+0.08
109,110,110,Andres Romero,68,14.3,106,741,+0.04
110,111,111,Hunter Haas,69,14.42,104,721,+0.07
111,112,112,Tom Gillis,75,14.44,138,956,+0.09
112,113,113,Graham DeLaet,79,14.45,142,983,+0.06
113,T114,T114,Keegan Bradley,90,14.52,143,985,+0.03
114,T114,T114,Scott Piercy,95,14.52,171,1178,+0.08
115,T116,T116,Sung Kang,75,14.59,124,850,+0.11
116,T116,T116,Daniel Summerhays,81,14.59,138,946,+0.20
117,118,118,D.J. Trahan,73,14.62,125,855,+0.14
118,119,119,Nick O'Hern,78,14.65,137,935,+0.16
119,120,120,Miguel Angel Carballo,73,14.66,116,791,+0.15
120,121,121,Kevin Stadler,85,14.71,143,972,+0.15
121,122,122,Steve Stricker,73,14.72,111,754,+0.03
122,123,123,Tommy Gainey,98,14.77,184,1246,+0.17
123,124,124,Vaughn Taylor,81,14.8,131,885,+0.11
124,125,125,Arjun Atwal,79,14.88,136,914,+0.29
125,126,126,Freddie Jacobson,61,14.89,91,611,+0.18
126,127,127,Seung-Yul Noh,105,14.91,175,1174,+0.06
127,128,128,Pat Perez,81,14.93,142,951,+0.08
128,129,129,Y.E. Yang,64,14.97,100,668,+0.14
129,130,130,Erik Compton,81,14.99,133,887,+0.23
130,131,131,Dicky Pride,62,15.0,102,680,+0.24
131,T132,T132,Charlie Beljan,61,15.01,89,593,+0.03
132,T132,T132,Kyle Stanley,86,15.01,146,973,E
133,134,134,Camilo Villegas,79,15.08,152,1008,+0.16
134,135,135,Robert Karlsson,54,15.14,86,568,+0.17
135,T136,T136,Davis Love III,64,15.16,109,719,+0.01
136,T136,T136,"Ted Potter, Jr.",77,15.16,129,851,+0.11
137,138,138,Garth Mulroy,59,15.25,97,636,+0.01
138,T139,T139,Scott Stallings,78,15.37,144,937,-0.01
139,T139,T139,Bubba Watson,68,15.37,109,709,-0.05
140,141,141,J.J. Henry,93,15.42,152,986,+0.18
141,142,142,Sergio Garcia,57,15.44,94,609,-0.05
142,143,143,Robert Allenby,76,15.51,141,909,+0.19
143,T144,T144,Jimmy Walker,101,15.53,194,1249,-0.01
144,T144,T144,Steve Wheatcroft,56,15.53,91,586,+0.09
145,T146,T146,Ryan Palmer,81,15.56,153,983,+0.04
146,T146,T146,Bo Van Pelt,84,15.56,140,900,+0.06
147,148,148,J.B. Holmes,90,15.63,166,1062,+0.03
148,149,149,James Driscoll,83,15.76,150,952,+0.14
149,150,150,Jonas Blixt,72,15.88,141,888,+0.05
150,151,151,Mathew Goggin,65,15.99,122,763,+0.03
151,152,152,Justin Leonard,79,16.0,151,944,+0.14
152,153,153,Kyle Reifers,86,16.03,164,1023,+0.02
153,154,154,Ryo Ishikawa,54,16.14,82,508,+0.12
154,155,155,Sangmoon Bae,81,16.2,128,790,+0.16
155,156,156,Aaron Baddeley,73,16.21,123,759,+0.02
156,157,157,Nathan Green,73,16.27,129,793,+0.15
157,158,158,Matt Jones,53,16.36,99,605,+0.13
158,159,159,Brendon Todd,78,16.44,142,864,+0.08
159,160,160,Daniel Chopra,55,16.46,95,577,-0.02
160,161,161,Johnson Wagner,88,16.49,175,1061,+0.05
161,162,162,Jason Kokrak,79,16.51,156,945,+0.08
162,163,163,Geoff Ogilvy,73,16.58,126,760,+0.15
163,164,164,Derek Lamely,64,16.6,127,765,+0.09
164,165,165,Ernie Els,80,16.76,150,895,+0.06
165,166,166,Gavin Coles,72,16.77,133,793,+0.12
166,167,167,Stewart Cink,71,16.8,124,738,+0.06
167,168,168,Webb Simpson,77,17.12,157,917,-0.03
168,169,169,Jason Day,57,17.26,111,643,+0.01
169,170,170,Tiger Woods,69,17.27,115,666,-0.03
170,T171,T171,Troy Matteson,100,17.3,196,1133,-0.03
171,T171,T171,Lee Westwood,60,17.3,96,555,+0.04
172,173,173,John Daly,50,17.31,90,520,+0.12
173,174,174,Carl Pettersson,92,17.39,193,1110,+0.05
174,175,175,Matt Bettencourt,80,17.45,144,825,+0.22
175,176,176,Troy Kelly,68,17.65,123,697,+0.13
176,177,177,Jonathan Byrd,69,17.68,137,775,+0.07
177,178,178,Robert Garrigus,89,17.71,181,1022,+0.06
178,179,179,Billy Hurley III,70,17.92,141,787,+0.13
179,180,180,Rory McIlroy,60,17.99,100,556,-0.09
180,181,181,Dustin Johnson,70,18.34,133,725,-0.01
181,182,182,Jhonattan Vegas,77,18.4,175,951,+0.10
182,183,183,Ryuji Imada,78,18.46,175,948,+0.07
183,184,184,Spencer Levin,81,18.5,170,919,+0.12
184,185,185,Martin Flores,95,18.62,211,1133,+0.10
185,186,186,Harrison Frazar,56,18.65,124,665,+0.06
186,187,187,Marco Dawson,60,18.96,120,633,+0.14
187,188,188,Michael Bradley,63,19.17,144,751,+0.11
188,189,189,Phil Mickelson,79,19.63,161,820,-0.07
189,T190,T190,Edward Loar,59,20.0,119,595,+0.19
190,T190,T190,Gary Woodland,70,20.0,145,725,+0.06
