,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
40,41,41,Charley Hoffman,88,2865.9,200615,70,4397,2026
41,42,42,Bobby Gates,87,2865.5,146140,51,4956,1637
42,43,43,Bob Estes,78,2865.1,143254,50,3846,2177
43,44,44,Brendon Todd,78,2863.1,143153,50,8338,2054
44,45,45,Graham DeLaet,79,2860.1,151585,53,4877,1658
45,46,46,Charles Howell III,98,2857.8,162897,57,5026,2008
46,47,47,Blake Adams,107,2856.5,131401,46,7852,1538
47,48,48,Rickie Fowler,84,2852.9,151205,53,4747,1795
48,49,49,Mark Wilson,84,2842.7,184778,65,4808,2014
49,50,50,Freddie Jacobson,61,2841.5,110818,39,5742,1983
50,51,51,Stuart Appleby,75,2839.1,147632,52,5258,1992
51,52,52,Greg Chalmers,88,2838.0,181631,64,3659,1747
52,53,53,Marc Leishman,84,2837.8,144728,51,7675,1978
53,54,54,Trevor Immelman,76,2828.1,132923,47,5088,1847
54,55,55,Jim Furyk,85,2824.5,172294,61,4931,1961
55,56,56,Robert Karlsson,54,2822.2,101600,36,4741,1989
56,57,57,Tom Pernice Jr.,62,2822.0,132635,47,5964,1810
57,58,58,Edward Loar,59,2817.4,95790,34,3953,1756
58,59,59,Pat Perez,81,2812.9,154708,55,3760,1742
59,60,60,Steve Wheatcroft,56,2807.3,98255,35,6021,2050
60,61,61,Rod Pampling,88,2804.8,157070,56,3572,2059
61,62,62,Jhonattan Vegas,77,2802.3,159732,57,4170,1767
62,63,63,Cameron Tringale,88,2785.2,167113,60,3536,1953
63,64,64,Jimmy Walker,101,2783.1,183684,66,4934,1803
64,65,65,Matt Every,80,2782.6,147479,53,6956,1906
65,66,66,David Mathis,83,2779.3,150081,54,3827,1535
66,67,67,Lee Westwood,60,2772.6,85950,31,4281,2010
67,68,68,Rory McIlroy,60,2770.4,77571,28,8006,1920
68,69,69,Vijay Singh,99,2770.2,155130,56,4609,1855
69,70,70,Ryuji Imada,78,2769.3,149543,54,3729,1677
70,71,71,Louis Oosthuizen,65,2768.5,116277,42,3555,1870
71,72,72,Roberto Castro,92,2766.6,185363,67,5924,1695
72,73,73,Martin Laird,77,2764.8,124416,45,4038,1956
73,74,74,Ricky Barnes,92,2761.0,198794,72,3905,1977
74,75,75,Derek Lamely,64,2759.2,118644,43,10941,1839
75,76,76,Ryan Moore,89,2758.7,223452,81,3915,1565
76,77,77,Phil Mickelson,79,2754.5,129461,47,4783,1836
77,78,78,Bill Lunde,83,2752.3,151379,55,4854,1950
78,79,79,Michael Bradley,63,2744.3,87818,32,3724,2102
79,80,80,Jason Bohn,81,2743.4,150888,55,3612,1937
80,81,81,Andres Romero,68,2741.2,134320,49,3934,1584
81,82,82,J.B. Holmes,90,2730.9,169316,62,4752,1738
82,83,83,Kevin Stadler,85,2727.6,133653,49,4750,1954
83,84,84,Zach Johnson,95,2726.4,174490,64,8948,1846
84,85,85,Brendan Steele,77,2725.5,147179,54,3872,2055
85,86,86,Kevin Chappell,91,2720.8,168687,62,4812,1508
86,87,87,Chris Stroud,86,2718.6,163113,60,3581,1773
87,88,88,Bo Van Pelt,84,2717.6,165774,61,4536,1800
88,89,89,Harris English,98,2717.4,190219,70,4803,1732
89,90,90,Roland Thatcher,55,2715.7,97764,36,6173,1906
90,91,91,Boo Weekley,74,2714.8,146600,54,3610,1603
91,92,92,Ángel Cabrera,54,2711.9,75932,28,4408,1892
92,93,93,Tommy Biershenk,74,2711.7,122025,45,4174,1623
93,94,94,Michael Thompson,80,2708.2,146245,54,4484,2068
94,95,95,Brandt Snedeker,81,2708.1,157071,58,4343,1785
95,96,96,Davis Love III,64,2702.9,97305,36,3987,1914
96,97,97,Chris Kirk,93,2699.4,207850,77,6814,1965
97,98,98,Charlie Wi,86,2699.2,167353,62,4577,1877
98,99,99,Bryce Molder,83,2690.0,174851,65,3579,1931
99,100,100,Ryo Ishikawa,54,2687.3,77932,29,3207,2185
100,101,101,Gavin Coles,72,2682.3,107292,40,5995,1729
101,102,102,John Rollins,81,2680.4,155462,58,4348,1802
102,103,103,Kevin Streelman,89,2672.3,173697,65,4244,1789
103,104,104,Robert Allenby,76,2666.3,141316,53,4462,1748
104,105,105,Mathew Goggin,65,2662.8,127816,48,3789,1854
105,106,106,Ian Poulter,57,2661.9,101152,38,3809,2055
106,107,107,Jonas Blixt,72,2661.5,133074,50,3456,2013
107,108,108,Greg Owen,90,2660.0,148958,56,3789,1867
108,109,109,Jeff Overton,101,2659.2,218052,82,6522,1593
109,110,110,"Ted Potter, Jr.",77,2653.6,132679,50,4573,1892
110,111,111,Garth Mulroy,59,2646.2,92617,35,6290,1851
111,112,112,Daniel Summerhays,81,2643.7,140118,53,5164,1882
112,113,113,Jason Dufner,83,2643.5,158610,60,3502,1848
113,114,114,Gary Christian,91,2630.3,134146,51,4709,1788
114,115,115,Russell Knox,72,2630.1,120985,46,5551,1681
115,116,116,Chad Campbell,84,2621.0,175606,67,4692,2011
116,117,117,Erik Compton,81,2619.7,107409,41,3896,1728
117,118,118,Matt Bettencourt,80,2611.5,117517,45,5356,1751
118,119,119,Padraig Harrington,67,2601.9,91068,35,3479,1869
119,120,120,Tim Herron,88,2599.8,166385,64,4650,1514
120,121,121,D.A. Points,88,2596.7,168787,65,5061,1517
121,122,122,Troy Matteson,100,2596.6,171378,66,3958,1511
122,123,123,Webb Simpson,77,2594.9,153099,59,4106,1929
123,124,124,Rocco Mediate,70,2594.4,124531,48,4208,1677
124,125,125,Danny Lee,74,2587.9,119043,46,4340,1731
125,126,126,Graeme McDowell,55,2577.6,100527,39,3981,2003
126,127,127,Matt Kuchar,86,2573.3,162118,63,4553,1759
127,128,128,Scott Stallings,78,2570.2,149074,58,8325,1563
128,129,129,Cameron Beckman,81,2563.7,164076,64,3768,1698
129,130,130,Kyle Thompson,51,2557.6,76727,30,4435,2058
130,131,131,Daniel Chopra,55,2553.8,94492,37,3557,1530
131,132,132,David Hearn,95,2549.4,191206,75,4315,1603
132,133,133,Nick O'Hern,78,2545.4,150181,59,3858,1555
133,134,134,Spencer Levin,81,2544.3,134848,53,4667,1671
134,135,135,Will Claxton,99,2542.8,185628,73,3384,1569
135,136,136,Jerry Kelly,84,2537.9,157352,62,5395,1706
136,137,137,Dustin Johnson,70,2530.2,103738,41,3189,1770
137,138,138,Rory Sabbatini,84,2517.7,173718,69,3492,1600
138,139,139,John Merrick,83,2515.2,145884,58,3960,1867
139,140,140,Troy Kelly,68,2513.8,105581,42,4493,1723
140,T141,T141,Brandt Jobe,57,2513.3,87965,35,3468,1681
141,T141,T141,Sung Kang,75,2513.3,110583,44,6139,1660
142,143,143,Heath Slocum,93,2506.6,167943,67,5667,1771
143,144,144,Charl Schwartzel,56,2500.9,92535,37,3968,1666
144,145,145,Alexandre Rocha,62,2500.2,115008,46,3068,1956
145,146,146,John Huh,99,2499.9,182492,73,4222,1764
146,147,147,Arjun Atwal,79,2498.0,127396,51,3936,1842
147,148,148,Ryan Palmer,81,2497.7,152357,61,4137,1722
148,149,149,Kyle Stanley,86,2497.2,107380,43,3838,1952
149,150,150,Johnson Wagner,88,2496.1,174729,70,3737,1665
150,151,151,Kevin Kisner,69,2493.4,122175,49,3214,1981
151,152,152,Sean O'Hair,84,2492.0,164475,66,4056,1517
152,153,153,Harrison Frazar,56,2491.7,92193,37,3250,1683
153,154,154,Hunter Mahan,88,2486.6,139248,56,4455,1612
154,155,155,Gary Woodland,70,2485.3,89470,36,4693,1537
155,156,156,Justin Rose,69,2481.3,124065,50,3312,1937
156,157,157,Billy Horschel,63,2475.9,103986,42,4025,1754
157,158,158,Bud Cauley,99,2475.2,183165,74,3782,1607
158,159,159,Patrick Sheehan,58,2474.6,91559,37,5316,1713
159,160,160,John Mallinger,74,2473.5,123674,50,4777,1675
160,161,161,Marco Dawson,60,2462.9,100979,41,4033,1743
161,162,162,Ernie Els,80,2458.1,127822,52,4580,1742
162,163,163,J.J. Henry,93,2456.9,108104,44,3919,1774
163,164,164,Chez Reavie,83,2455.4,147326,60,3180,1788
164,165,165,Kyle Reifers,86,2455.3,152230,62,3923,1645
165,166,166,D.J. Trahan,73,2450.6,98022,40,4615,1772
166,167,167,Ben Crane,73,2448.4,137110,56,4228,1737
167,168,168,Steve Stricker,73,2445.0,117362,48,3132,1636
168,169,169,Jason Kokrak,79,2431.0,119118,49,5279,1770
169,170,170,Stewart Cink,71,2429.6,87467,36,3298,1651
170,171,171,Robert Garrigus,89,2426.8,148036,61,4032,1512
171,172,172,K.J. Choi,71,2415.7,118367,49,3969,1723
172,173,173,Scott Piercy,95,2412.5,132688,55,4640,1707
173,174,174,Keegan Bradley,90,2403.1,112948,47,3758,1754
174,175,175,Tiger Woods,69,2391.5,86095,36,4726,1673
175,176,176,Brian Davis,91,2374.9,187619,79,4886,1713
176,177,177,John Daly,50,2374.4,64110,27,4001,1644
177,178,178,Carl Pettersson,92,2373.2,144766,61,4032,1680
178,179,179,Jason Day,57,2371.8,90129,38,3977,1655
179,T180,T180,Tommy Gainey,98,2371.5,166006,70,4612,1609
180,T180,T180,Justin Leonard,79,2371.5,120949,51,3582,1712
181,182,182,Billy Mayfair,90,2369.5,146912,62,3115,1737
182,183,183,Stephen Ames,54,2365.4,66230,28,3246,1625
183,184,184,Brian Harman,101,2313.4,196636,85,3778,1587
184,185,185,Scott Brown,65,2295.6,89530,39,3799,1647
185,186,186,Tim Clark,60,2292.5,121505,53,3294,1736
186,187,187,Camilo Villegas,79,2257.6,153518,68,3314,1712
187,188,188,David Toms,60,2253.8,83390,37,3241,1546
188,189,189,Vaughn Taylor,81,2251.3,117069,52,4249,1541
189,190,190,Brian Gay,91,2199.0,142933,65,3941,1619
190,191,191,Jeff Maggert,83,2184.5,139808,64,3965,1543
