,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
93,T94,T94,Hunter Haas,24,51.1,136,266,2.13
94,T94,T94,Matt Jones,19,51.1,135,264,2.15
95,T96,T96,Erik Compton,26,51.2,186,363,1.61
96,T96,T96,Colt Knost,29,51.2,152,297,2.63
97,98,98,Roberto Castro,27,51.3,179,349,1.12
98,T99,T99,Bobby Gates,29,51.6,214,415,1.82
99,T99,T99,Charley Hoffman,27,51.6,199,386,1.66
100,T99,T99,John Merrick,26,51.6,177,343,2.15
101,102,102,Scott Brown,24,51.7,136,263,2.06
102,T103,T103,Sangmoon Bae,25,51.8,174,336,2.47
103,T103,T103,Keegan Bradley,25,51.8,183,353,2.13
104,T103,T103,J.B. Holmes,25,51.8,231,446,1.0
105,T103,T103,Richard Lee,24,51.8,130,251,2.0
106,T103,T103,Ryan Palmer,24,51.8,206,398,1.84
107,T108,T108,Jason Day,17,51.9,151,291,1.06
108,T108,T108,Padraig Harrington,18,51.9,122,235,1.8
109,T108,T108,Bill Lunde,25,51.9,188,362,1.54
110,T108,T108,Roland Thatcher,21,51.9,112,216,4.38
111,112,112,Jason Kokrak,27,52.0,220,423,1.45
112,113,113,Cameron Beckman,26,52.1,184,353,1.63
113,T114,T114,Tommy Gainey,32,52.2,279,534,1.61
114,T114,T114,Tim Herron,27,52.2,216,414,1.57
115,T114,T114,Andres Romero,22,52.2,167,320,2.4
116,117,117,David Mathis,29,52.3,179,342,1.56
117,T118,T118,K.J. Choi,21,52.4,142,271,1.13
118,T118,T118,Gary Christian,28,52.4,163,311,2.21
119,T120,T120,Stephen Ames,20,52.5,104,198,2.98
120,T120,T120,Tom Pernice Jr.,23,52.5,146,278,2.6
121,122,122,Greg Chalmers,25,52.6,201,382,1.39
122,T123,T123,Jason Dufner,22,52.7,154,292,1.36
123,T123,T123,Robert Karlsson,17,52.7,128,243,1.88
124,T123,T123,Rory McIlroy,16,52.7,125,237,0.88
125,126,126,Danny Lee,26,52.9,171,323,1.23
126,127,127,Sean O'Hair,24,53.0,212,400,1.65
127,128,128,Graham DeLaet,23,53.1,195,367,1.69
128,129,129,Rocco Mediate,23,53.2,158,297,2.53
129,T130,T130,Aaron Baddeley,22,53.3,177,332,0.73
130,T130,T130,Chris Couch,21,53.3,128,240,0.86
131,T130,T130,Troy Matteson,32,53.3,274,514,1.82
132,133,133,Ian Poulter,15,53.4,86,161,0.81
133,134,134,David Toms,19,53.5,99,185,1.31
134,135,135,Brandt Snedeker,22,53.7,188,350,2.13
135,T136,T136,Charlie Beljan,22,53.8,127,236,0.87
136,T136,T136,Brian Gay,28,53.8,214,398,1.4
137,T138,T138,Ángel Cabrera,20,54.0,109,202,1.83
138,T138,T138,Kevin Kisner,24,54.0,147,272,1.97
139,140,140,Brian Davis,29,54.3,188,346,1.91
140,T141,T141,Stewart Cink,22,54.5,186,341,1.56
141,T141,T141,John Huh,28,54.5,199,365,2.11
142,T141,T141,J.J. Killeen,33,54.5,267,490,1.39
143,T141,T141,John Rollins,26,54.5,186,341,1.56
144,145,145,Bubba Watson,19,54.6,149,273,-0.4
145,146,146,Ryo Ishikawa,18,54.7,127,232,0.87
146,147,147,Brendan Steele,24,54.8,177,323,1.75
147,T148,T148,Blake Adams,32,55.0,216,393,2.22
148,T148,T148,Ricky Barnes,28,55.0,252,458,2.5
149,T148,T148,James Driscoll,27,55.0,242,440,2.11
150,T151,T151,Greg Owen,27,55.1,226,410,1.46
151,T151,T151,Charl Schwartzel,16,55.1,109,198,0.92
152,T151,T151,Jimmy Walker,28,55.1,312,566,1.19
153,154,154,Kyle Stanley,27,55.2,207,375,0.82
154,155,155,Cameron Tringale,26,55.5,201,362,2.19
155,156,156,Chris DiMarco,29,55.6,169,304,2.66
156,157,157,Boo Weekley,25,55.8,150,269,1.4
157,158,158,Scott Piercy,28,56.1,270,481,1.11
158,159,159,Justin Rose,19,56.2,145,258,1.59
159,T160,T160,Bob Estes,23,56.3,191,339,1.62
160,T160,T160,David Hearn,28,56.3,250,444,1.6
161,T162,T162,Bill Haas,23,56.4,167,296,1.26
162,T162,T162,Chris Kirk,27,56.4,254,450,1.85
163,T162,T162,Hunter Mahan,23,56.4,159,282,2.33
164,T165,T165,John Mallinger,25,56.8,159,280,2.7
165,T165,T165,Vijay Singh,27,56.8,231,407,1.73
166,167,167,Patrick Sheehan,21,56.9,140,246,1.79
167,T168,T168,Brandt Jobe,18,57.1,129,226,2.56
168,T168,T168,George McNeill,25,57.1,213,373,2.02
169,170,170,Russell Knox,23,58.1,143,246,1.75
170,T171,T171,Alexandre Rocha,21,58.2,142,244,0.63
171,T171,T171,Heath Slocum,29,58.2,160,275,2.19
172,173,173,Adam Scott,16,58.3,130,223,2.15
173,T174,T174,Ken Duke,30,58.4,243,416,2.02
174,T174,T174,Rory Sabbatini,29,58.4,219,375,2.42
175,176,176,Jeff Overton,29,58.6,275,469,2.25
176,177,177,Mark Anderson,25,58.7,223,380,2.74
177,178,178,Scott Dunlap,20,58.9,129,219,0.62
178,179,179,Charlie Wi,25,59.2,219,370,1.14
179,180,180,Daniel Chopra,21,59.4,170,286,1.71
180,181,181,Harris English,27,59.5,276,464,2.03
181,T182,T182,Kevin Chappell,29,59.8,251,420,1.67
182,T182,T182,Nick Watney,26,59.8,251,420,1.75
183,T184,T184,Charles Howell III,29,60.6,288,475,1.32
184,T184,T184,Martin Laird,22,60.6,180,297,1.83
185,186,186,Bryce Molder,25,60.9,223,366,1.79
186,187,187,Josh Teater,30,61.4,258,420,2.44
187,188,188,Mark Wilson,25,62.8,179,285,1.62
188,189,189,Trevor Immelman,24,63.2,201,318,2.09
189,190,190,Stephen Gangluff,23,63.4,173,273,2.66
190,191,191,Marc Leishman,23,64.9,298,459,1.34
