,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
144,145,,Grant Waite,98,"50' 11""",Compaq Classic,1,18
145,145,,Dicky Pride,51,"50' 11""",B.C. Open,3,17
146,147,,Tom Pernice Jr.,101,"50' 10""",Bob Hope Chrysl,5,15
147,147,,D.A. Weibring,25,"50' 10""",Texas Open,1,14
148,149,,Kent Jones,105,"50' 8""",John Deere Clas,4,15
149,150,,Joe Durant,87,"50' 7""",John Deere Clas,2,14
150,150,,David Duval,78,"50' 7""",Buick Challenge,1,7
151,152,,Jesper Parnevik,85,"50' 5""",BellSouth Class,2,4
152,153,,Per-Ulrik Johansson,87,"50' 4""",THE PLAYERS,2,13
153,154,,Craig Perks,91,"50' 2""",Buick Open,2,16
154,154,,Brad Faxon,93,"50' 2""",WGC-NEC Invit'l,1,10
155,154,,Blaine McCallister,75,"50' 2""",Tampa Bay,1,15
156,157,,Kris Maffet,2,"50' 1""",Honda Classic,1,13
157,157,,John Rollins,124,"50' 1""",Advil Western,2,12
158,159,,Chris Smith,103,"49' 11""",Tucson Open,4,17
159,159,,Brad Lardon,59,"49' 11""",B.C. Open,2,12
160,161,,Scott Simpson,61,"49' 10""",Advil Western,2,16
161,161,,Jay Williamson,91,"49' 10""",Texas Open,3,17
162,161,,"David Berganio, Jr.",80,"49' 10""",Buick Challenge,1,1
163,164,,Michael Campbell,31,"49' 9""",WGC-NEC Invit'l,1,18
164,164,,Mathew Goggin,64,"49' 9""",Bell Canadian O,2,16
165,164,,John Rollins,124,"49' 9""",THE TOUR Champ,2,18
166,167,,Arnold Palmer,7,"49' 8""",Bob Hope Chrysl,4,6
167,167,,Mark Calcavecchia,84,"49' 8""",Phoenix Open,1,15
168,167,,Billy Andrade,100,"49' 8""",WORLDCOM,4,17
169,167,,Guy Boros,28,"49' 8""",Kemper Ins Open,1,18
170,167,,Phillip Price,20,"49' 8""",WGC-NEC Invit'l,3,18
171,172,,Gabriel Hjertstedt,43,"49' 6""",Greater Milwauk,1,17
172,172,,Andrew Magee,91,"49' 6""",John Deere Clas,4,12
173,174,,Brandel Chamblee,85,"49' 4""",Buick Classic,1,16
174,175,,Carl Paulson,84,"49' 3""",THE PLAYERS,2,13
175,175,,Nick Price,69,"49' 3""",WGC-NEC Invit'l,2,12
176,175,,Woody Austin,102,"49' 3""",Buick Challenge,1,9
177,178,,Loren Roberts,93,"49' 2""",THE PLAYERS,1,15
178,178,,Jim Furyk,88,"49' 2""",THE TOUR Champ,3,8
179,180,,Bill Glasson,29,"49' 1""",B.C. Open,2,12
180,181,,Craig Barlow,62,"49' 0""",Buick Open,4,13
181,181,,Ken McDonald,2,"49' 0""",Texas Open,1,14
182,183,,John Cook,85,"48' 11""",Memorial Tourna,2,11
183,184,,Carlos Franco,107,"48' 10""",Air Canada,2,17
184,185,,Michael Long,71,"48' 8""",B.C. Open,1,10
185,186,,Paul Azinger,65,"48' 6""",Greater Greens,1,16
186,187,,Craig Perks,91,"48' 5""",Verizon,3,15
187,187,,Casey Martin,6,"48' 5""",Texas Open,1,12
188,187,,Michael Long,71,"48' 5""",Disney Classic,4,16
189,187,,David Duval,78,"48' 5""",Buick Challenge,4,7
190,191,,Billy Mayfair,99,"48' 2""",Compaq Classic,4,17
191,191,,Lee Janzen,101,"48' 2""",Buick Classic,1,17
192,191,,Iain Steel,4,"48' 2""",Bell Canadian O,4,15
193,194,,Rich Beem,99,"48' 1""",Sony Open,2,18
194,194,,Scott McCarron,106,"48' 1""",WGC-Am Express,2,16
195,194,,Chad Campbell,111,"48' 1""",Buick Challenge,2,9
196,197,,Tom Pernice Jr.,101,"48' 0""",Advil Western,4,10
197,197,,Shaun Micheel,100,"48' 0""",Air Canada,4,13
198,199,,Frank Nobilo,94,"47' 10""",Greater Greens,2,17
199,200,,Briny Baird,110,"47' 9""",Buick Open,2,16
200,201,,Luke Donald,106,"47' 8""",Greater Greens,2,17
201,201,,Chris Riley,104,"47' 8""",Compaq Classic,4,17
202,201,,Steve Lowery,98,"47' 8""",THE TOUR Champ,4,9
203,204,,Steve Allan,93,"47' 6""",Michelob Champ,1,10
204,205,,David Gossett,95,"47' 5""",Buick Challenge,2,8
205,206,,Paul Azinger,65,"47' 4""",Phoenix Open,1,13
206,206,,Scott Hoch,71,"47' 4""",Michelob Champ,4,18
207,208,,Willie Wood,44,"47' 1""",Canon Greater H,1,14
208,209,,John Senden,96,"47' 0""",Greater Greens,4,18
209,209,,Jerry Kelly,99,"47' 0""",WGC-NEC Invit'l,2,16
210,211,,Harrison Frazar,88,"46' 11""",Kemper Ins Open,1,17
211,211,,Craig Perks,91,"46' 11""",WGC-NEC Invit'l,3,12
212,213,,Craig Barlow,62,"46' 10""",Canon Greater H,3,16
213,213,,Peter Jacobsen,67,"46' 10""",John Deere Clas,3,12
214,213,,Brandel Chamblee,85,"46' 10""",Tampa Bay,4,15
215,216,,Steve Pate,64,"46' 9""",Canon Greater H,1,14
216,216,,Brad Lardon,59,"46' 9""",Buick Open,3,17
217,218,,Brent Geiberger,95,"46' 7""",Tucson Open,1,15
218,218,,Kenny Perry,98,"46' 7""",Advil Western,1,11
219,218,,Ted Tryba,22,"46' 7""",Buick Open,2,11
220,221,,Glen Day,107,"46' 6""",MasterCard Colo,2,13
221,222,,Sam Randolph,13,"46' 5""",Texas Open,1,17
222,223,,Steve Lowery,98,"46' 4""",Phoenix Open,1,13
223,223,,Rory Sabbatini,69,"46' 4""",Tampa Bay,3,13
224,225,,Fred Funk,106,"46' 3""",Phoenix Open,1,13
225,225,,Tripp Isenhour,68,"46' 3""",Texas Open,1,11
226,225,,Rich Beem,99,"46' 3""",Disney Classic,2,18
227,228,,John Riegger,88,"46' 2""",So. Farm Bureau,2,16
228,229,,Mike Weir,94,"46' 1""",Memorial Tourna,1,15
229,229,,Geoff Ogilvy,90,"46' 1""",Bell Canadian O,2,13
230,229,,Mark Carnevale,14,"46' 1""",Texas Open,1,10
231,232,,Jess Daley,76,"46' 0""",Greater Milwauk,1,10
232,232,,Phil Mickelson,97,"46' 0""",WGC-NEC Invit'l,1,15
233,234,,Jeff Sluman,118,"45' 11""",Bob Hope Chrysl,2,17
234,234,,Geoff Ogilvy,90,"45' 11""",Advil Western,3,14
235,236,,Grant Waite,98,"45' 10""",Texas Open,2,10
236,236,,Dennis Paulson,89,"45' 10""",Disney Classic,2,18
237,238,,"David Berganio, Jr.",80,"45' 9""",Tucson Open,2,17
238,238,,Jay Williamson,91,"45' 9""",Tucson Open,2,17
239,238,,Mike Donald,6,"45' 9""",B.C. Open,1,12
240,241,,Pete Jordan,78,"45' 8""",Phoenix Open,1,15
241,241,,Dan Pohl,8,"45' 8""",B.C. Open,1,10
242,241,,José María Olazábal,71,"45' 8""",WGC-NEC Invit'l,1,11
243,241,,Jay Don Blake,107,"45' 8""",Disney Classic,4,18
244,245,,Tom Pernice Jr.,101,"45' 7""",Shell Houston,2,14
245,245,,Jay Williamson,91,"45' 7""",Buick Challenge,2,9
246,247,,Lee Porter,91,"45' 6""",WORLDCOM,1,13
247,247,,Bradley Hughes,60,"45' 6""",Advil Western,4,15
248,249,,Brian Gay,117,"45' 5""",FedEx St. Jude,4,14
249,249,,Richard Zokol,53,"45' 5""",Greater Milwauk,3,10
250,251,,Pete Jordan,78,"45' 4""",Buick Open,2,11
251,252,,Per-Ulrik Johansson,87,"45' 3""",Honda Classic,2,16
252,252,,Craig Perks,91,"45' 3""",THE PLAYERS,3,17
253,252,,Robert Allenby,96,"45' 3""",Memorial Tourna,1,16
254,252,,Bradley Hughes,60,"45' 3""",Advil Western,3,18
255,252,,Kevin Johnson,4,"45' 3""",B.C. Open,4,11
256,252,,Kenneth Staton,104,"45' 3""",Buick Challenge,2,3
257,258,,Wayne Grady,12,"45' 2""",Kemper Ins Open,2,17
258,258,,K.J. Choi,93,"45' 2""",WGC-NEC Invit'l,3,17
259,260,,John Riegger,88,"45' 1""",Honda Classic,1,18
260,260,,Joey Sindelar,104,"45' 1""",THE PLAYERS,1,18
261,260,,Rich Beem,99,"45' 1""",BellSouth Class,4,13
262,260,,Dennis Paulson,89,"45' 1""",Kemper Ins Open,3,18
263,264,,James Driscoll,21,"45' 0""",Greater Milwauk,1,15
264,265,,Billy Andrade,100,"44' 11""",BellSouth Class,2,8
265,265,,Paul Claxton,83,"44' 11""",Reno-Tahoe Open,1,15
266,267,,Mike Weir,94,"44' 10""",Invensys Las V,4,12
267,268,,Scott Watkins,4,"44' 9""",Tucson Open,4,17
268,268,,Dennis Paulson,89,"44' 9""",Greater Milwauk,1,11
269,268,,Greg Chalmers,94,"44' 9""",Greater Milwauk,2,13
270,271,,Greg Kraft,86,"44' 7""",Bob Hope Chrysl,5,18
271,271,,Michael Long,71,"44' 7""",Shell Houston,2,17
272,271,,Robert Allenby,96,"44' 7""",WGC-NEC Invit'l,4,17
273,274,,Phil Mickelson,97,"44' 6""",Buick Challenge,4,11
274,275,,Rory Sabbatini,69,"44' 5""",Phoenix Open,1,17
275,275,,Bob Tway,103,"44' 5""",Memorial Tourna,4,18
276,275,,Craig Barlow,62,"44' 5""",Tampa Bay,3,14
277,278,,Cameron Beckman,87,"44' 4""",Advil Western,2,14
278,278,,Greg Chalmers,94,"44' 4""",Greater Milwauk,3,16
279,278,,Tom Pernice Jr.,101,"44' 4""",Reno-Tahoe Open,2,16
280,278,,Tim Petrovic,92,"44' 4""",Buick Challenge,2,16
281,282,,Brett Wetterich,89,"44' 3""",Sony Open,2,18
282,282,,Dudley Hart,88,"44' 3""",Buick Classic,2,16
283,282,,Tray Sones,2,"44' 3""",B.C. Open,1,14
284,282,,David Morland IV,58,"44' 3""",Texas Open,4,11
285,286,,Craig Perks,91,"44' 2""",THE PLAYERS,1,14
286,286,,Geoff Ogilvy,90,"44' 2""",Compaq Classic,3,16
287,286,,Mark Mielke,2,"44' 2""",Buick Classic,1,17
288,286,,Brandel Chamblee,85,"44' 2""",Greater Milwauk,2,11
289,286,,Mike Heinen,49,"44' 2""",Tampa Bay,1,14
290,286,,Rich Beem,99,"44' 2""",Texas Open,2,12
291,292,,J.P. Hayes,78,"44' 1""",B.C. Open,2,14
292,292,,Greg Kraft,86,"44' 1""",John Deere Clas,3,11
293,294,,Olin Browne,107,"44' 0""",Buick Classic,2,13
294,295,,Shigeki Maruyama,87,"43' 11""",Shell Houston,2,18
295,295,,José Coceres,51,"43' 11""",WGC-NEC Invit'l,1,11
296,297,,Glen Day,107,"43' 9""",MasterCard Colo,2,16
297,298,,Olin Browne,107,"43' 8""",Air Canada,3,17
298,298,,Tom Scherrer,98,"43' 8""",Bell Canadian O,2,11
299,300,,Chris Riley,104,"43' 7""",Shell Houston,1,5
300,300,,Bob Estes,93,"43' 7""",Advil Western,1,18
301,300,,K.J. Choi,93,"43' 7""",Tampa Bay,2,10
302,300,,Chad Campbell,111,"43' 7""",Texas Open,2,16
303,300,,Tom Pernice Jr.,101,"43' 7""",So. Farm Bureau,3,12
304,305,,Stewart Cink,92,"43' 6""",THE PLAYERS,1,16
305,305,,Cameron Beckman,87,"43' 6""",Memorial Tourna,1,16
306,307,,Mark Calcavecchia,84,"43' 5""",Bay Hill Invita,4,17
307,307,,Carl Paulson,84,"43' 5""",Buick Open,4,11
308,309,,Tom Kite,14,"43' 4""",THE PLAYERS,2,11
309,309,,Justin Leonard,97,"43' 4""",Invensys Las V,5,17
310,309,,John Riegger,88,"43' 4""",Buick Challenge,2,10
311,312,,Joey Sindelar,104,"43' 3""",Greater Milwauk,4,14
312,312,,Jim McGovern,46,"43' 3""",Greater Milwauk,2,17
313,312,,Lee Janzen,101,"43' 3""",Buick Open,2,16
314,312,,Ricardo Gonzalez,13,"43' 3""",WGC-NEC Invit'l,1,11
315,312,,Mike Sposa,111,"43' 3""",Michelob Champ,2,14
316,317,,Craig Stadler,72,"43' 2""",Phoenix Open,2,17
317,318,,Ian Leggatt,97,"43' 1""",Genuity,1,11
318,318,,Heath Slocum,96,"43' 1""",Memorial Tourna,1,14
319,318,,Paul Claxton,83,"43' 1""",B.C. Open,4,14
320,318,,Bo Van Pelt,78,"43' 1""",Texas Open,3,14
321,322,,Steve Lowery,98,"43' 0""",Air Canada,2,12
322,322,,Mathew Goggin,64,"43' 0""",Texas Open,1,17
323,324,,Steve Lowery,98,"42' 11""",WGC-Am Express,3,15
324,325,,Tripp Isenhour,68,"42' 10""",Bay Hill Invita,2,16
325,325,,Glen Hnatiuk,95,"42' 10""",THE PLAYERS,2,15
326,325,,Grant Waite,98,"42' 10""",Greater Milwauk,1,17
327,325,,Michael Allen,76,"42' 10""",B.C. Open,4,12
328,325,,Jay Don Blake,107,"42' 10""",Bell Canadian O,1,13
329,325,,Kevin Sutherland,96,"42' 10""",WGC-Am Express,4,14
330,325,,Michael Allen,76,"42' 10""",Texas Open,1,10
331,325,,David Peoples,105,"42' 10""",Buick Challenge,1,16
332,325,,Matt Gogel,79,"42' 10""",Buick Challenge,1,5
333,334,,Joe Durant,87,"42' 9""",Bob Hope Chrysl,4,11
334,334,,Lee Janzen,101,"42' 9""",Verizon,2,13
335,334,,Fred Funk,106,"42' 9""",Air Canada,2,16
336,337,,Tommy Tolles,64,"42' 8""",B.C. Open,3,15
337,338,,Ben Crane,91,"42' 7""",Bob Hope Chrysl,5,15
338,338,,Matt Peterson,80,"42' 7""",Greater Milwauk,2,13
339,340,,Sandy Lyle,25,"42' 6""",Bob Hope Chrysl,3,15
340,340,,Tom Scherrer,98,"42' 6""",Genuity,3,13
341,340,,Shigeki Maruyama,87,"42' 6""",Greater Milwauk,3,14
342,343,,K.J. Choi,93,"42' 5""",Sony Open,2,17
343,343,,Shigeki Maruyama,87,"42' 5""",Verizon,2,17
344,345,,Brian Gay,117,"42' 4""",Shell Houston,2,13
345,345,,Jay Don Blake,107,"42' 4""",Buick Challenge,1,5
346,347,,Ty Tryon,14,"42' 3""",Tampa Bay,4,15
347,348,,Billy Andrade,100,"42' 2""",Genuity,1,13
348,348,,Robert Gamez,69,"42' 2""",Greater Greens,1,16
349,348,,Per-Ulrik Johansson,87,"42' 2""",Verizon,3,15
350,348,,Notah Begay III,76,"42' 2""",Bell Canadian O,3,17
351,352,,Jim Furyk,88,"42' 1""",WORLDCOM,1,13
352,352,,José Coceres,51,"42' 1""",WORLDCOM,2,14
353,352,,John Rollins,124,"42' 1""",Reno-Tahoe Open,1,13
354,352,,Jay Haas,83,"42' 1""",Tampa Bay,1,11
355,352,,Sergio Garcia,79,"42' 1""",THE TOUR Champ,4,18
356,357,,Stuart Appleby,97,"42' 0""",BellSouth Class,2,9
357,357,,Robert Gamez,69,"42' 0""",Greater Greens,2,17
358,357,,Jack Renner,2,"42' 0""",B.C. Open,2,10
359,357,,Mark O'Meara,68,"42' 0""",Buick Open,3,15
360,357,,Jonathan Kaye,83,"42' 0""",Air Canada,2,17
361,357,,Deane Pappas,90,"42' 0""",Bell Canadian O,1,15
362,363,,Hidemichi Tanaka,104,"41' 11""",Tucson Open,2,16
363,363,,Brad Lardon,59,"41' 11""",Greater Greens,2,16
364,363,,Scott Simpson,61,"41' 11""",Verizon,3,14
365,363,,Gabriel Hjertstedt,43,"41' 11""",Texas Open,3,16
366,363,,Jason Hill,59,"41' 11""",Michelob Champ,4,18
367,368,,David Peoples,105,"41' 10""",Verizon,4,18
368,369,,Greg Chalmers,94,"41' 9""",Greater Milwauk,2,16
369,370,,Davis Love III,92,"41' 8""",Honda Classic,2,18
370,370,,David Edwards,33,"41' 8""",Bell Canadian O,4,14
371,370,,Stephen Gangluff,75,"41' 8""",Tampa Bay,4,10
372,370,,Jay Haas,83,"41' 8""",Disney Classic,3,17
373,374,,Brian Bateman,94,"41' 7""",Sony Open,2,16
374,374,,Bo Van Pelt,78,"41' 7""",Sony Open,2,18
375,374,,J.L. Lewis,98,"41' 7""",Honda Classic,3,18
376,374,,Chris Smith,103,"41' 7""",WORLDCOM,2,14
377,374,,Ronnie Black,28,"41' 7""",Tampa Bay,1,13
378,374,,Matt Peterson,80,"41' 7""",Texas Open,2,13
379,374,,Jay Williamson,91,"41' 7""",Disney Classic,2,17
380,381,,Bob Estes,93,"41' 6""",Phoenix Open,1,17
381,381,,Danny Ellis,44,"41' 6""",Genuity,1,13
382,381,,Jerry Kelly,99,"41' 6""",Bay Hill Invita,3,9
383,381,,Per-Ulrik Johansson,87,"41' 6""",Bay Hill Invita,1,6
384,381,,Jeff Gallagher,37,"41' 6""",Kemper Ins Open,1,15
385,381,,Steve Allan,93,"41' 6""",So. Farm Bureau,2,12
386,387,,Mike Gill,2,"41' 5""",BellSouth Class,2,8
387,387,,"Jim Gallagher, Jr.",45,"41' 5""",Buick Open,2,13
388,387,,Tripp Isenhour,68,"41' 5""",Bell Canadian O,2,18
389,387,,Per-Ulrik Johansson,87,"41' 5""",Texas Open,1,14
390,391,,Jonathan Byrd,96,"41' 4""",John Deere Clas,3,16
391,391,,Jeff Sluman,118,"41' 4""",Buick Challenge,4,16
392,393,,Craig Barlow,62,"41' 3""",Shell Houston,2,13
393,393,,Robin Freeman,79,"41' 3""",Canon Greater H,3,14
394,393,,Brandt Jobe,94,"41' 3""",Greater Milwauk,4,18
395,393,,Matt Kuchar,82,"41' 3""",Disney Classic,4,17
396,393,,Curtis Strange,26,"41' 3""",Buick Challenge,3,10
397,398,,Tim Herron,102,"41' 2""",Shell Houston,2,18
