,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
60,61,61,Billy Andrade,100,61.9,126,78
61,62,62,Brent Geiberger,95,61.79,123,76
62,63,63,Scott Verplank,93,61.72,128,79
63,T64,T64,Greg Chalmers,94,61.62,99,61
64,T64,T64,Brian Henninger,66,61.62,99,61
65,T64,T64,Scott Simpson,61,61.62,99,61
66,67,67,Ben Crane,91,61.6,125,77
67,68,68,Edward Fryatt,94,61.59,151,93
68,69,69,K.J. Choi,93,61.54,130,80
69,70,70,Andrew Magee,91,61.47,109,67
70,71,71,Dan Forsman,83,61.42,127,78
71,72,72,Miguel Angel Jiménez,60,61.33,75,46
72,T73,T73,Fred Funk,106,61.29,155,95
73,T73,T73,Jeff Sluman,118,61.29,155,95
74,75,75,Vijay Singh,102,61.27,142,87
75,76,76,Steve Flesch,110,61.15,139,85
76,T77,T77,Notah Begay III,76,61.11,126,77
77,T77,T77,Matt Kuchar,82,61.11,90,55
78,T77,T77,Tiger Woods,69,61.11,72,44
79,80,80,Matt Gogel,79,60.95,105,64
80,81,81,Michael Long,71,60.91,110,67
81,82,82,Grant Waite,98,60.8,125,76
82,83,83,Ian Leggatt,97,60.66,122,74
83,84,84,José Coceres,51,60.61,66,40
84,T85,T85,Bob May,91,60.58,137,83
85,T85,T85,Brenden Pappas,62,60.58,104,63
86,87,87,Jess Daley,76,60.55,109,66
87,88,88,Rory Sabbatini,69,60.49,81,49
88,89,89,Jeff Gove,89,60.48,124,75
89,90,90,Mathew Goggin,64,60.47,86,52
90,91,91,Bob Burns,99,60.32,126,76
91,92,92,Esteban Toledo,106,60.31,131,79
92,93,93,Mike Hulbert,55,60.26,78,47
93,94,94,Mark Calcavecchia,84,60.23,88,53
94,T95,T95,Harrison Frazar,88,60.18,113,68
95,T95,T95,Billy Mayfair,99,60.18,113,68
96,97,97,Frank Lickliter II,94,60.16,123,74
97,T98,T98,Briny Baird,110,60.0,155,93
98,T98,T98,Stephen Gangluff,75,60.0,110,66
99,T98,T98,Charles Howell III,118,60.0,130,78
100,T98,T98,David Morland IV,58,60.0,100,60
101,T98,T98,Rod Pampling,98,60.0,115,69
102,T98,T98,David Peoples,105,60.0,155,93
103,T98,T98,Tom Pernice Jr.,101,60.0,120,72
104,105,105,Jeff Brehaut,87,59.85,137,82
105,106,106,Craig Stadler,72,59.72,72,43
106,107,107,Peter Lonard,93,59.7,134,80
107,108,108,John Daly,62,59.62,52,31
108,109,109,Joel Edwards,101,59.59,146,87
109,110,110,Tommy Tolles,64,59.57,94,56
110,111,111,Jeff Maggert,83,59.5,121,72
111,112,112,Brian Watts,58,59.49,79,47
112,113,113,Kenny Perry,98,59.4,133,79
113,114,114,Paul Gow,99,59.32,177,105
114,115,115,Phil Mickelson,97,59.29,140,83
115,116,116,Bob Estes,93,59.2,125,74
116,T117,T117,Stephen Ames,89,59.18,98,58
117,T117,T117,Brad Elder,76,59.18,98,58
118,119,119,Eduardo Herrera,59,58.95,95,56
119,120,120,Michael Clark II,97,58.9,146,86
120,121,121,Deane Pappas,90,58.88,107,63
121,T122,T122,Tommy Armour III,82,58.82,102,60
122,T122,T122,Blaine McCallister,75,58.82,85,50
123,T124,T124,Tom Scherrer,98,58.65,133,78
124,T124,T124,Bob Tway,103,58.65,104,61
125,126,126,Dicky Pride,51,58.54,82,48
126,127,127,Joey Sindelar,104,58.52,135,79
127,128,128,Lee Porter,91,58.45,142,83
128,129,129,Glen Day,107,58.39,149,87
129,130,130,"David Berganio, Jr.",80,58.33,108,63
130,131,131,Greg Kraft,86,58.26,115,67
131,132,132,Neal Lancaster,101,58.12,117,68
132,133,133,Brandt Jobe,94,58.09,136,79
133,134,134,Matt Peterson,80,58.06,124,72
134,135,135,Dennis Paulson,89,58.04,112,65
135,136,136,Nick Price,69,57.95,88,51
136,137,137,Per-Ulrik Johansson,87,57.94,107,62
137,138,138,Brian Gay,117,57.89,152,88
138,T139,T139,Chad Campbell,111,57.75,142,82
139,T139,T139,Bo Van Pelt,78,57.75,142,82
140,T141,T141,Stuart Appleby,97,57.72,123,71
141,T141,T141,Carlos Franco,107,57.72,149,86
142,143,143,Paul Claxton,83,57.69,130,75
143,T144,T144,David Gossett,95,57.53,146,84
144,T144,T144,Jesper Parnevik,85,57.53,73,42
145,146,146,Franklin Langham,72,57.5,120,69
146,147,147,Kenneth Staton,104,57.49,167,96
147,148,148,Steve Elkington,82,57.47,87,50
148,149,149,Robert Gamez,69,57.39,115,66
149,150,150,Michael Muehr,73,57.33,75,43
150,151,151,Glen Hnatiuk,95,57.05,156,89
151,152,152,J.L. Lewis,98,56.94,144,82
152,T153,T153,Luke Donald,106,56.86,153,87
153,T153,T153,Kirk Triplett,84,56.86,102,58
154,155,155,Jonathan Kaye,83,56.8,125,71
155,156,156,Davis Love III,92,56.73,104,59
156,157,157,Steve Stricker,68,56.72,67,38
157,158,158,J.J. Henry,112,56.41,156,88
158,159,159,Kent Jones,105,56.33,158,89
159,160,160,Frank Nobilo,94,56.25,128,72
160,161,161,Paul Azinger,69,56.16,73,41
161,162,162,Shaun Micheel,100,55.94,143,80
162,163,163,John Senden,96,55.83,120,67
163,T164,T164,Russ Cochran,68,55.81,86,48
164,T164,T164,Sergio Garcia,79,55.81,86,48
165,166,166,Fulton Allem,64,55.79,95,53
166,167,167,Mike Weir,94,55.65,115,64
167,168,168,John Cook,85,55.56,108,60
168,169,169,Kaname Yokoo,74,55.43,92,51
169,170,170,Steve Lowery,98,55.3,132,73
170,171,171,Steve Pate,64,54.79,73,40
171,172,172,Hidemichi Tanaka,104,54.61,141,77
172,T173,T173,Lee Janzen,101,54.55,99,54
173,T173,T173,David Toms,106,54.55,132,72
174,T173,T173,Richard Zokol,53,54.55,66,36
175,176,176,Tripp Isenhour,68,54.37,103,56
176,T177,T177,Tim Clark,76,54.26,129,70
177,T177,T177,Robin Freeman,79,54.26,129,70
178,T179,T179,Michael Allen,76,54.22,83,45
179,T179,T179,Woody Austin,102,54.22,166,90
180,181,181,Heath Slocum,96,54.13,109,59
181,182,182,Jerry Smith,91,54.1,122,66
182,183,183,John Huston,99,54.03,124,67
183,T184,T184,Mark Brooks,97,53.85,117,63
184,T184,T184,Tim Petrovic,92,53.85,91,49
185,186,186,Paul Goydos,66,53.77,106,57
186,187,187,Garrett Willis,80,53.62,138,74
187,188,188,Scott Dunlap,74,53.57,112,60
188,189,189,Bart Bryant,69,52.87,87,46
189,190,190,Jay Haas,83,52.43,103,54
190,191,191,Joe Durant,87,52.21,113,59
191,192,192,Bradley Hughes,60,51.25,80,41
192,193,193,Hal Sutton,74,50.57,87,44
193,194,194,Jason Hill,59,50.0,74,37
194,195,195,Brett Wetterich,89,49.66,147,73
195,196,196,Joe Ogilvie,50,49.33,75,37
196,197,197,Robert Allenby,96,49.32,146,72
197,198,198,Brad Lardon,59,49.3,71,35
198,199,199,Fred Couples,64,49.25,67,33
199,200,200,Boo Weekley,57,48.89,90,44
200,201,201,Steve Jones,71,48.31,89,43
201,202,202,Tom Lehman,78,47.54,61,29
