,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
43,T22,T22,Jeff Sluman,118,0.02,2,117
44,T22,T22,Paul Stankowski,100,0.02,2,98
45,T22,T22,Boo Weekley,57,0.02,1,57
46,T22,T22,Brett Wetterich,89,0.02,2,87
47,T22,T22,Richard Zokol,53,0.02,1,51
48,T49,T49,Robert Allenby,96,0.01,1,95
49,T49,T49,Billy Andrade,100,0.01,1,96
50,T49,T49,Tommy Armour III,82,0.01,1,81
51,T49,T49,Brian Bateman,94,0.01,1,91
52,T49,T49,Pat Bates,94,0.01,1,91
53,T49,T49,Notah Begay III,76,0.01,1,74
54,T49,T49,"David Berganio, Jr.",80,0.01,1,79
55,T49,T49,Jay Don Blake,107,0.01,1,105
56,T49,T49,Jeff Brehaut,87,0.01,1,87
57,T49,T49,Olin Browne,107,0.01,1,104
58,T49,T49,Mark Calcavecchia,84,0.01,1,79
59,T49,T49,Greg Chalmers,94,0.01,1,91
60,T49,T49,Michael Clark II,97,0.01,1,95
61,T49,T49,Russ Cochran,68,0.01,1,67
62,T49,T49,John Cook,85,0.01,1,82
63,T49,T49,Ben Crane,91,0.01,1,89
64,T49,T49,Glen Day,107,0.01,1,103
65,T49,T49,Scott Dunlap,74,0.01,1,72
66,T49,T49,David Duval,78,0.01,1,75
67,T49,T49,Steve Flesch,110,0.01,1,105
68,T49,T49,Stephen Gangluff,75,0.01,1,75
69,T49,T49,Sergio Garcia,79,0.01,1,72
70,T49,T49,Brent Geiberger,95,0.01,1,92
71,T49,T49,Paul Gow,99,0.01,1,96
72,T49,T49,Glen Hnatiuk,95,0.01,1,93
73,T49,T49,John Huston,99,0.01,1,96
74,T49,T49,Tripp Isenhour,68,0.01,1,68
75,T49,T49,Per-Ulrik Johansson,87,0.01,1,87
76,T49,T49,Kent Jones,105,0.01,1,103
77,T49,T49,Skip Kendall,103,0.01,1,101
78,T49,T49,Matt Kuchar,82,0.01,1,82
79,T49,T49,J.L. Lewis,98,0.01,1,98
80,T49,T49,Michael Long,71,0.01,1,71
81,T49,T49,Andrew Magee,91,0.01,1,88
82,T49,T49,Rocco Mediate,79,0.01,1,75
83,T49,T49,Michael Muehr,73,0.01,1,71
84,T49,T49,Rod Pampling,98,0.01,1,94
85,T49,T49,Deane Pappas,90,0.01,1,88
86,T49,T49,Craig Parry,69,0.01,1,69
87,T49,T49,Corey Pavin,78,0.01,1,76
88,T49,T49,David Peoples,105,0.01,1,105
89,T49,T49,Craig Perks,91,0.01,1,87
90,T49,T49,Tom Pernice Jr.,101,0.01,1,99
91,T49,T49,Tim Petrovic,92,0.01,1,89
92,T49,T49,Lee Porter,91,0.01,1,88
93,T49,T49,Brett Quigley,93,0.01,1,92
94,T49,T49,John Riegger,88,0.01,1,86
95,T49,T49,Chris Riley,104,0.01,1,100
96,T49,T49,John Senden,96,0.01,1,93
97,T49,T49,Joey Sindelar,104,0.01,1,102
98,T49,T49,Vijay Singh,102,0.01,1,96
99,T49,T49,Heath Slocum,96,0.01,1,92
100,T49,T49,Mike Sposa,111,0.01,1,109
101,T49,T49,Kenneth Staton,104,0.01,1,102
102,T49,T49,Bob Tway,103,0.01,1,99
103,T49,T49,Tiger Woods,69,0.01,1,68
104,T49,T49,Kaname Yokoo,74,0.01,1,72
