,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
20,21,21,Bo Van Pelt,78,"27' 0""",53.917,2,43.0,11
21,22,22,Brad Elder,76,"26' 7""",26.583000000000002,1,27.0,27
22,23,23,Per-Ulrik Johansson,87,"26' 4""",105.167,4,45.0,6
23,24,24,Fred Couples,64,"26' 3""",26.25,1,26.0,26
24,25,25,Notah Begay III,76,"26' 2""",52.25,2,37.0,16
25,26,26,Pat Perez,89,"25' 11""",103.667,4,75.0,"11"""
26,27,27,Jerry Kelly,99,"25' 10""",25.833000000000002,1,26.0,26
27,28,28,Spike McRoy,69,"25' 8""",25.666999999999998,1,26.0,26
28,T29,T29,Jonathan Byrd,96,"25' 4""",50.667,2,41.0,10
29,T29,T29,Charles Howell III,118,"25' 4""",76.083,3,36.0,9
30,31,31,Brent Geiberger,95,"24' 9""",49.5,2,37.0,12
31,32,32,John Huston,99,"24' 4""",72.917,3,36.0,6
32,33,33,Michael Allen,76,"24' 3""",48.5,2,43.0,6
33,34,34,Scott McCarron,106,"24' 1""",48.167,2,32.0,17
34,T35,T35,John Daly,62,"23' 1""",115.417,5,64.0,2
35,T35,T35,Steve Lowery,98,"23' 1""",69.167,3,43.0,10
36,37,37,Steve Flesch,110,"22' 10""",68.417,3,25.0,19
37,38,38,Brian Gay,117,"22' 9""",45.417,2,24.0,22
38,39,39,Harrison Frazar,88,"22' 5""",22.416999999999998,1,22.0,22
39,40,40,David Toms,106,"22' 3""",133.583,6,39.0,15
40,41,41,Justin Leonard,97,"21' 7""",43.167,2,28.0,16
41,T42,T42,Ben Crane,91,"21' 5""",64.25,3,33.0,8
42,T42,T42,Scott Hoch,71,"21' 5""",21.416999999999998,1,21.0,21
43,44,44,Robert Allenby,96,"21' 4""",85.333,4,29.0,15
44,45,45,Stephen Gangluff,75,"21' 0""",21.0,1,21.0,21
45,46,46,Brett Wetterich,89,"20' 10""",62.583,3,33.0,8
46,T47,T47,Greg Chalmers,94,"20' 8""",62.0,3,32.0,12
47,T47,T47,Tim Petrovic,92,"20' 8""",41.333,2,37.0,4
48,49,49,John Senden,96,"20' 2""",100.917,5,66.0,2
49,T50,T50,Brenden Pappas,62,"20' 0""",79.833,4,40.0,"11"""
50,T50,T50,David Peoples,105,"20' 0""",79.833,4,31.0,6
51,52,52,Joel Edwards,101,"19' 9""",39.5,2,36.0,3
52,T53,T53,Paul Azinger,69,"19' 6""",19.5,1,20.0,20
53,T53,T53,Tommy Tolles,64,"19' 6""",19.5,1,20.0,20
54,55,55,Jason Hill,59,"19' 1""",19.083,1,19.0,19
55,56,56,Peter Lonard,93,"19' 0""",56.917,3,33.0,8
56,57,57,Olin Browne,107,"18' 11""",37.833,2,24.0,13
57,T58,T58,Robert Damron,85,"18' 7""",37.083,2,24.0,14
58,T58,T58,Phil Tataurangi,88,"18' 7""",74.167,4,26.0,12
59,60,60,Dan Forsman,83,"18' 6""",37.0,2,22.0,15
60,61,61,John Rollins,124,"18' 3""",54.833,3,23.0,13
61,62,62,Tom Scherrer,98,"17' 5""",17.417,1,17.0,17
62,63,63,Carl Paulson,84,"16' 11""",16.917,1,17.0,17
63,64,64,Kenny Perry,98,"16' 10""",50.417,3,33.0,8
64,65,65,Garrett Willis,80,"16' 9""",33.417,2,31.0,2
65,66,66,Rod Pampling,98,"16' 8""",16.667,1,17.0,17
66,T67,T67,Fred Funk,106,"16' 5""",49.25,3,25.0,11
67,T67,T67,Davis Love III,92,"16' 5""",82.25,5,28.0,9
68,T69,T69,Mark Calcavecchia,84,"16' 2""",32.333,2,20.0,13
69,T69,T69,Retief Goosen,56,"16' 2""",32.333,2,26.0,7
70,T69,T69,J.L. Lewis,98,"16' 2""",48.417,3,22.0,10
71,72,72,Jay Don Blake,107,"15' 11""",31.75,2,18.0,14
72,73,73,Tim Clark,76,"15' 8""",15.667,1,16.0,16
73,74,74,Scott Verplank,93,"15' 7""",15.583,1,16.0,16
74,75,75,Jeff Brehaut,87,"15' 6""",31.0,2,19.0,13
75,T76,T76,Ernie Els,68,"15' 2""",15.167,1,15.0,15
76,T76,T76,J.J. Henry,112,"15' 2""",106.167,7,27.0,3
77,T76,T76,Ian Leggatt,97,"15' 2""",30.333000000000002,2,21.0,10
78,79,79,Briny Baird,110,"14' 10""",44.417,3,27.0,4
79,T80,T80,Mike Hulbert,55,"14' 8""",29.333000000000002,2,20.0,10
80,T80,T80,Grant Waite,98,"14' 8""",44.0,3,28.0,3
81,82,82,Frank Lickliter II,94,"14' 6""",14.5,1,15.0,15
82,83,83,David Duval,78,"14' 5""",43.25,3,26.0,7
83,84,84,Chris Smith,103,"14' 3""",42.75,3,32.0,2
84,85,85,Paul Gow,99,"14' 1""",42.333,3,28.0,6
85,86,86,Bob Tway,103,"14' 0""",70.0,5,35.0,1
86,87,87,K.J. Choi,93,"13' 9""",54.833,4,16.0,12
87,88,88,Chad Campbell,111,"13' 6""",13.5,1,14.0,14
88,89,89,Rich Beem,99,"13' 3""",39.667,3,24.0,6
89,T90,T90,Steve Allan,93,"13' 1""",39.333,3,24.0,6
90,T90,T90,John Riegger,88,"13' 1""",13.083,1,13.0,13
91,92,92,"David Berganio, Jr.",80,"12' 11""",38.75,3,26.0,4
92,93,93,Paul Stankowski,100,"12' 10""",38.583,3,16.0,8
93,94,94,Steve Elkington,82,"12' 8""",12.667,1,13.0,13
94,95,95,Jay Williamson,91,"12' 7""",25.166999999999998,2,24.0,1
95,96,96,Billy Mayfair,99,"12' 4""",24.666999999999998,2,16.0,8
96,97,97,Franklin Langham,72,"12' 2""",24.333000000000002,2,17.0,8
97,98,98,Duffy Waldorf,90,"12' 1""",12.083,1,12.0,12
98,99,99,Craig Stadler,72,"11' 7""",34.667,3,30.0,2
99,100,100,Matt Gogel,79,"11' 5""",11.417,1,11.0,11
100,101,101,Kaname Yokoo,74,"11' 4""",22.583000000000002,2,17.0,6
101,102,102,Chris DiMarco,111,"11' 0""",11.0,1,11.0,11
102,T103,T103,Rocco Mediate,79,"10' 10""",54.167,5,25.0,4
103,T103,T103,Craig Parry,69,"10' 10""",10.833,1,11.0,11
104,T103,T103,Mike Weir,94,"10' 10""",10.833,1,11.0,11
105,106,106,Joey Sindelar,104,"10' 7""",31.75,3,12.0,8
106,107,107,Bradley Hughes,60,"10' 5""",10.417,1,10.0,10
107,108,108,Kirk Triplett,84,"10' 4""",10.333,1,10.0,10
108,T109,T109,Robin Freeman,79,"10' 3""",10.25,1,10.0,10
109,T109,T109,Dudley Hart,88,"10' 3""",30.666999999999998,3,21.0,4
110,111,111,Greg Kraft,86,"10' 2""",10.167,1,10.0,10
111,112,112,David Morland IV,58,"9' 8""",9.667,1,10.0,10
112,113,113,Edward Fryatt,94,"9' 6""",9.5,1,10.0,10
113,114,114,Sergio Garcia,79,"9' 5""",28.25,3,17.0,4
114,T115,T115,Carlos Franco,107,"9' 4""",18.667,2,11.0,8
115,T115,T115,Shigeki Maruyama,87,"9' 4""",27.916999999999998,3,11.0,6
116,T117,T117,Jay Haas,83,"8' 11""",8.917,1,9.0,9
117,T117,T117,Deane Pappas,90,"8' 11""",8.917,1,9.0,9
118,T119,T119,Glen Day,107,"8' 10""",8.833,1,9.0,9
119,T119,T119,Bob May,91,"8' 10""",26.583000000000002,3,13.0,3
120,T119,T119,Nick Price,69,"8' 10""",17.583,2,13.0,5
121,122,122,Paul Goydos,66,"8' 9""",8.75,1,9.0,9
122,123,123,Miguel Angel Jiménez,60,"8' 4""",8.333,1,8.0,8
123,124,124,Craig Perks,91,"8' 0""",15.917,2,8.0,8
124,125,125,Brian Bateman,94,"7' 10""",15.583,2,9.0,6
125,126,126,Stuart Appleby,97,"7' 7""",7.582999999999999,1,8.0,8
126,127,127,Kevin Sutherland,96,"6' 7""",13.167,2,7.0,6
127,128,128,Jonathan Kaye,83,"6' 6""",6.5,1,7.0,7
128,T129,T129,Paul Claxton,83,"6' 1""",6.082999999999999,1,6.0,6
129,T129,T129,Michael Long,71,"6' 1""",6.082999999999999,1,6.0,6
130,T129,T129,Tiger Woods,69,"6' 1""",6.082999999999999,1,6.0,6
131,132,132,Brandel Chamblee,85,"5' 8""",5.667000000000001,1,6.0,6
132,T133,T133,John Cook,85,"4' 11""",4.917,1,5.0,5
133,T133,T133,Mark O'Meara,68,"4' 11""",4.917,1,5.0,5
134,135,135,Robert Gamez,69,"4' 9""",4.75,1,5.0,5
135,136,136,Tripp Isenhour,68,"4' 7""",4.583,1,5.0,5
136,137,137,Frank Nobilo,94,"4' 3""",4.25,1,4.0,4
137,138,138,Tom Lehman,78,"3' 5""",3.417,1,3.0,3
138,139,139,Joe Ogilvie,50,"2' 8""",5.332999999999999,2,4.0,2
139,140,140,Neal Lancaster,101,"2' 3""",2.25,1,2.0,2
140,141,141,Pete Jordan,78,"1' 10""",1.8330000000000002,1,2.0,2
141,142,142,Stewart Cink,92,"2""",0.16699999999999998,1,,"2"""
