,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
54,T54,T54,Franklin Langham,72,7.16,494,69
55,56,56,Tim Clark,76,7.15,522,73
56,T57,T57,David Morland IV,58,7.14,414,58
57,T57,T57,Duffy Waldorf,90,7.14,621,87
58,T59,T59,Pat Bates,94,7.13,649,91
59,T59,T59,Steve Flesch,110,7.13,749,105
60,T59,T59,Davis Love III,92,7.13,620,87
61,T59,T59,Phil Tataurangi,88,7.13,599,84
62,T63,T63,Craig Barlow,62,7.12,413,58
63,T63,T63,Cameron Beckman,87,7.12,605,85
64,T63,T63,Paul Stankowski,100,7.12,698,98
65,T63,T63,David Toms,106,7.12,726,102
66,T67,T67,John Daly,62,7.11,434,61
67,T67,T67,Kent Jones,105,7.11,732,103
68,T67,T67,Mike Sposa,111,7.11,775,109
69,T70,T70,Steve Allan,93,7.09,645,91
70,T70,T70,Chris DiMarco,111,7.09,752,106
71,T70,T70,Jonathan Kaye,83,7.09,574,81
72,73,73,Michael Muehr,73,7.08,503,71
73,T74,T74,Rich Beem,99,7.07,672,95
74,T74,T74,Carl Paulson,84,7.07,580,82
75,T74,T74,Tom Pernice Jr.,101,7.07,700,99
76,T74,T74,John Rollins,124,7.07,848,120
77,T74,T74,Craig Stadler,72,7.07,481,68
78,T79,T79,Dudley Hart,88,7.06,593,84
79,T79,T79,Per-Ulrik Johansson,87,7.06,614,87
80,81,81,Garrett Willis,80,7.05,550,78
81,T82,T82,Stuart Appleby,97,7.04,662,94
82,T82,T82,Notah Begay III,76,7.04,521,74
83,T82,T82,Grant Waite,98,7.04,676,96
84,85,85,David Peoples,105,7.03,738,105
85,T86,T86,Briny Baird,110,7.02,758,108
86,T86,T86,José Coceres,51,7.02,358,51
87,T86,T86,Justin Leonard,97,7.02,660,94
88,T89,T89,Jess Daley,76,7.01,533,76
89,T89,T89,Hidemichi Tanaka,104,7.01,715,102
90,T91,T91,Michael Clark II,97,7.0,665,95
91,T91,T91,Edward Fryatt,94,7.0,644,92
92,T91,T91,Mike Hulbert,55,7.0,371,53
93,T91,T91,Jay Williamson,91,7.0,637,91
94,T95,T95,Mark Brooks,97,6.98,649,93
95,T95,T95,Fred Funk,106,6.98,740,106
96,T95,T95,Matt Kuchar,82,6.98,572,82
97,T95,T95,J.L. Lewis,98,6.98,684,98
98,T95,T95,Jeff Sluman,118,6.98,817,117
99,T100,T100,Ian Leggatt,97,6.97,648,93
100,T100,T100,Rory Sabbatini,69,6.97,446,64
