,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
85,86,86,Justin Leonard,97,39.01,660,1692
86,87,87,José Coceres,51,39.0,358,918
87,88,88,Briny Baird,110,38.99,758,1944
88,89,89,Jess Daley,76,38.96,533,1368
89,90,90,Hidemichi Tanaka,104,38.94,715,1836
90,T91,T91,Michael Clark II,97,38.89,665,1710
91,T91,T91,Edward Fryatt,94,38.89,644,1656
92,T91,T91,Mike Hulbert,55,38.89,371,954
93,T91,T91,Jay Williamson,91,38.89,637,1638
94,95,95,Jeff Sluman,118,38.79,817,2106
95,T96,T96,Fred Funk,106,38.78,740,1908
96,T96,T96,J.L. Lewis,98,38.78,684,1764
97,98,98,Mark Brooks,97,38.77,649,1674
98,99,99,Matt Kuchar,82,38.75,572,1476
99,100,100,Rory Sabbatini,69,38.72,446,1152
100,101,101,Ian Leggatt,97,38.71,648,1674
101,T102,T102,Shigeki Maruyama,87,38.63,605,1566
102,T102,T102,Craig Perks,91,38.63,605,1566
103,104,104,Steve Elkington,82,38.61,549,1422
104,105,105,Jerry Smith,91,38.51,603,1566
105,106,106,Kenny Perry,98,38.48,658,1710
106,T107,T107,Brent Geiberger,95,38.47,637,1656
107,T107,T107,Steve Lowery,98,38.47,637,1656
108,T107,T107,Len Mattiace,106,38.47,734,1908
109,110,110,Michael Allen,76,38.44,512,1332
110,T111,T111,David Gossett,95,38.41,643,1674
111,T111,T111,Loren Roberts,93,38.41,643,1674
112,113,113,Dennis Paulson,89,38.38,601,1566
113,T114,T114,David Duval,78,38.37,518,1350
114,T114,T114,Tommy Tolles,64,38.37,442,1152
115,116,116,Scott Verplank,93,38.34,628,1638
116,117,117,Jim Carter,98,38.32,676,1764
117,118,118,Stephen Ames,89,38.31,600,1566
118,119,119,Frank Nobilo,94,38.3,648,1692
119,120,120,Vijay Singh,102,38.25,661,1728
120,121,121,Corey Pavin,78,38.23,523,1368
121,122,122,Sergio Garcia,79,38.19,495,1296
122,123,123,Russ Cochran,68,38.14,460,1206
123,124,124,Brian Henninger,66,38.13,453,1188
124,125,125,Miguel Angel Jiménez,60,38.12,398,1044
125,126,126,Neal Lancaster,101,38.06,692,1818
126,T127,T127,Mark Calcavecchia,84,38.05,541,1422
127,T127,T127,John Riegger,88,38.05,589,1548
128,129,129,Jeff Brehaut,87,37.99,595,1566
129,130,130,Heath Slocum,96,37.98,629,1656
130,T131,T131,Donnie Hammond,60,37.96,410,1080
131,T131,T131,Pete Jordan,78,37.96,533,1404
132,133,133,John Cook,85,37.94,560,1476
133,134,134,Scott McCarron,106,37.93,669,1764
134,135,135,Jerry Kelly,99,37.87,668,1764
135,136,136,Scott Hoch,71,37.86,477,1260
136,137,137,Eduardo Herrera,59,37.85,402,1062
137,T138,T138,Fulton Allem,64,37.76,435,1152
138,T138,T138,Bernhard Langer,55,37.76,367,972
139,140,140,Peter Lonard,93,37.75,632,1674
140,141,141,Peter Jacobsen,67,37.65,454,1206
141,142,142,Bob May,91,37.64,603,1602
142,143,143,Brian Bateman,94,37.61,616,1638
143,144,144,Chad Campbell,111,37.56,737,1962
144,145,145,Charles Howell III,118,37.55,757,2016
145,146,146,Tom Scherrer,98,37.49,641,1710
146,147,147,Frank Lickliter II,94,37.39,599,1602
147,148,148,Tommy Armour III,82,37.38,545,1458
148,149,149,Billy Mayfair,99,37.35,632,1692
149,150,150,Stewart Cink,92,37.25,590,1584
150,151,151,Paul Claxton,83,37.22,556,1494
151,152,152,Mark O'Meara,68,37.21,442,1188
152,153,153,Rocco Mediate,79,37.19,502,1350
153,T154,T154,Carlos Franco,107,37.04,700,1890
154,T154,T154,Richard Zokol,53,37.04,340,918
155,156,156,Tim Petrovic,92,37.02,593,1602
156,157,157,Glen Hnatiuk,95,36.98,619,1674
157,158,158,Retief Goosen,56,36.93,359,972
158,159,159,Ernie Els,68,36.83,411,1116
159,160,160,Michael Long,71,36.78,470,1278
160,161,161,"David Berganio, Jr.",80,36.71,522,1422
161,162,162,Brett Wetterich,89,36.65,574,1566
162,163,163,Jesper Parnevik,85,36.64,554,1512
163,164,164,Bart Bryant,69,36.62,435,1188
164,165,165,Matt Peterson,80,36.6,527,1440
165,166,166,Paul Gow,99,36.52,631,1728
166,167,167,Jeff Gove,89,36.45,584,1602
167,168,168,Lee Janzen,101,36.4,629,1728
168,169,169,Steve Pate,64,36.39,393,1080
169,170,170,Robert Allenby,96,36.37,622,1710
170,171,171,Gary Nicklaus,66,36.36,432,1188
171,172,172,Luke Donald,106,36.27,679,1872
172,173,173,Spike McRoy,69,36.24,437,1206
173,174,174,Mike Weir,94,36.23,600,1656
174,T175,T175,Blaine McCallister,75,36.22,489,1350
175,T175,T175,Joey Sindelar,104,36.22,665,1836
176,177,177,Shaun Micheel,100,36.2,632,1746
177,178,178,Dicky Pride,51,36.17,332,918
178,T179,T179,Robin Freeman,79,36.15,488,1350
179,T179,T179,Craig Parry,69,36.15,449,1242
180,181,181,John Senden,96,35.96,602,1674
181,182,182,Jim Furyk,88,35.82,548,1530
182,183,183,Brenden Pappas,62,35.75,399,1116
183,184,184,Jeff Maggert,83,35.61,532,1494
184,185,185,Bob Tway,103,35.52,633,1782
185,186,186,Bob Estes,93,35.5,556,1566
186,187,187,Hal Sutton,74,35.39,465,1314
187,188,188,Kenneth Staton,104,35.29,648,1836
188,T189,T189,Steve Jones,71,35.21,431,1224
189,T189,T189,Tiger Woods,69,35.21,431,1224
190,191,191,Bo Van Pelt,78,35.19,494,1404
191,192,192,Brandt Jobe,94,35.11,594,1692
192,193,193,Kevin Sutherland,96,34.81,564,1620
193,194,194,Boo Weekley,57,34.8,357,1026
194,195,195,Jason Hill,59,34.46,366,1062
195,196,196,J.J. Henry,112,34.21,665,1944
196,197,197,Bradley Hughes,60,34.07,368,1080
197,198,198,Scott Dunlap,74,33.49,434,1296
198,199,199,Joe Durant,87,33.01,511,1548
199,200,200,Chris Smith,103,33.0,594,1800
200,201,201,Brad Lardon,59,32.49,345,1062
201,202,202,Tom Lehman,78,32.14,405,1260
