,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
101,T101,T101,Jim Herman,2,0.75,"$105,000","$14,000,000"
102,T101,T101,Ryo Ishikawa,18,0.75,"$871,050","$116,700,000"
103,T101,T101,James Morrison,1,0.75,"$60,044","$8,000,000"
104,T101,T101,Daniel Summerhays,26,0.75,"$1,111,518","$148,000,000"
105,T106,T106,Graham DeLaet,23,0.73,"$1,051,948","$145,000,000"
106,T106,T106,Paul Lawrie,6,0.73,"$360,639","$49,500,000"
107,T106,T106,George McNeill,25,0.73,"$1,119,532","$153,300,000"
108,T106,T106,Andres Romero,22,0.73,"$970,917","$133,200,000"
109,T110,T110,Greg Owen,27,0.72,"$1,151,619","$159,900,000"
110,T110,T110,Pat Perez,23,0.72,"$1,064,049","$147,400,000"
111,T112,T112,Harris English,27,0.71,"$1,186,001","$165,900,000"
112,T112,T112,Jeff Quinney,1,0.71,"$43,310","$6,100,000"
113,T114,T114,Michael Allen,3,0.7,"$121,895","$17,400,000"
114,T114,T114,Fred Couples,4,0.7,"$188,378","$26,800,000"
115,T114,T114,Charles Howell III,29,0.7,"$1,284,574","$182,500,000"
116,T114,T114,William McGirt,30,0.7,"$1,228,942","$175,000,000"
117,T114,T114,John Merrick,26,0.7,"$1,084,626","$154,000,000"
118,T119,T119,Sangmoon Bae,25,0.68,"$1,165,949","$171,700,000"
119,T119,T119,Greg Chalmers,25,0.68,"$1,166,625","$172,500,000"
120,T119,T119,Francesco Molinari,8,0.68,"$453,961","$67,000,000"
121,T122,T122,Bob Estes,23,0.67,"$1,009,767","$149,600,000"
122,T122,T122,John Peterson,9,0.67,"$327,091","$48,700,000"
123,T124,T124,Morgan Hoffmann,1,0.66,"$53,168","$8,000,000"
124,T124,T124,Alistair Presnell,1,0.66,"$53,168","$8,000,000"
125,T126,T126,K.J. Choi,21,0.65,"$969,056","$148,200,000"
126,T126,T126,Tim Petrovic,17,0.65,"$558,862","$85,400,000"
127,T128,T128,Blake Adams,32,0.64,"$1,234,344","$192,100,000"
128,T128,T128,Retief Goosen,12,0.64,"$571,172","$89,200,000"
129,T128,T128,Rory Sabbatini,29,0.64,"$1,128,819","$175,200,000"
130,T131,T131,Mark Calcavecchia,3,0.63,"$124,343","$19,800,000"
131,T131,T131,Brian Harman,30,0.63,"$1,146,447","$181,700,000"
132,T131,T131,Boo Weekley,25,0.63,"$848,346","$134,000,000"
133,T134,T134,Joe Durant,14,0.62,"$427,677","$69,100,000"
134,T134,T134,Troy Matteson,32,0.62,"$1,198,952","$192,300,000"
135,T136,T136,Harrison Frazar,20,0.61,"$730,203","$119,400,000"
136,T136,T136,Brian Gay,28,0.61,"$960,656","$156,600,000"
137,T136,T136,David Hearn,28,0.61,"$1,012,571","$164,800,000"
138,T136,T136,Troy Kelly,23,0.61,"$786,832","$128,400,000"
139,T136,T136,Brendan Steele,24,0.61,"$840,964","$138,800,000"
140,T141,T141,Martin Flores,30,0.6,"$1,035,566","$173,700,000"
141,T141,T141,Lee Slattery,3,0.6,"$147,338","$24,500,000"
142,T143,T143,John Daly,15,0.59,"$488,503","$83,200,000"
143,T143,T143,Anirban Lahiri,1,0.59,"$47,123","$8,000,000"
144,T145,T145,Jung-gon Hwang,1,0.58,"$17,400","$3,000,000"
145,T145,T145,Hennie Otto,1,0.58,"$49,000","$8,500,000"
146,T145,T145,Josh Teater,30,0.58,"$1,011,428","$174,000,000"
147,T145,T145,Danny Willett,1,0.58,"$49,000","$8,500,000"
148,T149,T149,Billy Horschel,17,0.57,"$486,176","$85,100,000"
149,T149,T149,Joost Luiten,3,0.57,"$139,346","$24,500,000"
150,T149,T149,Brett Quigley,1,0.57,"$31,857","$5,600,000"
151,T149,T149,Alexandre Rocha,21,0.57,"$614,658","$107,600,000"
152,T149,T149,Kevin Streelman,26,0.57,"$893,735","$155,600,000"
153,T149,T149,Jhonattan Vegas,25,0.57,"$801,801","$141,100,000"
154,T155,T155,Chad Campbell,27,0.56,"$895,196","$158,800,000"
155,T155,T155,Len Mattiace,1,0.56,"$16,650","$3,000,000"
156,T157,T157,Alex Noren,4,0.55,"$178,193","$32,500,000"
157,T157,T157,Chris Stroud,28,0.55,"$903,568","$163,600,000"
158,T159,T159,Raphael Jacquelin,2,0.54,"$86,348","$16,000,000"
159,T159,T159,Esteban Toledo,1,0.54,"$19,980","$3,700,000"
160,161,161,Matteo Manassero,3,0.52,"$126,979","$24,500,000"
161,T162,T162,Jason Bohn,28,0.51,"$795,548","$155,300,000"
162,T162,T162,Will Claxton,28,0.51,"$780,966","$154,600,000"
163,T162,T162,Colt Knost,29,0.51,"$848,196","$165,500,000"
164,T162,T162,Jason Kokrak,27,0.51,"$750,220","$147,600,000"
165,T162,T162,Derek Tolan,1,0.51,"$17,780","$3,500,000"
166,T167,T167,Matthew Baldwin,2,0.5,"$79,999","$16,000,000"
167,T167,T167,Roberto Castro,27,0.5,"$755,093","$151,500,000"
168,T167,T167,Corey Pavin,2,0.5,"$59,120","$11,900,000"
169,T170,T170,Robert Allenby,27,0.49,"$808,926","$164,600,000"
170,T170,T170,Patrick Reed,12,0.49,"$302,976","$62,000,000"
171,T172,T172,Ricky Barnes,28,0.48,"$805,403","$166,900,000"
172,T172,T172,Oliver Bekker,1,0.48,"$40,750","$8,500,000"
173,T174,T174,Hunter Hamrick,5,0.47,"$115,979","$24,700,000"
174,T174,T174,Juvic Pagunsan,2,0.47,"$77,839","$16,500,000"
175,176,176,Shawn Stefani,1,0.46,"$27,650","$6,000,000"
176,T177,T177,Tetsuji Hiratsuka,1,0.45,"$38,000","$8,500,000"
177,T177,T177,Lee Janzen,12,0.45,"$258,588","$58,000,000"
178,T177,T177,Jerry Kelly,26,0.45,"$645,697","$144,800,000"
179,T180,T180,Branden Grace,6,0.44,"$205,324","$47,200,000"
180,T180,T180,Todd Hamilton,10,0.44,"$214,339","$49,100,000"
181,T180,T180,Richard Lee,24,0.44,"$547,732","$124,900,000"
182,T180,T180,Bill Lunde,25,0.44,"$593,596","$135,800,000"
183,T180,T180,David Mathis,29,0.44,"$736,763","$168,500,000"
184,T185,T185,James Driscoll,27,0.43,"$687,338","$161,200,000"
185,T185,T185,Russell Knox,23,0.43,"$512,583","$119,200,000"
186,T185,T185,Jeff Maggert,27,0.43,"$682,739","$159,800,000"
187,T185,T185,Robert Rock,6,0.43,"$212,625","$49,500,000"
188,T189,T189,Anders Hansen,7,0.42,"$232,900","$55,000,000"
189,T189,T189,Tim Herron,27,0.42,"$660,279","$158,000,000"
190,T191,T191,Gary Christian,28,0.41,"$616,456","$150,500,000"
191,T191,T191,Rod Pampling,26,0.41,"$620,892","$151,400,000"
192,T191,T191,Gary Woodland,22,0.41,"$592,878","$144,900,000"
193,T194,T194,Derek Ernst,1,0.4,"$20,000","$5,000,000"
194,T194,T194,Trevor Immelman,24,0.4,"$617,293","$154,600,000"
195,T194,T194,Steve LeBrun,1,0.4,"$31,979","$8,000,000"
196,T194,T194,Tom Lehman,2,0.4,"$46,990","$11,700,000"
197,T194,T194,Richard Sterne,1,0.4,"$32,023","$8,000,000"
198,T194,T194,D.J. Trahan,27,0.4,"$611,140","$151,700,000"
199,T200,T200,Thomas Bjørn,9,0.39,"$270,505","$69,200,000"
200,T200,T200,Yoshinori Fujimoto,2,0.39,"$64,572","$16,500,000"
201,T200,T200,Billy Mayfair,28,0.39,"$619,960","$160,500,000"
202,T200,T200,Vaughn Taylor,26,0.39,"$547,128","$139,400,000"
203,T204,T204,Rich Beem,10,0.38,"$200,049","$52,500,000"
204,T204,T204,Scott Brown,24,0.38,"$478,761","$124,800,000"
205,T204,T204,Simon Dyson,8,0.38,"$257,456","$67,000,000"
206,T207,T207,Woody Austin,7,0.37,"$122,472","$33,000,000"
207,T207,T207,Kevin Chappell,29,0.37,"$647,506","$173,200,000"
208,T207,T207,Marcus Fraser,3,0.37,"$91,350","$24,500,000"
209,T207,T207,Roland Thatcher,21,0.37,"$396,800","$107,100,000"
210,211,211,Robert Karlsson,17,0.36,"$393,340","$109,800,000"
211,T212,T212,Guy Boros,2,0.35,"$21,015","$6,000,000"
212,T212,T212,Alex Cejka,12,0.35,"$218,117","$62,800,000"
213,T212,T212,Stewart Cink,22,0.35,"$477,168","$134,600,000"
214,T212,T212,Justin Leonard,26,0.35,"$540,154","$152,300,000"
215,T212,T212,Chez Reavie,26,0.35,"$580,615","$164,900,000"
216,T212,T212,Camilo Villegas,25,0.35,"$491,728","$142,200,000"
217,T218,T218,Joseph Bramlett,1,0.34,"$21,849","$6,400,000"
218,T218,T218,Rafa Cabrera Bello,6,0.34,"$169,667","$49,500,000"
219,T218,T218,Emiliano Grillo,1,0.34,"$11,900","$3,500,000"
220,T221,T221,Mark Anderson,25,0.33,"$441,016","$132,200,000"
221,T221,T221,Glen Day,3,0.33,"$38,850","$11,700,000"
222,T221,T221,Gonzalo Fernandez-Castaño,7,0.33,"$190,232","$57,500,000"
223,T221,T221,Bobby Gates,29,0.33,"$525,292","$158,300,000"
224,T221,T221,Richard Johnson,7,0.33,"$99,515","$30,000,000"
225,T221,T221,Dustin Morris,1,0.33,"$18,512","$5,600,000"
226,T221,T221,Nick O'Hern,26,0.33,"$489,374","$148,700,000"
227,T221,T221,Y.E. Yang,20,0.33,"$454,274","$138,200,000"
228,T229,T229,Nathan Green,22,0.32,"$366,649","$113,600,000"
229,T229,T229,Billy Hurley III,27,0.32,"$474,128","$148,000,000"
230,T229,T229,Marcel Siem,3,0.32,"$79,250","$24,500,000"
231,T229,T229,Heath Slocum,29,0.32,"$518,195","$160,200,000"
232,T229,T229,Duffy Waldorf,11,0.32,"$174,431","$54,600,000"
233,T234,T234,Brandt Jobe,18,0.31,"$344,331","$109,400,000"
234,T234,T234,Matt Jones,19,0.31,"$300,253","$96,700,000"
235,T234,T234,Scott Langley,4,0.31,"$82,629","$26,300,000"
236,T234,T234,Frank Lickliter II,9,0.31,"$125,682","$40,100,000"
237,T234,T234,Jesse Mueller,1,0.31,"$24,912","$8,000,000"
238,T234,T234,Kyle Reifers,27,0.31,"$448,957","$146,800,000"
239,240,240,Brendon Todd,29,0.3,"$474,294","$157,800,000"
240,T241,T241,Stuart Appleby,24,0.29,"$377,558","$129,700,000"
241,T241,T241,Rafael Echenique,1,0.29,"$23,180","$8,000,000"
242,T241,T241,Ross Fisher,2,0.29,"$45,740","$16,000,000"
243,T241,T241,Hunter Haas,24,0.29,"$399,363","$139,100,000"
244,T241,T241,Simon Khan,1,0.29,"$23,180","$8,000,000"
245,T241,T241,Tom Lewis,2,0.29,"$41,000","$14,000,000"
246,T241,T241,Chris Riley,12,0.29,"$167,579","$58,000,000"
247,T248,T248,Kris Blanks,23,0.28,"$390,057","$139,100,000"
248,T248,T248,Chris Couch,21,0.28,"$335,846","$122,100,000"
249,T248,T248,Chris DiMarco,29,0.28,"$468,295","$164,600,000"
250,T248,T248,Kevin Kisner,24,0.28,"$346,215","$125,300,000"
251,T248,T248,Joey Snyder III,8,0.28,"$112,800","$40,800,000"
252,T248,T248,Bernd Wiesberger,2,0.28,"$46,500","$16,500,000"
253,T254,T254,Randall Hutchison,1,0.27,"$12,460","$4,600,000"
254,T254,T254,K.T. Kim,11,0.27,"$220,590","$82,300,000"
255,T254,T254,Jbe' Kruger,2,0.27,"$44,250","$16,500,000"
256,T254,T254,Toshinori Muto,3,0.27,"$59,964","$22,000,000"
257,T254,T254,Alvaro Quiros,8,0.27,"$182,800","$67,000,000"
258,T259,T259,Erik Compton,26,0.26,"$359,763","$138,600,000"
259,T259,T259,Pablo Larrazabal,3,0.26,"$62,930","$24,500,000"
260,T259,T259,Danny Lee,26,0.26,"$359,111","$138,400,000"
261,T259,T259,Kenny Perry,5,0.26,"$76,543","$29,400,000"
262,T263,T263,Skip Kendall,5,0.25,"$62,390","$24,500,000"
263,T263,T263,Jae-bum Park,1,0.25,"$19,955","$8,000,000"
264,T263,T263,Jeev Milkha Singh,3,0.25,"$60,589","$24,500,000"
265,T263,T263,Darron Stiles,1,0.25,"$19,955","$8,000,000"
266,T267,T267,Arjun Atwal,27,0.24,"$348,769","$148,100,000"
267,T267,T267,Steve Lowery,1,0.24,"$7,215","$3,000,000"
268,T267,T267,Garth Mulroy,20,0.24,"$277,630","$113,600,000"
269,T267,T267,Dale Whitnell,1,0.24,"$19,291","$8,000,000"
270,T271,T271,Steven Bowditch,18,0.23,"$206,768","$91,100,000"
271,T271,T271,Ángel Cabrera,20,0.23,"$283,384","$125,500,000"
272,T271,T271,Scott Dunlap,20,0.23,"$230,220","$101,100,000"
273,T271,T271,J.J. Killeen,33,0.23,"$414,256","$183,400,000"
274,T271,T271,Doug LaBelle II,1,0.23,"$12,540","$5,500,000"
275,T271,T271,Steve Marino,6,0.23,"$85,040","$37,300,000"
276,T271,T271,Zack Miller,12,0.23,"$137,112","$58,400,000"
277,T271,T271,Edoardo Molinari,1,0.23,"$18,240","$8,000,000"
278,T271,T271,John Riegger,1,0.23,"$6,810","$3,000,000"
279,T271,T271,José de Jesús Rodríguez,1,0.23,"$8,362","$3,700,000"
280,T271,T271,Marc Warren,1,0.23,"$18,593","$8,000,000"
281,T282,T282,Brandon Brown,1,0.22,"$6,480","$3,000,000"
282,T282,T282,Darren Clarke,7,0.22,"$117,310","$52,700,000"
283,T282,T282,Adilson da Silva,1,0.22,"$17,964","$8,000,000"
284,T282,T282,Gene Sauers,2,0.22,"$12,900","$6,000,000"
285,T282,T282,Nicholas Thompson,2,0.22,"$24,912","$11,500,000"
286,T282,T282,Marc Turnesa,11,0.22,"$113,047","$51,600,000"
287,T288,T288,Cameron Beckman,26,0.21,"$287,506","$140,200,000"
288,T288,T288,Warren Bennett,1,0.21,"$16,636","$8,000,000"
289,T288,T288,Miguel Angel Carballo,25,0.21,"$269,978","$131,300,000"
290,T288,T288,Gavin Coles,23,0.21,"$247,560","$119,200,000"
291,T288,T288,Fred Funk,4,0.21,"$45,448","$21,500,000"
292,T288,T288,Mathew Goggin,23,0.21,"$259,603","$122,700,000"
293,T288,T288,Jake Sarnoff,1,0.21,"$6,180","$3,000,000"
294,T288,T288,Chase Wright,1,0.21,"$8,360","$4,000,000"
295,T296,T296,Alex Aragon,1,0.2,"$10,725","$5,500,000"
296,T296,T296,Briny Baird,13,0.2,"$154,110","$76,400,000"
297,T296,T296,Mathias Grönberg,1,0.2,"$9,246","$4,600,000"
298,T296,T296,Ben Kohles,1,0.2,"$10,296","$5,200,000"
299,T296,T296,Will MacKenzie,6,0.2,"$49,760","$25,000,000"
300,T296,T296,Rocco Mediate,23,0.2,"$242,351","$122,000,000"
301,T302,T302,Matt Bettencourt,31,0.19,"$335,075","$172,800,000"
302,T302,T302,Jonathan Fly,1,0.19,"$10,528","$5,600,000"
303,T302,T302,Carl Paulson,2,0.19,"$16,943","$8,700,000"
304,T305,T305,Patrick Cantlay,10,0.18,"$105,525","$59,600,000"
305,T305,T305,Kent Jones,7,0.18,"$54,644","$29,800,000"
306,T305,T305,Diego Velásquez,1,0.18,"$11,284","$6,200,000"
307,T308,T308,Stephen Ames,20,0.17,"$193,685","$113,200,000"
308,T308,T308,Daniel Chopra,21,0.17,"$192,197","$112,100,000"
309,T308,T308,Jeff Curl,3,0.17,"$28,890","$17,500,000"
310,T308,T308,Michael Hoey,3,0.17,"$41,625","$24,500,000"
311,T308,T308,Shaun Micheel,12,0.17,"$103,559","$61,300,000"
312,T308,T308,Tadahiro Takayama,4,0.17,"$52,340","$30,000,000"
313,314,314,Paul Goydos,6,0.16,"$57,220","$36,200,000"
314,T315,T315,Michael Bradley,23,0.15,"$191,746","$128,200,000"
315,T315,T315,Ryuji Imada,28,0.15,"$238,647","$158,100,000"
316,T315,T315,Joe Ogilvie,17,0.15,"$152,376","$105,000,000"
317,T315,T315,Tom Pernice Jr.,23,0.15,"$189,906","$128,600,000"
318,T315,T315,Brett Wetterich,7,0.15,"$50,917","$34,900,000"
319,T320,T320,George Coetzee,4,0.14,"$45,000","$32,500,000"
320,T320,T320,Justin Hicks,2,0.14,"$23,180","$16,000,000"
321,T320,T320,Derek Lamely,25,0.14,"$185,479","$136,400,000"
322,T320,T320,Ted Purdy,4,0.14,"$24,900","$17,800,000"
323,T320,T320,Paul Stankowski,8,0.14,"$47,792","$35,400,000"
324,T320,T320,Omar Uresti,4,0.14,"$28,844","$20,800,000"
325,T326,T326,Tom Watson,3,0.13,"$28,470","$22,100,000"
326,T326,T326,Garrett Willis,15,0.13,"$95,013","$73,000,000"
327,T328,T328,Jamie Lovemark,16,0.12,"$109,571","$92,900,000"
328,T328,T328,Patrick Sheehan,21,0.12,"$129,590","$107,600,000"
329,T328,T328,Steve Wheatcroft,22,0.12,"$135,195","$113,600,000"
330,T331,T331,Hiroyuki Fujita,3,0.1,"$24,912","$24,000,000"
331,T331,T331,Robert Gamez,8,0.1,"$37,221","$37,500,000"
332,T331,T331,Matt Hill,2,0.1,"$9,932","$10,200,000"
333,T331,T331,Sung Kang,30,0.1,"$169,439","$166,200,000"
334,T335,T335,Craig Barlow,7,0.09,"$26,538","$30,000,000"
335,T335,T335,Paul Casey,9,0.09,"$56,755","$63,900,000"
336,T335,T335,Robert Damron,7,0.09,"$30,673","$33,000,000"
337,T335,T335,Koumei Oda,2,0.09,"$11,880","$13,500,000"
338,T335,T335,Kevin Sutherland,4,0.09,"$22,886","$24,100,000"
339,T340,T340,Shane Bertsch,17,0.08,"$73,795","$88,000,000"
340,T340,T340,Bart Bryant,6,0.08,"$23,134","$29,400,000"
341,T340,T340,Edward Loar,23,0.08,"$97,945","$122,000,000"
342,T343,T343,Tommy Biershenk,27,0.07,"$107,265","$145,600,000"
343,T343,T343,Marco Dawson,22,0.07,"$79,727","$113,200,000"
344,T343,T343,Jason Gore,8,0.07,"$26,700","$39,300,000"
345,T343,T343,Thongchai Jaidee,3,0.07,"$16,636","$24,500,000"
346,T343,T343,Brendan Jones,3,0.07,"$17,339","$24,000,000"
347,T343,T343,Peter Tomasulo,4,0.07,"$12,826","$18,200,000"
348,T349,T349,Eric Axley,3,0.06,"$7,215","$12,200,000"
349,T349,T349,Lucas Glover,16,0.06,"$67,111","$108,000,000"
350,T349,T349,Anthony Kim,10,0.06,"$33,960","$60,200,000"
351,T349,T349,José María Olazábal,5,0.06,"$18,677","$31,100,000"
352,T349,T349,Jesper Parnevik,3,0.06,"$10,340","$16,700,000"
353,T354,T354,Stephen Gangluff,23,0.05,"$58,702","$119,500,000"
354,T354,T354,Neal Lancaster,8,0.05,"$22,184","$46,700,000"
355,T354,T354,Peter Lonard,4,0.05,"$7,210","$15,800,000"
356,T354,T354,Fran Quinn,5,0.05,"$12,932","$27,700,000"
357,T354,T354,Sam Saunders,4,0.05,"$12,224","$24,100,000"
358,T354,T354,Scott Smith,2,0.05,"$6,000","$11,000,000"
359,T354,T354,Toru Taniguchi,4,0.05,"$15,150","$32,500,000"
360,T354,T354,Kirk Triplett,3,0.05,"$7,141","$13,400,000"
361,T354,T354,Scott Verplank,9,0.05,"$31,168","$59,400,000"
362,T363,T363,Mark Brooks,3,0.04,"$7,215","$16,600,000"
363,T363,T363,David Duval,17,0.04,"$32,936","$93,800,000"
364,T363,T363,Kelly Kraft,10,0.04,"$24,994","$62,400,000"
365,T363,T363,Hank Kuehne,12,0.04,"$26,342","$67,500,000"
366,T363,T363,Matt McQuillan,11,0.04,"$20,852","$55,700,000"
367,T363,T363,Kyle Thompson,22,0.04,"$45,460","$116,700,000"
