,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
186,187,187,Russell Knox,23,2.39,"$512,583","$21,456,000"
187,T188,T188,James Driscoll,27,2.37,"$687,338","$28,981,890"
188,T188,T188,Jeff Maggert,27,2.37,"$682,742","$28,764,000"
189,190,190,Tim Herron,27,2.32,"$660,279","$28,440,000"
190,191,191,Yoshinori Fujimoto,2,2.3,"$64,572","$2,805,890"
191,192,192,Gary Woodland,22,2.29,"$592,879","$25,904,890"
192,T193,T193,Gary Christian,28,2.28,"$616,457","$27,090,000"
193,T193,T193,Rod Pampling,26,2.28,"$620,893","$27,252,000"
194,T193,T193,Richard Sterne,1,2.28,"$32,023","$1,405,890"
195,196,196,Tom Lehman,2,2.27,"$46,990","$2,071,890"
196,197,197,Thomas Bjørn,9,2.25,"$270,505","$12,036,890"
197,198,198,D.J. Trahan,27,2.24,"$611,141","$27,306,000"
198,T199,T199,Derek Ernst,1,2.22,"$20,000","$900,000"
199,T199,T199,Trevor Immelman,24,2.22,"$617,295","$27,798,890"
200,T199,T199,Steve LeBrun,1,2.22,"$31,979","$1,440,000"
201,202,202,Simon Dyson,8,2.21,"$257,456","$11,640,890"
202,203,203,Vaughn Taylor,26,2.18,"$547,128","$25,092,000"
203,T204,T204,Marcus Fraser,3,2.15,"$91,350","$4,250,890"
204,T204,T204,Billy Mayfair,28,2.15,"$619,960","$28,890,000"
205,206,206,Scott Brown,24,2.13,"$478,763","$22,464,000"
206,207,207,Rich Beem,10,2.12,"$200,049","$9,455,000"
207,208,208,Kevin Chappell,29,2.08,"$647,509","$31,176,000"
208,T209,T209,Woody Austin,7,2.06,"$122,472","$5,940,000"
209,T209,T209,Roland Thatcher,21,2.06,"$396,800","$19,278,000"
210,211,211,Robert Karlsson,17,2.02,"$393,340","$19,509,000"
211,212,212,Rafa Cabrera Bello,6,2.0,"$169,667","$8,490,890"
212,T213,T213,Stewart Cink,22,1.97,"$477,172","$24,198,890"
213,T213,T213,Justin Leonard,26,1.97,"$540,155","$27,379,890"
214,T213,T213,Chez Reavie,26,1.97,"$580,616","$29,522,890"
215,216,216,Guy Boros,2,1.95,"$21,015","$1,080,000"
216,217,217,Alex Cejka,12,1.93,"$218,117","$11,304,000"
217,T218,T218,Gonzalo Fernandez-Castaño,7,1.92,"$190,232","$9,930,890"
218,T218,T218,Camilo Villegas,25,1.92,"$491,728","$25,596,000"
219,220,220,Joseph Bramlett,1,1.9,"$21,849","$1,152,000"
220,221,221,Emiliano Grillo,1,1.89,"$11,900","$630,000"
221,T222,T222,Marcel Siem,3,1.86,"$79,250","$4,250,890"
222,T222,T222,Y.E. Yang,20,1.86,"$454,276","$24,456,890"
223,224,224,Mark Anderson,25,1.85,"$441,018","$23,796,000"
224,T225,T225,Glen Day,3,1.84,"$38,850","$2,106,000"
225,T225,T225,Bobby Gates,29,1.84,"$525,292","$28,494,000"
226,T225,T225,Richard Johnson,7,1.84,"$99,515","$5,400,000"
227,T225,T225,Dustin Morris,1,1.84,"$18,512","$1,008,000"
228,229,229,Nick O'Hern,26,1.83,"$489,375","$26,766,000"
229,230,230,Heath Slocum,29,1.8,"$518,197","$28,836,000"
230,231,231,Nathan Green,22,1.79,"$366,651","$20,448,000"
231,232,232,Billy Hurley III,27,1.78,"$474,129","$26,640,000"
232,233,233,Duffy Waldorf,11,1.77,"$174,432","$9,828,000"
233,T234,T234,Brandt Jobe,18,1.75,"$344,332","$19,692,000"
234,T234,T234,Scott Langley,4,1.75,"$82,630","$4,734,000"
235,236,236,Frank Lickliter II,9,1.74,"$125,682","$7,218,000"
236,T237,T237,Matt Jones,19,1.73,"$300,254","$17,406,000"
237,T237,T237,Jesse Mueller,1,1.73,"$24,912","$1,440,000"
238,239,239,Tom Lewis,2,1.72,"$41,000","$2,390,000"
239,240,240,Kyle Reifers,27,1.7,"$448,959","$26,424,000"
240,241,241,Brendon Todd,29,1.67,"$474,295","$28,404,000"
241,T242,T242,Rafael Echenique,1,1.65,"$23,180","$1,405,890"
242,T242,T242,Simon Khan,1,1.65,"$23,180","$1,405,890"
243,244,244,Bernd Wiesberger,2,1.63,"$46,500","$2,845,000"
244,245,245,Stuart Appleby,24,1.62,"$377,559","$23,346,000"
245,T246,T246,Ross Fisher,2,1.61,"$45,740","$2,845,890"
246,T246,T246,Chris Riley,12,1.61,"$167,580","$10,440,000"
247,248,248,Hunter Haas,24,1.6,"$399,363","$25,038,000"
248,T249,T249,Chris DiMarco,29,1.58,"$468,297","$29,628,000"
249,T249,T249,Jbe' Kruger,2,1.58,"$44,250","$2,805,890"
250,T249,T249,Toshinori Muto,3,1.58,"$59,964","$3,795,890"
251,252,252,Alvaro Quiros,8,1.57,"$182,800","$11,640,890"
252,253,253,Kris Blanks,23,1.56,"$390,059","$25,038,000"
253,T254,T254,Kevin Kisner,24,1.54,"$346,215","$22,554,000"
254,T254,T254,Joey Snyder III,8,1.54,"$112,800","$7,344,000"
255,T256,T256,Chris Couch,21,1.53,"$335,847","$21,978,000"
256,T256,T256,K.T. Kim,11,1.53,"$220,590","$14,394,890"
257,258,258,Randall Hutchison,1,1.5,"$12,460","$828,000"
258,259,259,Pablo Larrazabal,3,1.48,"$62,930","$4,250,890"
259,260,260,Kenny Perry,5,1.45,"$76,544","$5,292,000"
260,T261,T261,Erik Compton,26,1.44,"$359,764","$24,948,000"
261,T261,T261,Danny Lee,26,1.44,"$359,112","$24,912,000"
262,263,263,Jeev Milkha Singh,3,1.43,"$60,589","$4,250,890"
263,264,264,Skip Kendall,5,1.41,"$62,390","$4,410,000"
264,T265,T265,Jae-bum Park,1,1.39,"$19,955","$1,440,000"
265,T265,T265,Darron Stiles,1,1.39,"$19,955","$1,440,000"
266,T267,T267,Garth Mulroy,20,1.37,"$277,632","$20,283,890"
267,T267,T267,Dale Whitnell,1,1.37,"$19,291","$1,405,890"
268,269,269,Steve Lowery,1,1.34,"$7,215","$540,000"
269,270,270,Arjun Atwal,27,1.31,"$348,769","$26,658,000"
270,271,271,Zack Miller,12,1.3,"$137,112","$10,512,000"
271,272,272,Marc Warren,1,1.29,"$18,593","$1,440,000"
272,T273,T273,Darren Clarke,7,1.28,"$117,310","$9,196,890"
273,T273,T273,Adilson da Silva,1,1.28,"$17,964","$1,405,890"
274,T275,T275,Scott Dunlap,20,1.27,"$230,220","$18,198,000"
275,T275,T275,Doug LaBelle II,1,1.27,"$12,540","$990,000"
276,T275,T275,Steve Marino,6,1.27,"$85,040","$6,714,000"
277,T275,T275,Edoardo Molinari,1,1.27,"$18,240","$1,440,000"
278,T279,T279,Steven Bowditch,18,1.26,"$206,768","$16,398,000"
279,T279,T279,Ángel Cabrera,20,1.26,"$283,384","$22,560,890"
280,T279,T279,John Riegger,1,1.26,"$6,810","$540,000"
281,T279,T279,José de Jesús Rodríguez,1,1.26,"$8,362","$666,000"
282,283,283,J.J. Killeen,33,1.25,"$414,257","$33,012,000"
283,284,284,Marc Turnesa,11,1.22,"$113,047","$9,288,000"
284,T285,T285,Brandon Brown,1,1.2,"$6,480","$540,000"
285,T285,T285,Nicholas Thompson,2,1.2,"$24,912","$2,070,000"
286,287,287,Gene Sauers,2,1.19,"$12,900","$1,080,000"
287,T288,T288,Warren Bennett,1,1.18,"$16,636","$1,405,890"
288,T288,T288,Mathew Goggin,23,1.18,"$259,604","$22,086,000"
289,290,290,Fred Funk,4,1.17,"$45,449","$3,870,000"
290,291,291,Chase Wright,1,1.16,"$8,360","$720,000"
291,292,292,Gavin Coles,23,1.15,"$247,561","$21,456,000"
292,T293,T293,Cameron Beckman,26,1.14,"$287,506","$25,236,000"
293,T293,T293,Miguel Angel Carballo,25,1.14,"$269,979","$23,634,000"
294,T293,T293,Jake Sarnoff,1,1.14,"$6,180","$540,000"
295,T296,T296,Briny Baird,13,1.12,"$154,110","$13,752,000"
296,T296,T296,Mathias Grönberg,1,1.12,"$9,246","$828,000"
297,298,298,Will MacKenzie,6,1.11,"$49,760","$4,500,000"
298,T299,T299,Ben Kohles,1,1.1,"$10,296","$936,000"
299,T299,T299,Rocco Mediate,23,1.1,"$242,353","$21,960,000"
300,T301,T301,Alex Aragon,1,1.08,"$10,725","$990,000"
301,T301,T301,Matt Bettencourt,31,1.08,"$335,075","$31,104,000"
302,T301,T301,Carl Paulson,2,1.08,"$16,943","$1,566,000"
303,304,304,Jonathan Fly,1,1.04,"$10,528","$1,008,000"
304,305,305,Kent Jones,7,1.02,"$54,644","$5,364,000"
305,306,306,Diego Velásquez,1,1.01,"$11,284","$1,116,000"
306,307,307,Tadahiro Takayama,4,1.0,"$52,340","$5,235,890"
307,T308,T308,Patrick Cantlay,10,0.98,"$105,525","$10,728,000"
308,T308,T308,Michael Hoey,3,0.98,"$41,625","$4,250,890"
309,T310,T310,Stephen Ames,20,0.95,"$193,686","$20,341,890"
310,T310,T310,Daniel Chopra,21,0.95,"$192,198","$20,143,890"
311,312,312,Shaun Micheel,12,0.94,"$103,559","$11,039,000"
312,313,313,Jeff Curl,3,0.92,"$28,890","$3,150,000"
313,314,314,Paul Goydos,6,0.88,"$57,220","$6,516,000"
314,315,315,Ryuji Imada,28,0.84,"$238,647","$28,458,000"
315,316,316,Michael Bradley,23,0.83,"$191,746","$23,188,000"
316,317,317,Tom Pernice Jr.,23,0.82,"$189,906","$23,148,000"
317,T318,T318,Justin Hicks,2,0.81,"$23,180","$2,845,890"
318,T318,T318,Joe Ogilvie,17,0.81,"$152,376","$18,900,000"
319,T318,T318,Brett Wetterich,7,0.81,"$50,917","$6,282,000"
320,321,321,George Coetzee,4,0.79,"$45,000","$5,690,890"
321,322,322,Ted Purdy,4,0.78,"$24,900","$3,204,000"
322,323,323,Omar Uresti,4,0.77,"$28,844","$3,744,000"
323,324,324,Derek Lamely,25,0.76,"$185,479","$24,552,000"
324,325,325,Paul Stankowski,8,0.75,"$47,792","$6,372,000"
325,T326,T326,Tom Watson,3,0.72,"$28,470","$3,943,890"
326,T326,T326,Garrett Willis,15,0.72,"$95,014","$13,140,000"
327,328,328,Patrick Sheehan,21,0.67,"$129,590","$19,368,000"
328,T329,T329,Jamie Lovemark,16,0.66,"$109,571","$16,722,000"
329,T329,T329,Steve Wheatcroft,22,0.66,"$135,195","$20,448,000"
330,331,331,Hiroyuki Fujita,3,0.58,"$24,912","$4,290,890"
331,332,332,Sung Kang,30,0.57,"$169,439","$29,916,000"
332,333,333,Robert Gamez,8,0.55,"$37,221","$6,750,000"
333,334,334,Matt Hill,2,0.54,"$9,932","$1,836,000"
334,335,335,Kevin Sutherland,4,0.53,"$22,886","$4,338,000"
335,336,336,Robert Damron,7,0.52,"$30,673","$5,940,000"
336,T337,T337,Paul Casey,9,0.5,"$56,755","$11,342,890"
337,T337,T337,Koumei Oda,2,0.5,"$11,880","$2,395,890"
338,339,339,Craig Barlow,7,0.49,"$26,538","$5,400,000"
339,340,340,Shane Bertsch,17,0.47,"$73,795","$15,840,000"
340,341,341,Edward Loar,23,0.45,"$97,946","$21,960,000"
341,342,342,Bart Bryant,6,0.44,"$23,134","$5,292,000"
342,343,343,Tommy Biershenk,27,0.41,"$107,266","$26,208,000"
343,344,344,Brendan Jones,3,0.4,"$17,339","$4,290,890"
344,T345,T345,Marco Dawson,22,0.39,"$79,727","$20,376,000"
345,T345,T345,Thongchai Jaidee,3,0.39,"$16,636","$4,250,890"
346,T345,T345,Peter Tomasulo,4,0.39,"$12,826","$3,276,000"
347,348,348,Jason Gore,8,0.38,"$26,700","$7,074,000"
348,349,349,Lucas Glover,16,0.35,"$67,111","$19,410,890"
349,350,350,Jesper Parnevik,3,0.34,"$10,340","$3,006,000"
350,T351,T351,Eric Axley,3,0.33,"$7,215","$2,196,000"
351,T351,T351,José María Olazábal,5,0.33,"$18,677","$5,603,000"
352,353,353,Anthony Kim,10,0.31,"$33,960","$10,836,000"
353,T354,T354,Scott Smith,2,0.3,"$6,000","$1,980,000"
354,T354,T354,Kirk Triplett,3,0.3,"$7,141","$2,412,000"
355,356,356,Scott Verplank,9,0.29,"$31,168","$10,697,000"
356,357,357,Sam Saunders,4,0.28,"$12,224","$4,338,000"
357,T358,T358,Stephen Gangluff,23,0.27,"$58,702","$21,510,000"
358,T358,T358,Toru Taniguchi,4,0.27,"$15,150","$5,690,890"
359,T360,T360,Neal Lancaster,8,0.26,"$22,184","$8,406,000"
360,T360,T360,Fran Quinn,5,0.26,"$12,932","$4,986,000"
361,362,362,Peter Lonard,4,0.25,"$7,210","$2,844,000"
362,363,363,Mark Brooks,3,0.24,"$7,215","$2,993,000"
363,T364,T364,Kelly Kraft,10,0.22,"$24,994","$11,232,000"
364,T364,T364,Hank Kuehne,12,0.22,"$26,342","$12,150,000"
365,T364,T364,Kyle Thompson,22,0.22,"$45,460","$21,006,000"
366,367,367,Matt McQuillan,11,0.21,"$20,852","$10,026,000"
367,368,368,David Duval,17,0.2,"$32,936","$16,849,890"
