,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
143,144,,Patton Kizzire,84,12.0,18,150
144,145,,Brian Stuard,93,11.9,15,126
145,146,,Harold Varner III,101,11.89,17,143
146,147,,Graeme McDowell,56,11.84,9,76
147,148,,Greg Chalmers,75,11.81,15,127
148,149,,Wesley Bryan,95,11.72,17,145
149,150,,Brian Gay,82,11.71,13,111
150,151,,Kevin Streelman,90,11.65,12,103
151,152,,Julián Etulain,68,11.63,10,86
152,153,,Shawn Stefani,72,11.61,13,112
153,154,,Ryan Blaum,100,11.46,18,157
154,155,,Chris Kirk,89,11.43,12,105
155,156,,Tyrone Van Aswegen,105,11.36,15,132
156,157,,Russell Henley,99,11.19,15,134
157,158,,Bryson DeChambeau,91,11.11,13,117
158,159,,Lucas Glover,93,10.92,13,119
159,160,,Martin Laird,83,10.75,10,93
160,161,,Nick Taylor,97,10.69,14,131
161,T162,,Retief Goosen,52,10.67,8,75
162,T162,,Francesco Molinari,75,10.67,8,75
163,T162,,Scott Piercy,70,10.67,8,75
164,165,,Richy Werenski,81,10.48,11,105
165,166,,Kyle Reifers,96,10.43,12,115
166,T167,,Emiliano Grillo,90,10.34,9,87
167,T167,,Adam Scott,58,10.34,6,58
168,169,,D.A. Points,68,10.2,10,98
169,170,,Nicholas Lindheim,58,10.17,6,59
170,171,,Ken Duke,77,9.72,7,72
171,172,,Carl Pettersson,63,9.6,12,125
172,173,,Billy Horschel,88,9.45,12,127
173,174,,Ernie Els,52,9.43,5,53
174,T175,,Russell Knox,75,9.33,7,75
175,T175,,Louis Oosthuizen,69,9.33,7,75
176,177,,Ryan Moore,82,9.2,8,87
177,178,,Bryce Molder,74,9.09,9,99
178,179,,Matt Kuchar,95,9.01,10,111
179,180,,Ryan Palmer,61,8.75,7,80
180,181,,Miguel Angel Carballo,63,8.11,6,74
181,182,,Michael Thompson,60,7.95,7,88
182,183,,Brian Harman,104,7.75,10,129
183,184,,Luke Donald,50,7.69,5,65
184,185,,Jonas Blixt,74,7.27,8,110
185,186,,Kelly Kraft,75,7.08,8,113
186,187,,Spencer Levin,89,6.54,7,107
187,188,,Steven Bowditch,59,5.43,7,129
188,189,,Steve Wheatcroft,51,4.41,3,68
189,190,,Jim Furyk,54,4.17,2,48
