,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
47,48,,Adam Hadwin,98,0.61,70.62,71.23
48,49,,Charles Howell III,86,0.6,70.11,70.71
49,T50,,Bud Cauley,92,0.54,70.33,70.87
50,T50,,Gary Woodland,94,0.54,70.48,71.02
51,T52,,Sung Kang,104,0.51,70.51,71.02
52,T52,,Graeme McDowell,56,0.51,70.93,71.44
53,54,,Kevin Chappell,95,0.5,71.01,71.51
54,55,,J.B. Holmes,83,0.48,71.12,71.6
55,56,,Seamus Power,86,0.47,70.06,70.53
56,57,,Chad Campbell,97,0.46,70.05,70.51
57,T58,,Rafa Cabrera Bello,63,0.44,71.1,71.54
58,T58,,Branden Grace,70,0.44,71.05,71.49
59,T58,,Ryan Moore,82,0.44,70.87,71.31
60,61,,Hudson Swafford,94,0.43,70.53,70.96
61,62,,Emiliano Grillo,90,0.4,70.92,71.32
62,63,,Robert Garrigus,78,0.38,70.28,70.66
63,64,,David Lingmerth,79,0.37,70.89,71.26
64,65,,Cameron Smith,86,0.34,70.71,71.05
65,66,,Byeong Hun An,77,0.33,71.38,71.71
66,67,,Jim Herman,77,0.31,70.85,71.16
67,68,,Matt Jones,64,0.3,70.57,70.87
68,69,,Nick Taylor,97,0.29,70.63,70.92
69,T70,,James Hahn,96,0.28,70.84,71.12
70,T70,,Ollie Schniederjans,92,0.28,70.45,70.73
71,72,,Kevin Streelman,90,0.27,70.75,71.02
72,T73,,Michael Kim,94,0.25,70.52,70.77
73,T73,,Sean O'Hair,84,0.25,70.87,71.12
74,75,,Russell Knox,75,0.24,70.71,70.95
75,76,,Danny Lee,93,0.23,70.82,71.05
76,T77,,Ryan Armour,63,0.21,70.54,70.75
77,T77,,Kevin Tway,96,0.21,70.51,70.72
78,T79,,Brian Gay,82,0.2,70.33,70.53
79,T79,,Brandon Hagy,85,0.2,70.57,70.77
80,T79,,Seung-Yul Noh,91,0.2,70.68,70.88
81,T79,,Sam Saunders,76,0.2,70.59,70.79
82,T79,,Camilo Villegas,76,0.2,70.56,70.76
83,84,,Nick Watney,75,0.19,70.7,70.89
84,T85,,Ryan Blaum,100,0.18,70.5,70.68
85,T85,,J.T. Poston,95,0.18,70.52,70.7
86,87,,Anirban Lahiri,72,0.17,70.67,70.84
87,88,,Jason Kokrak,95,0.16,71.13,71.29
88,T89,,Martin Flores,88,0.14,70.44,70.58
89,T89,,Harold Varner III,101,0.14,70.84,70.98
90,T91,,Ben Martin,86,0.13,70.73,70.86
91,T91,,Robert Streb,98,0.13,70.66,70.79
92,T93,,Jim Furyk,54,0.12,71.2,71.32
93,T93,,Mackenzie Hughes,106,0.12,70.92,71.04
94,T93,,John Huh,92,0.12,70.57,70.69
95,T93,,Jhonattan Vegas,95,0.12,71.01,71.13
96,T97,,Luke Donald,50,0.11,71.0,71.11
97,T97,,Trey Mullinax,88,0.11,70.52,70.63
98,T97,,Rory Sabbatini,71,0.11,70.28,70.39
99,T100,,Zac Blair,105,0.09,70.65,70.74
100,T100,,Whee Kim,74,0.09,70.78,70.87
101,T100,,J.J. Spaun,92,0.09,70.67,70.76
102,T100,,Chris Stroud,67,0.09,70.59,70.68
103,104,,Vaughn Taylor,90,0.08,70.63,70.71
104,T105,,Scott Brown,95,0.07,70.76,70.83
105,T105,,Andres Gonzales,73,0.07,70.48,70.55
106,T105,,Cameron Percy,71,0.07,70.58,70.65
107,108,,Scott Stallings,81,0.06,70.62,70.68
108,T109,,Harris English,84,0.05,70.84,70.89
109,T109,,Shawn Stefani,72,0.05,70.57,70.62
110,111,,Grayson Murray,94,0.04,71.04,71.08
111,T112,,Aaron Baddeley,61,0.03,71.4,71.43
112,T112,,Bryson DeChambeau,91,0.03,70.72,70.75
113,T112,,Jimmy Walker,68,0.03,71.54,71.57
114,T112,,Tim Wilkinson,64,0.03,70.57,70.6
115,116,,Bubba Watson,71,0.02,71.33,71.35
116,117,,Tag Ridings,67,0.01,70.54,70.55
117,118,,Blayne Barber,77,-0.01,71.06,71.05
118,T119,,Chris Kirk,89,-0.02,70.93,70.91
119,T119,,Richy Werenski,81,-0.02,70.54,70.52
120,T121,,Billy Horschel,88,-0.04,70.98,70.94
121,T121,,Billy Hurley III,80,-0.04,71.13,71.09
122,123,,William McGirt,89,-0.05,71.13,71.08
123,124,,Scott Piercy,70,-0.06,70.97,70.91
124,T125,,Geoff Ogilvy,80,-0.07,70.99,70.92
125,T125,,C.T. Pan,88,-0.07,70.94,70.87
126,T127,,Ricky Barnes,100,-0.08,70.9,70.82
127,T127,,Daniel Summerhays,100,-0.08,71.2,71.12
128,T129,,Ben Crane,86,-0.09,70.8,70.71
129,T129,,David Hearn,93,-0.09,70.91,70.82
130,T131,,Wesley Bryan,95,-0.12,70.95,70.83
131,T131,,Michael Thompson,60,-0.12,71.07,70.95
132,T133,,Tom Hoge,54,-0.13,70.78,70.65
133,T133,,D.A. Points,68,-0.13,71.31,71.18
134,T135,,Morgan Hoffmann,92,-0.14,70.94,70.8
135,T135,,Sebastián Muñoz,51,-0.14,71.14,71.0
136,T137,,Ryan Brehm,83,-0.15,70.82,70.67
137,T137,,J.J. Henry,92,-0.15,70.9,70.75
138,T137,,Troy Merritt,82,-0.15,71.04,70.89
139,T137,,Tyrone Van Aswegen,105,-0.15,70.84,70.69
140,141,,Julián Etulain,68,-0.18,70.94,70.76
141,T142,,Mark Anderson,54,-0.21,71.02,70.81
142,T142,,Retief Goosen,52,-0.21,71.13,70.92
143,T142,,Søren Kjeldsen,58,-0.21,71.84,71.63
144,145,,Ryan Palmer,61,-0.23,71.23,71.0
145,146,,Jonas Blixt,74,-0.24,71.17,70.93
146,147,,Cameron Tringale,89,-0.25,70.98,70.73
147,148,,Smylie Kaufman,76,-0.27,71.2,70.93
148,149,,Gonzalo Fernandez-Castaño,63,-0.29,70.93,70.64
149,150,,Alex Cejka,85,-0.33,71.13,70.8
150,151,,Peter Malnati,91,-0.35,70.93,70.58
151,T152,,Fabián Gómez,61,-0.36,71.19,70.83
152,T152,,Steve Wheatcroft,51,-0.36,71.21,70.85
153,154,,Boo Weekley,75,-0.38,71.08,70.7
154,T155,,Dominic Bozzelli,69,-0.39,71.32,70.93
155,T155,,Johnson Wagner,71,-0.39,71.21,70.82
156,157,,Jonathan Randolph,68,-0.4,71.38,70.98
157,158,,Kyle Reifers,96,-0.41,71.28,70.87
158,T159,,Steven Alker,69,-0.45,71.03,70.58
159,T159,,Cody Gribble,79,-0.45,71.39,70.94
160,T159,,Spencer Levin,89,-0.45,71.06,70.61
161,T162,,Derek Fathauer,81,-0.49,71.36,70.87
162,T162,,Brian Stuard,93,-0.49,71.41,70.92
163,164,,Roberto Castro,70,-0.5,71.94,71.44
164,T165,,K.J. Choi,72,-0.51,71.15,70.64
165,T165,,Patrick Rodgers,76,-0.51,71.43,70.92
166,167,,Greg Chalmers,75,-0.54,71.61,71.07
167,168,,Kelly Kraft,75,-0.56,71.49,70.93
168,169,,Brad Fritsch,56,-0.57,71.46,70.89
169,170,,Chad Collins,66,-0.59,71.29,70.7
170,171,,Patton Kizzire,84,-0.6,71.33,70.73
171,172,,Bryce Molder,74,-0.62,71.57,70.95
172,173,,Brian Campbell,55,-0.69,71.33,70.64
173,T174,,Ryo Ishikawa,56,-0.7,71.64,70.94
174,T174,,Hunter Mahan,73,-0.7,71.48,70.78
175,176,,Rod Pampling,71,-0.78,71.99,71.21
176,T177,,Mark Hubbard,81,-0.86,71.31,70.45
177,T177,,Rick Lamb,54,-0.86,71.34,70.48
178,179,,Brett Drewitt,57,-0.91,71.57,70.66
179,180,,Nicholas Lindheim,58,-0.95,71.46,70.51
180,181,,Si Woo Kim,80,-0.96,72.51,71.55
181,182,,Ken Duke,77,-0.97,71.48,70.51
182,183,,Ernie Els,52,-1.06,72.4,71.34
183,184,,Brett Stegmaier,78,-1.09,71.68,70.59
184,185,,Miguel Angel Carballo,63,-1.12,71.6,70.48
185,186,,Jason Bohn,75,-1.16,71.77,70.61
186,187,,Carl Pettersson,63,-1.28,71.98,70.7
187,188,,Matt Every,76,-1.62,72.39,70.77
188,189,,Andrew Loupe,55,-1.71,72.73,71.02
189,190,,Steven Bowditch,59,-3.26,74.22,70.96
