,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
40,41,,Seung-Yul Noh,91,70.25,843,12
41,42,,Martin Flores,88,70.26,1335,19
42,T43,,Wesley Bryan,95,70.27,1054,15
43,T43,,Nick Watney,75,70.27,1054,15
44,45,,Luke List,102,70.28,1265,18
45,T46,,Jamie Lovemark,98,70.33,844,12
46,T46,,Charl Schwartzel,63,70.33,422,6
47,T48,,Pat Perez,93,70.38,563,8
48,T48,,Jhonattan Vegas,95,70.38,915,13
49,T50,,Adam Hadwin,98,70.4,1056,15
50,T50,,Brian Harman,104,70.4,1056,15
51,T50,,Patrick Reed,107,70.4,704,10
52,53,,Vaughn Taylor,90,70.44,1268,18
53,54,,Brett Drewitt,57,70.48,1480,21
54,T55,,James Hahn,96,70.5,1410,20
55,T55,,Matt Jones,64,70.5,705,10
56,T55,,Nicholas Lindheim,58,70.5,1128,16
57,T55,,Kevin Na,86,70.5,705,10
58,59,,J.T. Poston,95,70.52,1481,21
59,T60,,Branden Grace,70,70.57,494,7
60,T60,,J.J. Henry,92,70.57,1623,23
61,62,,Alex Cejka,85,70.63,1130,16
62,T63,,Blayne Barber,77,70.64,989,14
63,T63,,J.B. Holmes,83,70.64,989,14
64,T65,,Fabián Gómez,61,70.67,848,12
65,T65,,Retief Goosen,52,70.67,848,12
66,T65,,Sung Kang,104,70.67,1696,24
67,T65,,Hudson Swafford,94,70.67,1272,18
68,T65,,Tim Wilkinson,64,70.67,636,9
69,70,,Ryan Brehm,83,70.69,1131,16
70,T71,,Billy Horschel,88,70.71,990,14
71,T71,,Patrick Rodgers,76,70.71,990,14
72,T71,,Richy Werenski,81,70.71,1485,21
73,T74,,Zac Blair,105,70.75,1415,20
74,T74,,Ryo Ishikawa,56,70.75,849,12
75,T74,,D.A. Points,68,70.75,1132,16
76,77,,Grayson Murray,94,70.76,1203,17
77,78,,Andres Gonzales,73,70.77,1557,22
78,T79,,Zach Johnson,81,70.78,637,9
79,T79,,Graeme McDowell,56,70.78,637,9
80,T81,,Brian Campbell,55,70.79,991,14
81,T81,,Graham DeLaet,82,70.79,991,14
82,T83,,Keegan Bradley,104,70.8,1062,15
83,T83,,Michael Kim,94,70.8,1062,15
84,T83,,Michael Thompson,60,70.8,708,10
85,T83,,Harold Varner III,101,70.8,1062,15
86,T87,,Ricky Barnes,100,70.83,1629,23
87,T87,,Rafa Cabrera Bello,63,70.83,425,6
88,T87,,Russell Knox,75,70.83,850,12
89,T87,,Sam Saunders,76,70.83,1275,18
90,91,,Danny Lee,93,70.85,1842,26
91,T92,,Paul Casey,94,70.86,496,7
92,T92,,Ben Martin,86,70.86,1488,21
93,94,,Daniel Summerhays,100,70.88,1134,16
94,95,,Steven Alker,69,70.92,922,13
95,96,,Byeong Hun An,77,70.93,1064,15
96,T97,,Bud Cauley,92,70.94,1277,18
97,T97,,Whee Kim,74,70.94,1206,17
98,T99,,Gonzalo Fernandez-Castaño,63,71.0,923,13
99,T99,,Russell Henley,99,71.0,781,11
100,T99,,Shane Lowry,52,71.0,852,12
101,T99,,C.T. Pan,88,71.0,1207,17
102,T99,,Brendan Steele,89,71.0,1065,15
103,T99,,Boo Weekley,75,71.0,1065,15
104,105,,Tony Finau,106,71.05,1421,20
105,T106,,Ben Crane,86,71.06,1137,16
106,T106,,Robert Streb,98,71.06,1279,18
107,108,,Ryan Moore,82,71.09,782,11
108,T109,,Kevin Chappell,95,71.11,1280,18
109,T109,,J.J. Spaun,92,71.11,1351,19
110,T111,,K.J. Choi,72,71.13,1138,16
111,T111,,Ryan Palmer,61,71.13,569,8
112,T113,,Chad Campbell,97,71.18,1566,22
113,T113,,Brian Stuard,93,71.18,1566,22
114,T115,,David Hearn,93,71.2,712,10
115,T115,,Mark Hubbard,81,71.2,1068,15
116,T115,,Matt Kuchar,95,71.2,356,5
117,T118,,Scott Brown,95,71.21,997,14
118,T118,,Xander Schauffele,96,71.21,997,14
119,120,,Brandon Hagy,85,71.22,1282,18
120,T121,,Martin Laird,83,71.23,926,13
121,T121,,Peter Malnati,91,71.23,1567,22
122,123,,Tyrone Van Aswegen,105,71.26,1639,23
123,T124,,John Huh,92,71.29,1212,17
124,T124,,Gary Woodland,94,71.29,998,14
125,126,,Bill Haas,92,71.3,713,10
126,T127,,Daniel Berger,91,71.33,214,3
127,T127,,Luke Donald,50,71.33,856,12
128,T127,,Jason Dufner,89,71.33,642,9
129,T127,,Emiliano Grillo,90,71.33,856,12
130,T127,,Camilo Villegas,76,71.33,642,9
131,T132,,Harris English,84,71.35,1213,17
132,T132,,Johnson Wagner,71,71.35,1213,17
133,134,,Jim Herman,77,71.36,999,14
134,135,,Patton Kizzire,84,71.38,1856,26
135,136,,Billy Hurley III,80,71.39,1285,18
136,137,,Brooks Koepka,88,71.4,357,5
137,138,,Ernie Els,52,71.43,500,7
138,T139,,Smylie Kaufman,76,71.44,1286,18
139,T139,,Troy Merritt,82,71.44,1286,18
140,T139,,Carl Pettersson,63,71.44,643,9
141,T139,,Jonathan Randolph,68,71.44,643,9
142,T139,,Kyle Reifers,96,71.44,1286,18
143,T139,,Cameron Tringale,89,71.44,1143,16
144,145,,Aaron Baddeley,61,71.45,786,11
145,146,,Ken Duke,77,71.47,1072,15
146,147,,Greg Chalmers,75,71.48,1501,21
147,T148,,Geoff Ogilvy,80,71.5,1001,14
148,T148,,Cameron Percy,71,71.5,572,8
149,150,,Mackenzie Hughes,106,71.53,1359,19
150,151,,Derek Fathauer,81,71.54,930,13
151,152,,Ryan Blaum,100,71.55,1431,20
152,153,,Shawn Stefani,72,71.58,859,12
153,154,,Rory Sabbatini,71,71.61,1289,18
154,T155,,Jason Kokrak,95,71.63,1719,24
155,T155,,Marc Leishman,94,71.63,573,8
156,157,,Jonas Blixt,74,71.65,1218,17
157,158,,Bryce Molder,74,71.67,1505,21
158,159,,Scott Piercy,70,71.69,1147,16
159,160,,Mark Anderson,54,71.71,502,7
160,T161,,Miguel Angel Carballo,63,71.73,789,11
161,T161,,Tag Ridings,67,71.73,1076,15
162,163,,Jim Furyk,54,71.75,287,4
163,164,,Anirban Lahiri,72,71.77,933,13
164,165,,Spencer Levin,89,71.78,1651,23
165,166,,Brad Fritsch,56,71.88,1150,16
166,167,,Chris Stroud,67,71.91,791,11
167,T168,,Rick Lamb,54,72.0,792,11
168,T168,,Brett Stegmaier,78,72.0,1440,20
169,T170,,Roberto Castro,70,72.06,1153,16
170,T170,,Morgan Hoffmann,92,72.06,1153,16
171,172,,Kelly Kraft,75,72.07,1081,15
172,173,,Rod Pampling,71,72.08,937,13
173,T174,,Dominic Bozzelli,69,72.13,1154,16
174,T174,,Chad Collins,66,72.13,1082,15
175,176,,Søren Kjeldsen,58,72.25,578,8
176,177,,Andrew Loupe,55,72.31,940,13
177,178,,Julián Etulain,68,72.32,1374,19
178,179,,Cody Gribble,79,72.33,1302,18
179,180,,Sebastián Muñoz,51,72.38,579,8
180,181,,Hunter Mahan,73,72.43,1521,21
181,182,,Cameron Smith,86,72.55,1451,20
182,183,,Jason Bohn,75,73.0,949,13
183,184,,Matt Every,76,73.26,1392,19
184,185,,Jimmy Walker,68,73.75,295,4
185,186,,Steven Bowditch,59,74.24,1559,21
186,187,,Si Woo Kim,80,74.33,669,9
187,188,,Jason Day,71,75.0,75,1
