,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
165,T166,,Gonzalo Fernandez-Castaño,63,71.62,1862,26
166,T166,,Ryan Palmer,61,71.62,1862,26
167,168,,Rod Pampling,71,71.64,2006,28
168,T169,,Aaron Baddeley,61,71.67,1935,27
169,T169,,Rick Lamb,54,71.67,1720,24
170,171,,Kyle Reifers,96,71.68,2867,40
171,172,,Julián Etulain,68,71.69,2079,29
172,173,,K.J. Choi,72,71.7,2151,30
173,T174,,Miguel Angel Carballo,63,71.77,1866,26
174,T174,,Greg Chalmers,75,71.77,2225,31
175,176,,Carl Pettersson,63,71.81,1867,26
176,177,,Cody Gribble,79,71.83,2586,36
177,178,,Ken Duke,77,71.85,2443,34
178,179,,Emiliano Grillo,90,71.87,2803,39
179,180,,Ernie Els,52,72.04,1801,25
180,181,,Søren Kjeldsen,58,72.08,1730,24
181,182,,Roberto Castro,70,72.13,2164,30
182,183,,Brett Stegmaier,78,72.14,2525,35
183,184,,Bryce Molder,74,72.15,2453,34
184,185,,Matt Every,76,72.24,2673,37
185,186,,Jimmy Walker,68,72.68,2253,31
186,187,,Si Woo Kim,80,72.71,2545,35
187,188,,Andrew Loupe,55,72.74,1964,27
188,189,,Jason Bohn,75,72.84,2331,32
189,190,,Steven Bowditch,59,74.59,2014,27
