,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
42,T43,,J.J. Henry,92,70.27,1054,15
43,T43,,Hunter Mahan,73,70.27,1054,15
44,T43,,Shawn Stefani,72,70.27,1054,15
45,46,,Johnson Wagner,71,70.28,1265,18
46,47,,Anirban Lahiri,72,70.32,1758,25
47,48,,Adam Scott,58,70.33,2110,30
48,49,,Jim Herman,77,70.35,1196,17
49,T50,,Mark Anderson,54,70.38,1126,16
50,T50,,Jason Dufner,89,70.38,2604,37
51,52,,Ollie Schniederjans,92,70.39,1971,28
52,53,,Brian Gay,82,70.4,1408,20
53,T54,,Blayne Barber,77,70.41,1197,17
54,T54,,Ryan Moore,82,70.41,2253,32
55,T54,,Pat Perez,93,70.41,2746,39
56,57,,Martin Laird,83,70.43,1972,28
57,T58,,Russell Knox,75,70.44,1902,27
58,T58,,Peter Malnati,91,70.44,1127,16
59,60,,Steve Wheatcroft,51,70.46,916,13
60,T61,,Brian Harman,104,70.47,2537,36
61,T61,,Kelly Kraft,75,70.47,1198,17
62,63,,Brendan Steele,89,70.48,2044,29
63,T64,,Julián Etulain,68,70.5,705,10
64,T64,,Patton Kizzire,84,70.5,705,10
65,T64,,Camilo Villegas,76,70.5,1833,26
66,67,,Brandon Hagy,85,70.53,1199,17
67,68,,Mackenzie Hughes,106,70.55,2046,29
68,T69,,Brad Fritsch,56,70.56,635,9
69,T69,,Luke List,102,70.56,1905,27
70,T69,,Sean O'Hair,84,70.56,1905,27
71,T72,,Ricky Barnes,100,70.59,1200,17
72,T72,,Bud Cauley,92,70.59,1906,27
73,T72,,Kevin Chappell,95,70.59,2047,29
74,T72,,Adam Hadwin,98,70.59,2400,34
75,T76,,Mark Hubbard,81,70.6,1059,15
76,T76,,Chez Reavie,98,70.6,2118,30
77,T76,,Kevin Streelman,90,70.6,1765,25
78,T79,,John Huh,92,70.62,1483,21
79,T79,,Scott Piercy,70,70.62,1483,21
80,81,,Sebastián Muñoz,51,70.64,989,14
81,82,,Zac Blair,105,70.68,1767,25
82,83,,Brandt Snedeker,53,70.69,1838,26
83,T84,,Zach Johnson,81,70.7,2121,30
84,T84,,Seung-Yul Noh,91,70.7,2121,30
85,T84,,Charl Schwartzel,63,70.7,1626,23
86,T87,,Jason Day,71,70.71,2404,34
87,T87,,Matt Jones,64,70.71,990,14
88,T87,,Grayson Murray,94,70.71,1980,28
89,90,,Sergio Garcia,65,70.73,2122,30
90,T91,,Trey Mullinax,88,70.75,1981,28
91,T91,,Nick Watney,75,70.75,1132,16
92,T93,,Lucas Glover,93,70.78,2548,36
93,T93,,Hudson Swafford,94,70.78,1911,27
94,95,,Ben Crane,86,70.79,1345,19
95,96,,Rory McIlroy,51,70.8,1770,25
96,97,,Ryan Brehm,83,70.81,1487,21
97,T98,,Jim Furyk,54,70.83,1275,18
98,T98,,Whee Kim,74,70.83,1629,23
99,T100,,Phil Mickelson,85,70.84,2621,37
100,T100,,Seamus Power,86,70.84,1771,25
101,T102,,James Hahn,96,70.85,1842,26
102,T102,,Francesco Molinari,75,70.85,1913,27
103,T102,,J.J. Spaun,92,70.85,1842,26
104,105,,Martin Flores,88,70.86,1559,22
105,106,,Russell Henley,99,70.88,2977,42
106,107,,Branden Grace,70,70.9,1489,21
107,T108,,Sung Kang,104,70.92,1702,24
108,T108,,Jhonattan Vegas,95,70.92,1844,26
109,110,,Harris English,84,70.95,1419,20
110,111,,Louis Oosthuizen,69,70.96,1632,23
111,112,,Nick Taylor,97,70.97,2058,29
112,T113,,Steven Alker,69,71.0,1065,15
113,T113,,Dominic Bozzelli,69,71.0,1278,18
114,T113,,Keegan Bradley,104,71.0,2556,36
115,T113,,Scott Brown,95,71.0,2201,31
116,T117,,Billy Horschel,88,71.04,1918,27
117,T117,,Scott Stallings,81,71.04,1776,25
118,119,,J.T. Poston,95,71.05,1421,20
119,T120,,Alex Cejka,85,71.06,1208,17
120,T120,,Fabián Gómez,61,71.06,1208,17
121,122,,Bryson DeChambeau,91,71.07,2061,29
122,123,,Robert Streb,98,71.08,1848,26
123,T124,,C.T. Pan,88,71.09,1564,22
124,T124,,Cameron Tringale,89,71.09,1635,23
125,126,,Patrick Reed,107,71.1,2844,40
126,T127,,Ben Martin,86,71.11,1351,19
127,T127,,Graeme McDowell,56,71.11,1351,19
128,T127,,Geoff Ogilvy,80,71.11,1351,19
129,T130,,Jonas Blixt,74,71.12,1209,17
130,T130,,Wesley Bryan,95,71.12,1849,26
131,132,,Jonathan Randolph,68,71.14,1494,21
132,T133,,Andres Gonzales,73,71.15,925,13
133,T133,,Jason Kokrak,95,71.15,1850,26
134,135,,Matt Every,76,71.17,1281,18
135,136,,Kevin Tway,96,71.18,1566,22
136,T137,,Stewart Cink,93,71.19,1922,27
137,T137,,David Hearn,93,71.19,2207,31
138,T137,,Billy Hurley III,80,71.19,1139,16
139,T137,,Boo Weekley,75,71.19,1139,16
140,141,,Morgan Hoffmann,92,71.22,1923,27
141,142,,Patrick Rodgers,76,71.25,1710,24
142,143,,Rod Pampling,71,71.27,1069,15
143,T144,,Luke Donald,50,71.29,998,14
144,T144,,Chris Stroud,67,71.29,1212,17
145,T144,,Vaughn Taylor,90,71.29,998,14
146,147,,Smylie Kaufman,76,71.3,1426,20
147,148,,Cody Gribble,79,71.33,1284,18
148,149,,Tyrone Van Aswegen,105,71.36,1570,22
149,150,,Rick Lamb,54,71.38,928,13
150,T151,,Daniel Summerhays,100,71.39,2213,31
151,T151,,Harold Varner III,101,71.39,1999,28
152,153,,Bubba Watson,71,71.42,1857,26
153,154,,David Lingmerth,79,71.43,1643,23
154,155,,Nicholas Lindheim,58,71.45,786,11
155,T156,,Chris Kirk,89,71.5,1430,20
156,T156,,Shane Lowry,52,71.5,1001,14
157,158,,J.B. Holmes,83,71.57,1646,23
158,159,,Sam Saunders,76,71.6,1432,20
159,160,,Derek Fathauer,81,71.64,1791,25
160,161,,Retief Goosen,52,71.7,717,10
161,162,,Byeong Hun An,77,71.74,1363,19
162,163,,D.A. Points,68,71.76,1220,17
163,164,,Miguel Angel Carballo,63,71.8,1077,15
164,165,,Aaron Baddeley,61,71.81,1149,16
165,166,,Ryan Palmer,61,71.83,1293,18
166,T167,,Ryo Ishikawa,56,71.86,1006,14
167,T167,,Kyle Reifers,96,71.86,1581,22
168,T169,,Søren Kjeldsen,58,72.0,1152,16
169,T169,,Carl Pettersson,63,72.0,1224,17
170,171,,Brian Stuard,93,72.08,937,13
171,172,,Brian Campbell,55,72.09,793,11
172,173,,Emiliano Grillo,90,72.11,1947,27
173,174,,Si Woo Kim,80,72.15,1876,26
174,175,,Ken Duke,77,72.16,1371,19
175,176,,Tom Hoge,54,72.2,722,10
176,177,,Roberto Castro,70,72.21,1011,14
177,178,,Gonzalo Fernandez-Castaño,63,72.23,939,13
178,179,,Ernie Els,52,72.28,1301,18
179,180,,Michael Thompson,60,72.3,723,10
180,181,,Brett Stegmaier,78,72.33,1085,15
181,182,,William McGirt,89,72.35,1664,23
182,183,,K.J. Choi,72,72.36,1013,14
183,184,,Greg Chalmers,75,72.4,724,10
184,185,,Jimmy Walker,68,72.52,1958,27
185,186,,Jason Bohn,75,72.74,1382,19
186,187,,Bryce Molder,74,72.92,948,13
187,188,,Andrew Loupe,55,73.14,1024,14
188,189,,Brett Drewitt,57,73.75,295,4
189,190,,Steven Bowditch,59,75.83,455,6
