,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
90,T91,,Miguel Angel Carballo,63,70.81,1133,16
91,T91,,John Huh,92,70.81,2266,32
92,T91,,Matt Jones,64,70.81,1133,16
93,94,,Ryan Brehm,83,70.82,1558,22
94,95,,Gary Woodland,94,70.83,2479,35
95,T96,,Chris Kirk,89,70.86,1984,28
96,T96,,Vaughn Taylor,90,70.86,2551,36
97,98,,William McGirt,89,70.87,2197,31
98,T99,,Ricky Barnes,100,70.88,2339,33
99,T99,,Brooks Koepka,88,70.88,1205,17
100,T99,,Peter Malnati,91,70.88,1843,26
101,T102,,Ryan Blaum,100,70.89,2623,37
102,T102,,Alex Cejka,85,70.89,1914,27
103,104,,Jason Kokrak,95,70.9,2198,31
104,T105,,Geoff Ogilvy,80,70.91,1560,22
105,T105,,Harold Varner III,101,70.91,2411,34
106,107,,Nick Watney,75,70.92,1702,24
107,108,,J.J. Henry,92,70.93,2128,30
108,T109,,Adam Hadwin,98,70.94,2412,34
109,T109,,Jim Herman,77,70.94,2341,33
110,111,,Robert Garrigus,78,70.95,1490,21
111,112,,Morgan Hoffmann,92,70.96,1845,26
112,T113,,Charley Hoffman,112,71.03,2628,37
113,T113,,Billy Horschel,88,71.03,2060,29
114,115,,Mackenzie Hughes,106,71.05,2771,39
115,116,,Jason Bohn,75,71.06,1208,17
116,117,,Adam Scott,58,71.1,711,10
117,118,,Kevin Streelman,90,71.11,1991,28
118,119,,Sean O'Hair,84,71.12,1778,25
119,120,,Billy Hurley III,80,71.13,2276,32
120,121,,Nick Taylor,97,71.15,1850,26
121,T122,,Bryson DeChambeau,91,71.17,1637,23
122,T122,,Retief Goosen,52,71.17,1281,18
123,T122,,C.T. Pan,88,71.17,2064,29
124,T125,,Mark Hubbard,81,71.18,1566,22
125,T125,,Justin Thomas,86,71.18,783,11
126,127,,Patrick Rodgers,76,71.19,1495,21
127,128,,Michael Thompson,60,71.2,1424,20
128,129,,Mark Anderson,54,71.21,997,14
129,130,,Camilo Villegas,76,71.22,1282,18
130,131,,Martin Laird,83,71.24,2066,29
131,132,,Boo Weekley,75,71.25,1995,28
132,T133,,Jonas Blixt,74,71.29,1711,24
133,T133,,Dominic Bozzelli,69,71.29,998,14
134,T133,,Cameron Percy,71,71.29,998,14
135,T136,,Smylie Kaufman,76,71.3,1426,20
136,T136,,Kevin Kisner,105,71.3,2353,33
137,T136,,David Lingmerth,79,71.3,1925,27
138,T139,,Brad Fritsch,56,71.33,1070,15
139,T139,,Hunter Mahan,73,71.33,1498,21
140,141,,Johnson Wagner,71,71.35,1213,17
141,142,,Gonzalo Fernandez-Castaño,63,71.36,999,14
142,T143,,Cody Gribble,79,71.38,1856,26
143,T143,,Jimmy Walker,68,71.38,1142,16
144,145,,Greg Chalmers,75,71.39,2213,31
145,T146,,Patton Kizzire,84,71.43,2143,30
146,T146,,Rick Lamb,54,71.43,1000,14
147,T146,,Brian Stuard,93,71.43,2857,40
148,149,,Charles Howell III,86,71.47,2287,32
149,150,,Brett Stegmaier,78,71.48,1644,23
150,151,,Louis Oosthuizen,69,71.52,1502,21
151,T152,,Ryo Ishikawa,56,71.53,1073,15
152,T152,,Nicholas Lindheim,58,71.53,1073,15
153,154,,Spencer Levin,89,71.55,1574,22
154,155,,Kevin Chappell,95,71.56,2290,32
155,T156,,Byeong Hun An,77,71.58,1718,24
156,T156,,Ryan Moore,82,71.58,1861,26
157,158,,Grayson Murray,94,71.59,2076,29
158,159,,Brett Drewitt,57,71.6,1432,20
159,T160,,Chad Collins,66,71.61,1289,18
160,T160,,Jhonattan Vegas,95,71.61,2363,33
161,162,,Rafa Cabrera Bello,63,71.63,1361,19
162,T163,,Fabián Gómez,61,71.69,1147,16
163,T163,,Bubba Watson,71,71.69,1147,16
164,165,,Whee Kim,74,71.73,1076,15
165,166,,Matt Every,76,71.75,1435,20
166,167,,Scott Piercy,70,71.76,1220,17
167,T168,,Branden Grace,70,71.78,1651,23
168,T168,,Kelly Kraft,75,71.78,1651,23
169,T168,,Anirban Lahiri,72,71.78,1651,23
170,171,,Jim Furyk,54,71.79,1005,14
171,172,,Derek Fathauer,81,71.81,1149,16
172,173,,D.A. Points,68,71.82,1580,22
173,174,,Steve Wheatcroft,51,71.92,863,12
174,T175,,Roberto Castro,70,72.0,1728,24
175,T175,,Sebastián Muñoz,51,72.0,1152,16
176,177,,Rod Pampling,71,72.07,2162,30
177,T178,,Wesley Bryan,95,72.1,2091,29
178,T178,,Danny Lee,93,72.1,2235,31
179,180,,Carl Pettersson,63,72.12,1226,17
180,181,,Troy Merritt,82,72.26,1662,23
181,182,,Brian Campbell,55,72.27,1084,15
182,183,,Søren Kjeldsen,58,72.36,1013,14
183,184,,Andrew Loupe,55,72.4,1086,15
184,185,,Daniel Summerhays,100,72.44,1811,25
185,186,,Jonathan Randolph,68,72.56,1306,18
186,187,,Si Woo Kim,80,72.63,1743,24
187,188,,Ken Duke,77,73.0,803,11
188,189,,Ernie Els,52,73.45,808,11
189,190,,Steven Bowditch,59,73.77,1623,22
