,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
42,43,,Julián Etulain,68,70.29,2390,34
43,T44,,Martin Flores,88,70.3,2812,40
44,T44,,John Huh,92,70.3,3515,50
45,T44,,Robert Streb,98,70.3,3515,50
46,47,,Brandon Hagy,85,70.31,2953,42
47,T48,,Gonzalo Fernandez-Castaño,63,70.33,2110,30
48,T48,,Hudson Swafford,94,70.33,3165,45
49,50,,J.J. Spaun,92,70.37,2885,41
50,51,,Morgan Hoffmann,92,70.38,3167,45
51,52,,Shawn Stefani,72,70.39,2886,41
52,T53,,Martin Laird,83,70.4,2957,42
53,T53,,Brendan Steele,89,70.4,2816,40
54,55,,Camilo Villegas,76,70.41,2605,37
55,T56,,Ryan Blaum,100,70.42,4014,57
56,T56,,Tyrone Van Aswegen,105,70.42,3662,52
57,58,,Brooks Koepka,88,70.43,2465,35
58,59,,Hideki Matsuyama,83,70.44,2395,34
59,60,,Kevin Tway,96,70.45,3452,49
60,T61,,Scott Brown,95,70.46,3241,46
61,T61,,Brian Gay,82,70.46,2748,39
62,T61,,Jamie Lovemark,98,70.46,3523,50
63,64,,Ben Martin,86,70.49,2749,39
64,T65,,Daniel Berger,91,70.5,2538,36
65,T65,,Robert Garrigus,78,70.5,2679,38
66,T65,,Anirban Lahiri,72,70.5,2397,34
67,T65,,Scott Stallings,81,70.5,2679,38
68,T65,,Justin Thomas,86,70.5,1974,28
69,T65,,Jimmy Walker,68,70.5,2397,34
70,71,,Vaughn Taylor,90,70.52,3667,52
71,72,,Matt Jones,64,70.53,2257,32
72,73,,Trey Mullinax,88,70.55,2963,42
73,T74,,Harris English,84,70.56,2752,39
74,T74,,Gary Woodland,94,70.56,3387,48
75,T76,,Michael Kim,94,70.57,3811,54
76,T76,,Harold Varner III,101,70.57,3952,56
77,78,,Zach Johnson,81,70.58,2682,38
78,79,,Zac Blair,105,70.59,3812,54
79,T80,,Tom Hoge,54,70.63,1695,24
80,T80,,Kevin Na,86,70.63,3390,48
81,T82,,Luke Donald,50,70.64,1554,22
82,T82,,David Hearn,93,70.64,3108,44
83,T84,,Graham DeLaet,82,70.66,2473,35
84,T84,,Whee Kim,74,70.66,2261,32
85,86,,K.J. Choi,72,70.69,2545,36
86,87,,Ben Crane,86,70.7,3111,44
87,88,,Adam Hadwin,98,70.71,3465,49
88,89,,Geoff Ogilvy,80,70.74,2759,39
89,90,,Cameron Tringale,89,70.75,3113,44
90,91,,Bryson DeChambeau,91,70.76,2972,42
91,T92,,Seung-Yul Noh,91,70.78,3185,45
92,T92,,Tag Ridings,67,70.78,2265,32
93,T92,,Richy Werenski,81,70.78,2548,36
94,95,,Nick Taylor,97,70.79,3327,47
95,96,,Michael Thompson,60,70.81,2549,36
96,T97,,Charles Howell III,86,70.83,2975,42
97,T97,,Scott Piercy,70,70.83,2125,30
98,T99,,Jason Kokrak,95,70.84,3188,45
99,T99,,Nick Watney,75,70.84,2692,38
100,T101,,Ryan Palmer,61,70.85,1913,27
101,T101,,C.T. Pan,88,70.85,3330,47
102,T103,,Kevin Kisner,105,70.86,3543,50
103,T103,,Graeme McDowell,56,70.86,1984,28
104,T103,,Ollie Schniederjans,92,70.86,3047,43
105,T103,,Tim Wilkinson,64,70.86,2480,35
106,107,,Shane Lowry,52,70.87,1630,23
107,108,,Ryan Brehm,83,70.88,2835,40
108,T109,,Jim Herman,77,70.89,3119,44
109,T109,,David Lingmerth,79,70.89,2694,38
110,T111,,Jason Bohn,75,70.9,2765,39
111,T111,,Russell Knox,75,70.9,2198,31
112,113,,Mackenzie Hughes,106,70.91,3971,56
113,114,,William McGirt,89,70.93,3121,44
114,115,,Cameron Percy,71,70.94,2483,35
115,T116,,Peter Malnati,91,70.96,3335,47
116,T116,,Kyle Reifers,96,70.96,3406,48
117,T118,,Jonas Blixt,74,70.97,2555,36
118,T118,,Louis Oosthuizen,69,70.97,2342,33
119,T118,,Charl Schwartzel,63,70.97,2200,31
120,121,,James Hahn,96,70.98,3549,50
121,T122,,Cody Gribble,79,71.0,2911,41
122,T122,,Billy Hurley III,80,71.0,3266,46
123,T122,,Smylie Kaufman,76,71.0,2343,33
124,T125,,Billy Horschel,88,71.02,3196,45
125,T125,,Chris Kirk,89,71.02,2983,42
126,127,,J.B. Holmes,83,71.03,2770,39
127,T128,,Ricky Barnes,100,71.04,3694,52
128,T128,,Rick Lamb,54,71.04,1847,26
129,T128,,Sebastián Muñoz,51,71.04,1918,27
130,131,,Wesley Bryan,95,71.06,3553,50
131,T132,,Spencer Levin,89,71.07,3198,45
132,T132,,Boo Weekley,75,71.07,2985,42
133,134,,Bryce Molder,74,71.08,2843,40
134,T135,,Steven Alker,69,71.09,2488,35
135,T135,,Kevin Streelman,90,71.09,3128,44
136,137,,Dominic Bozzelli,69,71.1,2204,31
137,138,,Derek Fathauer,81,71.11,2631,37
138,T139,,Retief Goosen,52,71.13,1707,24
139,T139,,Charley Hoffman,112,71.13,3912,55
140,141,,Ken Duke,77,71.14,2632,37
141,142,,Aaron Baddeley,61,71.17,2135,30
142,143,,Daniel Summerhays,100,71.19,3346,47
143,144,,Mark Anderson,54,71.21,2065,29
144,T145,,Ryan Armour,63,71.22,2279,32
145,T145,,Ryan Moore,82,71.22,2564,36
146,T145,,Jhonattan Vegas,95,71.22,3632,51
147,148,,Branden Grace,70,71.23,2493,35
148,T149,,J.J. Henry,92,71.25,3420,48
149,T149,,Adam Scott,58,71.25,1710,24
150,151,,Kevin Chappell,95,71.26,3064,43
151,152,,Sean O'Hair,84,71.28,3065,43
152,153,,Brett Stegmaier,78,71.29,2923,41
153,154,,Brian Campbell,55,71.31,1854,26
154,T155,,Alex Cejka,85,71.34,3139,44
155,T155,,Jim Furyk,54,71.34,2069,29
156,T155,,D.A. Points,68,71.34,2497,35
157,158,,Brian Stuard,93,71.35,3710,52
158,159,,Grayson Murray,94,71.36,3211,45
159,160,,Byeong Hun An,77,71.37,2712,38
160,T161,,Troy Merritt,82,71.38,2784,39
161,T161,,Bubba Watson,71,71.38,2427,34
162,163,,Hunter Mahan,73,71.43,2500,35
163,164,,Miguel Angel Carballo,63,71.45,2215,31
164,165,,Fabián Gómez,61,71.47,2144,30
165,T166,,Blayne Barber,77,71.48,2859,40
166,T166,,Greg Chalmers,75,71.48,2859,40
167,T166,,Chad Collins,66,71.48,2359,33
168,169,,Patton Kizzire,84,71.5,2860,40
169,T170,,Brad Fritsch,56,71.52,1931,27
170,T170,,Jonathan Randolph,68,71.52,2360,33
171,172,,Mark Hubbard,81,71.59,3150,44
172,T173,,Søren Kjeldsen,58,71.6,1790,25
173,T173,,Danny Lee,93,71.6,3007,42
174,175,,Johnson Wagner,71,71.71,2008,28
175,176,,Kelly Kraft,75,71.72,2797,39
176,177,,Roberto Castro,70,71.79,2728,38
177,178,,Patrick Rodgers,76,71.83,2586,36
178,179,,Ryo Ishikawa,56,71.9,2157,30
179,T180,,Nicholas Lindheim,58,72.0,2088,29
180,T180,,Steve Wheatcroft,51,72.0,1944,27
181,182,,Rafa Cabrera Bello,63,72.04,2017,28
182,183,,Brett Drewitt,57,72.07,2018,28
183,184,,Carl Pettersson,63,72.12,2380,33
184,185,,Rod Pampling,71,72.21,3105,43
185,186,,Si Woo Kim,80,72.33,2893,40
186,187,,Matt Every,76,72.55,2394,33
187,188,,Andrew Loupe,55,72.72,1818,25
188,189,,Ernie Els,52,72.74,1964,27
189,190,,Steven Bowditch,59,73.86,2068,28
