,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
112,T112,,Tyrone Van Aswegen,105,70.81,1487,21
113,114,,Jamie Lovemark,98,70.83,1700,24
114,115,,Tag Ridings,67,70.85,921,13
115,T116,,Luke Donald,50,70.89,638,9
116,T116,,Seung-Yul Noh,91,70.89,1985,28
117,118,,David Hearn,93,70.91,1560,22
118,119,,Jim Furyk,54,70.93,1064,15
119,T120,,Dominic Bozzelli,69,70.94,1206,17
120,T120,,Ryan Brehm,83,70.94,1277,18
121,T120,,Grayson Murray,94,70.94,1135,16
122,T120,,Richy Werenski,81,70.94,1206,17
123,T120,,Tim Wilkinson,64,70.94,1135,16
124,125,,Scott Brown,95,70.96,1703,24
125,T126,,Byeong Hun An,77,71.0,994,14
126,T126,,Retief Goosen,52,71.0,426,6
127,T126,,Brandon Hagy,85,71.0,1065,15
128,T126,,Billy Horschel,88,71.0,1136,16
129,T126,,Hideki Matsuyama,83,71.0,1136,16
130,131,,Peter Malnati,91,71.05,1492,21
131,T132,,Ben Crane,86,71.06,1279,18
132,T132,,Kevin Na,86,71.06,1279,18
133,T132,,Brett Stegmaier,78,71.06,1279,18
134,T132,,Kevin Streelman,90,71.06,1137,16
135,T136,,Julián Etulain,68,71.07,995,14
136,T136,,Scott Stallings,81,71.07,1066,15
137,T138,,Harris English,84,71.08,853,12
138,T138,,William McGirt,89,71.08,924,13
139,T138,,Brian Stuard,93,71.08,853,12
140,141,,Bubba Watson,71,71.11,1280,18
141,142,,Mark Anderson,54,71.2,1068,15
142,143,,Fabián Gómez,61,71.21,997,14
143,144,,Ryan Palmer,61,71.25,1140,16
144,145,,Kyle Reifers,96,71.3,1640,23
145,146,,Jason Day,71,71.31,1141,16
146,147,,Ricky Barnes,100,71.32,1355,19
147,T148,,Chad Collins,66,71.33,1070,15
148,T148,,Charley Hoffman,112,71.33,1284,18
149,T148,,Russell Knox,75,71.33,856,12
150,T151,,Chris Kirk,89,71.36,999,14
151,T151,,Adam Scott,58,71.36,999,14
152,153,,Graeme McDowell,56,71.42,857,12
153,154,,Roberto Castro,70,71.43,1000,14
154,155,,Steven Alker,69,71.47,1358,19
155,156,,Sean O'Hair,84,71.5,1287,18
156,157,,Cameron Tringale,89,71.55,1431,20
157,158,,Hunter Mahan,73,71.57,1002,14
158,159,,J.B. Holmes,83,71.58,859,12
159,160,,Kelly Kraft,75,71.63,1146,16
160,161,,Bryce Molder,74,71.69,1147,16
161,162,,Patton Kizzire,84,71.7,717,10
162,163,,Ollie Schniederjans,92,71.71,1004,14
163,164,,Brad Fritsch,56,71.75,861,12
164,T165,,Greg Chalmers,75,71.78,646,9
165,T165,,J.J. Henry,92,71.78,1292,18
166,167,,Si Woo Kim,80,71.88,1150,16
167,T168,,James Hahn,96,72.0,936,13
168,T168,,Mark Hubbard,81,72.0,1584,22
169,T168,,Charl Schwartzel,63,72.0,648,9
170,171,,Alex Cejka,85,72.06,1225,17
171,172,,Steve Wheatcroft,51,72.07,1081,15
172,T173,,Miguel Angel Carballo,63,72.13,1082,15
173,T173,,Carl Pettersson,63,72.13,1154,16
174,175,,Ernie Els,52,72.25,1156,16
175,T176,,Ryo Ishikawa,56,72.27,1084,15
176,T176,,Johnson Wagner,71,72.27,795,11
177,178,,Shane Lowry,52,72.33,217,3
178,179,,Ryan Armour,63,72.39,1303,18
179,180,,Blayne Barber,77,72.41,1231,17
180,T181,,Aaron Baddeley,61,72.5,725,10
181,T181,,Nicholas Lindheim,58,72.5,1015,14
182,183,,Rod Pampling,71,72.54,943,13
183,184,,Ben Martin,86,72.6,726,10
184,185,,Patrick Rodgers,76,72.73,1091,15
185,186,,Rafa Cabrera Bello,63,72.89,656,9
186,187,,Andrew Loupe,55,73.2,732,10
187,188,,Brett Drewitt,57,73.25,586,8
188,189,,Matt Every,76,73.77,959,13
189,190,,Steven Bowditch,59,74.17,445,6
