,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
50,T50,T50,Parker McLachlin,27,6.24,5502,88200,1.0,3.0
51,52,52,Chez Reavie,30,6.23,6494,104175,1.0,2.0
52,53,53,Billy Mayfair,29,6.19,6465,104400,,3.0
53,54,54,Steve Marino,32,6.15,6446,104850,,4.0
54,55,55,Justin Rose,15,6.07,4278,70425,,2.0
55,56,56,Greg Kraft,21,6.05,3319,54900,1.0,2.0
56,57,57,Jason Bohn,15,6.03,3582,59400,,2.0
57,58,58,Ben Crane,25,5.98,5058,84600,,3.0
58,T59,T59,Fred Couples,18,5.96,3837,64350,,3.0
59,T59,T59,Kevin Sutherland,26,5.96,5414,90900,,4.0
60,61,61,Scott McCarron,22,5.87,4387,74700,,2.0
61,62,62,Steve Elkington,25,5.82,4632,79650,,3.0
62,63,63,Paul Casey,16,5.77,3804,65925,,3.0
63,64,64,Ryan Moore,24,5.72,4560,79650,,3.0
64,65,65,Heath Slocum,29,5.67,5503,96975,,5.0
65,66,66,Johnson Wagner,26,5.65,5553,98325,1.0,1.0
66,67,67,Tim Clark,27,5.55,5159,92925,,2.0
67,68,68,John Merrick,28,5.51,4787,86850,,4.0
68,69,69,Peter Lonard,30,5.46,5248,96075,,3.0
69,70,70,Charlie Wi,27,5.35,4985,93150,,3.0
70,71,71,Brandt Snedeker,26,5.31,5649,106425,,5.0
71,72,72,Pat Perez,27,5.3,5111,96525,,3.0
72,73,73,Bubba Watson,29,5.28,5437,103050,,3.0
73,74,74,Corey Pavin,20,5.07,3903,76950,,2.0
74,75,75,John Senden,28,5.04,5064,100575,,3.0
75,76,76,Ken Duke,33,5.03,5594,111150,,3.0
76,77,77,Nicholas Thompson,36,5.02,5695,113400,,4.0
77,78,78,Paul Goydos,25,5.0,4567,91350,,2.0
78,79,79,Nick O'Hern,26,4.89,4520,92475,,3.0
79,T80,T80,Mathew Goggin,27,4.88,4457,91350,,2.0
80,T80,T80,Rocco Mediate,27,4.88,5151,105525,,2.0
81,82,82,Tom Pernice Jr.,30,4.85,4954,102150,,5.0
82,83,83,Cliff Kresge,28,4.7,4487,95400,,4.0
83,84,84,Mark Wilson,29,4.44,4212,94950,,4.0
84,85,85,Bernhard Langer,2,4.31,426,9900,,
85,86,86,Bob Tway,20,4.27,2615,61200,,1.0
86,87,87,Matt Kuchar,27,4.26,4084,95850,,4.0
87,88,88,Jonathan Byrd,27,4.15,4011,96750,,2.0
88,T89,T89,Brad Adamonis,29,4.12,3707,90000,,2.0
89,T89,T89,John Rollins,28,4.12,4074,98775,,2.0
90,T89,T89,Dean Wilson,32,4.12,4688,113850,,3.0
91,92,92,Richard Johnson,21,4.1,2510,61200,1.0,1.0
92,T93,T93,Kevin Na,29,4.07,4052,99450,,3.0
93,T93,T93,Scott Verplank,24,4.07,3412,83925,,2.0
94,95,95,Charles Howell III,31,3.98,4237,106425,,2.0
95,96,96,Michael Letzig,29,3.97,3879,97650,,4.0
96,97,97,Steve Flesch,29,3.92,4046,103275,,2.0
97,98,98,Alex Cejka,25,3.89,3802,97650,,4.0
98,99,99,John Mallinger,29,3.87,3793,98100,,3.0
99,100,100,Brian Davis,34,3.77,3916,103950,,2.0
100,101,101,Nathan Green,30,3.72,3698,99450,,1.0
101,102,102,Ryan Palmer,22,3.69,2158,58500,,2.0
102,103,103,Brett Quigley,25,3.65,2663,72900,,2.0
103,104,104,Jay Williamson,33,3.58,3483,97200,,1.0
104,105,105,George McNeill,29,3.49,3409,97650,,2.0
105,T106,T106,Lucas Glover,26,3.46,3617,104625,,2.0
106,T106,T106,Troy Matteson,30,3.46,3524,101700,,3.0
107,108,108,Gavin Coles,16,3.43,1699,49500,,1.0
108,109,109,Kevin Streelman,32,3.42,3402,99450,,2.0
109,T110,T110,Nick Watney,27,3.41,3036,89100,,1.0
110,T110,T110,Tim Wilkinson,29,3.41,3086,90450,,2.0
111,T112,T112,Ángel Cabrera,17,3.4,2243,65925,,1.0
112,T112,T112,Tom Lehman,17,3.4,2420,71100,,2.0
113,T114,T114,Charley Hoffman,29,3.29,3276,99450,,3.0
114,T114,T114,Matt Jones,31,3.29,3273,99450,,2.0
115,116,116,Eric Axley,35,3.28,3478,106200,,3.0
116,117,117,Shane Bertsch,29,3.26,3153,96750,,1.0
117,118,118,Mark Calcavecchia,25,3.25,3304,101700,,2.0
118,T119,T119,Glen Day,19,3.2,1727,54000,,1.0
119,T119,T119,David Toms,20,3.2,2520,78750,,
120,121,121,Zach Johnson,25,3.19,2968,92925,,1.0
121,122,122,Joe Ogilvie,29,3.17,3094,97650,,3.0
122,T123,T123,Rich Beem,29,3.09,2833,91800,,1.0
123,T123,T123,Daisuke Maruyama,4,3.09,417,13500,,
124,125,125,Bill Haas,31,3.05,3172,103950,,1.0
125,126,126,Martin Laird,29,3.01,2303,76500,,2.0
126,127,127,James Driscoll,28,2.87,2457,85500,,1.0
127,128,128,Bob May,4,2.86,450,15750,,
128,129,129,Charles Warren,29,2.85,2769,97200,,1.0
129,130,130,Roland Thatcher,15,2.82,1777,63000,,2.0
130,131,131,Bo Van Pelt,32,2.77,2756,99450,,1.0
131,132,132,John Huston,18,2.76,1488,54000,,
132,133,133,Bob Estes,28,2.75,2423,88200,,1.0
133,134,134,Jason Day,28,2.72,2327,85500,,2.0
134,135,135,Vaughn Taylor,32,2.65,2901,109575,,1.0
135,136,136,Bob Heintz,17,2.59,1164,45000,,
136,T137,T137,Joe Durant,28,2.58,2264,87750,,1.0
137,T137,T137,Chris Riley,17,2.58,1277,49500,,1.0
138,139,139,Dustin Johnson,30,2.51,2679,106650,,2.0
139,140,140,Tim Herron,28,2.45,2158,88200,,
140,141,141,Jeff Gove,18,2.42,1308,54000,,1.0
141,T142,T142,Marco Dawson,21,2.4,1622,67500,,2.0
142,T142,T142,Jason Dufner,16,2.4,1082,45000,,
143,T142,T142,Tim Petrovic,32,2.4,2400,99900,,2.0
144,145,145,Michael Allen,28,2.39,2132,89100,,1.0
145,146,146,Craig Kanada,23,2.38,1604,67500,,
146,147,147,Patrick Sheehan,35,2.34,2540,108450,,2.0
147,148,148,Lee Janzen,28,2.11,1721,81450,,1.0
148,T149,T149,Arron Oberholser,10,2.1,775,36900,,
149,T149,T149,Jesper Parnevik,29,2.1,1818,86400,,
150,T151,T151,Justin Bolli,28,2.07,1769,85500,,1.0
151,T151,T151,Jason Gore,33,2.07,2258,108900,,2.0
152,T153,T153,Brett Rumford,26,2.0,1624,81225,,1.0
153,T153,T153,Garrett Willis,11,2.0,766,38250,,
154,155,155,Jon Mills,32,1.97,1964,99450,,
155,156,156,Frank Lickliter II,32,1.96,1986,101250,,
156,157,157,Davis Love III,23,1.93,1512,78300,,
157,T158,T158,Chris DiMarco,29,1.91,1871,97875,,
158,T158,T158,Fred Funk,14,1.91,1038,54450,,1.0
159,160,160,Nick Price,1,1.89,43,2250,,
160,161,161,Will MacKenzie,21,1.85,1289,69750,,1.0
161,162,162,Y.E. Yang,29,1.84,1701,92250,,1.0
162,163,163,J.J. Henry,34,1.82,2026,111375,,1.0
163,164,164,Carlos Franco,25,1.79,1372,76500,,
164,165,165,José Coceres,13,1.78,1008,56700,,
165,166,166,Tag Ridings,29,1.73,1679,96750,,1.0
166,T167,T167,Brent Geiberger,12,1.71,694,40500,,1.0
167,T167,T167,Scott Sterling,28,1.71,1467,85950,,
168,T167,T167,Omar Uresti,24,1.71,1154,67500,,
169,170,170,Jeff Overton,32,1.68,1754,104400,,1.0
170,171,171,Kevin Stadler,30,1.66,1622,97650,,1.0
171,172,172,Dan Forsman,11,1.63,623,38250,,
172,T173,T173,Doug LaBelle II,22,1.57,1102,70200,,1.0
173,T173,T173,Bob Sowards,22,1.57,920,58500,,1.0
174,175,175,Todd Hamilton,28,1.56,1648,105750,,
175,176,176,Harrison Frazar,23,1.55,1043,67500,,1.0
176,T177,T177,Andrew Buckle,15,1.54,693,45000,,
177,T177,T177,Robert Garrigus,29,1.54,1468,95400,,
178,179,179,Kent Jones,23,1.52,957,63000,,
179,180,180,Mark Hensby,26,1.51,1261,83700,,1.0
180,181,181,John Riegger,24,1.47,993,67500,,
181,182,182,J.P. Hayes,26,1.45,1275,88200,,1.0
182,T183,T183,Nick Flanagan,29,1.43,1316,92250,,1.0
183,T183,T183,Brenden Pappas,24,1.43,962,67500,,1.0
184,T185,T185,Jeff Maggert,28,1.42,1287,90450,,
185,T185,T185,Michael Sim,7,1.42,256,18000,,
186,187,187,Cameron Beckman,29,1.4,1262,90450,,
187,188,188,Ryan Armour,32,1.34,1427,106200,,
188,189,189,Kenneth Ferrie,25,1.31,1000,76500,,
189,190,190,Ian Leggatt,5,1.3,269,20700,,
190,T191,T191,Brandt Jobe,19,1.26,940,74700,,
191,T191,T191,Ted Purdy,25,1.26,962,76500,,1.0
192,T193,T193,Robert Damron,8,1.25,365,29250,,
193,T193,T193,José María Olazábal,4,1.25,235,18900,,
194,195,195,Alejandro Cañizares,16,1.23,497,40500,,
195,196,196,Marc Turnesa,29,1.21,1174,96750,,
196,T197,T197,Larry Mize,16,1.19,704,58950,,1.0
197,T197,T197,Dennis Paulson,1,1.19,27,2250,,
198,T197,T197,Ted Schulz,1,1.19,27,2250,,
199,200,200,Scott Hoch,1,1.15,52,4500,,
200,T201,T201,Billy Andrade,24,1.11,949,85500,,
201,T201,T201,Jin Park,30,1.11,1047,94500,,
202,203,203,Rick Fehr,1,1.1,25,2250,,
203,204,204,Paul Stankowski,13,1.08,488,45000,,
204,205,205,Brian Bateman,18,1.07,832,77400,,
205,T206,T206,Fulton Allem,1,1.04,47,4500,,
206,T206,T206,Jimmy Walker,24,1.04,703,67500,,
207,208,208,Shigeki Maruyama,18,0.96,721,74700,,
208,T209,T209,Steve Allan,21,0.94,595,63000,,1.0
209,T209,T209,Chad Collins,24,0.94,632,67500,,
210,T209,T209,Shaun Micheel,16,0.94,641,68400,,
211,212,212,Sandy Lyle,2,0.92,91,9900,,
212,213,213,Stephen Leaney,17,0.91,678,74700,,
213,T214,T214,Robert Gamez,26,0.9,749,83250,,
214,T214,T214,David Lutterus,23,0.9,566,63000,,
215,216,216,Tom Byrum,12,0.85,343,40500,,
216,T217,T217,Michael Bradley,14,0.84,321,38250,,
217,T217,T217,Neal Lancaster,9,0.84,227,27000,,
218,219,219,Craig Barlow,15,0.83,567,68400,,
219,220,220,Brett Wetterich,11,0.82,417,50625,,
220,221,221,Jay Delsing,8,0.81,200,24750,,
221,222,222,Dicky Pride,14,0.8,322,40500,,
222,223,223,Craig Parry,4,0.78,152,19350,,
223,T224,T224,Todd Demsey,25,0.74,551,74250,,
224,T224,T224,Mathias Grönberg,30,0.74,715,97200,,
225,226,226,Paul Claxton,23,0.67,420,63000,,
226,T227,T227,Ronnie Black,2,0.65,44,6750,,
227,T227,T227,Mark Brooks,17,0.65,410,63450,,
228,T229,T229,Jim McGovern,26,0.64,488,76500,,
229,T229,T229,Kirk Triplett,9,0.64,87,13500,,
230,T231,T231,Richard Johnson,29,0.59,544,92700,,
231,T231,T231,Joey Sindelar,5,0.59,80,13500,,
232,T231,T231,Kyle Thompson,26,0.59,461,78750,,
233,234,234,Gabriel Hjertstedt,4,0.58,52,9000,,
234,235,235,Chris Stroud,29,0.54,499,92700,,
235,236,236,Olin Browne,27,0.53,515,96750,,
236,T237,T237,Paul Azinger,9,0.52,190,36450,,
237,T237,T237,Jonathan Kaye,8,0.52,177,33750,,
238,T237,T237,Chris Smith,5,0.52,81,15750,,
239,240,240,Tom Scherrer,20,0.5,267,54000,,
240,T241,T241,David Frost,3,0.46,64,13950,,
241,T241,T241,Andrew Magee,3,0.46,52,11250,,
242,T241,T241,John Morse,7,0.46,103,22500,,
243,244,244,Jason Allred,23,0.45,286,63000,,
244,245,245,Notah Begay III,9,0.37,82,22500,,
245,246,246,Guy Boros,6,0.36,57,15750,,
246,247,247,Brad Elder,23,0.34,212,63000,,
247,T248,T248,Len Mattiace,11,0.29,116,40500,,
248,T248,T248,Grant Waite,8,0.29,52,18000,,
249,T250,T250,John Daly,17,0.28,182,66150,,
250,T250,T250,Cody Freeman,26,0.28,214,76500,,
251,T252,T252,David Duval,20,0.23,149,65700,,
252,T252,T252,Spike McRoy,4,0.23,26,11250,,
253,T252,T252,Travis Perkins,23,0.23,152,67500,,
254,T255,T255,Mark O'Meara,5,0.22,52,23850,,
255,T255,T255,Ron Whittaker,22,0.22,140,63000,,
256,257,257,J.L. Lewis,16,0.19,114,58500,,
257,T258,T258,Tommy Gainey,24,0.17,119,72000,,
258,T258,T258,Duffy Waldorf,4,0.17,26,15750,,
259,260,260,Skip Kendall,6,0.14,28,20250,,
260,T261,T261,Bob Burns,7,0.12,24,20250,,
261,T261,T261,"Jim Gallagher, Jr.",7,0.12,24,20250,,
