,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
141,142,142,Brian Bateman,263665
142,143,143,Bob Sowards,263327
143,144,144,Todd Demsey,217417
144,145,145,Brent Geiberger,207470
145,146,146,Craig Barlow,195936
146,147,147,Larry Mize,190804
147,148,148,Olin Browne,176129
148,149,149,Joey Sindelar,167250
149,150,150,Paul Stankowski,156077
150,151,151,Kyle Thompson,154447
151,152,152,Michael Bradley,149454
152,153,153,Jim McGovern,144726
153,154,154,Mark Brooks,139977
154,155,155,Jay Delsing,134308
155,156,156,David Duval,125852
156,157,157,Paul Claxton,116678
157,158,158,Neal Lancaster,113720
158,159,159,Robert Damron,112672
159,160,160,Kirk Triplett,104016
160,161,161,Jason Allred,100596
161,162,162,Tom Byrum,97592
162,163,163,John Daly,76090
163,164,164,Cody Freeman,68673
164,165,165,Duffy Waldorf,68443
165,166,166,Ron Whittaker,59977
166,167,167,Paul Azinger,42590
167,168,168,Jonathan Kaye,41375
168,169,169,Travis Perkins,36583
169,170,170,Len Mattiace,35333
170,171,171,J.L. Lewis,34003
171,172,172,Spike McRoy,33921
172,173,173,"Jim Gallagher, Jr.",32775
173,174,174,Guy Boros,31565
174,175,175,Russ Cochran,31275
175,176,176,Notah Begay III,27872
176,177,177,John Morse,25705
177,178,178,Chris Smith,22775
178,179,179,Bob Burns,13895
179,180,180,Ronnie Black,12295
180,181,181,Andrew Magee,12238
181,182,182,Scott Hoch,11385
182,183,183,Mark O'Meara,10920
183,184,184,Willie Wood,8700
184,185,185,Skip Kendall,7910
185,T186,T186,Dennis Paulson,6420
186,T186,T186,Ted Schulz,6420
187,188,188,Rick Fehr,5940
