,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
121,122,122,Nathan Green,24,3698,,1.0,37937.0,94070.0
122,123,123,Jason Bohn,13,3582,,2.0,38053.0,93990.0
123,124,124,Troy Matteson,24,3524,,3.0,38111.0,93950.0
124,125,125,Greg Kraft,15,3319,1.0,2.0,38316.0,93710.0
125,126,126,Mark Calcavecchia,23,3304,,2.0,38331.0,93670.0
126,127,127,Matt Jones,24,3273,,2.0,38362.0,93590.0
127,128,128,Shane Bertsch,23,3153,,1.0,38482.0,93510.0
128,129,129,Joe Ogilvie,24,3094,,3.0,38541.0,93470.0
129,130,130,Tim Wilkinson,23,3086,,2.0,38549.0,93430.0
130,131,131,Zach Johnson,21,2968,,1.0,38667.0,93350.0
131,132,132,Vaughn Taylor,25,2901,,1.0,38734.0,93310.0
132,133,133,Charles Warren,23,2769,,1.0,38866.0,93230.0
133,134,134,Dustin Johnson,25,2679,,2.0,38956.0,93150.0
134,135,135,Bob Tway,15,2615,,1.0,39020.0,93070.0
135,136,136,David Toms,18,2520,,,39115.0,92990.0
136,137,137,James Driscoll,22,2457,,1.0,39178.0,92910.0
137,138,138,Bob Estes,21,2423,,1.0,39212.0,92870.0
138,139,139,Tom Lehman,17,2420,,2.0,39215.0,92830.0
139,140,140,Joe Durant,22,2264,,1.0,39371.0,92670.0
140,141,141,Jason Gore,26,2258,,2.0,39377.0,92630.0
141,142,142,Jon Mills,25,1964,,,39671.0,92350.0
142,143,143,Chris DiMarco,23,1871,,,39764.0,92310.0
143,144,144,Roland Thatcher,15,1777,,2.0,39858.0,92230.0
144,145,145,Y.E. Yang,22,1701,,1.0,39934.0,
145,146,146,Gavin Coles,13,1699,,1.0,39936.0,
146,147,147,Tag Ridings,22,1679,,1.0,39956.0,
147,148,148,Todd Hamilton,23,1648,,,39987.0,
148,149,149,Brett Rumford,19,1624,,1.0,40011.0,
149,150,150,Marco Dawson,17,1622,,2.0,40013.0,
150,151,151,Kevin Stadler,23,1622,,1.0,40013.0,
151,152,152,Craig Kanada,17,1604,,,40031.0,
152,153,153,Greg Norman,4,1595,,1.0,40040.0,
153,154,154,Davis Love III,17,1512,,,40123.0,
154,155,155,John Huston,14,1488,,,40147.0,
155,156,156,Robert Garrigus,22,1468,,,40167.0,
156,157,157,Scott Sterling,21,1467,,,40168.0,
157,158,158,Ryan Armour,25,1427,,,40208.0,
158,159,159,Carlos Franco,19,1372,,,40263.0,
159,160,160,Nick Flanagan,22,1316,,1.0,40319.0,
160,161,161,Jeff Gove,14,1308,,1.0,40327.0,
161,162,162,Will MacKenzie,16,1289,,1.0,40346.0,
162,163,163,Jeff Maggert,21,1287,,,40348.0,
163,164,164,Chris Riley,13,1277,,1.0,40358.0,
164,165,165,J.P. Hayes,20,1275,,1.0,40360.0,
165,166,166,Cameron Beckman,22,1262,,,40373.0,
166,167,167,Mark Hensby,19,1261,,1.0,40374.0,
167,168,168,Marc Turnesa,23,1174,,,40461.0,
168,169,169,Bob Heintz,12,1164,,,40471.0,
169,170,170,Omar Uresti,17,1154,,,40481.0,
170,171,171,Doug LaBelle II,17,1102,,1.0,40533.0,
171,172,172,Jason Dufner,12,1082,,,40553.0,
172,173,173,Jin Park,23,1047,,,40588.0,
173,174,174,Harrison Frazar,17,1043,,1.0,40592.0,
174,175,175,Fred Funk,13,1038,,1.0,40597.0,
175,176,176,José Coceres,13,1008,,,40627.0,
176,177,177,Kenneth Ferrie,19,1000,,,40635.0,
177,178,178,John Riegger,17,993,,,40642.0,
178,179,179,Brenden Pappas,17,962,,1.0,40673.0,
179,180,180,Ted Purdy,19,962,,1.0,40673.0,
180,181,181,Kent Jones,16,957,,,40678.0,
181,182,182,Billy Andrade,20,949,,,40686.0,
182,183,183,Brandt Jobe,17,940,,,40695.0,
183,184,184,Bob Sowards,15,920,,1.0,40715.0,
184,185,185,Brian Bateman,17,832,,,40803.0,
185,186,186,Arron Oberholser,8,775,,,40860.0,
186,187,187,Garrett Willis,10,766,,,40869.0,
187,188,188,Robert Gamez,20,749,,,40886.0,
188,189,189,Shigeki Maruyama,18,721,,,40914.0,
189,190,190,Mathias Grönberg,23,715,,,40920.0,
190,191,191,Larry Mize,15,704,,1.0,40931.0,
191,192,192,Jimmy Walker,17,703,,,40932.0,
192,193,193,Brent Geiberger,11,694,,1.0,40941.0,
193,194,194,Andrew Buckle,12,693,,,40942.0,
194,195,195,Stephen Leaney,17,678,,,40957.0,
195,196,196,Shaun Micheel,16,641,,,40994.0,
196,197,197,Chad Collins,17,632,,,41003.0,
197,198,198,Dan Forsman,10,623,,,41012.0,
198,199,199,Steve Allan,16,595,,1.0,41040.0,
199,200,200,Craig Barlow,15,567,,,41068.0,
200,201,201,David Lutterus,16,566,,,41069.0,
201,202,202,Todd Demsey,18,551,,,41084.0,
202,203,203,Richard Johnson,22,544,,,41091.0,
203,204,204,Olin Browne,23,515,,,41120.0,
204,205,205,Chris Stroud,22,499,,,41136.0,
205,206,206,Alejandro Cañizares,11,497,,,41138.0,
206,207,207,Paul Stankowski,12,488,,,41147.0,
207,208,208,Jim McGovern,19,488,,,41147.0,
208,209,209,Kyle Thompson,19,461,,,41174.0,
209,210,210,Bob May,4,450,,,41185.0,
210,211,211,Bernhard Langer,2,426,,,41209.0,
211,212,212,Paul Claxton,16,420,,,41215.0,
212,213,213,Brett Wetterich,11,417,,,41218.0,
213,214,214,Daisuke Maruyama,4,417,,,41218.0,
214,215,215,Mark Brooks,16,410,,,41225.0,
215,216,216,Robert Damron,8,365,,,41270.0,
216,217,217,Tom Byrum,11,343,,,41292.0,
217,218,218,Dicky Pride,11,322,,,41313.0,
218,219,219,Michael Bradley,9,321,,,41314.0,
219,220,220,Jason Allred,16,286,,,41349.0,
220,221,221,Ian Leggatt,5,269,,,41366.0,
221,222,222,Tom Scherrer,14,267,,,41368.0,
222,223,223,Michael Sim,5,256,,,41379.0,
223,224,224,José María Olazábal,4,235,,,41400.0,
224,225,225,Neal Lancaster,8,227,,,41408.0,
225,226,226,Cody Freeman,19,214,,,41421.0,
226,227,227,Brad Elder,16,212,,,41423.0,
227,228,228,Jay Delsing,7,200,,,41435.0,
228,229,229,Paul Azinger,8,190,,,41445.0,
229,230,230,John Daly,15,182,,,41453.0,
230,231,231,Jonathan Kaye,8,177,,,41458.0,
231,232,232,Travis Perkins,17,152,,,41483.0,
232,233,233,Craig Parry,4,152,,,41483.0,
233,234,234,David Duval,15,149,,,41486.0,
234,235,235,Ron Whittaker,16,140,,,41495.0,
235,236,236,Tommy Gainey,18,119,,,41516.0,
236,237,237,Len Mattiace,10,116,,,41519.0,
237,238,238,J.L. Lewis,14,114,,,41521.0,
238,239,239,John Morse,6,103,,,41532.0,
239,240,240,Sandy Lyle,2,91,,,41544.0,
240,241,241,Kirk Triplett,4,87,,,41548.0,
241,242,242,Notah Begay III,6,82,,,41553.0,
242,243,243,Chris Smith,5,81,,,41554.0,
243,244,244,Joey Sindelar,4,80,,,41555.0,
244,245,245,David Frost,3,64,,,41571.0,
245,246,246,Guy Boros,5,57,,,41578.0,
246,T247,T247,Gabriel Hjertstedt,3,52,,,41583.0,
247,T247,T247,Andrew Magee,3,52,,,41583.0,
248,T247,T247,Grant Waite,5,52,,,41583.0,
249,250,250,Mark O'Meara,5,52,,,41583.0,
250,251,251,Scott Hoch,1,52,,,41583.0,
251,252,252,Fulton Allem,1,47,,,41588.0,
252,253,253,Ronnie Black,2,44,,,41591.0,
253,254,254,Nick Price,1,43,,,41592.0,
254,255,255,Skip Kendall,6,28,,,41607.0,
255,T256,T256,Dennis Paulson,1,27,,,41608.0,
256,T256,T256,Ted Schulz,1,27,,,41608.0,
257,258,258,Duffy Waldorf,4,26,,,41609.0,
258,259,259,Spike McRoy,3,26,,,41609.0,
259,260,260,Rick Fehr,1,25,,,41610.0,
260,261,261,Bob Burns,6,24,,,41611.0,
261,262,262,"Jim Gallagher, Jr.",6,24,,,41611.0,
