,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
160,T161,T161,Kenneth Ferrie,25,996
161,T161,T161,Todd Hamilton,28,996
162,T163,T163,Retief Goosen,18,997
163,T163,T163,Jon Mills,32,997
164,165,165,Nick Flanagan,29,998
165,166,166,Jin Park,30,1011
166,167,167,Cliff Kresge,28,1013
167,168,168,Brad Elder,23,1015
168,169,169,Bob Sowards,22,1022
169,170,170,Tom Lehman,17,1023
170,T171,T171,Justin Bolli,28,1026
171,T171,T171,Lee Janzen,28,1026
172,T171,T171,Brandt Jobe,19,1026
173,174,174,Doug LaBelle II,22,1039
174,175,175,Brett Rumford,26,1047
175,176,176,Paul Goydos,25,1053
176,177,177,Paul Claxton,23,1054
177,T178,T178,Jason Allred,23,1055
178,T178,T178,Chris DiMarco,29,1055
179,180,180,Ron Whittaker,22,1056
180,181,181,Ángel Cabrera,17,1057
181,182,182,Trevor Immelman,22,1061
182,183,183,Steve Lowery,25,1064
183,184,184,Greg Kraft,21,1076
184,185,185,Jerry Kelly,31,1090
185,186,186,Johnson Wagner,26,1095
186,187,187,Olin Browne,27,1125
187,188,188,J.P. Hayes,26,1130
188,189,189,Alex Cejka,25,1162
189,190,190,Kyle Thompson,26,1236
190,191,191,Stephen Leaney,17,1250
191,192,192,David Lutterus,23,1255
192,193,193,Billy Andrade,24,1281
193,194,194,David Duval,20,1287
194,195,195,Travis Perkins,23,1294
195,196,196,Cody Freeman,26,1297
196,197,197,Shigeki Maruyama,18,1320
