,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
83,84,84,Pat Perez,27,11.36,2500,22000,,
84,T85,T85,Glen Day,19,10.89,2396,22000,,
85,T85,T85,Patrick Sheehan,35,10.89,2396,22000,,
86,T87,T87,George McNeill,29,10.38,2284,22000,,
87,T87,T87,Kevin Na,29,10.38,2284,22000,,
88,89,89,John Rollins,28,10.0,2200,22000,,
89,T90,T90,Scott McCarron,22,9.78,2151,22000,,
90,T90,T90,Nick O'Hern,26,9.78,2151,22000,,
91,92,92,Lee Janzen,28,9.66,2124,22000,,
92,93,93,Tom Pernice Jr.,30,9.61,2115,22000,,
93,T94,T94,Rich Beem,29,9.6,2112,22000,,
94,T94,T94,Steve Elkington,25,9.6,2112,22000,,
95,96,96,Nick Watney,27,9.58,2108,22000,,
96,97,97,Rocco Mediate,27,9.55,2100,22000,,
97,98,98,Paul Goydos,25,9.54,2098,22000,,
98,99,99,Peter Lonard,30,9.52,2095,22000,,
99,100,100,Ryan Moore,24,9.51,2092,22000,,
100,T101,T101,Charles Howell III,31,9.48,2086,22000,,
101,T101,T101,Corey Pavin,20,9.48,2086,22000,,
102,103,103,Padraig Harrington,15,6.4,2113,33000,,
