,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
121,122,122,Nathan Green,1,94070,,,31031.0,94070
122,123,123,Jason Bohn,0,93990,,,31111.0,93990
123,124,124,Troy Matteson,1,93950,,,31151.0,93950
124,125,125,Greg Kraft,1,93710,,,31391.0,93710
125,126,126,Mark Calcavecchia,1,93670,,,31431.0,93670
126,127,127,Matt Jones,1,93590,,,31511.0,93590
127,128,128,Shane Bertsch,1,93510,,,31591.0,93510
128,129,129,Joe Ogilvie,1,93470,,,31631.0,93470
129,130,130,Tim Wilkinson,1,93430,,,31671.0,93430
130,131,131,Zach Johnson,1,93350,,,31751.0,93350
131,132,132,Vaughn Taylor,1,93310,,,31791.0,93310
132,133,133,Charles Warren,1,93230,,,31871.0,93230
133,134,134,Dustin Johnson,1,93150,,,31951.0,93150
134,135,135,Bob Tway,0,93070,,,32031.0,93070
135,136,136,David Toms,1,92990,,,32111.0,92990
136,137,137,James Driscoll,1,92910,,,32191.0,92910
137,138,138,Bob Estes,0,92870,,,32231.0,92870
138,139,139,Tom Lehman,1,92830,,,32271.0,92830
139,140,140,Joe Durant,1,92670,,,32431.0,92670
140,141,141,Jason Gore,1,92630,,,32471.0,92630
141,142,142,Jon Mills,1,92350,,,32751.0,92350
142,143,143,Chris DiMarco,1,92310,,,32791.0,92310
143,144,144,Roland Thatcher,0,92230,,,32871.0,92230
